timestamp,sensor_value,label
1772099188.52377,136,a
1772099188.532989,903,a
1772099188.533071,759,a
1772099188.533098,64,a
1772099188.535438,832,a
1772099188.535529,759,a
1772099188.535556,20,a
1772099188.535582,739,a
1772099188.535608,747,a
1772099188.535626,0,a
1772099188.5356522,670,a
1772099188.535677,720,a
1772099188.539119,0,a
1772099188.539289,578,a
1772099188.5397608,699,a
1772099188.539789,57,a
1772099188.546222,469,a
1772099188.5573142,617,a
1772099188.568131,127,a
1772099188.579149,349,a
1772099188.590146,544,a
1772099188.601142,195,a
1772099188.612149,227,a
1772099188.624095,499,a
1772099188.6414871,256,a
1772099188.64521,105,a
1772099188.6612868,446,a
1772099188.670231,340,a
1772099188.67802,0,a
1772099188.68913,404,a
1772099188.7001941,402,a
1772099188.711172,49,a
1772099188.7221591,346,a
1772099188.733172,468,a
1772099188.7441568,150,a
1772099188.75516,305,a
1772099188.766185,577,a
1772099188.777782,283,a
1772099188.788204,295,a
1772099188.799157,686,a
1772099188.8101702,407,a
1772099188.821255,240,a
1772099188.8321521,826,a
1772099188.8431401,566,a
1772099188.8541498,189,a
1772099188.865149,859,a
1772099188.8761432,684,a
1772099188.887153,113,a
1772099188.898796,917,a
1772099188.9092019,733,a
1772099188.920147,49,a
1772099188.9312232,845,a
1772099188.942162,741,a
1772099188.953185,16,a
1772099188.9641778,746,a
1772099188.9752629,720,a
1772099188.9860291,0,a
1772099188.9971578,667,a
1772099189.008161,723,a
1772099189.019136,16,a
1772099189.0302742,566,a
1772099189.041284,697,a
1772099189.05217,51,a
1772099189.063274,441,a
1772099189.0743601,582,a
1772099189.0852869,123,a
1772099189.096277,340,a
1772099189.107262,516,a
1772099189.1182761,203,a
1772099189.129312,198,a
1772099189.140279,458,a
1772099189.168152,290,a
1772099189.168255,58,a
1772099189.174143,462,a
1772099189.1842759,355,a
1772099189.1950378,0,a
1772099189.206281,395,a
1772099189.217269,413,a
1772099189.2282891,34,a
1772099189.239265,371,a
1772099189.250299,495,a
1772099189.261292,128,a
1772099189.2722619,335,a
1772099189.2833111,582,a
1772099189.2942998,287,a
1772099189.30527,298,a
1772099189.316302,699,a
1772099189.3272982,457,a
1772099189.3382678,229,a
1772099189.3492942,833,a
1772099189.360273,563,a
1772099189.371265,195,a
1772099189.3823009,873,a
1772099189.393312,716,a
1772099189.404276,118,a
1772099189.415265,917,a
1772099189.426304,744,a
1772099189.4380171,85,a
1772099189.448308,829,a
1772099189.459271,762,a
1772099189.470764,33,a
1772099189.481271,720,a
1772099189.492275,738,a
1772099189.503181,0,a
1772099189.5143008,680,a
1772099189.525266,723,a
1772099189.536184,0,a
1772099189.54731,545,a
1772099189.558906,670,a
1772099189.569159,60,a
1772099189.580269,459,a
1772099189.591282,635,a
1772099189.602277,121,a
1772099189.61327,341,a
1772099189.6242912,527,a
1772099189.635319,237,a
1772099189.646268,204,a
1772099189.657273,465,a
1772099189.668289,292,a
1772099189.67928,49,a
1772099189.6902819,438,a
1772099189.701304,393,a
1772099189.712297,10,a
1772099189.723288,407,a
1772099189.7343092,461,a
1772099189.7452888,49,a
1772099189.756286,406,a
