timestamp,sensor_value,label
1772099290.6050901,656,a
1772099290.605162,724,a
1772099290.605186,0,a
1772099290.605212,575,a
1772099290.605238,683,a
1772099290.605259,43,a
1772099290.605283,455,a
1772099290.6053078,567,a
1772099290.605332,139,a
1772099290.605356,309,a
1772099290.60538,507,a
1772099290.605404,227,a
1772099290.605428,152,a
1772099290.605452,456,a
1772099290.6054761,294,a
1772099290.6054971,34,a
1772099290.605521,440,a
1772099290.605545,358,a
1772099290.605561,0,a
1772099290.6055849,376,a
1772099290.605609,450,a
1772099290.605632,102,a
1772099290.6056561,366,a
1772099290.6056802,544,a
1772099290.6057038,239,a
1772099290.605728,328,a
1772099290.605752,693,a
1772099290.6057758,419,a
1772099290.6058,271,a
1772099290.605824,850,a
1772099290.6058471,567,a
1772099290.6058712,219,a
1772099290.6058939,928,a
1772099290.605922,707,a
1772099290.605946,155,a
1772099290.60597,930,a
1772099290.605994,745,a
1772099290.606014,94,a
1772099290.606038,851,a
1772099290.6060622,759,a
1772099290.606082,38,a
1772099290.606105,750,a
1772099290.60613,736,a
1772099290.606146,0,a
1772099290.6061702,645,a
1772099290.606194,724,a
1772099290.60621,0,a
1772099290.606234,574,a
1772099290.606258,676,a
1772099290.606278,41,a
1772099290.606302,487,a
1772099290.606326,579,a
1772099290.606349,128,a
1772099290.606373,338,a
1772099290.606397,536,a
1772099290.606421,214,a
1772099290.606445,177,a
1772099290.6064692,461,a
1772099290.606493,303,a
1772099290.6065128,28,a
1772099290.6065369,433,a
1772099290.606561,360,a
1772099290.6065788,0,a
1772099290.6066601,399,a
1772099290.6079192,448,a
1772099290.6081212,69,a
1772099290.608159,344,a
1772099290.608187,545,a
1772099290.608212,242,a
1772099290.608237,348,a
1772099290.608261,690,a
1772099290.608285,400,a
1772099290.608563,276,a
1772099290.608877,854,a
1772099290.609119,566,a
1772099290.609229,242,a
1772099290.6093152,919,a
1772099290.609375,715,a
1772099290.6094239,170,a
1772099290.609471,924,a
1772099290.609517,756,a
1772099290.609557,86,a
1772099290.6096032,859,a
1772099290.6096482,757,a
1772099290.609699,48,a
1772099290.6097438,755,a
1772099290.6097898,737,a
1772099290.609824,0,a
1772099290.609874,683,a
1772099290.60992,725,a
1772099290.609953,0,a
1772099290.6099992,578,a
1772099290.61005,691,a
1772099290.610097,56,a
1772099290.610144,459,a
1772099290.610195,580,a
1772099290.610244,140,a
1772099290.610296,323,a
1772099290.6103418,540,a
1772099290.6103868,224,a
1772099290.610432,172,a
1772099290.610479,445,a
1772099290.61215,305,a
1772099290.6134589,23,a
1772099290.613589,430,a
1772099290.6136682,375,a
1772099290.6137118,0,a
1772099290.614491,370,a
1772099290.614526,455,a
1772099290.61455,83,a
1772099290.614576,372,a
1772099290.6146,570,a
1772099290.614624,240,a
1772099290.614648,315,a
1772099290.614671,717,a
1772099290.6146948,422,a
1772099290.614719,260,a
1772099290.614742,858,a
1772099290.6147652,582,a
1772099290.614789,214,a
1772099290.6148129,922,a
1772099290.614836,717,a
1772099290.61486,139,a
1772099290.6148832,921,a
1772099290.6149068,755,a
1772099290.614927,94,a
1772099290.61495,829,a
1772099290.6149728,734,a
1772099290.6149929,41,a
1772099290.615018,763,a
1772099290.615041,735,a
1772099290.615058,0,a
1772099290.615082,661,a
1772099290.615105,702,a
1772099290.615121,0,a
1772099290.615144,553,a
1772099290.615168,692,a
1772099290.615188,45,a
1772099290.615212,445,a
1772099290.615235,547,a
1772099290.6152582,151,a
1772099290.6152818,290,a
1772099290.615305,497,a
1772099290.615329,240,a
1772099290.6153522,131,a
1772099290.6153758,460,a
1772099290.615399,299,a
1772099290.615415,5,a
