timestamp,sensor_value,label
1772100597.331935,3513,a
1772100597.3320692,577,a
1772100597.341781,3403,a
1772100597.341975,3510,a
1772100597.342069,971,a
1772100597.342128,3411,a
1772100597.342182,3519,a
1772100597.3422341,1254,a
1772100597.342498,2865,a
1772100597.3425531,3490,a
1772100597.342587,1591,a
1772100597.342616,2182,a
1772100597.342645,3468,a
1772100597.343174,2066,a
1772100597.343267,1539,a
1772100597.343331,3405,a
1772100597.3433862,2340,a
1772100597.343433,841,a
1772100597.3434849,3026,a
1772100597.3435369,2685,a
1772100597.343584,251,a
1772100597.343637,2514,a
1772100597.343689,3142,a
1772100597.343735,646,a
1772100597.3437881,2107,a
1772100597.343843,3302,a
1772100597.343897,1331,a
1772100597.34395,1845,a
1772100597.3440042,3373,a
1772100597.344058,1711,a
1772100597.3441112,1553,a
1772100597.344165,3412,a
1772100597.344218,2226,a
1772100597.3442838,1247,a
1772100597.344337,3414,a
1772100597.344388,2703,a
1772100597.3444328,973,a
1772100597.344485,3401,a
1772100597.344536,3326,a
1772100597.3445818,784,a
1772100597.344662,3410,a
1772100597.344725,3517,a
1772100597.344794,427,a
1772100597.3448472,3396,a
1772100597.3448992,3511,a
1772100597.3449442,193,a
1772100597.344995,3401,a
1772100597.345047,3511,a
1772100597.345092,306,a
1772100597.345143,3401,a
1772100597.345195,3512,a
1772100597.345239,631,a
1772100597.345291,3405,a
1772100597.346373,3518,a
1772100597.3464189,917,a
1772100597.346451,2979,a
1772100597.346482,3491,a
1772100597.3465128,1225,a
1772100597.346831,2221,a
1772100597.347757,3468,a
1772100597.3478458,1546,a
1772100597.347906,1720,a
1772100597.348114,3315,a
1772100597.348306,1979,a
1772100597.348715,1006,a
1772100597.348781,2869,a
1772100597.348834,2298,a
1772100597.348904,453,a
1772100597.348949,2426,a
1772100597.34902,2618,a
1772100597.349078,294,a
1772100597.3491352,2088,a
1772100597.34919,2860,a
1772100597.349269,1101,a
1772100597.349417,1914,a
1772100597.349597,2953,a
1772100597.34966,1340,a
1772100597.3497238,1505,a
1772100597.349779,3079,a
1772100597.349833,1873,a
1772100597.349887,1313,a
1772100597.34994,3408,a
1772100597.349997,2348,a
1772100597.3500428,909,a
1772100597.350102,3402,a
1772100597.35026,2931,a
1772100597.350315,793,a
1772100597.350369,3406,a
1772100597.350425,3480,a
1772100597.350473,569,a
1772100597.350525,3404,a
1772100597.3505778,3515,a
1772100597.350623,244,a
1772100597.350676,3403,a
1772100597.350728,3510,a
1772100597.350773,325,a
1772100597.350825,3397,a
1772100597.350879,3517,a
1772100597.350925,684,a
1772100597.3509781,3410,a
1772100597.351031,3509,a
1772100597.351084,1062,a
1772100597.351136,3165,a
1772100597.351188,3505,a
1772100597.35163,1448,a
1772100597.351924,2557,a
1772100597.351999,3481,a
1772100597.352054,1668,a
1772100597.352106,1847,a
1772100597.352561,3412,a
1772100597.3528051,2036,a
1772100597.3528929,1077,a
1772100597.352951,3017,a
1772100597.353007,2477,a
1772100597.3530529,493,a
1772100597.353108,2529,a
1772100597.35316,2752,a
1772100597.353206,375,a
1772100597.353259,2207,a
1772100597.353312,3023,a
1772100597.3533592,992,a
1772100597.353411,1909,a
1772100597.353462,3147,a
1772100597.353514,1539,a
1772100597.353566,1617,a
1772100597.35362,3281,a
1772100597.353672,1914,a
1772100597.353736,1314,a
1772100597.3538291,3388,a
1772100597.353921,2574,a
1772100597.3569229,1188,a
1772100597.357269,3404,a
1772100597.358242,3020,a
1772100597.359833,823,a
1772100597.360265,3408,a
1772100597.3603032,3511,a
1772100597.3603299,578,a
1772100597.360359,3405,a
1772100597.3604732,3513,a
1772100597.360553,285,a
1772100597.369524,3402,a
1772100597.3761349,3511,a
1772100597.387124,230,a
1772100597.398219,3399,a
1772100597.40915,3518,a
1772100597.42013,507,a
1772100597.43119,3401,a
1772100597.444034,3513,a
1772100597.4557178,746,a
1772100597.4657788,3018,a
1772100597.476913,3491,a
1772100597.4861388,1030,a
1772100597.497498,2368,a
1772100597.508134,3476,a
1772100597.519142,1396,a
1772100597.530132,1799,a
1772100597.5416589,3153,a
1772100597.552157,1635,a
1772100597.563164,1126,a
1772100597.574133,2685,a
1772100597.585143,2056,a
1772100597.596014,609,a
1772100597.60726,2270,a
1772100597.618144,2350,a
1772100597.62901,228,a
1772100597.642089,1963,a
1772100597.6511328,2629,a
1772100597.6621819,661,a
1772100597.673138,1823,a
1772100597.68414,2840,a
1772100597.6951401,1226,a
1772100597.70613,1539,a
1772100597.71714,3044,a
1772100597.728147,1735,a
1772100597.739168,1344,a
1772100597.7501261,3289,a
1772100597.762742,2383,a
1772100597.7736719,1084,a
1772100597.790668,3411,a
1772100597.794144,2877,a
1772100597.805064,821,a
1772100597.816137,3406,a
1772100597.827162,3397,a
1772100597.837989,525,a
1772100597.8491368,3399,a
1772100597.8622541,3505,a
1772100597.870991,294,a
1772100597.882421,3404,a
1772100597.893174,3515,a
1772100597.9040132,227,a
1772100597.9151528,3402,a
1772100597.926122,3510,a
1772100597.937003,454,a
1772100597.948427,3396,a
1772100597.965158,3511,a
1772100597.970453,817,a
1772100597.9844322,2901,a
1772100597.99213,3492,a
1772100598.003058,989,a
1772100598.0141492,2281,a
1772100598.025121,3429,a
1772100598.036167,1300,a
1772100598.0471702,1671,a
1772100598.058134,3203,a
1772100598.0691452,1623,a
1772100598.0824199,1156,a
1772100598.0911438,2750,a
1772100598.1026251,2024,a
1772100598.113039,526,a
1772100598.124126,2418,a
1772100598.135133,2338,a
1772100598.146007,209,a
1772100598.157114,2025,a
1772100598.168133,2541,a
1772100598.179015,757,a
1772100598.190121,1829,a
1772100598.201817,2742,a
1772100598.2121222,1201,a
1772100598.22316,1563,a
1772100598.234159,2927,a
1772100598.245149,1705,a
1772100598.256126,1306,a
1772100598.267157,3265,a
1772100598.278152,2322,a
1772100598.2891252,1145,a
1772100598.302478,3406,a
1772100598.311121,2923,a
1772100598.322748,848,a
1772100598.333153,3403,a
1772100598.344125,3341,a
1772100598.3549938,586,a
1772100598.366132,3400,a
1772100598.377145,3507,a
1772100598.387999,302,a
1772100598.399009,3404,a
1772100598.4101188,3512,a
1772100598.4228008,221,a
1772100598.432022,3399,a
1772100598.4430761,3516,a
1772100598.45402,452,a
1772100598.465006,3404,a
1772100598.476011,3509,a
1772100598.4870012,776,a
1772100598.4980469,2916,a
1772100598.509011,3487,a
1772100598.520036,1013,a
1772100598.531024,2344,a
1772100598.5431921,3475,a
1772100598.553015,1231,a
1772100598.564002,1765,a
1772100598.575007,3142,a
1772100598.5860329,1658,a
1772100598.597003,1115,a
1772100598.608006,2755,a
1772100598.619031,2070,a
1772100598.629958,633,a
1772100598.6449559,2329,a
1772100598.651996,2389,a
1772100598.663838,207,a
1772100598.674047,1966,a
1772100598.685466,2605,a
1772100598.697224,776,a
1772100598.7071419,1759,a
1772100598.718032,2757,a
1772100598.7295082,1267,a
1772100598.7400372,1397,a
1772100598.7510478,3034,a
1772100598.762806,1785,a
1772100598.773046,1218,a
1772100598.7840068,3259,a
1772100598.7950358,2374,a
1772100598.8060071,1159,a
1772100598.8170218,3409,a
1772100598.828032,3019,a
1772100598.8388999,823,a
1772100598.849988,3411,a
1772100598.863831,3511,a
1772100598.871897,490,a
1772100598.8837278,3405,a
1772100598.8940291,3511,a
1772100598.904876,227,a
1772100598.915992,3407,a
1772100598.9270039,3515,a
1772100598.937858,272,a
1772100598.948993,3404,a
1772100598.95999,3509,a
1772100598.970867,584,a
1772100598.983859,3375,a
1772100598.992995,3512,a
1772100599.003863,768,a
1772100599.014994,2811,a
1772100599.026001,3489,a
1772100599.036984,1018,a
1772100599.047997,2250,a
1772100599.059006,3436,a
1772100599.069993,1332,a
1772100599.0839171,1688,a
1772100599.092007,3165,a
1772100599.10382,1697,a
1772100599.1139991,1136,a
1772100599.124992,2737,a
1772100599.136,2012,a
1772100599.146878,540,a
1772100599.158005,2376,a
1772100599.168988,2354,a
1772100599.179896,216,a
1772100599.1910121,1997,a
1772100599.203927,2622,a
1772100599.212876,911,a
1772100599.2241302,1748,a
1772100599.235002,2753,a
1772100599.246001,1348,a
1772100599.256981,1462,a
1772100599.267993,3002,a
1772100599.278996,1810,a
1772100599.289981,1231,a
1772100599.303702,3258,a
1772100599.312011,2472,a
1772100599.323395,1030,a
1772100599.333997,3408,a
1772100599.344883,2973,a
1772100599.3558578,827,a
1772100599.366872,3409,a
1772100599.37789,3445,a
1772100599.388865,583,a
1772100599.40334,3407,a
1772100599.410888,3508,a
1772100599.424312,350,a
1772100599.4329002,3404,a
1772100599.443906,3516,a
1772100599.4548962,248,a
1772100599.4659042,3399,a
1772100599.476914,3514,a
1772100599.487892,467,a
1772100599.4989078,3403,a
1772100599.5099142,3515,a
1772100599.5236921,669,a
1772100599.531901,2903,a
1772100599.543488,3489,a
1772100599.553887,1052,a
1772100599.564876,2296,a
1772100599.575899,3468,a
1772100599.5869062,1411,a
1772100599.597881,1633,a
1772100599.6089,3102,a
1772100599.6232169,1933,a
1772100599.6308749,1070,a
1772100599.642839,2658,a
1772100599.652899,2074,a
1772100599.6638699,553,a
1772100599.6749,2336,a
1772100599.685861,2358,a
1772100599.696867,455,a
1772100599.7079198,1992,a
1772100599.7189,2634,a
1772100599.729865,948,a
1772100599.743744,1715,a
1772100599.751889,2874,a
1772100599.763714,1288,a
1772100599.773878,1427,a
1772100599.784889,3126,a
1772100599.79585,1887,a
1772100599.806905,1168,a
1772100599.817864,3299,a
1772100599.8288891,2608,a
1772100599.8398972,1110,a
1772100599.8508952,3407,a
1772100599.86342,3344,a
1772100599.87274,822,a
1772100599.883889,3403,a
1772100599.894896,3506,a
1772100599.905741,588,a
1772100599.916901,3409,a
1772100599.927867,3519,a
1772100599.9387698,296,a
1772100599.949897,3401,a
1772100599.963281,3511,a
1772100599.97174,308,a
1772100599.984055,3403,a
1772100599.9938931,3507,a
1772100600.004791,855,a
1772100600.015894,3410,a
1772100600.02688,3511,a
1772100600.037879,1208,a
1772100600.0488691,3403,a
1772100600.05989,3512,a
1772100600.070878,1709,a
1772100600.083951,2719,a
1772100600.092915,3490,a
1772100600.10388,2206,a
1772100600.114892,1839,a
1772100600.125888,3413,a
1772100600.136863,2773,a
1772100600.147989,1125,a
1772100600.158883,3407,a
1772100600.169869,3351,a
1772100600.183968,385,a
1772100600.1918662,3403,a
1772100600.2035022,3515,a
1772100600.213862,1337,a
1772100600.224873,3134,a
1772100600.235882,3496,a
1772100600.246857,2132,a
1772100600.257854,2536,a
1772100600.2689002,3472,a
1772100600.279853,2654,a
1772100600.290872,2247,a
1772100600.3041332,3474,a
1772100600.312855,3512,a
1772100600.324288,2261,a
1772100600.3348658,3467,a
1772100600.34586,3516,a
1772100600.356884,1738,a
1772100600.367885,3419,a
1772100600.378858,3517,a
1772100600.389853,1140,a
1772100600.404244,3411,a
1772100600.411881,3511,a
1772100600.423677,485,a
1772100600.433771,3402,a
1772100600.444745,3511,a
1772100600.4557629,320,a
1772100600.466736,3405,a
1772100600.477778,3511,a
1772100600.488964,661,a
1772100600.5038662,3409,a
1772100600.510901,3510,a
1772100600.523762,1453,a
