timestamp,sensor_value,label
1772097727.20613,356,a
1772097727.206889,124,a
1772097727.206924,47,a
1772097727.206948,387,a
1772097727.2070222,199,a
1772097727.207049,8,a
1772097727.207072,329,a
1772097727.207432,250,a
1772097727.207489,0,a
1772097727.207621,363,a
1772097727.207671,307,a
1772097727.2135239,0,a
1772097727.2142332,325,a
1772097727.2142668,357,a
1772097727.2142851,3,a
1772097727.214308,299,a
1772097727.2158551,382,a
1772097727.2158878,32,a
1772097727.215911,361,a
1772097727.2159328,440,a
1772097727.2159512,37,a
1772097727.2159722,354,a
1772097727.215992,462,a
1772097727.21601,64,a
1772097727.216031,303,a
1772097727.216052,414,a
1772097727.2160718,125,a
1772097727.2160928,162,a
1772097727.216119,324,a
1772097727.216141,139,a
1772097727.216162,141,a
1772097727.216181,330,a
1772097727.216202,200,a
1772097727.216224,39,a
1772097727.216245,244,a
1772097727.216265,256,a
1772097727.216279,8,a
1772097727.216299,213,a
1772097727.21632,244,a
1772097727.216334,0,a
1772097727.2163541,192,a
1772097727.216375,279,a
1772097727.216392,28,a
1772097727.216413,121,a
1772097727.2164328,307,a
1772097727.217612,102,a
1772097727.217639,100,a
1772097727.220361,378,a
1772097727.2203898,141,a
1772097727.2204092,87,a
1772097727.220468,438,a
1772097727.220503,239,a
1772097727.220523,91,a
1772097727.220546,464,a
1772097727.22057,287,a
1772097727.2205892,24,a
1772097727.220615,453,a
1772097727.220639,345,a
1772097727.2206562,5,a
1772097727.2206788,438,a
1772097727.220702,425,a
1772097727.2207181,0,a
1772097727.220742,346,a
1772097727.2207649,404,a
1772097727.2207842,12,a
1772097727.22081,324,a
1772097727.220855,454,a
1772097727.22089,36,a
1772097727.220914,420,a
1772097727.220937,515,a
1772097727.2209558,91,a
1772097727.220979,356,a
1772097727.221003,455,a
1772097727.221022,74,a
1772097727.221045,260,a
1772097727.2210681,380,a
1772097727.221091,158,a
1772097727.2211158,162,a
1772097727.221139,448,a
1772097727.221162,201,a
1772097727.2211862,204,a
1772097727.221209,412,a
1772097727.2212322,230,a
1772097727.2212522,72,a
1772097727.221279,247,a
1772097727.2213,258,a
1772097727.221314,0,a
1772097727.221334,184,a
1772097727.221354,285,a
1772097727.221371,70,a
1772097727.2213912,172,a
1772097727.221411,346,a
1772097727.2214348,111,a
1772097727.221457,133,a
1772097727.221477,380,a
1772097727.221497,155,a
1772097727.221517,108,a
1772097727.221537,431,a
1772097727.221557,287,a
1772097727.2215738,61,a
1772097727.2215948,382,a
1772097727.221615,232,a
1772097727.221628,0,a
1772097727.221648,363,a
1772097727.221668,331,a
1772097727.2216818,0,a
1772097727.2217019,341,a
1772097727.2217221,341,a
1772097727.221735,0,a
1772097727.221756,360,a
1772097727.221777,412,a
1772097727.2217941,44,a
1772097727.221816,318,a
1772097727.221838,393,a
1772097727.221855,42,a
1772097727.221874,297,a
1772097727.2218938,414,a
1772097727.221914,102,a
1772097727.221934,245,a
1772097727.221953,358,a
1772097727.221973,132,a
1772097727.221993,159,a
1772097727.2220118,318,a
1772097727.2220318,146,a
1772097727.222049,70,a
1772097727.222069,292,a
1772097727.2220879,178,a
1772097727.222105,71,a
1772097727.222124,324,a
1772097727.222146,245,a
1772097727.222162,16,a
1772097727.222219,347,a
1772097727.22224,336,a
1772097727.222257,12,a
1772097727.2222762,245,a
1772097727.222296,266,a
1772097727.222313,66,a
1772097727.222333,122,a
1772097727.2223518,355,a
1772097727.222375,173,a
1772097727.2225358,47,a
1772097727.222562,347,a
1772097727.222584,220,a
1772097727.222599,0,a
1772097727.22262,352,a
1772097727.222641,344,a
1772097727.222677,0,a
1772097727.2227142,433,a
1772097727.222741,318,a
1772097727.22276,0,a
1772097727.222784,483,a
1772097727.222805,425,a
1772097727.2228212,0,a
1772097727.222841,440,a
1772097727.2228632,468,a
1772097727.22288,0,a
1772097727.222901,499,a
1772097727.222921,537,a
1772097727.222938,15,a
1772097727.223118,389,a
