timestamp,sensor_value,label
1772099064.429711,1180,a
1772099064.429783,858,a
1772099064.429864,200,a
1772099064.4299068,1111,a
1772099064.429974,897,a
1772099064.430005,135,a
1772099064.43003,979,a
1772099064.4300559,887,a
1772099064.430078,65,a
1772099064.430101,889,a
1772099064.430138,857,a
1772099064.4301581,10,a
1772099064.430238,822,a
1772099064.430281,827,a
1772099064.440438,0,a
1772099064.4503198,659,a
1772099064.461306,760,a
1772099064.4723032,93,a
1772099064.483305,540,a
1772099064.494347,660,a
1772099064.505298,177,a
1772099064.516351,406,a
1772099064.531326,577,a
1772099064.541395,268,a
1772099064.550685,206,a
1772099064.5603259,573,a
1772099064.571344,339,a
1772099064.5822,57,a
1772099064.5933309,540,a
1772099064.6047611,450,a
1772099064.6152499,6,a
1772099064.626682,505,a
1772099064.637318,558,a
1772099064.648323,131,a
1772099064.659342,455,a
1772099064.6703181,725,a
1772099064.68133,314,a
1772099064.692325,400,a
1772099064.7035499,918,a
1772099064.714323,537,a
1772099064.725313,353,a
1772099064.736344,1027,a
1772099064.7472188,713,a
1772099064.758243,304,a
1772099064.769312,1119,a
1772099064.780191,837,a
1772099064.792195,215,a
1772099064.8070881,1109,a
1772099064.813199,882,a
1772099064.824236,155,a
1772099064.835308,1010,a
1772099064.846206,873,a
1772099064.857076,82,a
1772099064.8682182,906,a
1772099064.879219,848,a
1772099064.8900962,26,a
1772099064.901236,817,a
1772099064.912205,813,a
1772099064.9231858,0,a
1772099064.93419,691,a
1772099064.945236,764,a
1772099064.956118,32,a
1772099064.9671931,566,a
1772099064.9781911,644,a
1772099064.9892108,132,a
1772099065.0002291,422,a
1772099065.0112,602,a
1772099065.0232,226,a
1772099065.033196,222,a
1772099065.0442,555,a
1772099065.084001,300,a
1772099065.084079,86,a
1772099065.08413,532,a
1772099065.0895739,403,a
1772099065.098955,0,a
1772099065.1102002,496,a
1772099065.1212192,502,a
1772099065.1320682,57,a
1772099065.143658,471,a
1772099065.154193,647,a
1772099065.165192,235,a
1772099065.176193,428,a
1772099065.187198,840,a
1772099065.1981921,429,a
1772099065.2092092,385,a
1772099065.2202911,1005,a
1772099065.2310789,634,a
1772099065.242089,312,a
1772099065.253195,1080,a
1772099065.2641149,773,a
1772099065.2750878,254,a
1772099065.2861881,1130,a
1772099065.2970781,845,a
1772099065.308081,184,a
1772099065.3191948,1021,a
1772099065.3301098,850,a
1772099065.3410811,124,a
1772099065.352084,935,a
1772099065.363852,834,a
1772099065.373965,47,a
1772099065.385074,862,a
1772099065.396074,852,a
1772099065.406962,0,a
1772099065.418072,746,a
1772099065.429197,782,a
1772099065.43999,13,a
1772099065.4510632,646,a
1772099065.462079,691,a
1772099065.4729989,86,a
1772099065.4841878,504,a
1772099065.4950778,626,a
1772099065.506071,187,a
1772099065.5170822,320,a
1772099065.5280871,578,a
1772099065.539069,267,a
1772099065.550069,168,a
1772099065.561078,539,a
1772099065.5720599,354,a
1772099065.583911,12,a
1772099065.5940711,500,a
1772099065.6050801,443,a
1772099065.6158662,3,a
1772099065.627167,483,a
1772099065.638195,579,a
1772099065.6490932,142,a
1772099065.660086,454,a
1772099065.6712892,740,a
1772099065.68208,338,a
1772099065.693077,415,a
1772099065.70433,919,a
1772099065.715122,556,a
1772099065.726399,351,a
1772099065.737516,1036,a
1772099065.748106,738,a
1772099065.75914,278,a
1772099065.7701492,1108,a
1772099065.7810838,824,a
1772099065.7920918,208,a
1772099065.805695,1080,a
1772099065.814143,849,a
1772099065.8250759,150,a
1772099065.836289,973,a
1772099065.846997,845,a
1772099065.8579478,72,a
1772099065.8689668,903,a
1772099065.879972,829,a
1772099065.891128,27,a
1772099065.902009,797,a
1772099065.912995,811,a
1772099065.9245389,0,a
1772099065.934965,700,a
1772099065.945964,744,a
1772099065.956946,27,a
1772099065.9679732,583,a
1772099065.979014,651,a
1772099065.989994,139,a
1772099066.000967,413,a
1772099066.012026,588,a
1772099066.0240068,244,a
1772099066.033983,238,a
1772099066.044947,553,a
1772099066.0559628,306,a
1772099066.066864,81,a
1772099066.077974,515,a
1772099066.088969,399,a
1772099066.099817,0,a
1772099066.110951,492,a
1772099066.121959,505,a
1772099066.1328351,71,a
1772099066.143944,443,a
1772099066.1549811,642,a
1772099066.165947,264,a
1772099066.17699,416,a
1772099066.187984,834,a
1772099066.19898,461,a
1772099066.209976,366,a
1772099066.2209768,994,a
1772099066.231977,660,a
1772099066.2438679,297,a
1772099066.254077,1108,a
1772099066.2649589,802,a
1772099066.276005,265,a
1772099066.287125,1128,a
1772099066.298003,825,a
1772099066.3089862,177,a
1772099066.319979,1051,a
1772099066.3309598,853,a
1772099066.341992,125,a
1772099066.352965,946,a
1772099066.364005,875,a
1772099066.3748622,52,a
1772099066.3859358,928,a
1772099066.396982,844,a
1772099066.4078588,30,a
1772099066.418977,801,a
1772099066.429984,825,a
1772099066.440755,2,a
1772099066.4520059,642,a
1772099066.463925,667,a
1772099066.473985,112,a
1772099066.484957,629,a
1772099066.4959831,648,a
1772099066.5069828,199,a
1772099066.517983,212,a
1772099066.5290182,401,a
1772099066.539968,426,a
1772099066.550841,174,a
1772099066.56187,769,a
1772099066.572886,441,a
1772099066.583879,17,a
1772099066.5948339,539,a
1772099066.6058528,498,a
1772099066.6168609,35,a
1772099066.627867,351,a
1772099066.6388621,519,a
1772099066.649867,207,a
1772099066.6608691,400,a
1772099066.671867,874,a
1772099066.683855,370,a
1772099066.693877,346,a
1772099066.704963,1061,a
1772099066.715862,379,a
1772099066.726867,252,a
1772099066.737948,1226,a
1772099066.748868,777,a
1772099066.759866,263,a
1772099066.7709818,1183,a
1772099066.781863,967,a
1772099066.792862,235,a
1772099066.8039901,1164,a
1772099066.814979,1056,a
1772099066.825718,37,a
1772099066.836832,756,a
1772099066.847865,964,a
1772099066.85872,82,a
1772099066.872,1104,a
1772099066.880863,971,a
1772099066.8917398,5,a
1772099066.903828,947,a
1772099066.913864,880,a
1772099066.924715,7,a
1772099066.9358552,669,a
1772099066.9468648,915,a
1772099066.957946,113,a
1772099066.968823,531,a
1772099066.979865,898,a
1772099066.990742,59,a
1772099067.001863,490,a
1772099067.012863,631,a
1772099067.0239182,282,a
1772099067.03487,155,a
1772099067.045839,637,a
1772099067.0568771,475,a
1772099067.06773,38,a
1772099067.0788531,691,a
1772099067.089851,651,a
1772099067.1007428,81,a
1772099067.111858,648,a
1772099067.1239822,812,a
1772099067.133863,162,a
1772099067.144877,520,a
1772099067.15585,777,a
1772099067.166864,283,a
1772099067.1778839,474,a
1772099067.188857,979,a
1772099067.199856,553,a
1772099067.210906,435,a
1772099067.2219741,1152,a
1772099067.232865,825,a
1772099067.2442398,393,a
1772099067.254981,1309,a
1772099067.265866,946,a
1772099067.276865,320,a
1772099067.28787,1268,a
1772099067.298848,1047,a
1772099067.309866,214,a
1772099067.320862,1179,a
1772099067.331836,1176,a
1772099067.3440619,182,a
1772099067.3538702,1104,a
1772099067.364844,1002,a
1772099067.3757398,61,a
1772099067.386869,928,a
1772099067.397869,997,a
1772099067.4086232,6,a
1772099067.419868,813,a
1772099067.43086,942,a
1772099067.441735,50,a
1772099067.452864,662,a
1772099067.464052,861,a
1772099067.474868,136,a
1772099067.485822,527,a
1772099067.496873,738,a
1772099067.507871,251,a
1772099067.518871,328,a
1772099067.5298612,661,a
1772099067.540871,345,a
1772099067.551868,125,a
1772099067.564157,612,a
1772099067.573833,459,a
1772099067.5847092,26,a
1772099067.5958679,582,a
1772099067.606841,548,a
1772099067.6177301,39,a
1772099067.6288588,577,a
1772099067.639735,704,a
1772099067.65075,208,a
1772099067.661747,482,a
1772099067.672756,870,a
1772099067.684172,419,a
1772099067.694765,426,a
1772099067.705821,1047,a
1772099067.7167501,648,a
1772099067.7277498,370,a
1772099067.7388558,1177,a
1772099067.749749,846,a
1772099067.760733,289,a
1772099067.77186,1254,a
1772099067.7843468,993,a
1772099067.7937548,192,a
1772099067.804843,1270,a
1772099067.815867,1019,a
1772099067.8267431,153,a
1772099067.837863,1151,a
1772099067.848873,1010,a
1772099067.859622,70,a
1772099067.8708868,1040,a
1772099067.881747,976,a
1772099067.892624,1,a
1772099067.904139,883,a
1772099067.91473,988,a
1772099067.925647,6,a
1772099067.936747,760,a
1772099067.947715,917,a
1772099067.958626,72,a
1772099067.9697459,627,a
1772099067.9807339,761,a
1772099067.99174,194,a
1772099068.004129,471,a
