timestamp,sensor_value,label
1772099134.213619,5,a
1772099134.213693,905,a
1772099134.213726,163,a
1772099134.213757,1130,a
1772099134.213782,918,a
1772099134.213808,119,a
1772099134.213836,1035,a
1772099134.2138612,899,a
1772099134.2138822,46,a
1772099134.2139058,920,a
1772099134.21393,887,a
1772099134.2139468,0,a
1772099134.213971,820,a
1772099134.213995,881,a
1772099134.214015,13,a
1772099134.214039,699,a
1772099134.214062,816,a
1772099134.214087,108,a
1772099134.2142332,563,a
1772099134.214356,724,a
1772099134.214462,172,a
1772099134.214584,426,a
1772099134.214628,651,a
1772099134.214706,272,a
1772099134.216013,243,a
1772099134.2162461,586,a
1772099134.216288,375,a
1772099134.216457,69,a
1772099134.2165601,538,a
1772099134.2165928,455,a
1772099134.216684,0,a
1772099134.2167108,502,a
1772099134.2167838,537,a
1772099134.216843,62,a
1772099134.217091,463,a
1772099134.2171452,651,a
1772099134.217193,237,a
1772099134.2172391,421,a
1772099134.2172852,784,a
1772099134.217331,404,a
1772099134.217376,381,a
1772099134.217421,981,a
1772099134.2174652,632,a
1772099134.21751,284,a
1772099134.217561,1087,a
1772099134.217605,781,a
1772099134.21765,256,a
1772099134.2177012,1153,a
1772099134.2177448,886,a
1772099134.218281,153,a
1772099134.2183292,1104,a
1772099134.218421,903,a
1772099134.218528,110,a
1772099134.218585,980,a
1772099134.218614,905,a
1772099134.218636,30,a
1772099134.2186618,878,a
1772099134.218687,854,a
1772099134.218706,0,a
1772099134.218731,784,a
1772099134.2187562,847,a
1772099134.2187781,17,a
1772099134.218803,671,a
1772099134.218828,797,a
1772099134.2188532,100,a
1772099134.218879,585,a
1772099134.218904,691,a
1772099134.2189288,207,a
1772099134.218954,411,a
1772099134.2189782,670,a
1772099134.219003,210,a
1772099134.219027,196,a
1772099134.2190511,565,a
1772099134.219075,377,a
1772099134.219095,81,a
1772099134.219119,557,a
1772099134.219142,401,a
1772099134.2191648,16,a
1772099134.219188,537,a
1772099134.219213,538,a
1772099134.219237,101,a
1772099134.219261,438,a
1772099134.219286,671,a
1772099134.219311,271,a
1772099134.219341,395,a
1772099134.2193658,820,a
1772099134.21939,462,a
1772099134.219415,383,a
1772099134.219439,974,a
1772099134.2194629,656,a
1772099134.219488,268,a
1772099134.2195158,1134,a
1772099134.219541,841,a
1772099134.219566,217,a
1772099134.219595,1054,a
1772099134.21962,907,a
1772099134.219645,128,a
1772099134.219674,1068,a
1772099134.219701,938,a
1772099134.219722,85,a
1772099134.219747,954,a
1772099134.219771,841,a
1772099134.219788,0,a
1772099134.219813,815,a
1772099134.219837,898,a
1772099134.2198532,0,a
1772099134.219876,727,a
1772099134.219899,885,a
1772099134.219915,0,a
1772099134.2199411,617,a
1772099134.2199638,760,a
1772099134.219987,137,a
1772099134.22001,480,a
1772099134.220033,663,a
1772099134.220057,197,a
1772099134.2200801,337,a
1772099134.220103,571,a
1772099134.220126,286,a
1772099134.220149,152,a
1772099134.220171,556,a
1772099134.220194,403,a
1772099134.2202098,6,a
1772099134.220234,501,a
1772099134.220256,462,a
1772099134.2202759,27,a
1772099134.220299,473,a
1772099134.2203221,589,a
1772099134.220345,160,a
1772099134.220368,435,a
1772099134.220393,712,a
1772099134.220416,334,a
1772099134.220439,391,a
1772099134.220462,896,a
1772099134.2204852,562,a
1772099134.2205079,304,a
1772099134.220535,1028,a
1772099134.220557,723,a
1772099134.22058,264,a
1772099134.220607,1106,a
1772099134.22063,853,a
1772099134.220653,173,a
1772099134.2206788,1127,a
1772099134.220702,911,a
1772099134.220725,114,a
1772099134.2207518,1024,a
1772099134.220775,939,a
1772099134.2207942,26,a
1772099134.2208169,988,a
1772099134.22084,980,a
1772099134.220856,0,a
1772099134.220879,892,a
1772099134.2209039,953,a
1772099134.22092,0,a
1772099134.2209432,813,a
1772099134.2209668,957,a
1772099134.2209861,61,a
1772099134.2210088,670,a
1772099134.221032,839,a
1772099134.221056,191,a
1772099134.221079,523,a
1772099134.221102,774,a
1772099134.2211268,330,a
1772099134.22115,359,a
1772099134.221173,706,a
1772099134.221196,432,a
1772099134.221219,128,a
1772099134.2212422,663,a
1772099134.2212648,515,a
1772099134.221281,0,a
1772099134.2213042,584,a
1772099134.2213278,605,a
1772099134.221348,74,a
1772099134.2213702,557,a
1772099134.221395,747,a
1772099134.221418,269,a
1772099134.221452,523,a
1772099134.2214751,916,a
1772099134.221498,479,a
1772099134.221521,452,a
1772099134.221548,1096,a
1772099134.221571,714,a
1772099134.221594,387,a
1772099134.221621,1259,a
1772099134.221644,887,a
1772099134.221668,315,a
1772099134.221694,1353,a
1772099134.2217212,1045,a
1772099134.221744,232,a
1772099134.221771,1329,a
1772099134.224782,1089,a
1772099134.2249432,161,a
1772099134.225227,1202,a
1772099134.225261,1062,a
1772099134.2252831,67,a
1772099134.2253282,1086,a
1772099134.225357,1052,a
1772099134.225375,0,a
1772099134.225399,938,a
1772099134.2254279,1024,a
1772099134.2254488,16,a
1772099134.225473,840,a
1772099134.2254982,986,a
1772099134.2255201,95,a
1772099134.225544,695,a
1772099134.225569,853,a
1772099134.2255979,219,a
1772099134.2256231,518,a
1772099134.2256472,756,a
1772099134.225675,359,a
1772099134.2256992,282,a
1772099134.2257228,690,a
1772099134.2257469,460,a
1772099134.225767,84,a
1772099134.22579,641,a
1772099134.225815,624,a
1772099134.225835,30,a
1772099134.2258592,659,a
1772099134.2258828,810,a
1772099134.2259068,248,a
1772099134.2259321,606,a
1772099134.2259562,976,a
1772099134.2259798,480,a
1772099134.226003,502,a
1772099134.226031,1156,a
1772099134.2260559,720,a
1772099134.226082,442,a
1772099134.22611,1352,a
1772099134.226136,858,a
1772099134.22616,364,a
1772099134.226187,1390,a
1772099134.226214,1259,a
1772099134.2262368,878,a
1772099134.226261,295,a
1772099134.2262888,1316,a
1772099134.226316,1036,a
1772099134.22634,205,a
1772099134.2263691,1305,a
1772099134.226397,1067,a
1772099134.2264209,140,a
1772099134.226449,1169,a
1772099134.226476,1052,a
1772099134.226497,56,a
1772099134.2265239,1054,a
1772099134.226552,1009,a
1772099134.226569,3,a
1772099134.226592,947,a
1772099134.235552,990,a
1772099134.246513,5,a
1772099134.2575529,815,a
1772099134.268544,934,a
1772099134.2795541,104,a
1772099134.290549,686,a
1772099134.301538,826,a
1772099134.3192298,223,a
1772099134.32364,504,a
1772099134.3401139,741,a
1772099134.347883,341,a
1772099134.3568919,307,a
1772099134.367615,670,a
1772099134.3803499,402,a
1772099134.389796,115,a
1772099134.400566,640,a
1772099134.411544,490,a
1772099134.422307,0,a
1772099134.43359,583,a
1772099134.4445581,619,a
1772099134.475562,99,a
1772099134.475641,520,a
1772099134.4775748,755,a
1772099134.493272,280,a
1772099134.4995399,486,a
1772099134.5126688,931,a
1772099134.521547,507,a
1772099134.532554,429,a
1772099134.54355,1136,a
1772099134.554548,709,a
1772099134.565547,362,a
1772099134.576566,1259,a
1772099134.5875452,907,a
1772099134.599926,272,a
1772099134.609641,1326,a
1772099134.621429,1037,a
1772099134.631549,185,a
1772099134.642647,1262,a
1772099134.653557,1065,a
1772099134.664564,120,a
1772099134.675575,1151,a
1772099134.68656,1035,a
1772099134.697422,67,a
1772099134.70856,1034,a
1772099134.719747,1020,a
1772099134.730322,0,a
1772099134.741471,923,a
1772099134.7524538,997,a
1772099134.7634602,13,a
1772099134.774452,809,a
1772099134.785467,947,a
1772099134.796459,125,a
1772099134.8074481,663,a
1772099134.819752,789,a
1772099134.829474,216,a
1772099134.8404539,477,a
1772099134.851445,726,a
1772099134.862426,340,a
1772099134.87343,263,a
1772099134.884464,671,a
1772099134.895467,435,a
1772099134.9064388,87,a
1772099134.917431,625,a
1772099134.928451,539,a
1772099134.939646,0,a
1772099134.9504309,572,a
1772099134.961471,634,a
1772099134.972428,109,a
1772099134.983433,535,a
1772099134.9944398,769,a
1772099135.0054379,288,a
1772099135.016426,483,a
1772099135.027442,945,a
1772099135.039851,504,a
1772099135.04944,440,a
1772099135.0605628,1142,a
1772099135.071462,739,a
1772099135.08244,369,a
