timestamp,sensor_value,label
1772100434.729214,1381,a
1772100434.76061,2304,a
1772100434.7606819,1114,a
1772100434.760839,1135,a
1772100434.760878,2418,a
1772100434.7609081,1552,a
1772100434.7609322,883,a
1772100434.760959,2610,a
1772100434.760986,1959,a
1772100434.761009,618,a
1772100434.761035,2743,a
1772100434.7610612,2431,a
1772100434.7610838,491,a
1772100434.76111,2908,a
1772100434.761136,2860,a
1772100434.763563,298,a
1772100434.77471,3072,a
1772100434.7856581,3049,a
1772100434.796563,116,a
1772100434.807638,3126,a
1772100434.81865,3410,a
1772100434.829532,327,a
1772100434.84065,2989,a
1772100434.8518982,3443,a
1772100434.862591,642,a
1772100434.877841,2595,a
1772100434.892313,3406,a
1772100434.8955588,834,a
1772100434.906666,2257,a
1772100434.917692,3093,a
1772100434.92868,1190,a
1772100434.939661,1720,a
1772100434.9506738,2768,a
1772100434.9616609,1383,a
1772100434.9734242,1150,a
1772100434.983823,2551,a
1772100434.9948978,1626,a
1772100435.005538,656,a
1772100435.0168278,2205,a
1772100435.02767,1891,a
1772100435.0385332,111,a
1772100435.0496771,1821,a
1772100435.0606668,2115,a
1772100435.071546,429,a
1772100435.082664,1512,a
1772100435.093662,2296,a
1772100435.104566,988,a
1772100435.1156669,1272,a
1772100435.126684,2434,a
1772100435.137731,1467,a
1772100435.1486862,1007,a
1772100435.15965,2589,a
1772100435.170658,1856,a
1772100435.181555,736,a
1772100435.19591,2734,a
1772100435.2036579,2309,a
1772100435.214547,593,a
1772100435.2256708,2842,a
1772100435.236681,2688,a
1772100435.24757,339,a
1772100435.258667,2998,a
1772100435.2696698,3080,a
1772100435.280576,150,a
1772100435.292667,3138,a
1772100435.302704,3327,a
1772100435.3135319,273,a
1772100435.324681,3075,a
1772100435.335668,3436,a
1772100435.346574,569,a
1772100435.357675,2806,a
1772100435.368716,3460,a
1772100435.414717,793,a
1772100435.41632,2301,a
1772100435.4164228,3337,a
1772100435.416484,1024,a
1772100435.427635,1649,a
1772100435.4348001,3105,a
1772100435.458504,1283,a
1772100435.458713,1195,a
1772100435.477588,2730,a
1772100435.481215,1617,a
1772100435.489548,692,a
1772100435.501457,2455,a
1772100435.5127301,1938,a
1772100435.5225332,246,a
1772100435.533657,1993,a
1772100435.5446908,2167,a
1772100435.55552,359,a
1772100435.566709,1588,a
1772100435.5776691,2374,a
1772100435.588522,901,a
1772100435.599689,1348,a
1772100435.610663,2524,a
1772100435.6216562,1477,a
1772100435.632928,1167,a
1772100435.643664,2726,a
1772100435.654675,1946,a
1772100435.665546,845,a
1772100435.676689,2886,a
1772100435.687663,2397,a
1772100435.698547,624,a
1772100435.7096682,3013,a
1772100435.720663,2759,a
1772100435.731541,362,a
1772100435.742652,3127,a
1772100435.753657,3164,a
1772100435.7646148,210,a
1772100435.775661,3278,a
1772100435.786667,3513,a
1772100435.7976289,289,a
1772100435.808645,3296,a
1772100435.819669,3513,a
1772100435.8305438,529,a
1772100435.841658,3124,a
1772100435.853912,3507,a
1772100435.8635561,881,a
1772100435.874649,2652,a
1772100435.885691,3471,a
1772100435.8967218,1150,a
1772100435.907665,2086,a
1772100435.918667,3180,a
1772100435.929666,1394,a
1772100435.9406562,1501,a
1772100435.951652,2935,a
1772100435.962687,1614,a
1772100435.973547,974,a
1772100435.984677,2641,a
1772100435.9956522,1953,a
1772100436.0065448,352,a
1772100436.017684,2201,a
1772100436.0286772,2225,a
1772100436.040669,184,a
1772100436.050665,1771,a
1772100436.061652,2464,a
1772100436.073833,810,a
1772100436.083668,1446,a
1772100436.094653,2671,a
1772100436.105643,1318,a
1772100436.116705,1130,a
1772100436.127658,2853,a
1772100436.1386418,1807,a
1772100436.1496089,912,a
1772100436.160683,2927,a
1772100436.171654,2312,a
1772100436.1825652,635,a
1772100436.194154,3142,a
1772100436.2046561,2798,a
1772100436.215538,394,a
1772100436.2266638,3216,a
1772100436.23766,3177,a
1772100436.24853,195,a
1772100436.259659,3348,a
1772100436.2706602,3521,a
1772100436.281528,235,a
1772100436.29363,3405,a
1772100436.3036768,3511,a
1772100436.314539,502,a
1772100436.325661,3265,a
1772100436.3366559,3515,a
1772100436.3475358,831,a
1772100436.358648,2873,a
1772100436.369656,3496,a
