timestamp,sensor_value,label
1772100706.732029,3507,a
1772100706.762337,522,a
1772100706.76241,3398,a
1772100706.762441,3509,a
1772100706.762466,794,a
1772100706.7625039,2979,a
1772100706.762579,3484,a
1772100706.762621,1083,a
1772100706.762808,2396,a
1772100706.762857,3472,a
1772100706.762932,1417,a
1772100706.762971,1843,a
1772100706.7630022,3274,a
1772100706.763029,1824,a
1772100706.76309,1264,a
1772100706.768672,2794,a
1772100706.768727,2188,a
1772100706.768755,549,a
1772100706.7687821,2534,a
1772100706.7688088,2506,a
1772100706.768833,236,a
1772100706.7688599,2310,a
1772100706.7688909,2737,a
1772100706.768914,900,a
1772100706.76894,1982,a
1772100706.768966,2988,a
1772100706.768992,1331,a
1772100706.769017,1693,a
1772100706.769043,3329,a
1772100706.779318,1955,a
1772100706.77937,1547,a
1772100706.7793999,3405,a
1772100706.779427,2609,a
1772100706.7794611,1361,a
1772100706.779488,3411,a
1772100706.779516,3209,a
1772100706.779543,1145,a
1772100706.779569,3402,a
1772100706.779597,3507,a
1772100706.7796202,807,a
1772100706.779646,3401,a
1772100706.779674,3506,a
1772100706.779697,409,a
1772100706.779723,3395,a
1772100706.779757,3508,a
1772100706.779781,260,a
1772100706.779808,3398,a
1772100706.779834,3510,a
1772100706.7798579,342,a
1772100706.779885,3396,a
1772100706.779913,3508,a
1772100706.779936,682,a
1772100706.7799628,3401,a
1772100706.77999,3509,a
1772100706.780013,972,a
1772100706.780041,2889,a
1772100706.7800682,3490,a
1772100706.780094,1323,a
1772100706.780121,2305,a
1772100706.7801468,3464,a
1772100706.780173,1693,a
1772100706.7801988,1653,a
1772100706.780225,3314,a
1772100706.7802508,2097,a
1772100706.780277,1139,a
1772100706.780304,2832,a
1772100706.780329,2432,a
1772100706.780352,375,a
1772100706.7803788,2436,a
1772100706.7804039,2743,a
1772100706.780427,427,a
1772100706.7804532,2231,a
1772100706.780479,3061,a
1772100706.780502,990,a
1772100706.780528,1931,a
1772100706.780554,3254,a
1772100706.7805812,1577,a
1772100706.780608,1626,a
1772100706.7806342,3406,a
1772100706.78066,2317,a
1772100706.7806861,1512,a
1772100706.780711,3407,a
1772100706.780738,2935,a
1772100706.7807639,1228,a
1772100706.78079,3406,a
1772100706.7808158,3501,a
1772100706.7808378,973,a
1772100706.780864,3408,a
1772100706.7808902,3509,a
1772100706.7809129,686,a
1772100706.780939,3402,a
1772100706.7809641,3506,a
1772100706.780988,388,a
1772100706.781014,3395,a
1772100706.7810402,3507,a
1772100706.781064,295,a
1772100706.78109,3402,a
1772100706.781116,3506,a
1772100706.781138,450,a
1772100706.781163,3398,a
1772100706.7811892,3508,a
1772100706.7812102,778,a
1772100706.781236,3237,a
1772100706.781261,3502,a
1772100706.781287,1099,a
1772100706.781313,2711,a
1772100706.7813382,3483,a
1772100706.781364,1515,a
1772100706.781389,2077,a
1772100706.781416,3459,a
1772100706.7814422,1852,a
1772100706.781467,1399,a
1772100706.781493,3089,a
1772100706.781518,2236,a
1772100706.7815402,742,a
1772100706.781566,2776,a
1772100706.781591,2649,a
1772100706.781613,217,a
1772100706.7816389,2334,a
1772100706.781664,2917,a
1772100706.781686,709,a
1772100706.781711,2128,a
1772100706.781736,3207,a
1772100706.781761,1323,a
1772100706.7817862,1823,a
1772100706.781811,3373,a
1772100706.781836,1892,a
1772100706.781861,1570,a
1772100706.781887,3403,a
1772100706.781914,2593,a
1772100706.781939,1416,a
1772100706.781965,3409,a
1772100706.7819898,3219,a
1772100706.782016,1026,a
1772100706.782042,3406,a
1772100706.782067,3508,a
1772100706.782089,789,a
1772100706.782115,3395,a
1772100706.782141,3511,a
1772100706.782163,489,a
1772100706.782188,3399,a
1772100706.7822132,3503,a
1772100706.7822359,234,a
1772100706.782261,3396,a
1772100706.7822871,3512,a
1772100706.782309,306,a
1772100706.7823339,3396,a
1772100706.7823591,3508,a
1772100706.782381,621,a
1772100706.782409,3404,a
1772100706.782434,3505,a
