timestamp,sensor_value,label
1772097595.5773172,247,a
1772097595.621629,279,a
1772097595.6216938,23,a
1772097595.6217222,227,a
1772097595.621803,311,a
1772097595.621832,37,a
1772097595.621855,194,a
1772097595.621878,307,a
1772097595.621897,78,a
1772097595.621919,176,a
1772097595.62194,333,a
1772097595.621959,93,a
1772097595.621981,141,a
1772097595.622002,298,a
1772097595.6220229,125,a
1772097595.622045,101,a
1772097595.622066,334,a
1772097595.627715,141,a
1772097595.638734,67,a
1772097595.649707,262,a
1772097595.660676,196,a
1772097595.671742,46,a
1772097595.683955,251,a
1772097595.693697,188,a
1772097595.7048142,0,a
1772097595.7156758,257,a
1772097595.726898,219,a
1772097595.7378392,0,a
1772097595.749689,161,a
1772097595.7599318,200,a
1772097595.7739909,0,a
1772097595.797854,146,a
1772097595.802176,244,a
1772097595.80356,33,a
1772097595.814549,90,a
1772097595.825995,246,a
1772097595.836999,98,a
1772097595.847542,53,a
1772097595.85867,267,a
1772097595.869666,129,a
1772097595.880556,11,a
1772097595.8915598,261,a
1772097595.903002,193,a
1772097595.913457,0,a
1772097595.9245608,223,a
1772097595.935562,212,a
1772097595.946422,0,a
1772097595.957588,259,a
1772097595.968588,271,a
1772097595.9794838,10,a
1772097595.990585,256,a
1772097596.001583,274,a
1772097596.012415,16,a
1772097596.023542,231,a
1772097596.034594,329,a
1772097596.04544,48,a
1772097596.056552,199,a
1772097596.067568,306,a
1772097596.07845,99,a
1772097596.089537,167,a
1772097596.100558,300,a
1772097596.111422,97,a
1772097596.123042,136,a
1772097596.133578,325,a
1772097596.144543,165,a
1772097596.155435,76,a
1772097596.166555,284,a
1772097596.17758,140,a
1772097596.188454,63,a
1772097596.19957,285,a
1772097596.210541,192,a
1772097596.234571,32,a
1772097596.2346811,253,a
1772097596.2448761,228,a
1772097596.254312,0,a
1772097596.266004,170,a
1772097596.276455,191,a
1772097596.287315,0,a
1772097596.2984672,195,a
1772097596.3094468,239,a
1772097596.320443,11,a
1772097596.331435,110,a
1772097596.3426318,245,a
1772097596.353316,20,a
1772097596.364319,62,a
1772097596.375438,293,a
1772097596.38644,102,a
1772097596.397351,12,a
1772097596.4084349,246,a
1772097596.419444,139,a
1772097596.489098,9,a
1772097596.493197,247,a
1772097596.601603,184,a
1772097596.60368,0,a
1772097596.603737,273,a
1772097596.603769,249,a
1772097596.603789,0,a
1772097596.603818,237,a
1772097596.6038451,243,a
1772097596.603864,0,a
1772097596.60389,256,a
1772097596.604039,312,a
1772097596.604083,23,a
1772097596.604137,216,a
1772097596.604167,281,a
1772097596.6041899,24,a
1772097596.6231291,197,a
1772097596.623189,301,a
1772097596.629649,69,a
1772097596.7204108,153,a
1772097596.720475,315,a
1772097596.7205079,105,a
1772097596.7205381,133,a
1772097596.720565,303,a
1772097596.7205918,135,a
1772097596.720615,58,a
1772097596.720642,334,a
1772097596.73034,180,a
1772097596.7867851,46,a
1772097596.792168,237,a
1772097596.793115,202,a
1772097596.793258,31,a
1772097596.79334,248,a
1772097596.793391,203,a
1772097596.860328,0,a
1772097596.862515,194,a
1772097596.862557,225,a
1772097596.862581,0,a
1772097596.862613,179,a
1772097596.8626518,230,a
1772097596.910073,2,a
1772097596.910708,128,a
1772097596.91076,239,a
1772097596.9107919,35,a
1772097596.9145322,77,a
1772097596.99006,248,a
1772097596.990209,126,a
1772097596.990336,30,a
1772097596.9905028,244,a
1772097596.9905732,130,a
1772097597.018135,2,a
1772097597.018305,246,a
1772097597.018368,182,a
1772097597.0184052,0,a
1772097597.04135,256,a
1772097597.116548,211,a
1772097597.121862,0,a
1772097597.128335,227,a
1772097597.133858,247,a
1772097597.133912,0,a
1772097597.1339478,243,a
1772097597.1339798,293,a
1772097597.134005,38,a
1772097597.144635,216,a
1772097597.1836858,297,a
1772097597.183767,48,a
1772097597.183817,205,a
1772097597.183855,307,a
1772097597.183892,100,a
1772097597.2565491,154,a
1772097597.28319,287,a
1772097597.283249,122,a
1772097597.2832808,104,a
1772097597.2833102,290,a
1772097597.2833369,135,a
1772097597.283361,90,a
1772097597.283388,311,a
1772097597.283415,163,a
1772097597.290095,25,a
1772097597.30062,241,a
1772097597.311549,175,a
1772097597.344044,18,a
1772097597.344173,230,a
1772097597.3442361,203,a
1772097597.360529,0,a
1772097597.3703701,190,a
1772097597.376906,230,a
1772097597.387682,0,a
1772097597.398132,134,a
1772097597.412694,271,a
1772097597.4199529,0,a
1772097597.431069,118,a
1772097597.446572,246,a
1772097597.452953,61,a
1772097597.466319,51,a
1772097597.4751139,245,a
1772097597.4859672,82,a
1772097597.498359,18,a
1772097597.512195,258,a
1772097597.520063,160,a
1772097597.52994,0,a
1772097597.5444312,227,a
1772097597.552067,159,a
1772097597.56352,0,a
1772097597.574063,240,a
1772097597.585068,249,a
1772097597.595814,0,a
1772097597.607062,230,a
1772097597.618067,259,a
1772097597.628879,0,a
1772097597.640075,197,a
1772097597.6510699,287,a
1772097597.6676722,20,a
1772097597.673093,200,a
1772097597.684085,309,a
1772097597.6949792,50,a
1772097597.706073,149,a
1772097597.7171059,331,a
1772097597.727983,92,a
1772097597.739095,155,a
1772097597.750078,309,a
1772097597.761091,117,a
1772097597.7719831,109,a
1772097597.783683,291,a
1772097597.793988,120,a
1772097597.804945,92,a
1772097597.816092,290,a
1772097597.827182,166,a
1772097597.8709528,42,a
