timestamp,sensor_value,label
1772098089.357505,191,a
1772098089.375687,75,a
1772098089.375743,437,a
1772098089.3759701,256,a
1772098089.376068,29,a
1772098089.376097,385,a
1772098089.376121,368,a
1772098089.376137,0,a
1772098089.37616,459,a
1772098089.376182,425,a
1772098089.376197,0,a
1772098089.3762188,450,a
1772098089.37624,540,a
1772098089.3764029,16,a
1772098089.37643,431,a
1772098089.377352,539,a
1772098089.3896031,52,a
1772098089.39904,431,a
1772098089.41049,552,a
1772098089.4209049,95,a
1772098089.4320068,430,a
1772098089.4430468,584,a
1772098089.454149,141,a
1772098089.465045,387,a
1772098089.476011,578,a
1772098089.487029,195,a
1772098089.4984992,309,a
1772098089.509631,551,a
1772098089.5225961,203,a
1772098089.533041,293,a
1772098089.542013,566,a
1772098089.553031,258,a
1772098089.564003,244,a
1772098089.575018,562,a
1772098089.586049,281,a
1772098089.597012,150,a
1772098089.608023,490,a
1772098089.619023,316,a
1772098089.629934,38,a
1772098089.641027,416,a
1772098089.6520839,370,a
1772098089.662923,0,a
1772098089.674073,288,a
1772098089.685057,320,a
1772098089.6960151,19,a
1772098089.707041,235,a
1772098089.718056,279,a
1772098089.729037,74,a
1772098089.740612,147,a
1772098089.751043,389,a
1772098089.762034,149,a
1772098089.773049,94,a
1772098089.784016,402,a
1772098089.795383,229,a
1772098089.806049,40,a
1772098089.817058,355,a
1772098089.828057,228,a
1772098089.839019,36,a
1772098089.8500311,357,a
1772098089.861048,307,a
1772098089.87192,0,a
1772098089.8830578,362,a
1772098089.8940291,368,a
1772098089.9048991,0,a
1772098089.91606,315,a
1772098089.927017,297,a
1772098089.937922,0,a
1772098089.949018,269,a
1772098089.9600582,249,a
1772098089.971019,0,a
1772098089.982039,288,a
1772098089.993077,241,a
1772098090.095,0,a
1772098090.0951412,267,a
1772098090.095207,256,a
1772098090.0952451,0,a
1772098090.095293,259,a
1772098090.095351,247,a
1772098090.095387,0,a
1772098090.095436,282,a
1772098090.0954869,280,a
1772098090.108709,29,a
1772098090.1310642,283,a
1772098090.131135,314,a
1772098090.136031,16,a
1772098090.1470451,258,a
1772098090.158106,358,a
1772098090.169027,21,a
1772098090.180095,217,a
1772098090.191036,306,a
1772098090.202044,54,a
1772098090.2131891,183,a
1772098090.22418,247,a
1772098090.235111,90,a
1772098090.246145,100,a
1772098090.257161,225,a
1772098090.268152,108,a
1772098090.2790442,52,a
1772098090.290153,167,a
1772098090.301174,139,a
1772098090.312051,20,a
1772098090.323166,158,a
1772098090.334145,155,a
1772098090.345184,0,a
1772098090.3561459,116,a
1772098090.36724,154,a
1772098090.3779142,0,a
1772098090.389041,90,a
1772098090.4001632,140,a
1772098090.411959,5,a
1772098090.422088,83,a
1772098090.433172,206,a
1772098090.4440682,53,a
1772098090.455298,32,a
1772098090.46617,206,a
1772098090.4771461,104,a
1772098090.488874,3,a
1772098090.499155,226,a
1772098090.51015,107,a
1772098090.5210009,0,a
1772098090.532319,252,a
1772098090.543156,172,a
1772098090.55394,0,a
1772098090.5651462,250,a
1772098090.576152,203,a
1772098090.587132,0,a
1772098090.598155,249,a
1772098090.609226,203,a
1772098090.620058,0,a
1772098090.63167,246,a
1772098090.6421561,256,a
1772098090.65311,0,a
1772098090.664169,246,a
1772098090.675162,283,a
1772098090.686039,6,a
1772098090.69714,206,a
1772098090.708174,279,a
1772098090.7190568,7,a
1772098090.7301388,226,a
1772098090.8008199,292,a
1772098090.8136551,60,a
1772098090.8137228,192,a
1772098090.813757,275,a
1772098090.813782,53,a
1772098090.8138099,107,a
1772098090.813837,232,a
1772098090.818065,74,a
1772098090.829616,70,a
1772098090.8401542,192,a
1772098090.851147,90,a
1772098090.866184,52,a
1772098090.8773298,202,a
1772098090.884662,133,a
1772098090.895034,0,a
1772098090.906184,148,a
1772098090.91716,121,a
1772098090.928552,0,a
1772098090.9391801,133,a
1772098090.950171,146,a
1772098090.96333,0,a
1772098090.975415,77,a
1772098090.99915,194,a
1772098090.999291,37,a
1772098091.0154738,75,a
1772098091.0163488,194,a
1772098091.0329149,34,a
1772098091.048578,59,a
1772098091.050774,229,a
1772098091.065919,90,a
1772098091.095148,77,a
1772098091.095212,248,a
1772098091.0952451,173,a
1772098091.106167,0,a
1772098091.115516,272,a
1772098091.126278,175,a
1772098091.137166,0,a
1772098091.1482902,268,a
1772098091.159295,197,a
1772098091.170206,0,a
1772098091.1812968,249,a
1772098091.19228,235,a
1772098091.203093,0,a
1772098091.214283,249,a
1772098091.225316,256,a
1772098091.236154,0,a
1772098091.247357,261,a
1772098091.2582881,318,a
1772098091.270475,33,a
1772098091.280284,307,a
1772098091.291282,369,a
1772098091.3022919,51,a
1772098091.3133152,237,a
1772098091.324276,330,a
1772098091.33518,54,a
1772098091.346294,222,a
1772098091.357276,283,a
1772098091.368166,76,a
1772098091.379733,147,a
1772098091.391074,270,a
1772098091.40736,141,a
1772098091.41222,73,a
1772098091.4272199,219,a
1772098091.435882,166,a
1772098091.44567,30,a
1772098091.456296,210,a
1772098091.467295,163,a
1772098091.4781618,0,a
1772098091.489971,159,a
1772098091.5003881,167,a
1772098091.5111601,0,a
1772098091.5222888,123,a
1772098091.533294,171,a
1772098091.544278,14,a
1772098091.555404,128,a
1772098091.566433,237,a
1772098091.577271,69,a
1772098091.5882828,53,a
1772098091.599406,224,a
1772098091.610604,106,a
1772098091.621163,9,a
1772098091.632406,252,a
1772098091.643445,164,a
1772098091.654186,0,a
1772098091.665521,279,a
1772098091.6764202,215,a
1772098091.68719,0,a
1772098091.698424,298,a
1772098091.7096288,203,a
1772098091.720193,0,a
1772098091.731413,275,a
1772098091.742414,211,a
1772098091.753183,0,a
1772098091.7644072,315,a
1772098091.775411,326,a
1772098091.786199,0,a
1772098091.797426,288,a
1772098091.808415,295,a
1772098091.819294,10,a
1772098091.830681,265,a
1772098091.841425,341,a
1772098091.852299,12,a
1772098091.863416,284,a
1772098091.874414,351,a
1772098091.885311,55,a
1772098091.8964212,264,a
1772098091.9074152,340,a
1772098091.9183218,75,a
1772098091.930392,168,a
1772098091.9404118,293,a
1772098091.9513369,97,a
1772098091.9624372,145,a
1772098091.9734788,283,a
1772098091.98444,122,a
1772098091.995323,62,a
1772098092.006465,235,a
1772098092.017439,117,a
1772098092.0284202,32,a
1772098092.039444,192,a
1772098092.0504398,169,a
1772098092.061266,2,a
1772098092.0724201,224,a
1772098092.083446,178,a
1772098092.0942678,0,a
1772098092.1054552,145,a
1772098092.1164532,229,a
1772098092.127424,15,a
1772098092.1384408,88,a
1772098092.150335,218,a
1772098092.160427,41,a
1772098092.171408,76,a
1772098092.182602,253,a
1772098092.193422,88,a
1772098092.20444,21,a
1772098092.2155788,245,a
1772098092.2265651,139,a
1772098092.23743,62,a
1772098092.2485561,315,a
1772098092.259553,188,a
1772098092.270423,25,a
1772098092.281528,304,a
1772098092.292554,265,a
1772098092.3033228,0,a
1772098092.314569,271,a
1772098092.3255649,224,a
1772098092.336322,0,a
1772098092.3475661,311,a
1772098092.35857,283,a
1772098092.369986,2,a
1772098092.380575,319,a
1772098092.391562,308,a
1772098092.402449,15,a
1772098092.413564,296,a
1772098092.424566,324,a
1772098092.435435,37,a
1772098092.446583,247,a
1772098092.4575622,391,a
1772098092.468451,65,a
1772098092.479554,226,a
1772098092.49055,297,a
1772098092.501567,89,a
1772098092.512579,155,a
1772098092.523574,270,a
1772098092.534573,104,a
1772098092.545572,128,a
1772098092.556573,246,a
1772098092.567571,144,a
1772098092.578571,62,a
1772098092.590366,223,a
1772098092.600575,154,a
1772098092.61153,22,a
1772098092.6225688,200,a
1772098092.633543,172,a
1772098092.644404,0,a
1772098092.655694,160,a
1772098092.666699,189,a
1772098092.677435,0,a
1772098092.688569,98,a
1772098092.699666,224,a
1772098092.71056,34,a
1772098092.721542,44,a
1772098092.7326689,205,a
1772098092.7435641,79,a
1772098092.75457,59,a
1772098092.7657049,245,a
1772098092.7766871,130,a
1772098092.7875478,10,a
1772098092.7986948,285,a
1772098092.810365,190,a
1772098092.820456,0,a
1772098092.831738,285,a
1772098092.842654,185,a
1772098092.853455,0,a
1772098092.864702,279,a
1772098092.875697,231,a
1772098092.886445,0,a
1772098092.8977091,277,a
1772098092.9094,247,a
1772098092.9195678,0,a
1772098092.930707,299,a
1772098092.941695,296,a
1772098092.952567,0,a
1772098092.963698,288,a
1772098092.9746969,321,a
1772098092.985585,19,a
1772098092.9966872,211,a
1772098093.007691,308,a
1772098093.0185752,58,a
1772098093.0303621,233,a
1772098093.040697,303,a
1772098093.05158,78,a
1772098093.0626738,192,a
1772098093.0737011,276,a
1772098093.084703,97,a
1772098093.095687,146,a
1772098093.106663,224,a
1772098093.1176682,111,a
1772098093.128648,64,a
1772098093.1397052,209,a
1772098093.150729,132,a
1772098093.1615748,0,a
1772098093.172677,176,a
1772098093.183703,152,a
1772098093.194556,0,a
1772098093.205826,131,a
1772098093.2168262,178,a
1772098093.2275531,0,a
1772098093.238824,123,a
1772098093.250093,207,a
1772098093.2605639,0,a
1772098093.2717,86,a
1772098093.2828228,219,a
1772098093.293695,58,a
1772098093.304699,64,a
1772098093.315826,217,a
1772098093.326863,109,a
1772098093.3377018,34,a
1772098093.3487911,240,a
1772098093.359824,159,a
1772098093.370674,14,a
1772098093.381844,243,a
1772098093.392829,174,a
1772098093.403578,0,a
1772098093.414796,249,a
1772098093.425817,231,a
1772098093.436702,9,a
1772098093.447825,278,a
1772098093.458803,252,a
1772098093.470281,0,a
1772098093.48082,275,a
1772098093.491832,271,a
1772098093.5026739,1,a
1772098093.513821,242,a
1772098093.524826,278,a
1772098093.535718,0,a
1772098093.546827,245,a
1772098093.5578299,306,a
1772098093.570167,24,a
1772098093.5798268,236,a
1772098093.5908039,313,a
1772098093.6018271,42,a
1772098093.612837,207,a
1772098093.623874,277,a
1772098093.6348312,47,a
1772098093.6458611,162,a
1772098093.656835,292,a
1772098093.6679611,125,a
1772098093.678947,101,a
1772098093.6904058,224,a
1772098093.7009542,118,a
1772098093.711782,50,a
1772098093.7229161,192,a
1772098093.733948,122,a
1772098093.7448168,13,a
1772098093.755997,163,a
1772098093.766954,169,a
