timestamp,ch1,ch2,label
1773824340.450301,47,1141,o_S
1773824340.461836,208,1197,o_S
1773824340.472865,202,1239,o_S
1773824340.485993,27,1135,o_S
1773824340.4965389,170,1211,o_S
1773824340.505453,190,1237,o_S
1773824340.516743,14,1129,o_S
1773824340.530784,225,1222,o_S
1773824340.538746,186,1222,o_S
1773824340.55042,5,1124,o_S
1773824340.5607328,178,1229,o_S
1773824340.571548,180,1217,o_S
1773824340.582699,40,1126,o_S
1773824340.593469,146,1234,o_S
1773824340.604448,176,1201,o_S
1773824340.616012,34,1137,o_S
1773824340.626317,87,1226,o_S
1773824340.637964,165,1197,o_S
1773824340.648561,68,1136,o_S
1773824340.659344,72,1227,o_S
1773824340.673815,122,1179,o_S
1773824340.6815429,106,1146,o_S
1773824340.6943989,72,1240,o_S
1773824340.703422,100,1178,o_S
1773824340.714752,99,1147,o_S
1773824340.725815,45,1245,o_S
1773824340.738154,85,1172,o_S
1773824340.747604,156,1150,o_S
1773824340.758519,50,1247,o_S
1773824340.769293,77,1166,o_S
1773824340.78177,163,1164,o_S
1773824340.791281,6,1243,o_S
1773824340.8034828,93,1162,o_S
1773824340.816999,154,1159,o_S
1773824340.8250802,18,1239,o_S
1773824340.836541,62,1148,o_S
1773824340.846439,167,1173,o_S
1773824340.8573859,50,1247,o_S
1773824340.868397,71,1153,o_S
1773824340.882522,181,1177,o_S
1773824340.890357,47,1245,o_S
1773824340.901484,79,1143,o_S
1773824340.9124339,185,1175,o_S
1773824340.9246771,82,1248,o_S
1773824340.934344,49,1139,o_S
1773824340.946997,241,1183,o_S
1773824340.956409,174,1253,o_S
1773824340.9676769,36,1143,o_S
1773824340.978879,282,1197,o_S
1773824340.990755,185,1245,o_S
1773824341.000505,46,1138,o_S
1773824341.013273,235,1193,o_S
1773824341.025034,253,1249,o_S
1773824341.034228,11,1136,o_S
1773824341.045496,246,1203,o_S
1773824341.0554419,249,1240,o_S
1773824341.067706,36,1136,o_S
1773824341.077622,283,1213,o_S
1773824341.089306,248,1236,o_S
1773824341.099343,40,1135,o_S
1773824341.11061,261,1220,o_S
1773824341.1214452,253,1231,o_S
1773824341.1326342,19,1135,o_S
1773824341.149257,208,1232,o_S
1773824341.1564538,249,1224,o_S
1773824341.167829,58,1140,o_S
1773824341.1766589,153,1232,o_S
1773824341.1903071,232,1206,o_S
1773824341.1990871,62,1140,o_S
1773824341.217532,147,1238,o_S
1773824341.2204201,191,1193,o_S
1773824341.234189,87,1141,o_S
1773824341.242414,101,1234,o_S
1773824341.255278,179,1194,o_S
1773824341.2644238,141,1144,o_S
1773824341.277259,79,1245,o_S
1773824341.286428,157,1179,o_S
1773824341.298259,162,1150,o_S
1773824341.309008,40,1237,o_S
1773824341.321142,121,1167,o_S
1773824341.3304262,179,1165,o_S
1773824341.3419242,37,1244,o_S
1773824341.356045,124,1166,o_S
1773824341.364597,190,1164,o_S
1773824341.377167,12,1246,o_S
1773824341.386362,79,1160,o_S
1773824341.3975182,227,1174,o_S
1773824341.407417,41,1239,o_S
1773824341.4189372,64,1156,o_S
1773824341.4298618,232,1171,o_S
1773824341.44182,100,1245,o_S
1773824341.451426,36,1149,o_S
1773824341.463284,210,1175,o_S
1773824341.4734879,112,1247,o_S
1773824341.484693,68,1148,o_S
1773824341.495633,227,1181,o_S
1773824341.5065548,127,1247,o_S
