timestamp,ch1,ch2,label
1773821614.9932559,1357,1297,a
1773821615.001663,1255,1320,a
1773821615.0133739,1537,1394,a
1773821615.026718,1005,1267,a
1773821615.038118,1280,1297,a
1773821615.052165,750,1314,a
1773821615.060708,1342,1351,a
1773821615.0733051,1536,1316,a
1773821615.084404,849,1307,a
1773821615.095621,1188,1343,a
1773821615.107448,1247,1298,a
1773821615.119492,1409,1350,a
1773821615.131814,1345,1348,a
1773821615.143533,1261,1323,a
1773821615.155943,985,1278,a
1773821615.16649,1268,1333,a
1773821615.1787672,1274,1341,a
1773821615.1943302,1769,1333,a
1773821615.202524,1260,1302,a
1773821615.2146912,1167,1336,a
1773821615.226506,1144,1309,a
1773821615.23865,1347,1292,a
1773821615.250402,954,1307,a
1773821615.262211,934,1316,a
1773821615.275038,1433,1309,a
1773821615.2845042,1118,1309,a
1773821615.297651,1491,1396,a
1773821615.308488,1275,1298,a
1773821615.320684,1139,1287,a
1773821615.332383,980,1327,a
1773821615.344736,1400,1332,a
1773821615.358111,1665,1327,a
1773821615.36765,1059,1303,a
1773821615.381134,1147,1365,a
1773821615.391516,1011,1280,a
1773821615.4042199,1014,1278,a
1773821615.415403,990,1341,a
1773821615.4265752,1159,1304,a
1773821615.4407492,1105,1280,a
1773821615.450377,746,1303,a
1773821615.4617522,1318,1354,a
1773821615.473521,1805,1346,a
1773821615.4862561,1145,1329,a
1773821615.4975271,1232,1349,a
1773821615.509629,1220,1298,a
1773821615.522144,1301,1307,a
1773821615.533487,1447,1355,a
1773821615.545745,1116,1340,a
1773821615.557486,1608,1325,a
1773821615.570132,1195,1296,a
1773821615.583701,1581,1371,a
1773821615.593485,1147,1313,a
1773821615.606313,1446,1307,a
1773821615.617491,1243,1331,a
1773821615.629478,1374,1358,a
1773821615.6415622,1101,1295,a
1773821615.6535199,1011,1277,a
1773821615.665642,1246,1348,a
1773821615.67789,1161,1329,a
1773821615.689638,1534,1320,a
1773821615.7015228,1409,1336,a
1773821615.713875,1342,1392,a
1773821615.7271419,887,1268,a
1773821615.736531,1175,1298,a
1773821615.7490392,1423,1412,a
1773821615.760829,1353,1322,a
1773821615.7732701,1554,1312,a
1773821615.784535,1024,1315,a
1773821615.79685,1438,1383,a
1773821615.809057,951,1273,a
1773821615.819953,1315,1302,a
1773821615.832389,1288,1350,a
1773821615.843544,1109,1295,a
1773821615.856101,1238,1290,a
1773821615.8702579,959,1300,a
1773821615.8785129,1340,1360,a
1773821615.89107,1367,1302,a
1773821615.9025059,1088,1297,a
1773821615.914759,784,1321,a
1773821615.925527,1244,1307,a
1773821615.937833,1502,1327,a
1773821615.95346,1448,1346,a
1773821615.961521,1188,1323,a
1773821615.974292,1129,1289,a
1773821615.9855309,991,1294,a
1773821615.996705,1479,1374,a
1773821616.008659,1089,1290,a
1773821616.020981,1057,1281,a
1773821616.034156,1374,1352,a
1773821616.044662,1125,1319,a
1773821616.057227,1547,1320,a
1773821616.068653,1129,1311,a
1773821616.081113,1253,1381,a
1773821616.095718,1009,1275,a
1773821616.1046422,1179,1290,a
1773821616.1172748,1024,1343,a
1773821616.128617,1304,1343,a
1773821616.1415648,1403,1306,a
1773821616.152642,1210,1312,a
1773821616.16452,913,1325,a
1773821616.177415,926,1261,a
1773821616.186611,1031,1283,a
1773821616.1998,740,1320,a
1773821616.209688,691,1252,a
1773821616.2206662,902,1257,a
1773821616.231544,700,1316,a
1773821616.243875,744,1264,a
1773821616.253557,780,1256,a
1773821616.264575,464,1281,a
1773821616.275682,799,1256,a
1773821616.287036,446,1204,a
1773821616.300273,574,1309,a
1773821616.3088472,579,1244,a
1773821616.320698,514,1243,a
1773821616.3305228,395,1265,a
1773821616.342929,475,1201,a
1773821616.352561,426,1215,a
1773821616.364214,525,1278,a
1773821616.374488,700,1232,a
1773821616.387079,346,1213,a
1773821616.396499,449,1259,a
1773821616.407802,586,1231,a
1773821616.418748,535,1247,a
1773821616.430336,367,1259,a
1773821616.4428952,565,1218,a
