timestamp,ch1,ch2,label
1773821835.1288671,1111,1280,o
1773821835.135537,2231,1569,o
1773821835.1468139,1057,1419,o
1773821835.158706,832,1291,o
1773821835.170771,1494,1297,o
1773821835.181914,1792,1425,o
1773821835.1944718,938,1345,o
1773821835.206466,991,1234,o
1773821835.215822,1681,1398,o
1773821835.228797,1070,1333,o
1773821835.239833,1465,1277,o
1773821835.252685,1523,1320,o
1773821835.263853,1038,1379,o
1773821835.2758248,1211,1296,o
1773821835.288859,797,1226,o
1773821835.2988229,1823,1416,o
1773821835.311161,1398,1387,o
1773821835.3229492,1058,1262,o
1773821835.335232,1729,1337,o
1773821835.347284,1397,1381,o
1773821835.3588321,1130,1301,o
1773821835.3712409,1530,1292,o
1773821835.3830771,2053,1566,o
1773821835.394934,1450,1442,o
1773821835.406841,1029,1276,o
1773821835.419534,1725,1327,o
1773821835.432837,1657,1414,o
1773821835.442799,1031,1335,o
1773821835.454935,1315,1264,o
1773821835.466933,1855,1362,o
1773821835.479907,774,1337,o
1773821835.489929,1225,1259,o
1773821835.5019462,1611,1331,o
1773821835.514343,1313,1399,o
1773821835.525921,1220,1339,o
1773821835.537987,975,1254,o
1773821835.548924,2113,1617,o
1773821835.561114,1383,1443,o
1773821835.574912,1077,1280,o
1773821835.5851352,1628,1321,o
1773821835.597773,1289,1386,o
1773821835.6089542,1014,1322,o
1773821835.6210392,1493,1283,o
1773821835.633095,2755,1685,o
1773821835.644949,1711,1455,o
1773821835.6577,918,1271,o
1773821835.667952,1665,1322,o
1773821835.680762,1208,1387,o
1773821835.6919549,1283,1311,o
1773821835.7045639,1125,1262,o
1773821835.7193642,1565,1369,o
1773821835.727947,1311,1367,o
1773821835.741009,1061,1252,o
1773821835.7519538,1630,1306,o
1773821835.765162,1736,1425,o
1773821835.776104,1339,1345,o
1773821835.788079,913,1268,o
1773821835.8004942,1973,1384,o
1773821835.8109498,1969,1417,o
1773821835.823363,766,1262,o
1773821835.834239,1622,1344,o
1773821835.846059,807,1330,o
1773821835.857017,922,1265,o
1773821835.868774,1679,1345,o
1773821835.883159,1148,1359,o
1773821835.89208,1469,1330,o
1773821835.904799,1130,1270,o
1773821835.916086,2257,1605,o
1773821835.9296498,1234,1412,o
1773821835.940075,1108,1318,o
1773821835.952088,1532,1319,o
1773821835.964232,1782,1408,o
1773821835.9760718,1431,1342,o
1773821835.9881651,878,1275,o
1773821835.9990451,1248,1353,o
1773821836.011174,1406,1383,o
1773821836.0257201,955,1252,o
1773821836.034069,2100,1552,o
1773821836.046164,875,1393,o
1773821836.057238,831,1260,o
1773821836.070349,1849,1352,o
1773821836.08004,1719,1429,o
1773821836.092414,1288,1296,o
1773821836.103936,899,1232,o
1773821836.116794,1808,1391,o
1773821836.1270819,1087,1341,o
1773821836.139466,1742,1310,o
1773821836.1521778,1775,1339,o
1773821836.163053,1363,1395,o
1773821836.1753862,1077,1287,o
1773821836.1870432,1048,1263,o
1773821836.199401,1751,1396,o
1773821836.213481,1489,1389,o
1773821836.223079,1170,1267,o
1773821836.235229,1384,1296,o
1773821836.2475562,1227,1384,o
1773821836.2599099,1066,1308,o
1773821836.271436,1324,1286,o
1773821836.283205,2464,1635,o
1773821836.295433,1357,1458,o
1773821836.307067,904,1279,o
1773821836.318933,1788,1321,o
1773821836.33026,1457,1393,o
1773821836.3425012,990,1324,o
1773821836.353187,1132,1273,o
1773821836.3651998,1699,1399,o
1773821836.377695,1059,1362,o
1773821836.389178,1171,1262,o
1773821836.401387,2026,1357,o
1773821836.4133492,1034,1375,o
1773821836.4258401,914,1283,o
1773821836.438139,1024,1253,o
1773821836.448164,1419,1387,o
1773821836.460603,990,1358,o
1773821836.471061,733,1225,o
1773821836.482441,1398,1358,o
1773821836.494068,712,1331,o
1773821836.505617,800,1228,o
1773821836.516175,1517,1324,o
1773821836.528203,1194,1370,o
1773821836.540274,464,1208,o
1773821836.551191,929,1255,o
1773821836.563,805,1333,o
1773821836.573173,622,1231,o
1773821836.586478,1240,1305,o
1773821836.596195,1019,1354,o
1773821836.6089878,1048,1323,o
1773821836.620267,1089,1262,o
1773821836.633282,1052,1317,o
1773821836.644167,923,1359,o
1773821836.65663,574,1214,o
1773821836.6662998,1164,1305,o
1773821836.679562,582,1327,o
1773821836.6911821,627,1251,o
1773821836.700288,1265,1306,o
1773821836.712924,660,1318,o
1773821836.72326,547,1234,o
1773821836.734886,1385,1310,o
1773821836.746185,876,1330,o
1773821836.758634,728,1255,o
1773821836.768333,1250,1292,o
1773821836.7813299,928,1330,o
1773821836.793157,895,1268,o
1773821836.8024268,1302,1291,o
1773821836.815191,1212,1354,o
1773821836.826174,801,1304,o
1773821836.83893,657,1216,o
1773821836.848321,1237,1342,o
1773821836.860855,999,1345,o
1773821836.87446,551,1212,o
1773821836.882805,1564,1350,o
1773821836.896435,857,1344,o
1773821836.905385,549,1207,o
1773821836.916768,1648,1354,o
1773821836.9283578,836,1349,o
1773821836.9396338,635,1228,o
1773821836.950322,1598,1327,o
1773821836.9639401,677,1330,o
1773821836.973218,716,1251,o
1773821836.984364,1238,1287,o
1773821836.9980001,1005,1369,o
1773821837.008596,1048,1287,o
1773821837.0212328,651,1213,o
1773821837.031314,1310,1352,o
1773821837.0441291,1169,1346,o
1773821837.055178,828,1271,o
1773821837.06632,1214,1303,o
1773821837.0797162,639,1327,o
1773821837.089216,437,1199,o
1773821837.1004028,907,1262,o
1773821837.111203,975,1352,o
1773821837.1222231,615,1244,o
1773821837.133333,1457,1311,o
1773821837.147979,610,1323,o
1773821837.1561978,615,1257,o
1773821837.1684108,1226,1275,o
1773821837.1818838,740,1331,o
1773821837.190336,557,1269,o
1773821837.202388,1070,1273,o
1773821837.213363,814,1338,o
1773821837.2244532,469,1238,o
1773821837.235171,875,1247,o
1773821837.2465248,1006,1353,o
1773821837.2582378,719,1281,o
1773821837.2704508,840,1235,o
1773821837.2804139,1095,1373,o
1773821837.292209,913,1296,o
1773821837.304008,887,1234,o
1773821837.314323,1050,1348,o
1773821837.327287,1185,1348,o
1773821837.3383071,419,1183,o
1773821837.350026,1340,1309,o
1773821837.361322,789,1345,o
1773821837.37319,742,1221,o
1773821837.3854752,1361,1299,o
1773821837.3953128,719,1344,o
1773821837.407546,688,1245,o
1773821837.4173179,1185,1293,o
1773821837.429487,967,1344,o
1773821837.4402812,744,1271,o
1773821837.451753,1128,1282,o
1773821837.46334,1251,1354,o
1773821837.475292,1226,1340,o
1773821837.487404,925,1244,o
1773821837.498327,1915,1400,o
1773821837.5105112,1654,1387,o
1773821837.5224352,1003,1257,o
1773821837.535133,1475,1307,o
1773821837.548086,1242,1383,o
1773821837.5584419,1351,1336,o
1773821837.5715048,1107,1256,o
1773821837.582502,1872,1376,o
1773821837.595686,1238,1373,o
1773821837.609511,897,1266,o
1773821837.617944,1455,1309,o
1773821837.6296809,1306,1383,o
1773821837.641588,1232,1315,o
1773821837.653306,730,1226,o
1773821837.664738,1643,1406,o
1773821837.677602,1761,1403,o
1773821837.690651,880,1229,o
1773821837.6997309,1714,1343,o
1773821837.712496,1160,1374,o
1773821837.723425,1188,1279,o
1773821837.736724,1964,1332,o
1773821837.747791,2099,1625,o
1773821837.759974,1731,1474,o
1773821837.772202,1269,1274,o
1773821837.783417,1887,1373,o
1773821837.795807,1073,1357,o
1773821837.8077528,1198,1283,o
1773821837.8196669,1634,1324,o
1773821837.832858,1957,1431,o
1773821837.843442,1381,1392,o
1773821837.85652,1327,1278,o
1773821837.867446,1660,1342,o
1773821837.8802361,1556,1399,o
1773821837.8941271,1657,1326,o
1773821837.903786,1476,1292,o
1773821837.915599,1898,1419,o
1773821837.927784,1323,1379,o
1773821837.9394078,929,1261,o
1773821837.950525,1913,1358,o
1773821837.9630332,1672,1412,o
1773821837.975486,2240,1552,o
1773821837.9863281,1158,1313,o
1773821837.998849,2062,1588,o
1773821838.010369,1777,1460,o
1773821838.022721,1024,1307,o
1773821838.035537,1819,1341,o
1773821838.0463302,1820,1414,o
1773821838.058582,1637,1338,o
1773821838.0706182,968,1250,o
1773821838.08241,2430,1635,o
1773821838.093771,1889,1456,o
1773821838.1053052,1303,1304,o
1773821838.11786,1615,1335,o
1773821838.129324,1666,1414,o
1773821838.141362,1569,1344,o
1773821838.153307,1247,1261,o
1773821838.1666949,2651,1672,o
1773821838.178763,1719,1461,o
1773821838.189276,858,1278,o
1773821838.200646,1967,1354,o
1773821838.212307,1474,1401,o
1773821838.225006,1307,1328,o
1773821838.239178,1261,1279,o
1773821838.248717,2076,1584,o
1773821838.261504,1202,1431,o
1773821838.27265,1211,1288,o
1773821838.285604,1986,1346,o
1773821838.2966988,2031,1450,o
1773821838.309087,1705,1367,o
1773821838.321068,1230,1262,o
1773821838.332316,1879,1368,o
1773821838.344318,1352,1383,o
1773821838.356317,1469,1296,o
1773821838.36868,1973,1337,o
1773821838.3814678,2097,1624,o
1773821838.392722,1540,1442,o
1773821838.405262,1438,1289,o
1773821838.4163232,1869,1374,o
1773821838.429682,1004,1347,o
1773821838.442434,1053,1267,o
1773821838.452497,1561,1298,o
1773821838.465337,1861,1415,o
1773821838.4762812,1463,1409,o
1773821838.490408,1224,1275,o
1773821838.503119,2007,1378,o
1773821838.512445,1578,1391,o
1773821838.524817,887,1269,o
1773821838.53544,1106,1253,o
1773821838.5490901,1872,1414,o
1773821838.559446,1457,1373,o
1773821838.571549,1399,1324,o
1773821838.583929,2324,1597,o
1773821838.595465,1608,1479,o
1773821838.607521,1312,1338,o
1773821838.619411,1124,1269,o
1773821838.63253,1926,1389,o
1773821838.644358,1070,1362,o
1773821838.655313,930,1272,o
1773821838.6668658,2048,1525,o
1773821838.6784031,1097,1415,o
1773821838.6930492,1184,1320,o
1773821838.705368,1345,1295,o
1773821838.715092,2277,1633,o
1773821838.7277188,1160,1461,o
1773821838.738434,1443,1303,o
1773821838.751555,1604,1315,o
1773821838.762429,1319,1389,o
1773821838.77539,1183,1307,o
1773821838.786436,997,1259,o
1773821838.7974331,1142,1354,o
1773821838.8098161,693,1317,o
1773821838.820318,688,1228,o
1773821838.8326201,1219,1343,o
1773821838.843306,708,1321,o
1773821838.855235,656,1220,o
1773821838.8674612,1239,1320,o
1773821838.877316,851,1338,o
1773821838.8893409,874,1245,o
1773821838.899629,1261,1306,o
1773821838.9114041,632,1327,o
