timestamp,ch1,ch2,label
1773821874.666412,1601,1340,u
1773821874.673621,1815,1411,u
1773821874.682903,1573,1341,u
1773821874.693248,1487,1297,u
1773821874.7053561,2129,1573,u
1773821874.717236,1374,1458,u
1773821874.729742,1607,1341,u
1773821874.741623,1768,1336,u
1773821874.753528,2714,1695,u
1773821874.765281,1049,1390,u
1773821874.77722,1702,1365,u
1773821874.789942,2387,1623,u
1773821874.8030798,1639,1485,u
1773821874.813218,1879,1350,u
1773821874.8254879,1255,1312,u
1773821874.837211,1581,1404,u
1773821874.849825,1527,1370,u
1773821874.86149,1075,1261,u
1773821874.8732631,1951,1357,u
1773821874.88542,1605,1399,u
1773821874.897422,1707,1335,u
1773821874.909316,1160,1265,u
1773821874.921202,2602,1685,u
1773821874.93387,1664,1466,u
1773821874.9473011,1341,1306,u
1773821874.957209,1753,1325,u
1773821874.969245,1503,1423,u
1773821874.981717,1201,1337,u
1773821874.993967,972,1281,u
1773821875.004224,2007,1411,u
1773821875.0163908,1093,1367,u
1773821875.029687,1531,1276,u
1773821875.040242,2258,1545,u
1773821875.052904,1731,1478,u
1773821875.064249,1489,1367,u
1773821875.077152,1407,1280,u
1773821875.091968,2360,1600,u
1773821875.1002398,1641,1450,u
1773821875.1129868,1248,1303,u
1773821875.1242251,1851,1324,u
1773821875.13681,1750,1436,u
1773821875.148212,1256,1341,u
1773821875.160961,1731,1293,u
1773821875.1740649,2376,1592,u
1773821875.1842291,1399,1445,u
1773821875.196234,1611,1358,u
1773821875.2083762,1716,1317,u
1773821875.2213938,1929,1395,u
1773821875.234932,1933,1396,u
1773821875.2442229,1280,1309,u
1773821875.2573419,1844,1347,u
1773821875.268239,1102,1383,u
1773821875.28058,1185,1295,u
1773821875.292244,1431,1285,u
1773821875.304497,2337,1628,u
1773821875.31642,1703,1443,u
1773821875.3281941,793,1253,u
1773821875.3401349,1672,1365,u
1773821875.351336,1010,1356,u
1773821875.3633301,917,1277,u
1773821875.374306,1755,1326,u
1773821875.386261,2368,1650,u
1773821875.39848,1734,1416,u
1773821875.410231,1222,1293,u
1773821875.4223769,2252,1609,u
1773821875.434203,1344,1442,u
1773821875.447465,1739,1326,u
1773821875.460246,1581,1297,u
1773821875.470237,1673,1415,u
1773821875.482612,1559,1367,u
1773821875.49423,1194,1276,u
1773821875.506877,1814,1362,u
1773821875.5219939,1655,1414,u
1773821875.530237,1667,1320,u
1773821875.543149,1674,1311,u
1773821875.554389,2329,1645,u
1773821875.567046,1939,1498,u
1773821875.578604,1366,1303,u
1773821875.590189,1603,1342,u
1773821875.602589,1199,1391,u
1773821875.6142368,1522,1376,u
1773821875.626306,755,1220,u
1773821875.637206,2051,1613,u
1773821875.649529,1767,1491,u
1773821875.663933,898,1255,u
1773821875.672555,1803,1340,u
1773821875.6842968,928,1358,u
1773821875.6952162,1060,1262,u
1773821875.7076411,1773,1326,u
1773821875.719223,1920,1433,u
1773821875.731758,1225,1335,u
1773821875.745972,951,1254,u
1773821875.754207,1741,1368,u
1773821875.766492,1392,1404,u
1773821875.778212,1020,1260,u
1773821875.7912881,1610,1325,u
1773821875.80225,1666,1405,u
1773821875.814616,1333,1333,u
1773821875.8273752,1127,1283,u
1773821875.838214,2305,1606,u
1773821875.851151,1181,1470,u
1773821875.862326,1177,1283,u
1773821875.874599,1763,1328,u
1773821875.888255,1313,1385,u
1773821875.8982248,1399,1355,u
1773821875.910378,1427,1288,u
1773821875.922224,2109,1547,u
1773821875.934902,1113,1438,u
1773821875.949535,922,1277,u
1773821875.957746,1989,1348,u
1773821875.9696481,1556,1404,u
1773821875.981217,1276,1335,u
1773821875.993852,1176,1263,u
1773821876.005213,1937,1371,u
1773821876.01738,1154,1369,u
1773821876.0307689,965,1272,u
1773821876.040205,1832,1334,u
1773821876.05309,1467,1410,u
1773821876.064339,976,1327,u
1773821876.075565,1465,1276,u
1773821876.0873861,1651,1385,u
1773821876.100325,1557,1390,u
1773821876.112457,1046,1282,u
1773821876.123227,1810,1330,u
1773821876.135791,1190,1375,u
1773821876.147418,960,1312,u
1773821876.158584,1689,1304,u
1773821876.170229,2060,1596,u
1773821876.182215,1793,1453,u
1773821876.194515,1201,1303,u
1773821876.206209,1671,1337,u
1773821876.218303,927,1373,u
1773821876.2290938,863,1257,u
1773821876.241726,1736,1312,u
1773821876.2552161,1424,1398,u
1773821876.2641978,1073,1311,u
1773821876.276534,954,1247,u
1773821876.287203,1793,1404,u
1773821876.299881,1418,1381,u
1773821876.31108,942,1240,u
1773821876.323178,2045,1375,u
1773821876.337318,1177,1368,u
1773821876.3466702,1083,1278,u
1773821876.359294,1354,1295,u
1773821876.37023,1693,1414,u
1773821876.382981,1077,1318,u
1773821876.394082,976,1254,u
1773821876.405905,1984,1380,u
1773821876.41868,1243,1356,u
1773821876.4295838,806,1244,u
1773821876.4409862,1127,1287,u
1773821876.45247,1038,1362,u
1773821876.4649842,767,1258,u
1773821876.475625,1377,1284,u
1773821876.488127,1323,1367,u
1773821876.499845,1019,1313,u
1773821876.5110788,915,1248,u
1773821876.5235891,1237,1318,u
1773821876.5340722,693,1326,u
1773821876.545572,975,1253,u
1773821876.5562098,1175,1317,u
1773821876.568201,584,1324,u
1773821876.5813088,706,1235,u
1773821876.5901928,1438,1319,u
1773821876.6023622,1166,1366,u
1773821876.614204,1165,1296,u
1773821876.626625,1126,1262,u
1773821876.63807,943,1322,u
1773821876.650675,887,1319,u
1773821876.660416,579,1218,u
1773821876.6717691,1043,1342,u
1773821876.683061,995,1325,u
1773821876.6945732,883,1237,u
1773821876.70525,1442,1353,u
1773821876.717227,1233,1358,u
1773821876.729892,678,1234,u
1773821876.7401931,1240,1300,u
1773821876.752347,845,1347,u
1773821876.7630742,896,1246,u
1773821876.774405,1134,1275,u
1773821876.786073,807,1337,u
1773821876.797675,634,1255,u
1773821876.811147,1337,1291,u
1773821876.820245,1137,1357,u
1773821876.8327,698,1293,u
1773821876.843455,551,1200,u
1773821876.854959,1165,1355,u
1773821876.86607,879,1332,u
1773821876.877975,1071,1251,u
1773821876.889208,1367,1340,u
1773821876.901099,909,1343,u
1773821876.9127429,912,1249,u
1773821876.923189,1503,1323,u
1773821876.935161,963,1344,u
1773821876.94607,726,1247,u
1773821876.9574668,1170,1290,u
1773821876.969098,849,1343,u
1773821876.980681,838,1255,u
1773821876.994029,867,1246,u
1773821877.002922,782,1333,u
1773821877.0153768,777,1257,u
1773821877.024068,956,1266,u
1773821877.035224,866,1351,u
1773821877.046357,697,1241,u
1773821877.057756,1021,1281,u
1773821877.0695522,773,1322,u
1773821877.0807831,770,1251,u
1773821877.0916648,1076,1268,u
1773821877.103981,956,1347,u
1773821877.1161869,608,1257,u
1773821877.1252348,1201,1280,u
1773821877.1379719,1295,1361,u
1773821877.149069,718,1296,u
1773821877.1601112,715,1219,u
1773821877.171186,1178,1341,u
1773821877.184025,1087,1338,u
1773821877.197338,971,1251,u
1773821877.206221,1323,1325,u
1773821877.2184598,871,1333,u
1773821877.229121,671,1229,u
1773821877.241545,1297,1303,u
1773821877.252081,894,1334,u
1773821877.26524,1155,1277,u
1773821877.2787251,975,1253,u
1773821877.2862022,969,1349,u
1773821877.299524,899,1258,u
1773821877.3082309,1157,1271,u
1773821877.3210082,998,1346,u
1773821877.331233,1171,1309,u
1773821877.34323,959,1252,u
1773821877.3542001,1316,1372,u
1773821877.36734,1141,1353,u
1773821877.380516,1153,1261,u
1773821877.390493,1250,1315,u
1773821877.402816,1071,1365,u
1773821877.414098,700,1268,u
1773821877.426857,1329,1286,u
1773821877.437228,1516,1389,u
1773821877.449242,425,1261,u
1773821877.462024,691,1216,u
1773821877.4710999,1597,1375,u
1773821877.483993,976,1350,u
1773821877.494099,1143,1254,u
1773821877.50784,1893,1353,u
1773821877.518656,1315,1387,u
1773821877.5305622,1134,1298,u
1773821877.54337,1173,1261,u
1773821877.554525,1537,1372,u
1773821877.567106,1235,1378,u
1773821877.578104,891,1253,u
1773821877.590668,2127,1548,u
1773821877.603976,964,1397,u
1773821877.612109,1107,1298,u
1773821877.625182,1167,1292,u
1773821877.636106,1072,1366,u
1773821877.6486158,985,1301,u
1773821877.659114,1403,1283,u
1773821877.672137,1911,1397,u
1773821877.6860402,1652,1384,u
1773821877.6950898,847,1263,u
1773821877.706314,1895,1361,u
1773821877.718386,988,1349,u
1773821877.729214,716,1274,u
1773821877.740083,1603,1320,u
1773821877.753925,1058,1354,u
1773821877.7663848,1190,1299,u
1773821877.7761438,1252,1271,u
1773821877.788594,1607,1368,u
1773821877.8001049,1437,1387,u
1773821877.812574,1115,1286,u
1773821877.82713,1693,1338,u
1773821877.8363168,1527,1405,u
1773821877.849424,1696,1339,u
1773821877.860094,1295,1288,u
1773821877.873315,2004,1415,u
1773821877.884081,1354,1409,u
1773821877.8969579,1453,1284,u
1773821877.908475,1470,1296,u
1773821877.920096,1051,1367,u
1773821877.93248,917,1300,u
1773821877.943104,1247,1263,u
1773821877.956545,1915,1402,u
1773821877.969099,697,1312,u
1773821877.97832,1268,1272,u
1773821877.9911811,1848,1344,u
