timestamp,ch1,ch2,label
1773824458.857165,113,1169,S_S
1773824458.864331,128,1153,S_S
1773824458.87587,43,1244,S_S
1773824458.886166,95,1160,S_S
1773824458.897505,115,1158,S_S
1773824458.908263,3,1231,S_S
1773824458.9212081,80,1160,S_S
1773824458.9302359,124,1170,S_S
1773824458.941289,16,1239,S_S
1773824458.9526882,94,1150,S_S
1773824458.963331,176,1177,S_S
1773824458.974602,26,1232,S_S
1773824458.985085,92,1157,S_S
1773824458.996202,193,1178,S_S
1773824459.0070138,70,1241,S_S
1773824459.018131,122,1152,S_S
1773824459.0305338,214,1195,S_S
1773824459.0426471,86,1241,S_S
1773824459.0511942,133,1146,S_S
1773824459.0632908,236,1197,S_S
1773824459.0737238,134,1232,S_S
1773824459.085001,102,1142,S_S
1773824459.095693,247,1207,S_S
1773824459.107269,176,1230,S_S
1773824459.1170402,60,1145,S_S
1773824459.13109,237,1207,S_S
1773824459.1396139,186,1231,S_S
1773824459.150369,32,1140,S_S
1773824459.1611679,244,1223,S_S
1773824459.172512,175,1223,S_S
1773824459.183052,18,1139,S_S
1773824459.195522,204,1227,S_S
1773824459.2076852,240,1217,S_S
1773824459.216126,11,1127,S_S
1773824459.228122,240,1234,S_S
1773824459.238283,224,1215,S_S
1773824459.250171,5,1133,S_S
1773824459.260009,240,1248,S_S
1773824459.272289,199,1209,S_S
1773824459.28201,19,1128,S_S
1773824459.294364,234,1242,S_S
1773824459.304022,236,1204,S_S
1773824459.315012,36,1132,S_S
1773824459.329152,227,1249,S_S
1773824459.3372002,202,1197,S_S
1773824459.3501608,78,1147,S_S
1773824459.359004,173,1247,S_S
1773824459.370213,174,1179,S_S
1773824459.3814101,124,1154,S_S
1773824459.392929,157,1251,S_S
1773824459.403002,188,1179,S_S
1773824459.41403,158,1155,S_S
1773824459.425028,116,1257,S_S
1773824459.4366238,180,1167,S_S
1773824459.4469981,232,1172,S_S
1773824459.4590771,53,1249,S_S
1773824459.4712708,155,1168,S_S
1773824459.479878,236,1169,S_S
1773824459.491575,16,1247,S_S
1773824459.5024068,170,1164,S_S
1773824459.5137138,271,1178,S_S
1773824459.5238788,48,1241,S_S
1773824459.534946,170,1156,S_S
1773824459.5459788,307,1185,S_S
1773824459.557201,76,1243,S_S
1773824459.568154,160,1157,S_S
1773824459.579735,294,1195,S_S
1773824459.589958,149,1254,S_S
1773824459.601289,161,1147,S_S
1773824459.612489,343,1208,S_S
1773824459.623345,194,1255,S_S
1773824459.633902,125,1148,S_S
1773824459.6463768,307,1203,S_S
1773824459.655892,235,1251,S_S
1773824459.667466,92,1141,S_S
1773824459.680825,295,1213,S_S
1773824459.6898491,218,1242,S_S
1773824459.7022662,68,1135,S_S
1773824459.711186,281,1216,S_S
1773824459.722676,228,1226,S_S
1773824459.733173,44,1131,S_S
1773824459.744429,242,1222,S_S
1773824459.754786,243,1221,S_S
1773824459.7667441,11,1127,S_S
1773824459.7771578,243,1227,S_S
1773824459.7880561,245,1215,S_S
1773824459.798919,37,1136,S_S
1773824459.810005,273,1235,S_S
1773824459.8236978,252,1215,S_S
1773824459.832263,12,1137,S_S
1773824459.846664,240,1248,S_S
1773824459.853761,206,1196,S_S
1773824459.866267,44,1136,S_S
1773824459.875752,208,1243,S_S
1773824459.8894122,223,1199,S_S
1773824459.897629,68,1139,S_S
1773824459.9108968,220,1250,S_S
1773824459.920185,204,1183,S_S
1773824459.932826,141,1153,S_S
1773824459.94175,185,1257,S_S
1773824459.954087,171,1173,S_S
1773824459.963754,186,1154,S_S
1773824459.974797,79,1254,S_S
1773824459.9857879,156,1171,S_S
1773824459.997163,188,1166,S_S
1773824460.010855,35,1239,S_S
1773824460.018815,117,1155,S_S
1773824460.03323,183,1170,S_S
1773824460.0406559,21,1248,S_S
1773824460.051915,126,1155,S_S
1773824460.062637,217,1168,S_S
1773824460.07569,33,1237,S_S
1773824460.084515,89,1150,S_S
1773824460.095953,185,1173,S_S
1773824460.106499,51,1246,S_S
1773824460.119406,111,1148,S_S
1773824460.128623,219,1188,S_S
1773824460.14014,71,1240,S_S
1773824460.150903,158,1152,S_S
1773824460.161674,301,1191,S_S
1773824460.174752,128,1250,S_S
1773824460.183869,150,1148,S_S
1773824460.195199,324,1213,S_S
1773824460.205747,216,1246,S_S
1773824460.217669,147,1142,S_S
1773824460.227633,336,1212,S_S
1773824460.23946,245,1242,S_S
1773824460.2496488,125,1146,S_S
1773824460.26068,357,1227,S_S
1773824460.271544,323,1241,S_S
1773824460.2831638,58,1132,S_S
1773824460.296674,346,1230,S_S
1773824460.305005,281,1231,S_S
1773824460.317356,29,1130,S_S
1773824460.326658,312,1239,S_S
1773824460.338152,272,1228,S_S
1773824460.348442,26,1136,S_S
1773824460.3601012,267,1235,S_S
1773824460.370542,268,1211,S_S
1773824460.382116,24,1130,S_S
1773824460.3925078,223,1246,S_S
1773824460.404104,243,1202,S_S
1773824460.414391,22,1130,S_S
1773824460.425834,193,1247,S_S
1773824460.4401972,197,1189,S_S
1773824460.4475808,41,1131,S_S
1773824460.4613938,175,1245,S_S
1773824460.469536,192,1190,S_S
1773824460.4817438,120,1147,S_S
1773824460.491553,140,1256,S_S
1773824460.503391,125,1171,S_S
1773824460.513525,132,1148,S_S
1773824460.5249422,104,1246,S_S
1773824460.535826,136,1170,S_S
1773824460.547313,176,1155,S_S
1773824460.557429,55,1251,S_S
1773824460.568484,173,1164,S_S
1773824460.581642,194,1172,S_S
1773824460.591326,20,1248,S_S
1773824460.602898,123,1155,S_S
1773824460.6124978,185,1165,S_S
1773824460.623467,16,1243,S_S
1773824460.634395,142,1154,S_S
1773824460.645403,240,1177,S_S
1773824460.656281,15,1245,S_S
1773824460.6674602,166,1152,S_S
1773824460.6786802,290,1192,S_S
1773824460.6906838,82,1244,S_S
1773824460.700486,197,1162,S_S
1773824460.711445,278,1199,S_S
1773824460.724978,142,1247,S_S
1773824460.733415,145,1144,S_S
1773824460.745673,336,1201,S_S
1773824460.755411,221,1256,S_S
1773824460.766658,136,1142,S_S
1773824460.7774148,364,1218,S_S
1773824460.789087,313,1253,S_S
1773824460.7992861,117,1147,S_S
