timestamp,ch1,ch2,label
1773824320.9908879,158,1235,o
1773824320.995544,201,1210,o
1773824321.0056682,68,1142,o
1773824321.017608,95,1224,o
1773824321.028343,154,1200,o
1773824321.039596,92,1136,o
1773824321.0524049,124,1239,o
1773824321.061256,147,1192,o
1773824321.0732448,90,1138,o
1773824321.0826712,74,1243,o
1773824321.095084,134,1180,o
1773824321.1047502,139,1151,o
1773824321.116854,80,1242,o
1773824321.126753,106,1178,o
1773824321.1381462,152,1157,o
1773824321.1489038,65,1251,o
1773824321.1602402,83,1168,o
1773824321.1708019,181,1157,o
1773824321.181879,39,1249,o
1773824321.1949272,114,1156,o
1773824321.2037802,173,1159,o
1773824321.2151082,44,1245,o
1773824321.225632,78,1150,o
1773824321.237548,231,1165,o
1773824321.248348,58,1242,o
1773824321.25922,91,1148,o
1773824321.269835,223,1175,o
1773824321.281308,90,1247,o
1773824321.291744,48,1152,o
1773824321.303405,178,1180,o
1773824321.3138418,107,1251,o
1773824321.324724,43,1147,o
1773824321.338302,187,1185,o
1773824321.346894,125,1248,o
1773824321.3577302,98,1147,o
1773824321.368791,219,1193,o
1773824321.3802109,140,1256,o
1773824321.391071,73,1134,o
1773824321.402758,264,1202,o
1773824321.4130712,233,1252,o
1773824321.423637,34,1137,o
1773824321.434755,238,1201,o
1773824321.4457998,277,1244,o
1773824321.459624,51,1138,o
1773824321.467781,154,1211,o
1773824321.48042,203,1237,o
1773824321.4896278,63,1139,o
1773824321.502105,163,1217,o
1773824321.5117671,151,1220,o
1773824321.524611,53,1129,o
1773824321.534206,124,1223,o
1773824321.544967,169,1207,o
1773824321.555629,71,1131,o
1773824321.56848,158,1235,o
1773824321.577645,165,1211,o
1773824321.588832,58,1135,o
1773824321.59968,81,1226,o
1773824321.6107662,151,1190,o
1773824321.623996,132,1152,o
1773824321.632664,112,1239,o
1773824321.644713,168,1190,o
1773824321.6546519,148,1149,o
1773824321.665798,67,1233,o
1773824321.6769762,153,1176,o
1773824321.691659,192,1158,o
1773824321.698622,45,1246,o
1773824321.709808,99,1172,o
1773824321.720642,231,1163,o
1773824321.732268,57,1239,o
1773824321.742651,48,1160,o
1773824321.7550871,152,1157,o
1773824321.764565,32,1237,o
1773824321.775739,43,1149,o
1773824321.786746,187,1163,o
1773824321.7985668,32,1250,o
1773824321.812174,154,1153,o
1773824321.820599,233,1169,o
1773824321.832567,74,1245,o
1773824321.8415291,46,1141,o
1773824321.85296,228,1172,o
1773824321.863822,163,1256,o
1773824321.875127,34,1140,o
1773824321.88564,157,1174,o
1773824321.897152,149,1248,o
1773824321.9082801,18,1135,o
1773824321.9200609,182,1182,o
1773824321.9300349,151,1246,o
1773824321.94152,52,1142,o
1773824321.955969,222,1200,o
1773824321.96368,162,1250,o
1773824321.976062,57,1139,o
1773824321.9851289,228,1198,o
1773824321.9967842,244,1240,o
1773824322.007209,35,1128,o
1773824322.018389,217,1205,o
1773824322.0286589,264,1241,o
1773824322.040472,70,1142,o
1773824322.050661,155,1212,o
1773824322.0627341,172,1216,o
1773824322.072837,64,1130,o
1773824322.0837839,118,1220,o
1773824322.09744,140,1213,o
1773824322.105599,51,1136,o
1773824322.118357,128,1223,o
1773824322.127655,134,1199,o
1773824322.139947,84,1134,o
1773824322.149837,135,1241,o
1773824322.16144,134,1197,o
1773824322.171662,114,1140,o
1773824322.183381,72,1238,o
1773824322.194057,144,1194,o
1773824322.205251,152,1146,o
1773824322.2155142,92,1242,o
1773824322.227412,125,1177,o
1773824322.24014,187,1159,o
1773824322.2487109,41,1240,o
1773824322.260671,116,1171,o
1773824322.271049,171,1159,o
1773824322.282799,38,1241,o
1773824322.292785,79,1162,o
1773824322.304312,185,1168,o
1773824322.3145149,31,1248,o
1773824322.3273,34,1148,o
1773824322.336972,212,1175,o
1773824322.348427,47,1244,o
1773824322.35855,68,1150,o
1773824322.3699908,154,1176,o
1773824322.383287,52,1242,o
