timestamp,ch1,ch2,label
1779265346.639889,2168,1846,7_S
1779265346.6399438,2134,1965,7_S
1779265346.640003,2072,2186,7_S
1779265346.640059,2013,2226,7_S
1779265346.640119,2036,2077,7_S
1779265346.642386,2022,2128,7_S
1779265346.6443489,1956,2330,7_S
1779265346.6475708,1983,2164,7_S
1779265346.649271,2118,1816,7_S
1779265346.652409,2197,1816,7_S
1779265346.653019,2115,2092,7_S
1779265346.654374,2027,2231,7_S
1779265346.6556852,2038,2091,7_S
1779265346.658258,2085,2080,7_S
1779265346.659595,2001,2347,7_S
1779265346.6622772,1977,2260,7_S
1779265346.663668,2075,1946,7_S
1779265346.668575,2176,1750,7_S
1779265346.669187,2126,1970,7_S
1779265346.671768,2052,2191,7_S
1779265346.671979,2020,2209,7_S
1779265346.674342,2073,2024,7_S
1779265346.676233,2042,2193,7_S
1779265346.679749,1978,2200,7_S
1779265346.679939,2033,1952,7_S
1779265346.682553,2170,1686,7_S
1779265346.683883,2152,1952,7_S
1779265346.686454,2054,2186,7_S
1779265346.687757,2013,2198,7_S
1779265346.694015,2042,2049,7_S
1779265346.6954181,2036,2189,7_S
1779265346.699712,1977,2297,7_S
1779265346.701764,2012,2185,7_S
1779265346.703018,2116,1833,7_S
1779265346.703199,2165,1814,7_S
1779265346.7035189,2094,2067,7_S
1779265346.703698,2020,2222,7_S
1779265346.706574,2025,2158,7_S
1779265346.707925,2061,2139,7_S
1779265346.715681,2000,2391,7_S
1779265346.717301,1986,2243,7_S
1779265346.7194219,2092,1901,7_S
1779265346.7202728,2197,1768,7_S
1779265346.722795,2123,2076,7_S
1779265346.723247,2046,2233,7_S
1779265346.7238321,2018,2250,7_S
1779265346.7255769,2052,2118,7_S
1779265346.7261739,2020,2237,7_S
1779265346.727537,2000,2268,7_S
1779265346.730122,2056,1967,7_S
1779265346.731637,2177,1693,7_S
1779265346.734285,2161,1924,7_S
1779265346.7355971,2073,2150,7_S
1779265346.7407172,2018,2226,7_S
1779265346.74084,2054,2112,7_S
1779265346.744498,2055,2200,7_S
1779265346.7453709,1993,2329,7_S
1779265346.746043,2013,2147,7_S
1779265346.748992,2136,1860,7_S
1779265346.7516859,2172,1869,7_S
1779265346.75179,2093,2145,7_S
1779265346.7542558,2028,2231,7_S
1779265346.75556,2036,2166,7_S
