timestamp,ch1,ch2,label
1779263929.10682,2200,2137,e
1779263929.10707,2135,2186,e
1779263929.107214,2051,2114,e
1779263929.10731,2048,2058,e
1779263929.10739,2097,2124,e
1779263929.10742,2068,2116,e
1779263929.112802,2019,2042,e
1779263929.11286,2081,2113,e
1779263929.11304,2170,2220,e
1779263929.118021,2165,2196,e
1779263929.119175,2096,2052,e
1779263929.12047,2016,2047,e
1779263929.120574,2054,2051,e
1779263929.122035,2070,2174,e
1779263929.1245,2026,2017,e
1779263929.1248388,2044,2051,e
1779263929.127408,2156,2084,e
1779263929.1287198,2186,2168,e
1779263929.131417,2106,2122,e
1779263929.132724,2030,2060,e
1779263929.1372411,2049,2172,e
1779263929.1377048,2095,2074,e
1779263929.1393201,2012,1983,e
1779263929.140786,1988,2101,e
1779263929.1441422,2110,2123,e
1779263929.145344,2210,2199,e
1779263929.146636,2165,2194,e
1779263929.1492648,2086,2095,e
1779263929.150603,2046,2116,e
1779263929.153198,2095,2120,e
1779263929.154565,2056,2134,e
1779263929.1581051,1996,2030,e
1779263929.160494,2063,2021,e
1779263929.162091,2187,2102,e
1779263929.164195,2151,2137,e
1779263929.16623,2078,2138,e
1779263929.16753,2028,2041,e
1779263929.168864,2063,2068,e
1779263929.171314,2081,2160,e
1779263929.172608,2016,2086,e
1779263929.175173,2027,2056,e
1779263929.181526,2105,2109,e
1779263929.18317,2190,2213,e
1779263929.184153,2121,2222,e
1779263929.1842508,2059,2131,e
1779263929.187073,2035,1953,e
1779263929.1871202,2096,2031,e
1779263929.188522,2033,2067,e
1779263929.1910899,1999,2033,e
1779263929.192487,2070,2026,e
1779263929.195041,2219,2145,e
1779263929.196486,2146,2191,e
1779263929.200695,2085,2043,e
1779263929.201121,2058,2045,e
1779263929.203594,2079,2102,e
1779263929.2054012,2058,2161,e
1779263929.207194,2017,2145,e
1779263929.20852,2066,2157,e
1779263929.211134,2185,2117,e
1779263929.212621,2165,2104,e
1779263929.2152221,2071,2086,e
1779263929.216554,2022,2048,e
1779263929.220761,2049,2158,e
1779263929.2215528,2065,2131,e
1779263929.223186,2015,2003,e
1779263929.225733,2019,2010,e
1779263929.2280588,2103,2133,e
1779263929.229381,2170,2125,e
1779263929.231392,2089,2127,e
1779263929.232884,2022,2126,e
1779263929.2354581,2017,2092,e
1779263929.236547,2063,2097,e
1779263929.241666,1994,2114,e
1779263929.241801,1981,2039,e
1779263929.2435079,2088,2060,e
1779263929.244747,2182,2146,e
1779263929.246778,2143,2129,e
1779263929.248839,2072,2020,e
1779263929.251415,2024,2007,e
1779263929.252914,2060,2022,e
1779263929.255379,2057,2061,e
1779263929.2566779,1981,2058,e
1779263929.261291,2032,2126,e
1779263929.262291,2152,2198,e
1779263929.264863,2176,2191,e
1779263929.264972,2093,2072,e
1779263929.267081,2018,2075,e
1779263929.268626,2056,2052,e
1779263929.2711868,2084,2028,e
1779263929.272481,2009,2040,e
1779263929.2750552,2022,2037,e
1779263929.2764642,2130,2142,e
1779263929.281722,2183,2195,e
1779263929.28277,2089,2124,e
1779263929.283154,2051,2071,e
1779263929.2856169,2036,2090,e
1779263929.2875059,2072,2135,e
1779263929.2894459,2008,2020,e
1779263929.29076,2008,2044,e
1779263929.293333,2113,2096,e
1779263929.29465,2212,2104,e
1779263929.297209,2139,2129,e
1779263929.298517,2046,2109,e
1779263929.303029,2035,2054,e
1779263929.303765,2093,2053,e
1779263929.305249,2078,2107,e
1779263929.30751,2015,2070,e
1779263929.310376,2078,2080,e
1779263929.310432,2196,2059,e
1779263929.313281,2197,2131,e
1779263929.314604,2092,2066,e
1779263929.317159,2016,2100,e
1779263929.318454,2040,2122,e
1779263929.323853,2061,2130,e
1779263929.324202,1978,2087,e
1779263929.325938,2008,1994,e
1779263929.328148,2132,2108,e
1779263929.3310661,2199,2209,e
1779263929.331161,2097,2092,e
1779263929.332462,2049,1983,e
1779263929.3350332,2046,2035,e
1779263929.336471,2083,2110,e
1779263929.3390348,2041,2028,e
1779263929.344332,2002,1966,e
1779263929.344765,2052,2120,e
1779263929.345206,2161,2190,e
1779263929.346996,2126,2252,e
1779263929.351899,2024,2100,e
1779263929.352337,2007,2027,e
1779263929.352504,2073,2016,e
1779263929.355063,2039,2063,e
1779263929.357493,1987,2061,e
1779263929.35879,2028,2028,e
1779263929.3613482,2149,2122,e
1779263929.366039,2158,2180,e
1779263929.366461,2076,2097,e
1779263929.367947,2031,2040,e
1779263929.370362,2060,2094,e
1779263929.371357,2084,2138,e
1779263929.373354,1996,2043,e
1779263929.374654,1996,2066,e
1779263929.377203,2109,2026,e
1779263929.378498,2207,2123,e
1779263929.3810718,2112,2078,e
1779263929.382569,2017,2092,e
1779263929.385769,2001,2070,e
1779263929.387634,2070,2134,e
1779263929.390028,2001,2078,e
1779263929.392926,1983,2057,e
1779263929.3931022,2059,2112,e
1779263929.394429,2161,2206,e
1779263929.396996,2125,2216,e
1779263929.399551,2053,2018,e
1779263929.400853,2007,2024,e
1779263929.4034839,2066,2083,e
1779263929.406286,2036,2098,e
1779263929.408542,1984,2047,e
1779263929.408701,2011,2030,e
1779263929.412035,2146,2056,e
1779263929.414167,2167,2150,e
1779263929.415481,2089,2156,e
1779263929.416779,2038,2111,e
1779263929.419544,2032,2077,e
1779263929.4208431,2057,2027,e
1779263929.423358,1996,2169,e
1779263929.427263,2030,2075,e
1779263929.428054,2114,2082,e
1779263929.431293,2182,2086,e
1779263929.432723,2103,2090,e
1779263929.433922,2033,2048,e
1779263929.43585,2003,2055,e
1779263929.4370189,2088,2019,e
1779263929.439509,2037,2051,e
1779263929.440726,1989,2123,e
1779263929.4432828,2062,2171,e
1779263929.444578,2177,2231,e
1779263929.449149,2134,2116,e
1779263929.4502559,2053,2088,e
1779263929.4539268,2045,1996,e
1779263929.455782,2095,2008,e
1779263929.456287,2061,2083,e
1779263929.457608,2015,2051,e
1779263929.458936,2048,2014,e
1779263929.461501,2158,2087,e
1779263929.462804,2184,2157,e
1779263929.465334,2095,2123,e
1779263929.469034,2003,2133,e
1779263929.4701078,2027,2037,e
1779263929.473582,2057,2119,e
1779263929.4737542,2004,2042,e
1779263929.476581,2010,2056,e
1779263929.476723,2129,2122,e
1779263929.479298,2182,2241,e
1779263929.480649,2096,2108,e
1779263929.483219,2025,1996,e
1779263929.484528,2017,2088,e
1779263929.489033,2066,2115,e
1779263929.4894788,2016,2090,e
1779263929.4914382,1979,2085,e
1779263929.493665,2048,2077,e
1779263929.49503,2167,2116,e
1779263929.4971058,2131,2109,e
1779263929.49844,2058,2062,e
1779263929.501001,2022,2091,e
1779263929.503551,2072,2128,e
1779263929.5048032,2059,2136,e
1779263929.50983,2018,2100,e
1779263929.5105221,2039,2092,e
1779263929.510933,2147,2102,e
1779263929.513511,2175,2114,e
1779263929.515844,2087,2127,e
1779263929.5176609,2033,2076,e
1779263929.519027,2049,2109,e
1779263929.520406,2065,2096,e
1779263929.522916,1987,2055,e
1779263929.525471,2012,1997,e
1779263929.5267699,2122,2088,e
1779263929.53031,2185,2192,e
1779263929.531019,2109,2168,e
1779263929.5337758,2021,2077,e
1779263929.537815,2017,1998,e
1779263929.5378938,2080,2054,e
1779263929.539194,1997,2062,e
1779263929.540558,1946,2085,e
1779263929.5435789,2063,2056,e
1779263929.544894,2186,2143,e
1779263929.5476632,2149,2140,e
1779263929.552984,2062,2081,e
1779263929.554255,2031,2053,e
1779263929.556712,2067,2121,e
1779263929.5591612,2046,2124,e
1779263929.5593112,1980,2090,e
1779263929.559385,2016,2071,e
1779263929.5607,2124,2162,e
1779263929.563621,2158,2194,e
1779263929.564943,2069,2140,e
1779263929.567541,2047,2051,e
1779263929.5712068,2057,2053,e
1779263929.571703,2079,2066,e
1779263929.573805,1988,2061,e
1779263929.5773811,2003,2033,e
1779263929.5775292,2112,2091,e
1779263929.5795252,2172,2156,e
1779263929.580846,2087,2112,e
1779263929.5835142,2008,2088,e
1779263929.5848188,1982,2128,e
1779263929.5873878,2036,2137,e
1779263929.58849,2011,2083,e
1779263929.591578,1979,2099,e
1779263929.594072,2029,2083,e
1779263929.595627,2129,2139,e
1779263929.597932,2099,2154,e
1779263929.6000042,2018,2120,e
1779263929.601314,1986,2055,e
1779263929.602684,2069,2038,e
1779263929.605262,2047,2245,e
1779263929.606559,2033,2185,e
1779263929.609111,2086,2111,e
1779263929.613769,2175,2215,e
1779263929.615218,2196,2294,e
1779263929.617026,2078,2108,e
1779263929.617152,2005,2050,e
1779263929.619544,1996,2150,e
1779263929.6216052,2040,2146,e
1779263929.62292,1988,2043,e
1779263929.6254878,2030,2087,e
1779263929.626786,2166,2091,e
1779263929.629363,2221,2059,e
1779263929.632989,2135,1958,e
1779263929.633409,2025,1958,e
1779263929.635811,1987,2222,e
1779263929.63746,2057,2125,e
1779263929.639817,2026,2110,e
1779263929.641834,1968,2081,e
1779263929.643144,2055,2038,e
1779263929.644416,2078,2200,e
1779263929.6470249,2104,2200,e
1779263929.648344,2057,2169,e
1779263929.6531992,2068,1863,e
1779263929.654028,2129,2210,e
1779263929.656267,2186,2074,e
1779263929.658815,2020,2170,e
1779263929.660256,2012,2077,e
1779263929.660448,2118,2278,e
1779263929.663674,2136,2358,e
1779263929.664982,2047,2072,e
1779263929.666369,1881,1765,e
1779263929.668812,1979,2191,e
1779263929.674699,2000,2237,e
1779263929.675125,1985,2129,e
1779263929.6767302,2137,1842,e
1779263929.6783948,2221,1946,e
1779263929.681601,2246,2481,e
1779263929.68313,2056,2302,e
1779263929.683647,2007,2284,e
1779263929.684951,2057,2140,e
1779263929.6870122,2100,2007,e
1779263929.68833,2194,2154,e
1779263929.69088,1937,1752,e
1779263929.694891,1876,1982,e
1779263929.695658,2189,2360,e
1779263929.6992981,2050,2261,e
1779263929.700844,1845,1967,e
1779263929.7010958,1937,2120,e
1779263929.703052,2198,2428,e
1779263929.7043588,2212,2387,e
1779263929.706914,2062,2194,e
1779263929.709527,2165,2178,e
1779263929.710836,2288,2115,e
1779263929.715704,2027,2188,e
1779263929.716137,2094,2225,e
1779263929.7176151,2254,1927,e
1779263929.7216482,2273,2191,e
1779263929.722214,2182,2222,e
1779263929.723784,1689,2181,e
1779263929.725122,1843,2048,e
1779263929.726422,2012,2219,e
1779263929.7290392,2325,2522,e
1779263929.730334,2457,2415,e
1779263929.735397,2069,2198,e
1779263929.735929,1684,2151,e
1779263929.73826,1904,2115,e
1779263929.740888,2048,2257,e
1779263929.742501,1978,2224,e
1779263929.742647,2224,2670,e
1779263929.7454011,2256,2523,e
1779263929.746861,1662,2309,e
1779263929.74953,1679,2247,e
1779263929.750834,2029,2469,e
1779263929.755502,2325,2311,e
1779263929.756232,2414,2511,e
1779263929.7566662,2380,2224,e
1779263929.7604191,2132,2172,e
1779263929.764566,1813,2396,e
1779263929.764821,1825,2600,e
1779263929.764863,2371,2441,e
1779263929.767285,2697,2779,e
1779263929.7684731,2289,2930,e
1779263929.7710311,2100,3132,e
1779263929.772334,2019,3276,e
1779263929.7763782,2342,3545,e
1779263929.776822,2373,3893,e
1779263929.778628,2356,3751,e
1779263929.782432,2303,3506,e
1779263929.782571,1862,3953,e
1779263929.785367,1614,3960,e
1779263929.78674,1366,4010,e
1779263929.789304,1448,4084,e
1779263929.790598,2055,4095,e
1779263929.792952,2318,4095,e
1779263929.797566,2301,4095,e
1779263929.798084,2553,4082,e
1779263929.799594,2354,4038,e
1779263929.801087,2394,4019,e
1779263929.803732,2459,4030,e
1779263929.805655,2065,4056,e
1779263929.806957,1584,4095,e
1779263929.808345,1254,4095,e
1779263929.8109,1317,4095,e
1779263929.813474,1886,4092,e
1779263929.817673,2486,4068,e
1779263929.817757,2606,4050,e
1779263929.819843,2255,4051,e
1779263929.821433,1447,4063,e
1779263929.823861,1646,4079,e
1779263929.8260322,2596,4095,e
1779263929.82736,3005,4095,e
1779263929.828984,2908,4091,e
1779263929.830409,2268,4078,e
1779263929.8329768,1862,4068,e
1779263929.834342,1651,4061,e
1779263929.837614,2036,4065,e
1779263929.840349,2117,4075,e
1779263929.840491,1589,4079,e
1779263929.844954,1615,4086,e
1779263929.845154,2314,4086,e
1779263929.847184,2083,4082,e
1779263929.8485062,1881,4074,e
1779263929.851085,2297,4068,e
1779263929.8524091,2411,4070,e
1779263929.854969,2494,4073,e
1779263929.859266,2223,4078,e
1779263929.8606331,1496,4080,e
1779263929.860838,1635,4081,e
1779263929.8649228,2300,4080,e
1779263929.8652081,2142,4078,e
1779263929.867297,2297,4074,e
1779263929.868599,2442,4073,e
1779263929.871156,2422,4072,e
1779263929.87247,2237,4077,e
1779263929.8750248,2416,4079,e
1779263929.879222,2356,4079,e
1779263929.8793259,2341,4069,e
1779263929.881705,1939,3875,e
1779263929.883269,1243,3362,e
1779263929.886153,1279,3601,e
1779263929.8864079,1935,3656,e
1779263929.889123,1991,3852,e
1779263929.890423,1909,3915,e
1779263929.892981,1942,3425,e
1779263929.894301,2326,2773,e
1779263929.900057,2546,2216,e
1779263929.900852,2160,1998,e
1779263929.902213,1924,2203,e
1779263929.903507,2128,2139,e
1779263929.906621,2126,2245,e
1779263929.9067562,1787,3142,e
1779263929.90952,2319,2831,e
1779263929.9108312,2821,2280,e
1779263929.913292,2427,2136,e
1779263929.914392,1852,1957,e
1779263929.916954,1651,2004,e
1779263929.920249,2196,2225,e
1779263929.920974,2196,2312,e
1779263929.922708,2028,2641,e
1779263929.9272919,2222,2545,e
1779263929.928729,1956,2383,e
1779263929.929248,2048,2108,e
1779263929.9306529,2245,1745,e
1779263929.933294,2270,1644,e
1779263929.934597,2145,1695,e
1779263929.9369469,2045,1131,e
1779263929.9450612,1854,1491,e
1779263929.948131,1397,1498,e
1779263929.9483688,1869,1308,e
1779263929.9486022,2531,788,e
1779263929.948711,2462,922,e
1779263929.948842,2065,978,e
1779263929.9509041,1948,1251,e
1779263929.953511,2325,1193,e
1779263929.954805,2410,982,e
1779263929.957376,2264,1413,e
1779263929.9611871,2080,1326,e
1779263929.961948,1965,960,e
1779263929.965271,2149,646,e
1779263929.966772,1984,908,e
1779263929.966939,1866,1255,e
1779263929.968886,1909,938,e
1779263929.971016,2095,640,e
1779263929.9723961,2009,1113,e
1779263929.9749498,1977,875,e
1779263929.9763331,2029,596,e
1779263929.9789891,2188,269,e
1779263929.982851,2178,762,e
1779263929.9833221,1969,1067,e
1779263929.985112,1721,1002,e
1779263929.989333,2093,748,e
1779263929.9894521,2389,1239,e
1779263929.991512,2157,1258,e
1779263929.9928079,2009,824,e
1779263929.9956539,2024,845,e
1779263929.997344,2106,981,e
1779263929.9986858,2117,1256,e
1779263930.0039139,2136,1469,e
1779263930.00545,2193,1276,e
1779263930.005655,1938,1354,e
1779263930.008424,2061,1743,e
1779263930.010676,2090,1659,e
1779263930.0108218,1860,1444,e
1779263930.0124521,2364,943,e
1779263930.015042,2436,1374,e
1779263930.016344,2096,1605,e
1779263930.018945,2035,1685,e
1779263930.023901,2052,1731,e
1779263930.02431,1984,1755,e
1779263930.025432,1881,1792,e
1779263930.0281029,2050,1528,e
1779263930.030883,2200,1104,e
1779263930.031086,2036,1627,e
1779263930.034133,1771,1866,e
1779263930.035448,1755,1845,e
1779263930.0367649,1910,1334,e
1779263930.0393238,2164,1839,e
1779263930.043612,2280,1887,e
1779263930.0446851,2276,1623,e
1779263930.045092,2176,1695,e
1779263930.04738,2248,1702,e
1779263930.050827,2289,1872,e
1779263930.0510561,1849,1948,e
1779263930.0530639,1591,1809,e
1779263930.0543811,1962,1883,e
1779263930.056936,2197,2213,e
1779263930.058294,2122,1868,e
1779263930.060859,2124,1335,e
1779263930.06368,1681,1465,e
1779263930.066088,1951,1729,e
1779263930.068525,2630,2073,e
1779263930.070663,2561,1483,e
1779263930.07077,2081,1815,e
1779263930.072781,1782,2126,e
1779263930.074775,1916,1892,e
1779263930.076565,2087,1593,e
1779263930.079228,2255,1308,e
1779263930.080547,2263,1658,e
1779263930.085359,1961,2044,e
1779263930.087554,1787,2070,e
1779263930.0876968,1901,1788,e
1779263930.09011,2023,1925,e
1779263930.092383,2110,1918,e
1779263930.0925372,1789,1559,e
1779263930.095307,2050,1508,e
1779263930.096616,2330,1648,e
1779263930.099197,2351,2048,e
1779263930.100501,2222,2386,e
1779263930.1052558,1940,1736,e
1779263930.105389,1803,1876,e
1779263930.107796,1844,2340,e
1779263930.110295,2069,1949,e
1779263930.1104891,2339,1543,e
1779263930.1126652,2398,1691,e
1779263930.1147242,2101,2335,e
1779263930.117307,1954,2143,e
1779263930.1186051,1944,2038,e
1779263930.121168,1936,1912,e
1779263930.125344,1874,2232,e
1779263930.1261609,2155,2041,e
1779263930.127148,2235,1748,e
1779263930.1299388,2128,1594,e
1779263930.132976,1775,1816,e
1779263930.133153,1516,2115,e
1779263930.135332,1770,1917,e
1779263930.136544,2425,1401,e
1779263930.1391108,2482,2432,e
1779263930.1404202,2224,2369,e
1779263930.143193,2161,2112,e
1779263930.146593,2324,1843,e
1779263930.147734,2177,1525,e
1779263930.15414,2096,2239,e
1779263930.1547031,2017,2104,e
1779263930.156652,2036,1894,e
1779263930.1566951,1986,1890,e
1779263930.156797,1910,2163,e
1779263930.1582332,1750,1947,e
1779263930.161463,1767,1783,e
1779263930.162802,2192,1522,e
1779263930.1700191,2178,2048,e
1779263930.1723452,1662,1996,e
1779263930.173572,1885,1996,e
1779263930.176899,2116,2027,e
1779263930.1789079,2216,2251,e
1779263930.1789901,2071,2081,e
1779263930.1790552,1903,1981,e
1779263930.179115,1941,1696,e
1779263930.180508,2425,1997,e
1779263930.1831748,2170,2054,e
1779263930.189075,2012,2294,e
1779263930.190547,2290,1973,e
1779263930.190901,2217,1978,e
1779263930.192721,2155,2046,e
1779263930.193932,1837,1770,e
1779263930.1970198,1628,1401,e
1779263930.199448,1878,1720,e
1779263930.199784,2109,2031,e
1779263930.2011461,2164,1973,e
1779263930.202511,2141,1902,e
1779263930.215861,2165,1865,e
1779263930.2189262,2128,2217,e
1779263930.219614,2168,1927,e
1779263930.221798,2308,1600,e
1779263930.2220821,2322,1608,e
1779263930.2222028,2034,1948,e
1779263930.22233,1814,1852,e
1779263930.222414,1909,1984,e
1779263930.222498,1929,1882,e
1779263930.222563,1789,1674,e
1779263930.225188,1974,2170,e
1779263930.226568,1934,1778,e
1779263930.235352,2140,1462,e
1779263930.239392,2178,1642,e
1779263930.242193,2063,1954,e
1779263930.242301,2127,2040,e
1779263930.242382,2199,1739,e
1779263930.242481,1935,1987,e
1779263930.2425752,1780,2150,e
1779263930.242647,2025,1852,e
1779263930.245273,2414,1599,e
1779263930.2466729,2463,1725,e
1779263930.2516758,1919,1957,e
1779263930.253244,1823,1909,e
1779263930.254838,1876,1766,e
1779263930.260818,1967,1822,e
1779263930.2612212,1801,1969,e
1779263930.26158,2157,1819,e
1779263930.261964,2165,1652,e
1779263930.264216,2323,1421,e
1779263930.264382,2317,1760,e
1779263930.266947,2103,2189,e
1779263930.268225,2135,1912,e
1779263930.273259,2105,1818,e
1779263930.2739499,1796,1858,e
1779263930.279493,1618,1927,e
1779263930.280062,2137,1542,e
1779263930.28319,2467,1519,e
1779263930.286145,2165,1620,e
1779263930.286297,2081,2036,e
1779263930.2864141,1941,1912,e
1779263930.286495,1987,1825,e
1779263930.2891362,2140,1761,e
1779263930.290484,2067,1960,e
1779263930.2965388,1947,1832,e
1779263930.299119,1870,1513,e
1779263930.3026361,2217,1548,e
1779263930.3056052,2216,1788,e
1779263930.3062232,2138,1945,e
1779263930.3067222,2158,1871,e
1779263930.309489,2015,1807,e
1779263930.3096251,1899,2147,e
1779263930.3097742,1917,2025,e
1779263930.3111308,2095,1708,e
1779263930.312316,2124,1573,e
1779263930.3198662,1920,1548,e
1779263930.323004,2048,1839,e
1779263930.3276029,1905,2044,e
1779263930.3282402,2034,1733,e
1779263930.328612,2087,1974,e
1779263930.330966,2172,1988,e
1779263930.3310668,2310,1689,e
1779263930.331212,2349,1428,e
1779263930.3312929,2091,1762,e
1779263930.332684,1930,2087,e
1779263930.335395,1855,1783,e
1779263930.342887,1998,1805,e
1779263930.343195,2137,1984,e
1779263930.343589,2102,1931,e
1779263930.345649,1695,1744,e
1779263930.3469949,1834,1580,e
1779263930.347328,2389,1541,e
1779263930.350445,2516,2077,e
1779263930.35067,2181,2236,e
1779263930.3534741,2173,1973,e
1779263930.354927,2141,1837,e
1779263930.356472,2014,1938,e
1779263930.36428,1796,1963,e
1779263930.36607,2086,1637,e
1779263930.36776,2392,1947,e
1779263930.368352,2236,2027,e
1779263930.3697631,1965,1952,e
1779263930.3728042,1981,1921,e
1779263930.37327,2291,1954,e
1779263930.37385,2190,2146,e
1779263930.3766341,2224,1855,e
1779263930.376768,1977,1691,e
1779263930.37819,1736,1705,e
1779263930.3836129,1895,1787,e
1779263930.387726,2129,1776,e
1779263930.3897028,2278,2018,e
1779263930.392799,2083,1998,e
1779263930.393049,2112,2029,e
1779263930.393292,2403,2122,e
1779263930.3936682,2384,2059,e
1779263930.3963509,2279,1702,e
1779263930.396488,1960,1510,e
1779263930.399137,2039,1967,e
1779263930.400448,2229,2081,e
1779263930.406324,2243,1931,e
1779263930.406889,1997,1969,e
1779263930.408511,1886,2176,e
1779263930.408683,2197,2013,e
1779263930.414825,2388,1807,e
1779263930.415055,2294,1729,e
1779263930.4154298,2091,1762,e
1779263930.417643,1791,2097,e
1779263930.4190102,1843,1957,e
1779263930.420324,2085,1945,e
1779263930.423093,2107,2021,e
1779263930.4268422,2122,1959,e
1779263930.427327,2102,1914,e
1779263930.437032,2104,1691,e
1779263930.4375339,2080,1829,e
1779263930.437889,2207,2094,e
1779263930.4384089,2112,2131,e
1779263930.44029,1909,2021,e
1779263930.441159,1870,2002,e
1779263930.441337,1860,2060,e
1779263930.442703,2019,1969,e
1779263930.448452,2239,1779,e
1779263930.450794,2227,1769,e
1779263930.45096,1904,1917,e
1779263930.452794,1481,2211,e
1779263930.4533582,1793,1971,e
1779263930.457598,2123,1910,e
1779263930.4579,1974,2180,e
1779263930.460489,2283,2003,e
1779263930.460583,2502,1745,e
1779263930.463257,2504,1665,e
1779263930.4647338,2344,2020,e
1779263930.470311,2251,2072,e
1779263930.470437,2203,2075,e
1779263930.470953,2181,1959,e
1779263930.4727948,1969,2203,e
1779263930.4742248,1817,2208,e
1779263930.479108,1621,1933,e
1779263930.479281,1884,1694,e
1779263930.481696,1993,1819,e
1779263930.483056,1970,1991,e
1779263930.484382,2031,2167,e
1779263930.486939,2134,1997,e
1779263930.4909089,1969,2011,e
1779263930.491082,1888,2181,e
1779263930.493477,2137,2008,e
1779263930.495127,2390,1865,e
1779263930.502511,2374,1743,e
1779263930.503523,2222,2107,e
1779263930.503694,2105,2264,e
1779263930.503826,2077,2176,e
1779263930.50519,2045,1930,e
1779263930.50656,1948,2137,e
1779263930.5162501,1899,2126,e
1779263930.51676,1972,1876,e
1779263930.51898,2066,1833,e
1779263930.520344,1921,2034,e
1779263930.523639,1884,2003,e
1779263930.524051,1910,2026,e
1779263930.5245152,2049,1975,e
1779263930.524817,2075,2188,e
1779263930.5251021,2040,2225,e
1779263930.52768,2105,1852,e
1779263930.529233,2226,1626,e
1779263930.536161,2169,1891,e
1779263930.538004,2056,2071,e
1779263930.541594,1979,2215,e
1779263930.54509,2028,2019,e
1779263930.545769,2009,2053,e
1779263930.5486379,1836,2271,e
1779263930.5487812,1835,2002,e
1779263930.548856,2049,1839,e
1779263930.548924,2151,1932,e
1779263930.5490181,2091,2109,e
1779263930.5503979,2057,2161,e
1779263930.553047,2093,2065,e
