timestamp,ch1,ch2,label
1779264042.733078,2032,2153,i
1779264042.7331562,2020,1931,i
1779264042.7377841,1986,1919,i
1779264042.7394502,2047,2076,i
1779264042.7411442,2130,2228,i
1779264042.7415612,2126,2214,i
1779264042.74504,2064,1993,i
1779264042.747166,2040,1986,i
1779264042.7501812,2074,2117,i
1779264042.750283,2064,2080,i
1779264042.751689,2001,1951,i
1779264042.75305,2039,1978,i
1779264042.7563362,2092,2241,i
1779264042.7625039,2134,2226,i
1779264042.7631428,2085,2002,i
1779264042.765543,2024,1920,i
1779264042.7674,2040,2002,i
1779264042.770554,2052,2076,i
1779264042.770858,2014,1945,i
1779264042.7712011,2012,1981,i
1779264042.7743192,2063,2159,i
1779264042.774409,2135,2284,i
1779264042.775754,2099,2132,i
1779264042.7771158,2018,2009,i
1779264042.7844539,2011,1922,i
1779264042.786098,2056,2050,i
1779264042.788058,2021,2035,i
1779264042.789921,1986,2017,i
1779264042.791806,2043,2093,i
1779264042.79211,2136,2247,i
1779264042.793581,2129,2231,i
1779264042.794274,2064,2041,i
1779264042.796831,2019,1979,i
1779264042.7969651,2055,1993,i
1779264042.799623,2049,1980,i
1779264042.801006,1995,1905,i
1779264042.807929,2015,2000,i
1779264042.8102121,2113,2195,i
1779264042.812045,2155,2222,i
1779264042.812651,2083,2085,i
1779264042.8140202,2007,1984,i
1779264042.8142312,2030,2048,i
1779264042.817927,2063,2156,i
1779264042.8180852,2014,1963,i
1779264042.8194711,2009,2042,i
1779264042.821035,2075,2172,i
1779264042.828467,2133,2238,i
1779264042.836242,2079,2112,i
1779264042.837863,2038,2033,i
1779264042.838423,2018,1941,i
1779264042.838751,2054,2059,i
1779264042.839127,2032,1974,i
1779264042.8418088,1975,1959,i
1779264042.8419268,2046,2131,i
1779264042.842008,2137,2315,i
1779264042.8420842,2148,2148,i
1779264042.843411,2065,2020,i
1779264042.844783,1992,2005,i
1779264042.847862,2049,2125,i
1779264042.853256,2048,2101,i
1779264042.856199,2001,1897,i
1779264042.856569,2030,2067,i
1779264042.856904,2114,2283,i
1779264042.857122,2134,2291,i
1779264042.861805,2073,2160,i
1779264042.862323,2027,1919,i
1779264042.865498,2012,1960,i
1779264042.8655841,2072,2063,i
1779264042.8669271,1982,1949,i
1779264042.8695412,1975,1988,i
1779264042.871233,2056,2080,i
1779264042.8757482,2127,2279,i
1779264042.877235,2106,2151,i
1779264042.878956,2035,2044,i
1779264042.879256,2019,2034,i
1779264042.88413,2052,2152,i
1779264042.8843079,2027,2081,i
1779264042.887063,1972,1905,i
1779264042.887307,2028,2072,i
1779264042.888785,2118,2302,i
1779264042.891408,2136,2266,i
1779264042.892725,2065,2086,i
1779264042.89868,1999,1956,i
1779264042.898834,2036,2042,i
1779264042.902473,2068,2031,i
1779264042.904768,2010,1921,i
1779264042.9049852,2065,1943,i
1779264042.9055092,2132,2117,i
1779264042.907752,2144,2247,i
1779264042.909229,2083,2097,i
1779264042.911907,2015,1933,i
1779264042.9133198,2001,2035,i
1779264042.918538,2016,2141,i
1779264042.920697,1960,1948,i
1779264042.921247,1985,1951,i
1779264042.923242,2109,2142,i
1779264042.925719,2206,2331,i
1779264042.926034,2151,2199,i
1779264042.928614,2072,2059,i
1779264042.928797,2080,2067,i
1779264042.931669,2111,2119,i
1779264042.9328582,2056,2041,i
1779264042.938328,1990,1961,i
