timestamp,ch1,ch2,label
1779264075.897256,2154,2120,i_S
1779264075.897449,2105,2151,i_S
1779264075.9008472,2069,2149,i_S
1779264075.9015129,2086,2077,i_S
1779264075.904122,2001,2149,i_S
1779264075.90747,2010,2048,i_S
1779264075.908504,2063,2168,i_S
1779264075.9114041,2166,2172,i_S
1779264075.911516,2158,2037,i_S
1779264075.912905,2047,2092,i_S
1779264075.915553,2007,2145,i_S
1779264075.916908,2050,2073,i_S
1779264075.921878,2070,1996,i_S
1779264075.924418,2010,2039,i_S
1779264075.926286,2028,2057,i_S
1779264075.928396,2148,2072,i_S
1779264075.930051,2150,2221,i_S
1779264075.9307141,2068,2205,i_S
1779264075.933024,2019,2133,i_S
1779264075.9339368,2050,2114,i_S
1779264075.935317,2088,2145,i_S
1779264075.93672,2036,2130,i_S
1779264075.9436412,2025,2089,i_S
1779264075.945133,2091,2163,i_S
1779264075.948692,2185,2217,i_S
1779264075.9493508,2134,2125,i_S
1779264075.950837,2060,2133,i_S
1779264075.952211,2040,2126,i_S
1779264075.952611,2100,2166,i_S
1779264075.952822,2057,2127,i_S
1779264075.955202,2042,2043,i_S
1779264075.9577768,2087,2135,i_S
1779264075.959182,2198,2210,i_S
1779264075.9656398,2181,2174,i_S
1779264075.966343,2091,2138,i_S
1779264075.968044,2048,2173,i_S
1779264075.9683719,2091,2155,i_S
1779264075.9727628,2110,2167,i_S
1779264075.973136,2014,2162,i_S
1779264075.97354,2057,2164,i_S
1779264075.975979,2165,2068,i_S
1779264075.977399,2198,2151,i_S
1779264075.978709,2123,2131,i_S
1779264075.981369,2047,2059,i_S
1779264075.9875531,2070,2077,i_S
1779264075.987801,2098,2209,i_S
1779264075.98936,2053,2062,i_S
1779264075.989907,2055,2059,i_S
1779264075.99216,2119,2096,i_S
1779264075.99452,2214,2172,i_S
1779264075.995903,2161,2309,i_S
1779264075.9972212,2084,2164,i_S
1779264075.99964,2072,2026,i_S
1779264076.0009542,2110,2042,i_S
1779264076.005673,2074,2092,i_S
1779264076.006203,2034,1957,i_S
1779264076.008262,2087,2040,i_S
1779264076.011468,2195,2151,i_S
1779264076.013012,2159,2184,i_S
1779264076.0134249,2084,2129,i_S
1779264076.016007,2046,2057,i_S
1779264076.017324,2082,2020,i_S
1779264076.01877,2095,2175,i_S
1779264076.021423,2046,2182,i_S
1779264076.026124,2090,2087,i_S
1779264076.0269802,2176,2089,i_S
1779264076.027481,2213,2195,i_S
1779264076.030875,2136,2169,i_S
1779264076.03228,2071,2110,i_S
1779264076.035313,2079,2061,i_S
1779264076.035452,2094,2023,i_S
1779264076.036772,2040,2103,i_S
1779264076.039379,2026,2137,i_S
1779264076.040722,2116,2209,i_S
1779264076.046898,2212,2213,i_S
1779264076.0473778,2128,2155,i_S
1779264076.047489,2061,2092,i_S
1779264076.0492532,2066,2036,i_S
1779264076.051211,2129,2055,i_S
1779264076.05352,2059,2022,i_S
1779264076.055925,2021,2015,i_S
1779264076.057232,2065,2040,i_S
1779264076.059647,2184,2095,i_S
1779264076.0609689,2155,2141,i_S
1779264076.0671418,2074,2030,i_S
1779264076.068492,2032,2076,i_S
1779264076.069973,2066,2155,i_S
1779264076.07167,2079,2203,i_S
1779264076.0721421,2029,2120,i_S
1779264076.0744011,2053,2035,i_S
1779264076.0766962,2130,2112,i_S
1779264076.077,2199,2141,i_S
1779264076.079815,2107,2060,i_S
1779264076.081366,2002,2040,i_S
1779264076.0827022,2042,2091,i_S
1779264076.086973,2076,2146,i_S
1779264076.089602,2011,2096,i_S
1779264076.089731,2018,2077,i_S
1779264076.091617,2118,2036,i_S
1779264076.094359,2197,2107,i_S
1779264076.0966232,2120,2130,i_S
1779264076.096683,2066,2135,i_S
1779264076.099353,2051,2051,i_S
1779264076.100681,2083,2104,i_S
1779264076.103026,2040,2108,i_S
1779264076.106915,1996,2031,i_S
1779264076.108194,2059,2064,i_S
1779264076.112267,2141,2107,i_S
1779264076.114794,2170,2123,i_S
1779264076.115089,2097,1956,i_S
1779264076.115308,2030,1950,i_S
1779264076.117729,2056,2117,i_S
1779264076.119041,2032,2113,i_S
1779264076.1217852,2001,2058,i_S
1779264076.123279,2033,2056,i_S
1779264076.130579,2070,2023,i_S
1779264076.132298,2122,2251,i_S
1779264076.135137,2062,2095,i_S
1779264076.135558,2045,2067,i_S
1779264076.135788,2045,2045,i_S
1779264076.136024,2075,1679,i_S
1779264076.1382349,1991,2197,i_S
1779264076.139719,2029,1625,i_S
1779264076.141034,2112,2310,i_S
1779264076.1435509,2163,2156,i_S
1779264076.1484532,2088,2041,i_S
1779264076.149656,2051,2089,i_S
1779264076.152639,2024,2079,i_S
1779264076.1556501,2045,2249,i_S
1779264076.155905,2010,2175,i_S
1779264076.156228,1976,2024,i_S
1779264076.158537,2073,2094,i_S
1779264076.158678,2068,2190,i_S
1779264076.161259,1992,2045,i_S
1779264076.162615,1961,1937,i_S
1779264076.1681678,1771,1845,i_S
1779264076.169266,1935,1944,i_S
1779264076.171388,1975,1879,i_S
1779264076.171614,1962,1943,i_S
1779264076.1748009,1860,2188,i_S
1779264076.17616,2113,2087,i_S
1779264076.178607,2247,2110,i_S
1779264076.178804,2213,2300,i_S
1779264076.181443,2171,2238,i_S
1779264076.182753,2244,2089,i_S
1779264076.188991,2188,2035,i_S
1779264076.190249,2014,2067,i_S
1779264076.1916301,2058,1943,i_S
1779264076.191937,1937,2158,i_S
1779264076.194871,2044,1961,i_S
1779264076.195103,2109,2066,i_S
1779264076.199051,2114,1967,i_S
1779264076.199606,1884,2275,i_S
1779264076.200927,1860,2144,i_S
1779264076.203524,2032,2150,i_S
1779264076.204844,1948,2100,i_S
1779264076.209329,2093,2091,i_S
1779264076.2106528,2256,2159,i_S
1779264076.212329,2184,2138,i_S
1779264076.215515,2030,2082,i_S
1779264076.2157388,1936,2132,i_S
1779264076.2172532,1867,1990,i_S
1779264076.2195399,1981,2080,i_S
1779264076.2208052,1866,2244,i_S
1779264076.2234309,1963,2293,i_S
1779264076.224749,2223,2229,i_S
1779264076.229814,2152,2332,i_S
1779264076.230714,2104,2327,i_S
1779264076.2321222,2095,2411,i_S
1779264076.2340071,2087,2593,i_S
1779264076.236664,2124,2571,i_S
1779264076.236817,2035,2562,i_S
1779264076.239062,2006,2456,i_S
1779264076.241662,1911,2606,i_S
1779264076.242971,1977,2597,i_S
1779264076.245554,1923,2564,i_S
1779264076.249861,1891,2694,i_S
1779264076.2507489,2031,2548,i_S
1779264076.2524219,2043,2607,i_S
1779264076.2543428,1978,2681,i_S
