timestamp,ch1,ch2,label
1779264119.7681322,2092,1926,u
1779264119.768213,2059,1918,u
1779264119.768363,2068,2102,u
1779264119.7742562,2066,1937,u
1779264119.776242,2011,1731,u
1779264119.7778182,2060,1914,u
1779264119.780305,2140,2458,u
1779264119.780687,2134,2388,u
1779264119.780881,2099,2040,u
1779264119.783055,2058,1868,u
1779264119.7844312,2071,2022,u
1779264119.7870028,2084,2025,u
1779264119.788328,1984,1753,u
1779264119.793482,2020,1873,u
1779264119.794891,2118,2290,u
1779264119.796614,2195,2519,u
1779264119.799083,2118,2120,u
1779264119.7993212,2045,1848,u
1779264119.801787,2016,1919,u
1779264119.803126,2072,2102,u
1779264119.804443,2017,1793,u
1779264119.807007,1998,1853,u
1779264119.808316,2071,2235,u
1779264119.813494,2165,2548,u
1779264119.8139038,2140,2141,u
1779264119.8173912,2082,1825,u
1779264119.819341,2031,1774,u
1779264119.819584,2080,2067,u
1779264119.8219662,2050,1932,u
1779264119.822133,2009,1824,u
1779264119.8245919,2050,2050,u
1779264119.8271759,2155,2469,u
1779264119.828484,2168,2392,u
1779264119.8343701,2104,1991,u
1779264119.8362792,2034,1887,u
1779264119.837622,2061,2018,u
1779264119.8390012,2073,2063,u
1779264119.839963,2003,1734,u
1779264119.8423522,2025,1906,u
1779264119.842454,2094,2287,u
1779264119.8450282,2168,2440,u
1779264119.846432,2127,2105,u
1779264119.849052,2055,1862,u
1779264119.853708,2036,1989,u
1779264119.855111,2080,2079,u
1779264119.85649,2037,1809,u
1779264119.857882,2000,1820,u
1779264119.860398,2081,2221,u
1779264119.860745,2177,2538,u
1779264119.862848,2148,2203,u
1779264119.864595,2041,1897,u
1779264119.867255,2025,1822,u
1779264119.868562,2075,2093,u
1779264119.876694,2060,2019,u
1779264119.878704,2014,1820,u
1779264119.8811789,2045,1980,u
1779264119.8816772,2146,2397,u
1779264119.8819761,2173,2376,u
1779264119.883987,2099,2004,u
1779264119.8841321,2037,1888,u
1779264119.884305,2045,2044,u
1779264119.8867898,2070,2082,u
1779264119.8881621,2010,1751,u
1779264119.890601,2011,1887,u
1779264119.894559,2111,2303,u
1779264119.895823,2184,2490,u
1779264119.899195,2110,2192,u
1779264119.900408,2041,1914,u
1779264119.90158,2041,1931,u
1779264119.9034848,2089,2116,u
1779264119.904799,2026,1813,u
1779264119.9061592,2012,1766,u
1779264119.908726,2067,2138,u
1779264119.910144,2186,2504,u
1779264119.914887,2130,2272,u
1779264119.915781,2057,1881,u
1779264119.917655,2047,1756,u
1779264119.919408,2086,2063,u
1779264119.920685,2032,2018,u
1779264119.923871,1996,1755,u
1779264119.9251819,2059,1945,u
1779264119.926492,2148,2388,u
1779264119.9290628,2161,2345,u
1779264119.930376,2085,2023,u
1779264119.935186,2036,1903,u
1779264119.936011,2053,1991,u
1779264119.936405,2066,2058,u
1779264119.938294,2007,1879,u
1779264119.942179,2013,2046,u
1779264119.9423392,2108,2380,u
1779264119.944631,2148,2371,u
1779264119.94722,2110,2110,u
1779264119.9485261,2044,1900,u
1779264119.950869,2038,1895,u
1779264119.952173,2065,2060,u
1779264119.9568589,2034,1706,u
1779264119.95738,1990,1829,u
1779264119.959507,2061,2196,u
1779264119.9659781,2157,2510,u
1779264119.966083,2157,2171,u
1779264119.9663181,2058,1930,u
1779264119.9664588,2017,1879,u
1779264119.9691122,2061,2173,u
1779264119.970429,2054,2064,u
1779264119.972835,1990,1781,u
1779264119.977176,2051,1993,u
1779264119.97768,2131,2388,u
1779264119.981127,2158,2422,u
1779264119.9816651,2094,2047,u
1779264119.984044,2032,1906,u
1779264119.984245,2043,2089,u
1779264119.987071,2063,2085,u
1779264119.988384,2020,1740,u
1779264119.990954,1996,1809,u
1779264119.992257,2096,2262,u
1779264119.9996219,2168,2521,u
1779264119.99974,2113,2107,u
1779264119.9999092,2041,1956,u
1779264120.001602,2027,1932,u
1779264120.003784,2083,2112,u
1779264120.006579,2034,1809,u
1779264120.0067048,2014,1915,u
1779264120.008126,2075,2199,u
1779264120.010738,2171,2545,u
1779264120.013813,2138,2328,u
1779264120.018111,2066,1948,u
1779264120.018949,2026,1727,u
1779264120.021745,2076,2035,u
1779264120.024758,2057,1940,u
1779264120.024986,2010,1760,u
1779264120.025256,2045,2001,u
1779264120.0274491,2108,2390,u
1779264120.0287528,2158,2438,u
1779264120.03024,2071,2040,u
1779264120.032903,2029,1830,u
1779264120.034223,2025,1958,u
1779264120.037858,2059,2023,u
1779264120.0404742,1994,1766,u
1779264120.041507,2027,1970,u
1779264120.0444102,2094,2314,u
1779264120.04481,2169,2563,u
1779264120.0470028,2139,2237,u
1779264120.048338,2058,1984,u
1779264120.050928,2043,1908,u
1779264120.052237,2093,2110,u
1779264120.054828,2065,1800,u
1779264120.0583522,2031,1803,u
1779264120.059485,2088,2081,u
1779264120.061101,2187,2433,u
1779264120.065182,2189,2187,u
1779264120.06563,2110,1918,u
1779264120.0676181,2074,1883,u
1779264120.068971,2088,2123,u
1779264120.070281,2085,2042,u
1779264120.0728881,2060,1910,u
1779264120.074189,2074,2082,u
1779264120.079038,2189,2396,u
1779264120.081218,2207,2391,u
1779264120.081373,2114,2039,u
1779264120.0832808,2065,1809,u
1779264120.085669,2078,2004,u
1779264120.0878,2094,2094,u
1779264120.0891142,2013,1673,u
1779264120.090417,2026,1824,u
1779264120.093017,2122,2267,u
1779264120.0943239,2188,2471,u
1779264120.0994492,2116,2085,u
1779264120.100577,2058,1885,u
1779264120.1021209,2049,1933,u
1779264120.104894,2088,2146,u
1779264120.106566,2044,1874,u
1779264120.108763,2005,1873,u
1779264120.109068,2076,2145,u
1779264120.110382,2159,2669,u
1779264120.113058,2173,2271,u
1779264120.114569,2065,1858,u
1779264120.1196082,2038,1813,u
1779264120.120814,2062,2033,u
1779264120.1225028,2052,1915,u
1779264120.1236851,2006,1793,u
1779264120.125631,2054,1981,u
1779264120.127135,2142,2441,u
1779264120.1293561,2169,2345,u
1779264120.13103,2108,1945,u
1779264120.132362,2025,1846,u
1779264120.1349351,2065,2034,u
1779264120.136244,2088,2107,u
1779264120.139602,2011,1824,u
1779264120.1420538,2009,1888,u
1779264120.142402,2104,2274,u
1779264120.145391,2154,2552,u
1779264120.1469738,2123,2129,u
1779264120.149194,2035,1915,u
1779264120.1507661,2041,1900,u
1779264120.152123,2077,2079,u
1779264120.154709,2043,1888,u
1779264120.160753,2021,1771,u
1779264120.161568,2059,2100,u
1779264120.161686,2151,2503,u
1779264120.1633122,2151,2231,u
1779264120.1661599,2054,1927,u
1779264120.167816,2027,1876,u
1779264120.17016,2063,2014,u
1779264120.1702049,2044,1936,u
1779264120.1727629,1994,1753,u
1779264120.174144,2041,2010,u
1779264120.1767418,2156,2452,u
1779264120.180358,2166,2448,u
1779264120.180783,2088,2088,u
1779264120.1832771,2053,1894,u
1779264120.185051,2045,1952,u
1779264120.187871,2060,2093,u
1779264120.189964,2005,1854,u
1779264120.19139,1983,1922,u
1779264120.192725,2106,2289,u
1779264120.194156,2168,2500,u
1779264120.196727,2120,2090,u
1779264120.2019231,2060,1823,u
1779264120.202042,2028,1868,u
1779264120.202483,2082,2138,u
1779264120.205674,2036,1902,u
1779264120.2083972,2018,1743,u
1779264120.208586,2090,2151,u
1779264120.210687,2164,2506,u
1779264120.2121532,2150,2230,u
1779264120.215501,2072,1993,u
1779264120.2171881,2033,1827,u
1779264120.219711,2056,2101,u
1779264120.221657,2061,1990,u
1779264120.225502,1997,1838,u
1779264120.226487,2034,2020,u
1779264120.226932,2131,2354,u
1779264120.228835,2151,2355,u
1779264120.233303,2085,2024,u
1779264120.2334101,2030,1925,u
1779264120.235837,2048,2015,u
1779264120.237143,2063,1984,u
1779264120.238456,2000,1697,u
1779264120.24102,1997,1828,u
1779264120.2461262,2081,2264,u
1779264120.2470558,2159,2533,u
1779264120.248374,2108,2125,u
1779264120.24863,2027,1847,u
1779264120.253103,2026,1870,u
1779264120.253354,2075,2124,u
1779264120.255585,2058,1946,u
1779264120.257004,2005,1896,u
1779264120.258413,2070,2125,u
1779264120.2608461,2167,2473,u
1779264120.2621708,2154,2261,u
1779264120.26753,2063,1975,u
1779264120.269144,2023,1890,u
1779264120.2703848,2066,2026,u
1779264120.2737339,2028,1967,u
1779264120.274219,1989,1794,u
1779264120.276139,2019,1933,u
1779264120.27676,2112,2394,u
1779264120.2782028,2154,2365,u
