timestamp,ch1,ch2,label
1779263869.5203068,1993,2107,æ
1779263869.520362,2083,1963,æ
1779263869.521577,2174,1834,æ
1779263869.524768,2133,1995,æ
1779263869.52654,2059,2070,æ
1779263869.5284748,2028,2078,æ
1779263869.5295732,2072,2029,æ
1779263869.5320199,2060,2128,æ
1779263869.5328891,2020,2160,æ
1779263869.533016,2066,1986,æ
1779263869.53313,2125,1774,æ
1779263869.534493,2139,1864,æ
1779263869.5371351,2057,2045,æ
1779263869.538538,2005,2088,æ
1779263869.544385,2043,2005,æ
1779263869.546819,2080,2026,æ
1779263869.551184,1995,2156,æ
1779263869.551734,1993,2073,æ
1779263869.552089,2108,1906,æ
1779263869.554475,2198,1778,æ
1779263869.554913,2114,2056,æ
1779263869.555041,2032,2100,æ
1779263869.556467,2049,2086,æ
1779263869.559124,2080,1910,æ
1779263869.5659971,2015,2043,æ
1779263869.5675788,1986,1999,æ
1779263869.567901,2067,1898,æ
1779263869.568198,2169,1813,æ
1779263869.571659,2122,1982,æ
1779263869.5729961,2041,2106,æ
1779263869.573345,2005,2077,æ
1779263869.5755231,2056,1858,æ
1779263869.576892,2030,2077,æ
1779263869.578261,1971,2228,æ
1779263869.585322,2030,2001,æ
1779263869.5863712,2156,1772,æ
1779263869.588084,2167,1815,æ
1779263869.592334,2083,2025,æ
1779263869.592903,2046,2136,æ
1779263869.5954182,2031,2049,æ
1779263869.595507,2075,1932,æ
1779263869.595559,1996,2103,æ
1779263869.596867,2002,1951,æ
1779263869.598315,2083,1809,æ
1779263869.607601,2165,1803,æ
1779263869.609715,2089,1976,æ
1779263869.611156,2029,2049,æ
1779263869.6124601,2029,1993,æ
1779263869.612792,2085,1952,æ
1779263869.6131752,2035,2176,æ
1779263869.613569,1996,2098,æ
1779263869.615808,2058,1925,æ
1779263869.617208,2155,1693,æ
1779263869.618489,2135,1925,æ
1779263869.621102,2052,1973,æ
1779263869.625802,2026,2017,æ
1779263869.6263528,2042,1898,æ
1779263869.626529,2046,1968,æ
1779263869.628747,1983,2038,æ
1779263869.6319182,2038,1974,æ
1779263869.6352441,2157,1870,æ
1779263869.635411,2178,1866,æ
1779263869.636744,2081,1966,æ
1779263869.638131,2028,2069,æ
1779263869.640703,2025,2009,æ
1779263869.6465569,2051,1958,æ
1779263869.647975,1985,2098,æ
1779263869.649559,2021,1991,æ
1779263869.649822,2128,1767,æ
1779263869.652853,2213,1742,æ
1779263869.654112,2110,1922,æ
1779263869.654279,2048,2060,æ
1779263869.656806,2055,2045,æ
1779263869.658165,2108,1947,æ
1779263869.660738,2038,2139,æ
1779263869.662119,1997,2071,æ
1779263869.6679318,2048,1848,æ
1779263869.673119,2161,1756,æ
1779263869.674898,2146,1913,æ
1779263869.6776829,2082,1950,æ
1779263869.6779242,2050,2093,æ
1779263869.6780002,2087,1982,æ
1779263869.678045,2071,2071,æ
1779263869.6781938,2019,2169,æ
1779263869.6808162,2051,2034,æ
1779263869.682184,2156,1737,æ
1779263869.6875782,2171,1804,æ
1779263869.68856,2068,1952,æ
1779263869.6891022,2022,2077,æ
1779263869.692202,2044,1962,æ
1779263869.692713,2062,1890,æ
1779263869.695123,1983,2141,æ
1779263869.697679,1983,2000,æ
1779263869.698991,2120,1755,æ
1779263869.7003021,2187,1730,æ
1779263869.702889,2091,1946,æ
1779263869.7067258,2038,2031,æ
1779263869.707652,2035,2033,æ
1779263869.710142,2098,1932,æ
1779263869.71134,2024,2107,æ
1779263869.714724,1995,2106,æ
1779263869.7149749,2069,1946,æ
1779263869.717221,2188,1772,æ
1779263869.71855,2142,1955,æ
1779263869.72113,2054,2081,æ
1779263869.722624,2009,2116,æ
1779263869.727495,2074,2005,æ
1779263869.728663,2071,2060,æ
1779263869.730912,2004,2081,æ
1779263869.732393,2038,1942,æ
1779263869.733291,2168,1774,æ
1779263869.73575,2199,1771,æ
1779263869.7381299,2112,1970,æ
1779263869.7383401,2046,2096,æ
1779263869.7409768,2054,1999,æ
1779263869.742326,2068,1933,æ
1779263869.747892,2004,2090,æ
1779263869.748832,1999,2042,æ
1779263869.749244,2118,1867,æ
1779263869.7512681,2205,1772,æ
1779263869.754499,2110,1996,æ
1779263869.756172,2027,2046,æ
1779263869.756544,2032,2046,æ
1779263869.7591538,2094,1971,æ
1779263869.7605062,2032,2068,æ
1779263869.763134,2000,2000,æ
1779263869.764708,2072,1840,æ
1779263869.7686882,2204,1681,æ
1779263869.769238,2198,1920,æ
1779263869.771491,2063,2061,æ
1779263869.773618,2039,2069,æ
1779263869.776254,2073,1983,æ
1779263869.7764878,2073,2095,æ
1779263869.778503,2013,2086,æ
1779263869.781033,2040,1949,æ
1779263869.782391,2157,1805,æ
1779263869.788478,2164,1908,æ
1779263869.78864,2051,2040,æ
1779263869.789633,2012,2065,æ
1779263869.791915,2062,2029,æ
1779263869.7940018,2091,1998,æ
1779263869.795467,2022,2135,æ
1779263869.797173,2020,2056,æ
1779263869.79998,2130,1828,æ
1779263869.8001852,2221,1823,æ
1779263869.802725,2151,2058,æ
1779263869.80415,2070,2095,æ
1779263869.8104162,2050,2069,æ
1779263869.8113458,2079,2050,æ
1779263869.8143601,2016,2136,æ
1779263869.816433,1975,2132,æ
1779263869.818174,2023,1912,æ
1779263869.8184562,2192,1792,æ
1779263869.818592,2151,1955,æ
1779263869.82094,2049,2044,æ
1779263869.8224351,2023,2007,æ
1779263869.8251479,2068,1911,æ
1779263869.832854,2083,2035,æ
1779263869.834374,2017,2136,æ
1779263869.8367648,2040,1995,æ
1779263869.838691,2152,1848,æ
1779263869.839099,2185,1884,æ
1779263869.841225,2076,2015,æ
1779263869.8419409,2012,2049,æ
1779263869.842133,2049,2029,æ
1779263869.842228,2064,2042,æ
1779263869.844883,2013,2180,æ
1779263869.846279,2031,2066,æ
