timestamp,ch1,ch2,label
1779267207.471394,2175,2154,4_S
1779267207.472905,2000,2083,4_S
1779267207.477704,1986,2851,4_S
1779267207.480758,2152,2647,4_S
1779267207.481733,2146,1898,4_S
1779267207.485594,2116,1862,4_S
1779267207.4861178,1996,2050,4_S
1779267207.486642,1999,2070,4_S
1779267207.490751,2021,2059,4_S
1779267207.491395,2010,1928,4_S
1779267207.491523,2086,2677,4_S
1779267207.491616,2086,2816,4_S
1779267207.491767,2013,2036,4_S
1779267207.491838,1999,1957,4_S
1779267207.491971,1961,1961,4_S
1779267207.4920802,1894,2067,4_S
1779267207.492177,2112,1871,4_S
1779267207.493539,2215,2123,4_S
1779267207.496253,2158,2276,4_S
1779267207.497391,1898,2946,4_S
1779267207.5070899,1760,2268,4_S
1779267207.510916,2148,1865,4_S
1779267207.511403,2302,1831,4_S
1779267207.511849,2275,1994,4_S
1779267207.512131,2018,1703,4_S
1779267207.515281,2047,2180,4_S
1779267207.517432,2035,2095,4_S
1779267207.5177238,2095,2879,4_S
1779267207.519831,2150,2615,4_S
1779267207.520226,1857,1877,4_S
1779267207.520688,2059,1925,4_S
1779267207.5244029,2040,2145,4_S
1779267207.524491,1926,2010,4_S
1779267207.525898,1956,2099,4_S
1779267207.527263,1953,1937,4_S
1779267207.529989,2109,2640,4_S
1779267207.531233,2048,2934,4_S
1779267207.537764,2096,1985,4_S
1779267207.538605,2138,1960,4_S
1779267207.539329,1996,1979,4_S
1779267207.542193,2019,2142,4_S
1779267207.544766,2020,1909,4_S
1779267207.5456882,2046,2141,4_S
1779267207.548362,2067,2318,4_S
1779267207.548932,2123,3070,4_S
1779267207.551355,2070,2236,4_S
1779267207.55171,2045,1881,4_S
1779267207.55541,2015,1860,4_S
1779267207.555504,2124,2200,4_S
1779267207.5585349,1893,1629,4_S
1779267207.565345,2046,2212,4_S
1779267207.566829,2110,2076,4_S
1779267207.568958,1888,2940,4_S
1779267207.569188,2278,2583,4_S
1779267207.569497,2165,1843,4_S
1779267207.571913,2041,1842,4_S
1779267207.572672,1958,2057,4_S
1779267207.576425,2138,1856,4_S
1779267207.576711,2151,2135,4_S
1779267207.580599,2115,1929,4_S
1779267207.5810518,1972,2640,4_S
1779267207.581132,1971,2846,4_S
1779267207.5838919,2047,1950,4_S
1779267207.5853598,1977,1866,4_S
1779267207.5884311,2061,2012,4_S
1779267207.595546,1993,2137,4_S
1779267207.596396,2071,1929,4_S
1779267207.5966332,1916,2133,4_S
1779267207.597344,2098,2392,4_S
1779267207.599809,2217,3065,4_S
1779267207.600019,2088,2207,4_S
1779267207.6025229,2039,1891,4_S
1779267207.6048908,2135,1976,4_S
1779267207.6069708,2067,2191,4_S
1779267207.607579,2035,1633,4_S
1779267207.6120288,1905,2220,4_S
1779267207.612366,2058,2061,4_S
1779267207.613736,2064,2976,4_S
1779267207.615386,1964,2543,4_S
1779267207.6213691,2076,1837,4_S
1779267207.623004,1996,1882,4_S
1779267207.6238358,2030,2061,4_S
1779267207.626501,2089,1866,4_S
1779267207.62897,1987,2151,4_S
1779267207.631499,2019,1925,4_S
1779267207.6318169,2229,2680,4_S
1779267207.634003,2063,2856,4_S
1779267207.6342988,2010,1939,4_S
1779267207.6381,1917,1944,4_S
1779267207.6388092,2092,1968,4_S
1779267207.639956,2134,2037,4_S
1779267207.641443,1985,1968,4_S
1779267207.644098,1957,2139,4_S
1779267207.645736,1983,2361,4_S
1779267207.653478,2070,3014,4_S
1779267207.653721,2165,2181,4_S
1779267207.657266,2102,1874,4_S
1779267207.661264,2091,1842,4_S
1779267207.6634629,1946,2107,4_S
1779267207.663743,1976,1671,4_S
1779267207.6641479,1974,2219,4_S
1779267207.66682,2136,2030,4_S
1779267207.667257,2213,3162,4_S
1779267207.6676722,1997,2493,4_S
1779267207.6680908,2197,1826,4_S
1779267207.67156,2059,1740,4_S
1779267207.672543,1976,2082,4_S
1779267207.674186,1943,1837,4_S
1779267207.676619,2081,2158,4_S
1779267207.687744,2099,1874,4_S
1779267207.68828,2071,2532,4_S
1779267207.688985,1997,2747,4_S
1779267207.692035,1970,1923,4_S
1779267207.693108,2020,1947,4_S
1779267207.693381,2027,2019,4_S
1779267207.695773,2054,2108,4_S
1779267207.698567,2053,1976,4_S
1779267207.699019,1977,2127,4_S
1779267207.699209,2107,2378,4_S
1779267207.69954,2178,3013,4_S
1779267207.700286,2075,2169,4_S
1779267207.704917,1961,1888,4_S
1779267207.7050931,1933,1900,4_S
1779267207.705173,2074,2177,4_S
1779267207.70783,2089,1678,4_S
1779267207.709176,2071,2220,4_S
1779267207.711979,2021,2096,4_S
1779267207.714217,2001,2912,4_S
1779267207.721965,2157,2507,4_S
1779267207.722951,2070,1837,4_S
1779267207.725184,2023,1883,4_S
1779267207.734009,1995,2110,4_S
1779267207.734505,2086,1809,4_S
1779267207.737447,2099,2166,4_S
1779267207.7378,2061,1906,4_S
1779267207.738215,2085,2722,4_S
1779267207.7385,2043,2792,4_S
1779267207.738812,1930,1917,4_S
1779267207.739308,2103,1816,4_S
1779267207.739809,2073,1982,4_S
1779267207.740014,2027,1990,4_S
1779267207.744695,1915,1981,4_S
1779267207.745109,1970,2111,4_S
1779267207.745186,2055,2386,4_S
1779267207.7478871,2005,3060,4_S
1779267207.755983,2010,2154,4_S
1779267207.756242,2313,1899,4_S
1779267207.7611651,1860,1840,4_S
1779267207.761816,1913,2061,4_S
1779267207.76272,2294,1711,4_S
1779267207.765463,2104,2209,4_S
1779267207.766693,2056,2015,4_S
1779267207.769331,2023,2956,4_S
1779267207.7695959,2134,2470,4_S
1779267207.7725382,2078,1832,4_S
1779267207.7729878,2058,1915,4_S
1779267207.773488,2020,2096,4_S
1779267207.773949,1990,1754,4_S
1779267207.778383,2003,2187,4_S
1779267207.778574,2087,1884,4_S
1779267207.780053,2074,2719,4_S
1779267207.7815669,2007,2813,4_S
1779267207.785494,1979,1893,4_S
1779267207.785582,2109,1881,4_S
1779267207.787251,2047,2018,4_S
1779267207.796333,2077,1972,4_S
1779267207.797358,2056,2023,4_S
1779267207.803185,2129,2117,4_S
1779267207.80559,2088,2459,4_S
1779267207.806119,1969,3046,4_S
1779267207.8093078,2062,2116,4_S
1779267207.810006,2084,1897,4_S
1779267207.810385,1943,1968,4_S
1779267207.8105779,1910,2228,4_S
1779267207.8109639,1895,1731,4_S
1779267207.8112268,2249,2226,4_S
1779267207.811486,2219,2090,4_S
1779267207.816124,1970,3019,4_S
1779267207.8162959,1979,2451,4_S
1779267207.8176918,2086,1827,4_S
1779267207.819411,1956,1945,4_S
1779267207.826828,1912,2182,4_S
1779267207.827947,2043,1762,4_S
1779267207.829668,2252,2197,4_S
1779267207.832426,2164,1912,4_S
1779267207.832949,2135,2921,4_S
1779267207.835595,2094,2876,4_S
1779267207.83586,2135,1878,4_S
1779267207.8367229,2216,1885,4_S
1779267207.839396,2057,1988,4_S
1779267207.8429089,2001,1996,4_S
1779267207.843468,1988,2041,4_S
1779267207.843773,1898,2103,4_S
1779267207.848247,2030,2503,4_S
1779267207.848341,2044,3029,4_S
1779267207.849715,1843,2098,4_S
1779267207.851137,2064,1909,4_S
1779267207.853816,2144,1957,4_S
1779267207.855202,2150,2082,4_S
1779267207.856965,2114,1773,4_S
1779267207.864296,2008,2220,4_S
1779267207.865272,1825,2118,4_S
1779267207.8662138,1954,3042,4_S
1779267207.869747,2259,2406,4_S
1779267207.87043,2244,1828,4_S
1779267207.8707259,1974,1953,4_S
1779267207.877205,2012,2137,4_S
1779267207.8809001,2002,1671,4_S
1779267207.8811882,1892,2218,4_S
1779267207.8815072,2063,1861,4_S
1779267207.8818681,2317,2837,4_S
1779267207.8830569,2111,2806,4_S
1779267207.8835342,2049,1853,4_S
1779267207.8872168,1910,1977,4_S
1779267207.888452,2015,2110,4_S
1779267207.889834,2137,2139,4_S
1779267207.891209,2052,2062,4_S
1779267207.898879,2022,2118,4_S
1779267207.9007812,2017,2411,4_S
1779267207.9017222,2065,3045,4_S
1779267207.904323,2003,2076,4_S
1779267207.904626,2055,1886,4_S
1779267207.904989,2115,1885,4_S
1779267207.9053838,2041,2080,4_S
1779267207.909288,2077,1783,4_S
1779267207.911797,2117,2229,4_S
1779267207.912052,2169,2145,4_S
1779267207.91574,1976,3078,4_S
1779267207.916094,1795,2393,4_S
1779267207.919789,2134,1824,4_S
1779267207.921053,1985,1976,4_S
1779267207.921133,1896,2175,4_S
1779267207.923677,1982,1718,4_S
1779267207.9250538,2139,2220,4_S
1779267207.927705,2125,1876,4_S
1779267207.929059,2069,2893,4_S
1779267207.9365351,2115,2812,4_S
1779267207.939062,2139,1850,4_S
1779267207.939334,2023,1890,4_S
1779267207.939573,1969,2007,4_S
1779267207.9404852,2098,1934,4_S
1779267207.943083,2056,2079,4_S
1779267207.9436119,1996,2094,4_S
1779267207.946825,1872,2424,4_S
1779267207.950072,1907,2998,4_S
1779267207.950309,2224,2058,4_S
1779267207.954734,2134,1906,4_S
1779267207.9551308,2244,1943,4_S
1779267207.955551,2195,2112,4_S
1779267207.9602282,1996,1805,4_S
1779267207.960314,2061,2227,4_S
1779267207.961838,2006,2208,4_S
1779267207.963211,2114,3108,4_S
1779267207.970527,2121,2368,4_S
1779267207.972136,2107,1828,4_S
1779267207.97524,1938,2012,4_S
1779267207.975878,1943,2260,4_S
1779267207.97612,2032,1651,4_S
1779267207.980267,2097,2232,4_S
1779267207.9815,2093,1884,4_S
1779267207.983903,2145,2886,4_S
1779267207.992535,2116,2787,4_S
1779267207.993949,1912,1836,4_S
1779267207.994045,1762,1958,4_S
1779267207.994117,2010,2038,4_S
