timestamp,ch1,ch2,label
1779267309.007465,2062,1588,7
1779267309.010719,2062,1781,7
1779267309.0113559,1975,2153,7
1779267309.012811,2069,2436,7
1779267309.01481,2039,1995,7
1779267309.017576,2033,1785,7
1779267309.0194502,2083,1822,7
1779267309.023187,2053,1827,7
1779267309.024244,2190,1404,7
1779267309.024307,1999,1889,7
1779267309.026888,1957,1950,7
1779267309.0281742,1964,2555,7
1779267309.0349271,2031,2192,7
1779267309.0356102,2023,1802,7
1779267309.036803,2106,1761,7
1779267309.041939,1953,1994,7
1779267309.042803,1907,1637,7
1779267309.045564,2255,1849,7
1779267309.0458298,2238,1706,7
1779267309.046087,1994,2439,7
1779267309.0463161,1949,2402,7
1779267309.048793,2133,1893,7
1779267309.050154,2078,1672,7
1779267309.0527658,1928,1806,7
1779267309.054278,2042,1681,7
1779267309.0617101,2265,1705,7
1779267309.063272,1967,1881,7
1779267309.065397,1929,2171,7
1779267309.067958,1984,2501,7
1779267309.0705678,2096,2014,7
1779267309.071855,2165,1751,7
1779267309.072798,2023,1818,7
1779267309.075758,1935,1890,7
1779267309.076083,2008,1454,7
1779267309.076143,1947,1975,7
1779267309.076194,2213,1998,7
1779267309.083767,2260,2635,7
1779267309.092065,2184,2279,7
1779267309.094111,1973,1896,7
1779267309.097825,1746,1736,7
1779267309.0979772,2046,2032,7
1779267309.0980558,2073,1652,7
1779267309.098148,2064,1940,7
1779267309.098218,2006,1813,7
1779267309.098281,1972,2498,7
1779267309.098381,2018,2363,7
1779267309.0985,2026,1952,7
1779267309.100555,2064,1769,7
1779267309.102035,1994,1946,7
1779267309.112988,1982,1843,7
1779267309.1159942,2064,1766,7
1779267309.1195362,2202,1958,7
1779267309.120461,1904,2421,7
1779267309.120928,1978,2688,7
1779267309.121495,2191,2172,7
1779267309.1245492,1995,1852,7
1779267309.124636,1991,1929,7
1779267309.1247098,2058,2072,7
1779267309.1248279,2129,1532,7
1779267309.124966,1982,2057,7
1779267309.126394,1828,2143,7
1779267309.133409,1981,2727,7
1779267309.135782,1970,2302,7
1779267309.136356,2061,1850,7
1779267309.136586,2300,1803,7
1779267309.138744,2034,2040,7
1779267309.139671,1965,1692,7
1779267309.141601,2040,1995,7
1779267309.1432269,2172,1914,7
1779267309.146621,2224,2698,7
1779267309.1467369,2115,2493,7
1779267309.148118,2003,1969,7
1779267309.150795,2072,1829,7
1779267309.152212,2012,2035,7
1779267309.1588428,2010,1816,7
1779267309.162011,2045,1834,7
1779267309.162422,1910,1994,7
1779267309.166483,1989,2329,7
1779267309.168282,2106,2663,7
1779267309.168819,2140,2215,7
1779267309.1692312,1906,1854,7
1779267309.169853,1936,1904,7
1779267309.172905,1869,2041,7
1779267309.173481,1990,1569,7
1779267309.1749618,2061,2107,7
1779267309.180477,1888,2215,7
1779267309.184245,2060,2793,7
1779267309.184882,2392,2293,7
1779267309.187731,2310,1914,7
1779267309.191222,1771,1858,7
1779267309.191939,1849,2108,7
1779267309.1954072,2035,1702,7
1779267309.195574,2374,2052,7
1779267309.195734,2143,1971,7
1779267309.1958048,2033,2729,7
1779267309.1959648,2051,2488,7
1779267309.198623,1983,2023,7
1779267309.199987,2058,1836,7
1779267309.207402,1957,2089,7
1779267309.211373,2113,1893,7
1779267309.2132149,2117,1879,7
1779267309.214682,1887,2033,7
1779267309.216458,1827,2456,7
1779267309.2167711,2149,2692,7
1779267309.21926,2004,2152,7
1779267309.220232,2047,1855,7
1779267309.2205608,2058,1947,7
1779267309.223713,2104,2065,7
1779267309.2239099,2039,1601,7
1779267309.2240052,1888,2127,7
1779267309.2267709,2154,2286,7
1779267309.2315059,2362,2880,7
1779267309.232824,1957,2395,7
1779267309.23354,1584,1931,7
1779267309.236154,1995,1837,7
1779267309.2366521,2070,2100,7
1779267309.2391732,2321,1724,7
1779267309.242877,2003,2080,7
1779267309.2431848,1701,1987,7
1779267309.246523,2100,2738,7
1779267309.246846,2434,2490,7
1779267309.2482162,2018,2017,7
1779267309.2509272,1867,1834,7
1779267309.252322,2172,2080,7
1779267309.25884,2070,1911,7
1779267309.261749,2220,1908,7
1779267309.2621639,2200,2035,7
1779267309.262478,1963,2530,7
1779267309.264661,1811,2707,7
1779267309.2654212,2025,2160,7
1779267309.267182,2181,1851,7
1779267309.269259,2053,1913,7
1779267309.272811,2100,1979,7
