timestamp,ch1,ch2,label
1779267634.25792,2048,1832,dudu
1779267634.261864,2068,2041,dudu
1779267634.262602,2058,2065,dudu
1779267634.2627761,1993,1722,dudu
1779267634.2644491,1978,1933,dudu
1779267634.264571,1996,2396,dudu
1779267634.267852,2053,2548,dudu
1779267634.270258,2067,2121,dudu
1779267634.270991,2035,1835,dudu
1779267634.272941,2025,1913,dudu
1779267634.274497,2048,2132,dudu
1779267634.2776792,2026,1860,dudu
1779267634.2778041,1985,1826,dudu
1779267634.280407,1975,2186,dudu
1779267634.2816482,2041,2590,dudu
1779267634.284044,2113,2320,dudu
1779267634.289123,2086,1957,dudu
1779267634.290335,2087,1804,dudu
1779267634.291532,1998,2060,dudu
1779267634.293592,1971,1953,dudu
1779267634.293801,2153,1718,dudu
1779267634.2978518,1983,2006,dudu
1779267634.29908,2070,2466,dudu
1779267634.3025339,2071,2408,dudu
1779267634.302699,2045,1991,dudu
1779267634.304276,2049,1777,dudu
1779267634.305661,2056,1915,dudu
1779267634.308494,1976,2083,dudu
1779267634.312971,2025,1718,dudu
1779267634.315076,2031,1834,dudu
1779267634.3171241,2101,2324,dudu
1779267634.3195462,1995,2500,dudu
1779267634.3197381,2104,2072,dudu
1779267634.321856,2117,1866,dudu
1779267634.3221881,1953,1884,dudu
1779267634.323638,2006,2141,dudu
1779267634.326497,2152,1849,dudu
1779267634.327818,2106,1839,dudu
1779267634.3341398,2113,2214,dudu
1779267634.337879,2132,2578,dudu
1779267634.3380291,1951,2220,dudu
1779267634.33824,1967,1868,dudu
1779267634.338541,1994,1855,dudu
1779267634.3425019,1927,2092,dudu
1779267634.34273,2109,1995,dudu
1779267634.3444889,2104,1816,dudu
1779267634.347955,2070,2088,dudu
1779267634.348095,2020,2530,dudu
1779267634.3494568,2084,2384,dudu
1779267634.352103,2032,1920,dudu
1779267634.353515,2082,1819,dudu
1779267634.3612318,2045,2008,dudu
1779267634.3683891,2067,2032,dudu
1779267634.37148,2011,1654,dudu
1779267634.375133,1984,1795,dudu
1779267634.375297,1997,2347,dudu
1779267634.375472,2057,2548,dudu
1779267634.3756,2064,2088,dudu
1779267634.375689,2103,1825,dudu
1779267634.375788,2052,1848,dudu
1779267634.37586,2034,2149,dudu
1779267634.3759518,2079,1845,dudu
1779267634.38555,1993,1813,dudu
1779267634.3876789,1947,2186,dudu
1779267634.3883562,2017,2611,dudu
1779267634.390825,1988,2309,dudu
1779267634.394944,2000,1894,dudu
1779267634.395742,2119,1777,dudu
1779267634.3963258,2109,2048,dudu
1779267634.396708,2076,1927,dudu
1779267634.397351,2066,1756,dudu
1779267634.399859,2087,2001,dudu
1779267634.400567,2009,2458,dudu
1779267634.401021,2072,2401,dudu
1779267634.402386,2069,1956,dudu
1779267634.4039109,1986,1807,dudu
1779267634.4065611,2013,1996,dudu
1779267634.4203038,1979,2124,dudu
1779267634.422129,1996,1768,dudu
1779267634.4227252,2059,1976,dudu
1779267634.423244,2033,2357,dudu
1779267634.423743,2049,2566,dudu
1779267634.4239979,2060,2099,dudu
1779267634.426473,2082,1883,dudu
1779267634.4274828,2111,1867,dudu
1779267634.427587,2107,2110,dudu
1779267634.427705,2007,1855,dudu
1779267634.427798,2037,1771,dudu
1779267634.4386072,2076,2144,dudu
1779267634.439237,2076,2541,dudu
1779267634.443572,2057,2254,dudu
1779267634.443955,2014,1920,dudu
1779267634.445793,1994,1939,dudu
1779267634.446111,1999,2152,dudu
1779267634.4464052,2031,2017,dudu
1779267634.446961,2040,1757,dudu
1779267634.447309,2041,2067,dudu
1779267634.447674,2181,2474,dudu
1779267634.4506009,2187,2380,dudu
1779267634.451984,1937,1971,dudu
1779267634.4546392,1993,1776,dudu
1779267634.456029,2073,1989,dudu
1779267634.4623702,2057,2054,dudu
1779267634.466144,2001,1759,dudu
1779267634.466677,2035,1891,dudu
1779267634.469441,2055,2351,dudu
1779267634.471286,2067,2584,dudu
1779267634.473217,1989,2136,dudu
1779267634.473699,1968,1852,dudu
1779267634.474281,2182,1871,dudu
1779267634.4745579,2089,2084,dudu
1779267634.4775739,2038,1849,dudu
1779267634.477977,2012,1900,dudu
1779267634.48618,2005,2235,dudu
1779267634.489365,2042,2536,dudu
1779267634.4899359,2117,2274,dudu
1779267634.490119,2058,1965,dudu
1779267634.4926531,2065,1847,dudu
1779267634.494573,2008,2088,dudu
1779267634.496477,1957,1939,dudu
1779267634.496782,2105,1769,dudu
1779267634.497314,2049,2064,dudu
1779267634.497546,2130,2453,dudu
1779267634.500619,2035,2421,dudu
1779267634.5018291,1995,2011,dudu
1779267634.5044758,2027,1821,dudu
1779267634.505857,2080,1999,dudu
1779267634.512415,2112,2092,dudu
1779267634.512706,2065,1772,dudu
1779267634.514121,1990,1884,dudu
1779267634.514822,2103,2371,dudu
1779267634.516949,2064,2634,dudu
1779267634.5199502,1981,2141,dudu
1779267634.521951,1999,1873,dudu
1779267634.523946,2000,1892,dudu
1779267634.52442,2096,2130,dudu
1779267634.527811,2040,1802,dudu
1779267634.5278962,1962,1760,dudu
1779267634.536523,2049,2178,dudu
1779267634.5391612,2149,2553,dudu
1779267634.539558,2196,2245,dudu
1779267634.539828,2150,1919,dudu
1779267634.540027,2128,1866,dudu
1779267634.544123,2046,2116,dudu
1779267634.546344,1959,2055,dudu
1779267634.5467799,2009,1796,dudu
1779267634.547568,2073,2042,dudu
1779267634.551336,2026,2472,dudu
1779267634.5514722,1976,2462,dudu
1779267634.551567,1989,2001,dudu
1779267634.554084,1976,1771,dudu
1779267634.555477,2048,1939,dudu
1779267634.563358,2051,2100,dudu
1779267634.566345,2058,1746,dudu
1779267634.56691,2056,1867,dudu
1779267634.571488,2029,2338,dudu
1779267634.5737019,2072,2593,dudu
1779267634.5742679,2086,2139,dudu
1779267634.5746639,2049,1864,dudu
1779267634.5753632,2045,1864,dudu
1779267634.575812,2069,2155,dudu
1779267634.578262,2103,1934,dudu
1779267634.579354,2008,1770,dudu
1779267634.579479,2003,2130,dudu
1779267634.582138,2060,2527,dudu
1779267634.5879931,2055,2252,dudu
1779267634.589319,2030,2015,dudu
1779267634.592438,1946,1888,dudu
1779267634.592927,2024,2111,dudu
1779267634.593297,2131,1970,dudu
1779267634.595649,1976,1822,dudu
1779267634.598031,2032,2071,dudu
1779267634.600172,2097,2536,dudu
1779267634.600606,2106,2430,dudu
1779267634.604217,2067,1963,dudu
1779267634.604404,2046,1784,dudu
1779267634.605803,2042,1930,dudu
1779267634.6084092,2094,2047,dudu
1779267634.609809,2013,1734,dudu
1779267634.616493,1995,1870,dudu
1779267634.6178062,2050,2304,dudu
1779267634.62027,2095,2541,dudu
1779267634.624369,2030,2121,dudu
1779267634.6246521,2057,1849,dudu
1779267634.6248949,2029,1856,dudu
1779267634.627483,2033,2151,dudu
1779267634.628223,2050,1890,dudu
1779267634.628532,2048,1820,dudu
1779267634.631936,2062,2148,dudu
1779267634.632052,1991,2588,dudu
1779267634.6337438,1976,2327,dudu
1779267634.638716,2012,1993,dudu
1779267634.640076,2036,1840,dudu
1779267634.6423979,2032,2087,dudu
1779267634.642876,2061,1991,dudu
1779267634.645073,2102,1753,dudu
1779267634.6473799,2059,1964,dudu
1779267634.647618,2099,2384,dudu
1779267634.649942,2116,2413,dudu
1779267634.652638,2072,2018,dudu
1779267634.654003,2034,1841,dudu
1779267634.656681,2034,1969,dudu
1779267634.658091,2027,2081,dudu
1779267634.65952,1995,1789,dudu
1779267634.6657841,1992,1933,dudu
1779267634.6689348,2011,2346,dudu
1779267634.669438,2092,2577,dudu
1779267634.671977,2086,2060,dudu
1779267634.673611,2039,1814,dudu
1779267634.673902,2003,1828,dudu
1779267634.67629,2049,2121,dudu
1779267634.676749,2075,1846,dudu
1779267634.67945,2030,1792,dudu
1779267634.680183,2036,2190,dudu
1779267634.68164,2093,2551,dudu
1779267634.689037,2090,2324,dudu
1779267634.691371,2055,1950,dudu
1779267634.691767,2029,1834,dudu
1779267634.692155,2025,2106,dudu
1779267634.694211,2050,2015,dudu
1779267634.6950881,2022,1767,dudu
1779267634.69681,2039,2059,dudu
1779267634.699032,2061,2507,dudu
1779267634.702488,2058,2491,dudu
1779267634.702595,2053,2030,dudu
1779267634.7040799,2022,1809,dudu
1779267634.7055,2050,1931,dudu
1779267634.7082,2062,2066,dudu
1779267634.7148721,2059,1718,dudu
1779267634.716157,2076,1823,dudu
1779267634.7181408,2021,2243,dudu
1779267634.718766,2084,2508,dudu
1779267634.7211158,2069,2155,dudu
1779267634.721927,2030,1862,dudu
1779267634.723787,2035,1876,dudu
1779267634.726227,2043,2133,dudu
1779267634.726592,2073,1850,dudu
1779267634.7299688,2071,1841,dudu
1779267634.730073,2034,2147,dudu
1779267634.7315578,2025,2588,dudu
1779267634.7382889,2071,2375,dudu
1779267634.741586,2059,1967,dudu
1779267634.742021,2047,1878,dudu
1779267634.743995,2056,2091,dudu
1779267634.746388,2071,2028,dudu
1779267634.7467022,2047,1738,dudu
1779267634.7496,2113,1933,dudu
1779267634.75012,2118,2401,dudu
1779267634.753537,2112,2446,dudu
1779267634.753694,2108,1997,dudu
1779267634.753804,2091,1783,dudu
1779267634.7564979,2079,1973,dudu
1779267634.757851,2110,2168,dudu
1779267634.7662709,2074,1806,dudu
1779267634.76893,2043,1975,dudu
1779267634.769506,2151,2307,dudu
1779267634.77382,2162,2617,dudu
1779267634.7742121,2179,2182,dudu
1779267634.777475,2073,1883,dudu
1779267634.77809,2017,1892,dudu
