timestamp,ch1,ch2,label
1779266628.038838,2124,1680,i
1779266628.044241,2008,1797,i
1779266628.046216,1947,2314,i
1779266628.054636,2003,2657,i
1779266628.064642,2010,2250,i
1779266628.064752,2119,1900,i
1779266628.064831,2040,1712,i
1779266628.0650089,2135,1987,i
1779266628.065231,2177,1764,i
1779266628.065415,1972,1749,i
1779266628.0657449,1959,2068,i
1779266628.065871,2053,2604,i
1779266628.065954,2152,2369,i
1779266628.0660212,2162,1931,i
1779266628.066083,2102,1774,i
1779266628.0661461,1978,2079,i
1779266628.0662131,1999,2002,i
1779266628.067738,2113,1724,i
1779266628.070494,2089,1906,i
1779266628.071993,1999,2380,i
1779266628.0736299,2012,2474,i
1779266628.096231,2063,2007,i
1779266628.0966122,2042,1783,i
1779266628.097117,2014,1944,i
1779266628.097752,2001,2187,i
1779266628.098358,2061,1806,i
1779266628.0988429,2062,1803,i
1779266628.1044302,2021,2286,i
1779266628.104565,2090,2613,i
1779266628.104646,2040,2174,i
1779266628.1047192,2022,1858,i
1779266628.104791,2128,1890,i
1779266628.1048582,2044,2145,i
1779266628.104976,2118,1863,i
1779266628.105078,2127,1802,i
1779266628.105217,1991,2087,i
1779266628.105362,1943,2564,i
1779266628.107924,2145,2340,i
1779266628.109351,2110,1926,i
1779266628.111973,2031,1782,i
1779266628.12026,1971,2016,i
1779266628.121057,1988,1983,i
1779266628.121336,2069,1692,i
1779266628.12225,2030,1904,i
1779266628.1305711,2024,2381,i
1779266628.131826,2106,2478,i
1779266628.136845,2079,1958,i
1779266628.137446,2071,1649,i
1779266628.142653,2070,1745,i
1779266628.14326,2091,1944,i
1779266628.143349,2110,1525,i
1779266628.1436338,2136,1793,i
1779266628.143832,2001,2165,i
1779266628.143994,1895,2518,i
1779266628.144181,2136,2050,i
1779266628.144295,2049,1683,i
1779266628.145719,2021,1655,i
1779266628.1569622,2064,2049,i
1779266628.15779,2024,1810,i
1779266628.1624918,2001,1707,i
1779266628.163418,2020,1966,i
1779266628.163712,2009,2557,i
1779266628.1639411,1972,2475,i
1779266628.164294,2077,2021,i
1779266628.168311,2166,1768,i
1779266628.1739788,2054,2033,i
1779266628.178425,2027,2040,i
1779266628.1787179,2048,1637,i
1779266628.178887,2038,1877,i
1779266628.179185,2045,2368,i
1779266628.17933,2095,2451,i
1779266628.179509,2065,1987,i
1779266628.179585,1951,1768,i
1779266628.1796522,2072,1966,i
1779266628.181262,2122,2161,i
1779266628.184154,2102,1782,i
1779266628.185604,2041,1860,i
1779266628.188287,2052,2454,i
1779266628.196367,2163,2907,i
1779266628.197574,2089,2261,i
1779266628.198518,2032,1902,i
1779266628.199509,2026,1904,i
1779266628.203487,2060,2180,i
1779266628.207236,1942,1932,i
1779266628.211245,1935,1793,i
1779266628.214614,2030,2168,i
1779266628.2212312,2033,2681,i
1779266628.221359,1998,2457,i
1779266628.221437,2038,2068,i
1779266628.221503,2170,1884,i
1779266628.221567,2080,2045,i
1779266628.221631,2027,2123,i
1779266628.2217019,1922,1835,i
1779266628.2217731,2037,1980,i
1779266628.221844,2211,2483,i
1779266628.2235231,2160,2634,i
1779266628.2367842,2084,2219,i
1779266628.239969,2083,2038,i
1779266628.2406552,2080,2091,i
1779266628.2469451,2041,2332,i
1779266628.247537,2079,1960,i
1779266628.247786,2042,1967,i
1779266628.2481222,2030,2420,i
1779266628.2485278,1948,2756,i
1779266628.248727,2023,2303,i
1779266628.2491882,2006,1899,i
1779266628.2495801,2062,1798,i
1779266628.2533162,2063,2158,i
1779266628.2545102,2122,1977,i
1779266628.254603,2154,1752,i
1779266628.2546759,2026,2096,i
1779266628.2561421,2051,2670,i
1779266628.257519,2097,2508,i
1779266628.260194,2066,2050,i
1779266628.261743,2070,1900,i
1779266628.263484,1991,2152,i
1779266628.2721221,2038,2179,i
1779266628.272305,2044,1847,i
1779266628.274367,2049,2104,i
1779266628.277531,2042,2567,i
1779266628.2780192,2076,2652,i
1779266628.280329,2040,2185,i
1779266628.280593,2124,1967,i
1779266628.2816598,2066,2119,i
1779266628.281932,2022,2296,i
1779266628.285548,2026,1859,i
1779266628.285795,2031,1895,i
1779266628.288689,2013,2307,i
1779266628.2934139,2072,2687,i
1779266628.293568,2109,2199,i
1779266628.2936451,2045,1771,i
1779266628.296343,2025,1655,i
1779266628.297766,1964,1920,i
1779266628.3071759,2019,1762,i
1779266628.310625,2157,1735,i
1779266628.314595,2062,2006,i
1779266628.31586,2038,2520,i
1779266628.318772,2163,2414,i
1779266628.32185,2053,2013,i
1779266628.322133,2037,1863,i
1779266628.3224618,2027,2120,i
1779266628.3228521,2033,2189,i
1779266628.3232992,1953,1802,i
1779266628.3239522,2048,2018,i
1779266628.3244328,2046,2580,i
1779266628.32888,1933,2767,i
1779266628.328971,2081,2233,i
1779266628.3293152,2120,1899,i
1779266628.329495,2035,1937,i
1779266628.3321202,2069,2167,i
1779266628.3334599,2052,1864,i
1779266628.336253,1985,1828,i
1779266628.337715,2017,2247,i
1779266628.352326,2082,2492,i
1779266628.356976,2112,2116,i
1779266628.363082,2048,1714,i
1779266628.363582,2056,1667,i
1779266628.364789,2106,1968,i
1779266628.3682308,2052,1773,i
1779266628.3697312,2007,1713,i
1779266628.369823,1972,1997,i
1779266628.369898,2039,2481,i
1779266628.3699682,2092,2406,i
1779266628.370122,2055,1989,i
1779266628.3702772,1965,1846,i
1779266628.3703449,2020,2117,i
1779266628.370409,2101,2135,i
1779266628.3705,2052,1706,i
1779266628.370589,2049,1935,i
1779266628.371976,2123,2465,i
1779266628.373609,2100,2628,i
1779266628.386909,2036,2180,i
1779266628.387243,2028,1886,i
1779266628.387666,2063,1916,i
1779266628.3922439,2055,2090,i
1779266628.3974888,2058,1798,i
1779266628.3981051,2022,1873,i
1779266628.3984482,2039,2279,i
1779266628.399306,2024,2626,i
1779266628.4028459,2035,2240,i
1779266628.40515,2064,1889,i
1779266628.405248,2053,1873,i
1779266628.405324,2074,2115,i
1779266628.405395,2062,1923,i
1779266628.405466,2044,1749,i
1779266628.405536,2062,2159,i
1779266628.4056058,2059,2709,i
1779266628.408298,2073,2542,i
1779266628.409686,2049,2096,i
1779266628.412344,2028,1956,i
1779266628.4326599,2037,2124,i
1779266628.43693,2066,2161,i
1779266628.437438,2050,1854,i
1779266628.4421482,2043,2109,i
1779266628.4423192,2038,2544,i
1779266628.442399,2064,2639,i
1779266628.442475,2089,2140,i
1779266628.442539,2034,1887,i
1779266628.4426,2032,1903,i
1779266628.442663,2051,2153,i
1779266628.442723,2033,1807,i
1779266628.442791,2018,1868,i
1779266628.442857,2028,2209,i
1779266628.44292,2063,2588,i
1779266628.442986,2059,2285,i
1779266628.445431,2086,1823,i
1779266628.445984,2040,1731,i
1779266628.459614,2048,1994,i
1779266628.460016,2091,1823,i
1779266628.463392,2063,1731,i
1779266628.463679,2015,1914,i
1779266628.4638562,2018,2544,i
1779266628.4671628,2066,2421,i
1779266628.4676638,2045,1893,i
1779266628.471017,2072,1736,i
1779266628.4713879,2013,2013,i
1779266628.472477,2077,2061,i
1779266628.472972,2055,1629,i
1779266628.4766378,2033,1836,i
1779266628.477102,2044,2349,i
1779266628.478118,2041,2568,i
1779266628.478625,2055,2188,i
1779266628.479264,2031,1947,i
1779266628.479856,2062,1976,i
1779266628.481295,2070,2165,i
1779266628.485155,2060,1883,i
1779266628.4852512,1984,1867,i
1779266628.487974,1961,2281,i
1779266628.4969869,2079,2738,i
1779266628.498166,2012,2328,i
1779266628.5010781,1990,1847,i
1779266628.501419,2091,1794,i
1779266628.5043561,2087,2113,i
1779266628.504569,2293,1959,i
1779266628.504813,2097,1757,i
1779266628.505044,1874,2051,i
1779266628.505277,2248,2520,i
1779266628.5100758,1977,2521,i
1779266628.513255,1759,2161,i
1779266628.5135958,2077,1847,i
1779266628.513938,2375,1928,i
1779266628.5179148,2108,1904,i
1779266628.518615,2370,1803,i
