timestamp,ch1,ch2,label
1779267580.405911,1950,1503,swallow
1779267580.406411,2153,2423,swallow
1779267580.415689,2030,2028,swallow
1779267580.4160361,2071,3165,swallow
1779267580.41783,2013,2739,swallow
1779267580.418509,1990,1712,swallow
1779267580.4223921,1999,1989,swallow
1779267580.422849,1957,2719,swallow
1779267580.423178,2218,1478,swallow
1779267580.423457,2079,2240,swallow
1779267580.4237251,2033,2286,swallow
1779267580.427086,2153,2583,swallow
1779267580.428443,2182,3326,swallow
1779267580.4297879,2040,1931,swallow
1779267580.432703,2022,1779,swallow
1779267580.43963,2030,2740,swallow
1779267580.4403389,2053,2048,swallow
1779267580.4409962,2167,1888,swallow
1779267580.4412239,2081,2409,swallow
1779267580.4433632,1995,2004,swallow
1779267580.44617,2080,3769,swallow
1779267580.447794,2125,2285,swallow
1779267580.448023,2080,1680,swallow
1779267580.452728,2066,2325,swallow
1779267580.452818,2063,2475,swallow
1779267580.454266,1971,1458,swallow
1779267580.4556391,2003,2399,swallow
1779267580.458262,2136,2034,swallow
1779267580.468004,2094,3367,swallow
1779267580.46835,2189,2755,swallow
1779267580.4708102,2045,1738,swallow
1779267580.473449,2144,2007,swallow
1779267580.47537,2234,2797,swallow
1779267580.475996,1981,1515,swallow
1779267580.478501,2047,2220,swallow
1779267580.479508,1958,2280,swallow
1779267580.479846,1956,2700,swallow
1779267580.479928,1954,3333,swallow
1779267580.48,2087,1948,swallow
1779267580.494068,2089,1796,swallow
1779267580.495968,2028,2762,swallow
1779267580.496503,2010,2072,swallow
1779267580.496759,2032,1876,swallow
1779267580.500176,2126,2397,swallow
1779267580.500265,2183,2000,swallow
1779267580.5003362,2031,3844,swallow
1779267580.500405,2126,2288,swallow
1779267580.500468,2062,1688,swallow
1779267580.500629,1977,2340,swallow
1779267580.5024168,2029,2524,swallow
1779267580.5038028,2124,1456,swallow
1779267580.506579,1965,2395,swallow
1779267580.511903,2086,2030,swallow
1779267580.513053,2138,3733,swallow
1779267580.513867,2076,2716,swallow
1779267580.516282,2045,1739,swallow
1779267580.51693,2092,2044,swallow
1779267580.519134,2107,2731,swallow
1779267580.522974,2063,1469,swallow
1779267580.523475,2101,2237,swallow
1779267580.523819,2046,2248,swallow
1779267580.52729,2027,2592,swallow
1779267580.528885,2006,3290,swallow
1779267580.539048,2077,1925,swallow
1779267580.5418198,2075,1807,swallow
1779267580.542145,2085,2799,swallow
1779267580.544829,2066,2186,swallow
1779267580.5474281,2079,1888,swallow
1779267580.548002,2107,2396,swallow
1779267580.548183,1996,2014,swallow
1779267580.551167,2043,3804,swallow
1779267580.55281,2026,2277,swallow
1779267580.5530229,2011,1690,swallow
1779267580.553139,1881,2346,swallow
1779267580.553213,2027,2507,swallow
1779267580.554563,2239,1466,swallow
1779267580.556032,2081,2396,swallow
1779267580.5588539,2054,2022,swallow
1779267580.56026,2066,3344,swallow
1779267580.5674722,2112,2751,swallow
1779267580.571316,2296,1736,swallow
1779267580.571952,2125,2013,swallow
1779267580.572238,1973,2743,swallow
1779267580.5724869,2091,1519,swallow
1779267580.574933,2002,2222,swallow
1779267580.575916,2036,2270,swallow
1779267580.577895,2124,2633,swallow
1779267580.5782359,2168,3329,swallow
1779267580.580909,2027,1943,swallow
1779267580.584657,2024,1794,swallow
1779267580.585134,2052,2762,swallow
1779267580.586504,2093,2143,swallow
1779267580.587848,2075,1872,swallow
1779267580.5940192,1999,2397,swallow
1779267580.5955641,1897,1964,swallow
1779267580.595776,2024,3794,swallow
1779267580.5960178,2332,2296,swallow
1779267580.599263,2276,1685,swallow
1779267580.601852,2068,2327,swallow
1779267580.604921,2040,2460,swallow
1779267580.607446,2087,1452,swallow
1779267580.6079948,2148,2394,swallow
1779267580.608256,2125,2032,swallow
1779267580.612554,1973,3254,swallow
1779267580.612763,1954,2771,swallow
1779267580.614144,2017,1742,swallow
1779267580.6167822,2037,1999,swallow
1779267580.6181939,2079,2761,swallow
1779267580.624662,2130,1509,swallow
