timestamp,ch1,ch2,label
1779266718.754357,2075,2106,u
1779266718.7548668,2077,1988,u
1779266718.7551749,1985,2075,u
1779266718.761534,2023,2129,u
1779266718.765882,2162,1947,u
1779266718.7666712,2030,1995,u
1779266718.771559,1873,2224,u
1779266718.7737641,1967,2364,u
1779266718.774229,2082,2151,u
1779266718.774647,2101,2017,u
1779266718.775188,2045,1949,u
1779266718.7757819,1992,2070,u
1779266718.776087,2058,1921,u
1779266718.776339,2083,1909,u
1779266718.7803361,1995,2141,u
1779266718.780432,1961,2405,u
1779266718.783065,2104,2197,u
1779266718.784773,2193,2027,u
1779266718.786195,2007,1919,u
1779266718.788878,2034,2155,u
1779266718.790773,2107,2104,u
1779266718.797197,2033,1849,u
1779266718.799382,2027,2039,u
1779266718.8026822,2021,2256,u
1779266718.803617,2055,2344,u
1779266718.8060648,2047,2116,u
1779266718.806404,1980,1980,u
1779266718.8075972,1951,2073,u
1779266718.809715,2033,2142,u
1779266718.81163,2120,1868,u
1779266718.8121731,2077,1875,u
1779266718.812824,2054,2222,u
1779266718.8166242,2260,2426,u
1779266718.8167622,2143,2209,u
1779266718.818178,1899,2021,u
1779266718.820847,1908,1970,u
1779266718.822133,1970,2090,u
1779266718.8313339,2000,2005,u
1779266718.835837,1991,2021,u
1779266718.841533,2008,2143,u
1779266718.841888,2021,2326,u
1779266718.843949,2009,2292,u
1779266718.844743,2025,2040,u
1779266718.848385,2111,1871,u
1779266718.8487601,2076,2010,u
1779266718.8488379,2072,1996,u
1779266718.848906,2065,1942,u
1779266718.848973,2035,2064,u
1779266718.8491552,2071,2298,u
1779266718.849353,2034,2324,u
1779266718.850749,1996,2067,u
1779266718.863198,2049,1976,u
1779266718.8700202,2029,2099,u
1779266718.8704991,2025,2165,u
1779266718.871177,2079,1917,u
1779266718.875707,2113,2010,u
1779266718.875936,1992,2242,u
1779266718.8760178,1964,2364,u
1779266718.8760939,1929,2089,u
1779266718.8761652,2115,1944,u
1779266718.87623,2109,1923,u
1779266718.8762932,1913,2127,u
1779266718.876394,2028,1997,u
1779266718.876524,2087,1948,u
1779266718.8780959,2137,2093,u
1779266718.8808699,1973,2357,u
