timestamp,ch1,ch2,label
1779266501.016024,1973,2107,æ
1779266501.0162401,2126,2078,æ
1779266501.01632,2088,2014,æ
1779266501.016386,2050,1992,æ
1779266501.016449,2048,2038,æ
1779266501.01651,2016,2088,æ
1779266501.0165708,2048,2046,æ
1779266501.0167198,2060,2029,æ
1779266501.016823,2089,2160,æ
1779266501.01689,2023,2125,æ
1779266501.016953,2005,1993,æ
1779266501.017015,2040,1989,æ
1779266501.017078,2079,2061,æ
1779266501.017141,2040,2062,æ
1779266501.017206,2075,2138,æ
1779266501.017267,2054,2077,æ
1779266501.017328,2155,2090,æ
1779266501.017389,2026,2048,æ
1779266501.01745,1897,1990,æ
1779266501.017518,1965,1960,æ
1779266501.017578,2098,1989,æ
1779266501.017639,2049,2093,æ
1779266501.017699,2019,2126,æ
1779266501.0177689,2024,2173,æ
1779266501.017837,2026,2175,æ
1779266501.017898,2026,2182,æ
1779266501.017958,1954,2034,æ
1779266501.0180218,1990,1945,æ
1779266501.018081,2169,1921,æ
1779266501.018193,2193,1954,æ
1779266501.018271,2009,2021,æ
1779266501.0183392,2017,2019,æ
1779266501.018949,2065,2008,æ
1779266501.025594,2093,2110,æ
1779266501.029421,2000,2128,æ
1779266501.0298,1939,2080,æ
1779266501.030967,2072,2021,æ
1779266501.036797,2078,2084,æ
1779266501.038033,2036,2078,æ
1779266501.04087,2020,2074,æ
1779266501.043233,2076,2048,æ
1779266501.048584,2069,2108,æ
1779266501.049186,2083,2013,æ
1779266501.0493498,2043,1942,æ
1779266501.049443,2020,1903,æ
1779266501.049527,2062,1974,æ
1779266501.049654,2051,2117,æ
1779266501.049872,1995,2160,æ
1779266501.049958,2002,2042,æ
1779266501.050038,2144,2068,æ
1779266501.050109,2077,2171,æ
1779266501.050177,1970,2113,æ
1779266501.050281,2028,2019,æ
1779266501.050427,2065,2037,æ
1779266501.0505111,2108,2018,æ
1779266501.050705,1971,2087,æ
1779266501.050892,1913,2090,æ
1779266501.050988,2015,2096,æ
1779266501.051063,2141,2154,æ
1779266501.051321,2062,2124,æ
1779266501.0517309,2051,2037,æ
1779266501.0519629,1979,1937,æ
1779266501.063949,2063,2082,æ
1779266501.076637,2099,2082,æ
1779266501.076951,2071,2057,æ
1779266501.077039,2076,2017,æ
1779266501.077111,2058,2138,æ
1779266501.077183,1954,2149,æ
1779266501.077251,1995,2100,æ
1779266501.0773199,2070,1983,æ
1779266501.077486,2084,2048,æ
1779266501.077578,2077,2114,æ
1779266501.077653,2070,2160,æ
1779266501.0777159,2031,2124,æ
1779266501.0777779,2019,2116,æ
1779266501.0778408,2049,2191,æ
1779266501.0779798,2020,2107,æ
1779266501.078054,2047,2033,æ
1779266501.0781178,2043,1998,æ
1779266501.078181,2069,2062,æ
1779266501.078249,2084,2088,æ
1779266501.079673,2086,2071,æ
1779266501.0810392,2080,2058,æ
1779266501.0841112,2045,2187,æ
1779266501.107764,2045,2124,æ
1779266501.112483,1983,2032,æ
1779266501.113153,1932,1936,æ
1779266501.113255,2069,2081,æ
1779266501.113388,2083,2114,æ
1779266501.113471,2069,2054,æ
1779266501.113538,1988,1990,æ
1779266501.113601,2069,2091,æ
1779266501.113665,2156,2134,æ
1779266501.113774,1983,2074,æ
1779266501.113856,1987,1982,æ
1779266501.11393,2085,1989,æ
1779266501.1139982,2084,2060,æ
1779266501.114066,1977,2188,æ
1779266501.1141708,2048,2062,æ
1779266501.115424,2118,2004,æ
1779266501.124328,2054,2079,æ
1779266501.1290581,2030,2060,æ
1779266501.132929,1965,1979,æ
1779266501.1341598,1992,2006,æ
1779266501.136489,2180,2027,æ
1779266501.138915,2110,2163,æ
1779266501.139688,2015,2098,æ
1779266501.140181,1990,2098,æ
1779266501.140934,2065,2191,æ
1779266501.1413429,2047,2171,æ
1779266501.1419032,2015,2086,æ
1779266501.145209,2034,1940,æ
1779266501.145552,2034,2016,æ
1779266501.147016,1981,2123,æ
1779266501.14713,2080,2088,æ
1779266501.147213,2146,2053,æ
1779266501.150044,2105,2142,æ
1779266501.1514611,2037,2084,æ
1779266501.152843,2077,2079,æ
1779266501.164024,1859,1939,æ
1779266501.166729,1964,2030,æ
1779266501.1671119,2111,2089,æ
1779266501.170026,2100,2116,æ
1779266501.170402,1886,2114,æ
1779266501.1708128,1914,2178,æ
1779266501.1711628,2095,2202,æ
1779266501.175667,2078,2071,æ
1779266501.180338,2155,1992,æ
1779266501.180749,2246,1982,æ
1779266501.181196,2066,2128,æ
1779266501.181663,2093,2100,æ
1779266501.1820211,2105,2033,æ
1779266501.18273,2016,2035,æ
1779266501.187388,1937,2232,æ
1779266501.187495,2110,2123,æ
1779266501.187635,2083,1958,æ
1779266501.189706,1936,1993,æ
1779266501.1912808,2032,2083,æ
1779266501.2013829,2049,2114,æ
1779266501.2082298,2057,2123,æ
1779266501.209505,1991,2029,æ
1779266501.211964,2027,2105,æ
1779266501.214693,2081,2154,æ
1779266501.2150831,2012,2023,æ
1779266501.2153862,1993,1924,æ
1779266501.215782,2060,2041,æ
1779266501.2163079,2051,2157,æ
1779266501.217164,2075,2105,æ
1779266501.221968,2089,2098,æ
1779266501.222137,2074,2091,æ
1779266501.222218,2038,2164,æ
1779266501.222493,2017,2014,æ
1779266501.222592,2049,2003,æ
1779266501.2240992,2037,2011,æ
1779266501.225655,2052,2038,æ
1779266501.227181,2102,2056,æ
1779266501.2302861,2110,2033,æ
1779266501.239207,2047,2048,æ
1779266501.241971,2100,2081,æ
1779266501.24307,2056,2088,æ
1779266501.244364,2017,2041,æ
1779266501.247489,2027,2026,æ
1779266501.248062,2093,2094,æ
1779266501.2570019,2117,2142,æ
1779266501.262358,2045,2145,æ
1779266501.262521,2007,2054,æ
1779266501.2628238,2023,2127,æ
1779266501.2630022,1976,2190,æ
1779266501.2631161,1859,2111,æ
1779266501.263226,2038,1906,æ
1779266501.2634282,2199,1955,æ
1779266501.263542,2125,2044,æ
1779266501.2636118,2075,2176,æ
1779266501.263699,2054,2148,æ
1779266501.265087,2082,2051,æ
1779266501.292931,2124,2025,æ
1779266501.2932758,2071,2047,æ
1779266501.2934048,2024,1946,æ
1779266501.293544,2055,1948,æ
1779266501.2936141,2019,2034,æ
1779266501.293675,2006,2058,æ
1779266501.2937431,2028,2088,æ
1779266501.293812,2033,2142,æ
1779266501.293878,2074,2190,æ
1779266501.293949,2038,2127,æ
1779266501.2941482,2006,2028,æ
1779266501.294511,1997,1995,æ
1779266501.2945979,2044,2124,æ
1779266501.294673,2076,2039,æ
1779266501.294844,2033,2088,æ
1779266501.297556,2033,2020,æ
1779266501.299205,2052,2082,æ
1779266501.309987,2037,2080,æ
1779266501.317941,2064,2082,æ
1779266501.322301,2041,2055,æ
1779266501.326636,2119,2130,æ
1779266501.330594,2053,2185,æ
1779266501.3309162,2044,2131,æ
1779266501.335818,2013,2000,æ
1779266501.3363378,2059,2003,æ
1779266501.336436,2036,2079,æ
1779266501.3365178,2091,2000,æ
1779266501.3365939,2059,1900,æ
1779266501.336798,2049,1953,æ
1779266501.336874,2038,2092,æ
1779266501.3369431,2034,2214,æ
1779266501.3370082,2051,2127,æ
1779266501.3370738,2055,2059,æ
1779266501.337138,2103,2138,æ
1779266501.3372061,2063,2077,æ
1779266501.3372679,1944,1966,æ
1779266501.339036,2003,2002,æ
1779266501.356915,2064,2002,æ
