timestamp,ch1,ch2,label
1779264819.510772,2051,2071,1_S
1779264819.5108778,2034,2026,1_S
1779264819.510995,2103,1998,1_S
1779264819.511067,2213,1950,1_S
1779264819.511138,2104,2055,1_S
1779264819.5169191,2065,2148,1_S
1779264819.517332,2048,2043,1_S
1779264819.519413,2080,1943,1_S
1779264819.5200691,2024,2083,1_S
1779264819.5230238,2008,2170,1_S
1779264819.523359,2072,2061,1_S
1779264819.526967,2180,2030,1_S
1779264819.5270872,2163,2009,1_S
1779264819.528515,2088,2009,1_S
1779264819.531255,2054,2113,1_S
1779264819.532636,2090,2089,1_S
1779264819.542481,2062,2079,1_S
1779264819.5448132,2001,2112,1_S
1779264819.545138,2043,1962,1_S
1779264819.549709,2150,1855,1_S
1779264819.551353,2194,1895,1_S
1779264819.55162,2138,1978,1_S
1779264819.552145,2066,2072,1_S
1779264819.552536,2053,2012,1_S
1779264819.554805,2090,2049,1_S
1779264819.555698,2039,2059,1_S
1779264819.55587,2010,2114,1_S
1779264819.5572019,2090,2072,1_S
1779264819.558528,2215,1978,1_S
1779264819.5612202,2136,1986,1_S
1779264819.567826,2069,2066,1_S
1779264819.569686,2040,2070,1_S
1779264819.56983,2120,2141,1_S
1779264819.573801,2069,2121,1_S
1779264819.576045,2007,1913,1_S
1779264819.577533,2057,1963,1_S
1779264819.577888,2187,1914,1_S
1779264819.578101,2175,2009,1_S
1779264819.5786781,2090,2198,1_S
1779264819.5820422,2055,2146,1_S
1779264819.582291,2084,2021,1_S
1779264819.588935,2083,2056,1_S
1779264819.589983,1980,2146,1_S
1779264819.59273,2032,2105,1_S
1779264819.592916,2151,2000,1_S
1779264819.595486,2210,1974,1_S
1779264819.5985842,2098,1944,1_S
1779264819.598801,2037,2042,1_S
1779264819.599094,2058,2025,1_S
1779264819.602085,2093,2088,1_S
1779264819.602269,2024,2188,1_S
1779264819.604866,2007,2153,1_S
1779264819.6062112,2064,1917,1_S
1779264819.6126919,2177,1985,1_S
1779264819.617857,2125,1981,1_S
1779264819.620333,2029,2020,1_S
1779264819.6235662,1981,2062,1_S
1779264819.623796,2060,1996,1_S
1779264819.6240718,2034,2237,1_S
1779264819.627597,1971,2054,1_S
1779264819.627744,2012,1913,1_S
1779264819.627862,2156,1974,1_S
1779264819.6279821,2172,2108,1_S
1779264819.628138,2097,2217,1_S
1779264819.638137,2033,2127,1_S
1779264819.638425,2070,2027,1_S
1779264819.6411562,2062,2080,1_S
1779264819.6450088,2000,2138,1_S
1779264819.64525,2026,2010,1_S
1779264819.645474,2157,1970,1_S
1779264819.647878,2199,1979,1_S
1779264819.649073,2105,2076,1_S
1779264819.6492531,2039,2090,1_S
1779264819.64941,2043,2010,1_S
1779264819.6507561,2095,1989,1_S
1779264819.6521878,2039,2084,1_S
1779264819.6550279,2030,2085,1_S
1779264819.660854,2129,2058,1_S
1779264819.6621718,2213,2044,1_S
1779264819.665021,2139,2030,1_S
1779264819.669129,2063,2034,1_S
1779264819.6708522,2039,2024,1_S
1779264819.671414,2100,2012,1_S
1779264819.671659,2060,1990,1_S
1779264819.67189,2023,2063,1_S
1779264819.6750941,2059,1950,1_S
1779264819.675251,2175,1831,1_S
1779264819.6766121,2178,2001,1_S
1779264819.683753,2083,2117,1_S
1779264819.686271,2040,1946,1_S
1779264819.686668,2066,1896,1_S
1779264819.690745,2026,1964,1_S
1779264819.692441,2012,1974,1_S
1779264819.6928499,2016,1939,1_S
1779264819.6931782,2131,1909,1_S
1779264819.693391,2196,1885,1_S
1779264819.696463,2107,1945,1_S
1779264819.69695,2037,2002,1_S
1779264819.698325,2057,1992,1_S
1779264819.7009401,2089,2005,1_S
1779264819.702515,2021,2024,1_S
1779264819.708738,1999,1963,1_S
1779264819.712186,2095,1854,1_S
1779264819.712642,2203,1871,1_S
1779264819.714721,2133,1998,1_S
1779264819.717466,2056,1985,1_S
1779264819.717613,2051,2075,1_S
1779264819.7194839,2093,1995,1_S
1779264819.720073,2043,2033,1_S
1779264819.723302,2018,1906,1_S
1779264819.723626,2050,1802,1_S
1779264819.725027,2170,1900,1_S
1779264819.732553,2193,1930,1_S
1779264819.7351522,2059,1938,1_S
1779264819.737061,2027,2001,1_S
1779264819.738144,2065,1937,1_S
1779264819.739979,2090,1946,1_S
1779264819.740278,1997,1946,1_S
1779264819.7421498,2020,1998,1_S
1779264819.742644,2134,1951,1_S
1779264819.745842,2204,1922,1_S
1779264819.7460759,2139,1978,1_S
1779264819.746138,2051,2037,1_S
1779264819.749237,2061,1957,1_S
1779264819.7506309,2123,1926,1_S
1779264819.753303,2044,1939,1_S
1779264819.7591062,2014,1939,1_S
1779264819.7602859,2113,1909,1_S
1779264819.763812,2206,1841,1_S
1779264819.7652678,2160,1920,1_S
1779264819.771692,2066,1986,1_S
1779264819.77265,2025,1993,1_S
1779264819.772745,2089,1955,1_S
1779264819.7728891,2060,1984,1_S
1779264819.7729611,2008,2013,1_S
1779264819.773025,2039,2032,1_S
1779264819.774453,2183,2012,1_S
1779264819.784321,2173,1884,1_S
1779264819.7846029,2085,2027,1_S
1779264819.784738,2043,1945,1_S
1779264819.78628,2058,1988,1_S
1779264819.7869802,2078,1923,1_S
1779264819.787741,2010,1928,1_S
1779264819.78921,2019,1943,1_S
1779264819.794181,2152,1936,1_S
1779264819.7944891,2209,1822,1_S
1779264819.794587,2125,1929,1_S
1779264819.797411,2052,2006,1_S
1779264819.79878,2071,2029,1_S
1779264819.800245,2131,1910,1_S
1779264819.805012,2043,1932,1_S
1779264819.806674,2014,1901,1_S
1779264819.80783,2079,1900,1_S
1779264819.8095942,2190,1861,1_S
1779264819.81181,2162,1892,1_S
1779264819.815702,2087,1967,1_S
1779264819.815947,2069,1890,1_S
1779264819.816473,2130,1921,1_S
1779264819.819336,2084,1992,1_S
1779264819.820701,2053,1955,1_S
1779264819.826039,2102,1935,1_S
1779264819.826674,2215,1941,1_S
1779264819.827766,2242,1971,1_S
1779264819.830818,2127,1912,1_S
1779264819.831122,2086,1870,1_S
1779264819.83361,2091,1987,1_S
1779264819.835157,2093,2023,1_S
1779264819.839978,2023,2001,1_S
1779264819.840068,2045,1976,1_S
1779264819.8401291,2171,1930,1_S
1779264819.842759,2242,1854,1_S
1779264819.844092,2127,2012,1_S
1779264819.850873,2081,1982,1_S
1779264819.851546,2068,1906,1_S
1779264819.852254,2116,1981,1_S
1779264819.852824,2044,2082,1_S
1779264819.8552651,2030,1970,1_S
1779264819.85777,2092,1924,1_S
1779264819.8594172,2215,1985,1_S
1779264819.861158,2173,2043,1_S
1779264819.864681,2075,1982,1_S
1779264819.864903,2039,2025,1_S
1779264819.866264,2074,1966,1_S
1779264819.8727129,2055,2044,1_S
1779264819.873346,2015,2049,1_S
1779264819.873603,2036,1917,1_S
1779264819.875864,2178,1904,1_S
1779264819.876126,2171,1901,1_S
1779264819.8801558,2112,1962,1_S
1779264819.883011,2050,2017,1_S
1779264819.883243,2069,2003,1_S
1779264819.8862631,2108,2044,1_S
1779264819.8863769,2001,1985,1_S
1779264819.8889909,2031,1966,1_S
1779264819.890316,2159,1858,1_S
1779264819.89766,2213,1977,1_S
1779264819.898933,2133,1964,1_S
1779264819.899515,2034,2019,1_S
1779264819.901443,2039,2030,1_S
1779264819.903293,2097,1954,1_S
1779264819.9046762,2041,1977,1_S
1779264819.904842,2029,2033,1_S
1779264819.906463,2115,2018,1_S
1779264819.9086568,2217,1973,1_S
1779264819.912333,2157,1948,1_S
1779264819.912392,2068,2047,1_S
1779264819.920321,2056,2053,1_S
1779264819.923502,2096,1953,1_S
1779264819.923828,2064,1940,1_S
1779264819.9259079,2006,1988,1_S
1779264819.928035,2059,2056,1_S
1779264819.9282691,2165,1987,1_S
1779264819.9284701,2206,2004,1_S
1779264819.9286988,2115,1940,1_S
1779264819.9306262,2054,2015,1_S
1779264819.934133,2093,2052,1_S
1779264819.9342022,2121,1969,1_S
1779264819.936806,2063,1966,1_S
1779264819.938163,2063,1945,1_S
1779264819.9466581,2159,1867,1_S
1779264819.948413,2232,1929,1_S
1779264819.953217,2162,2029,1_S
1779264819.9613,2058,2036,1_S
1779264819.961406,2057,2001,1_S
1779264819.961498,2111,2040,1_S
1779264819.96157,2057,2081,1_S
1779264819.9617422,2058,1998,1_S
1779264819.961817,2129,1962,1_S
1779264819.9619148,2255,1978,1_S
1779264819.962015,2205,2046,1_S
1779264819.962089,2094,1978,1_S
1779264819.970239,2066,2032,1_S
1779264819.9731562,2113,2042,1_S
1779264819.9774652,2093,1983,1_S
1779264819.979875,2018,2028,1_S
1779264819.9833071,2077,2002,1_S
1779264819.983639,2208,1921,1_S
1779264819.983777,2226,2024,1_S
1779264819.983925,2123,2019,1_S
1779264819.9840589,2068,1948,1_S
1779264819.9841821,2095,1968,1_S
1779264819.984307,2128,2067,1_S
1779264819.987034,2044,2056,1_S
1779264819.9883819,2043,2025,1_S
1779264819.9952,2152,1991,1_S
1779264819.996796,2242,1956,1_S
1779264819.998802,2159,2031,1_S
1779264820.00134,2079,2075,1_S
1779264820.005057,2080,1965,1_S
1779264820.00543,2138,1979,1_S
1779264820.005771,2074,2079,1_S
1779264820.005974,2057,2081,1_S
1779264820.0061598,2123,2052,1_S
1779264820.0090501,2229,1996,1_S
1779264820.010494,2178,2050,1_S
1779264820.016161,2112,2111,1_S
1779264820.017427,2081,2134,1_S
1779264820.020104,2112,2102,1_S
1779264820.0204842,2113,2184,1_S
1779264820.023127,2065,2154,1_S
1779264820.024868,2085,2110,1_S
1779264820.026994,2188,2047,1_S
1779264820.02765,2226,2120,1_S
1779264820.03108,2142,2187,1_S
1779264820.031193,2084,2171,1_S
1779264820.032543,2084,2212,1_S
1779264820.035104,2104,2308,1_S
1779264820.0364459,2029,2433,1_S
1779264820.042235,2031,2457,1_S
1779264820.043835,2120,2448,1_S
1779264820.0464268,2211,2436,1_S
1779264820.048929,2173,2405,1_S
1779264820.049553,2092,2599,1_S
1779264820.051445,2077,2478,1_S
1779264820.053779,2123,2561,1_S
1779264820.05424,2082,2725,1_S
1779264820.054595,2064,2755,1_S
1779264820.057538,2083,2649,1_S
1779264820.058998,2223,2730,1_S
1779264820.068707,2222,2788,1_S
1779264820.0702562,2143,2793,1_S
1779264820.070987,2070,2945,1_S
1779264820.075257,2096,2900,1_S
1779264820.075603,2112,2982,1_S
1779264820.0758998,2051,2966,1_S
1779264820.07621,2081,2990,1_S
1779264820.078735,2175,2801,1_S
1779264820.0795882,2207,2784,1_S
1779264820.079644,2105,2820,1_S
1779264820.081026,2028,2784,1_S
1779264820.082471,2097,2701,1_S
1779264820.083914,2111,2780,1_S
1779264820.090919,2035,2939,1_S
1779264820.092521,2027,2896,1_S
1779264820.0950022,2073,2723,1_S
1779264820.096798,2200,2525,1_S
1779264820.101677,2098,2499,1_S
1779264820.10202,1982,2602,1_S
1779264820.102304,2088,2919,1_S
1779264820.102593,2142,2960,1_S
1779264820.103028,2145,2764,1_S
1779264820.1060212,2064,2738,1_S
1779264820.1061602,2141,2719,1_S
1779264820.1169229,2232,2626,1_S
1779264820.117279,2236,2689,1_S
1779264820.119754,2054,2613,1_S
1779264820.1215591,2018,2689,1_S
1779264820.123991,2068,2611,1_S
1779264820.124945,2043,2524,1_S
1779264820.127358,1915,2778,1_S
1779264820.128192,1933,2857,1_S
1779264820.128344,2139,2889,1_S
1779264820.128395,2192,3122,1_S
1779264820.128511,2146,2808,1_S
1779264820.129916,2196,2946,1_S
1779264820.13255,2134,3098,1_S
1779264820.13393,2236,3183,1_S
1779264820.139698,2078,3431,1_S
1779264820.1408179,2086,3505,1_S
1779264820.143008,2109,3374,1_S
1779264820.143329,2219,3193,1_S
1779264820.145707,2139,3237,1_S
1779264820.1499321,2002,3349,1_S
1779264820.1503181,1922,3476,1_S
1779264820.1508448,1918,3426,1_S
1779264820.15425,1863,3702,1_S
1779264820.15438,1950,3580,1_S
1779264820.161205,2030,3636,1_S
1779264820.162771,2208,3807,1_S
1779264820.1652951,2065,3738,1_S
1779264820.167787,2043,3763,1_S
1779264820.171721,1922,3983,1_S
1779264820.172122,1984,3993,1_S
1779264820.172485,1970,3895,1_S
1779264820.173058,1884,3680,1_S
1779264820.1754339,1931,3683,1_S
1779264820.175647,1997,3878,1_S
1779264820.1771278,2040,4095,1_S
1779264820.1784499,1990,3905,1_S
1779264820.180989,1852,3979,1_S
1779264820.18244,1886,4095,1_S
1779264820.188222,1991,4048,1_S
1779264820.1898298,1916,3823,1_S
1779264820.20289,1929,3747,1_S
1779264820.203081,1867,3844,1_S
1779264820.2035751,2096,3950,1_S
1779264820.209156,2186,3577,1_S
1779264820.21222,1888,3534,1_S
1779264820.216544,1877,3547,1_S
1779264820.219119,1997,4003,1_S
1779264820.21951,1891,3846,1_S
1779264820.219754,2079,3672,1_S
1779264820.22016,2208,3719,1_S
1779264820.220632,2148,3763,1_S
1779264820.223427,2066,3328,1_S
1779264820.2235541,1972,3204,1_S
1779264820.2237198,1932,3188,1_S
1779264820.223831,1873,3614,1_S
1779264820.224021,1763,3867,1_S
1779264820.22421,1757,3547,1_S
1779264820.224282,1996,3508,1_S
1779264820.224384,1983,3230,1_S
1779264820.2271569,2019,2479,1_S
1779264820.228487,1816,2355,1_S
1779264820.233831,1977,2516,1_S
1779264820.234976,2014,2651,1_S
1779264820.235753,2066,2782,1_S
1779264820.2367842,2022,3104,1_S
1779264820.2386172,1780,3071,1_S
1779264820.241039,1811,2667,1_S
1779264820.245155,2042,2163,1_S
1779264820.245924,1946,2141,1_S
1779264820.248422,1929,2306,1_S
1779264820.249323,1928,2152,1_S
1779264820.250675,1975,2138,1_S
1779264820.2566972,1936,2834,1_S
1779264820.2577732,1814,2868,1_S
1779264820.260374,1844,2651,1_S
1779264820.262261,1902,2115,1_S
1779264820.263021,1999,1948,1_S
1779264820.264859,1851,2213,1_S
1779264820.267881,1807,2524,1_S
1779264820.268369,1593,2195,1_S
1779264820.268573,1816,2250,1_S
1779264820.270899,2115,2448,1_S
1779264820.2729,2411,2015,1_S
1779264820.274227,2409,1614,1_S
1779264820.276818,2128,1267,1_S
1779264820.278303,2046,1357,1_S
1779264820.293928,1905,2086,1_S
1779264820.297602,1834,2037,1_S
1779264820.2977011,1871,1838,1_S
1779264820.29779,2105,2116,1_S
1779264820.2978601,2237,1583,1_S
1779264820.297921,2144,2069,1_S
1779264820.298049,2125,1706,1_S
1779264820.298176,2045,1604,1_S
1779264820.298274,1957,1932,1_S
1779264820.298342,2075,1865,1_S
1779264820.3045099,2130,1701,1_S
1779264820.305778,2033,1759,1_S
1779264820.308542,1809,2208,1_S
1779264820.310288,1769,1816,1_S
1779264820.313097,1924,1740,1_S
1779264820.316036,2051,1993,1_S
1779264820.316772,2119,2406,1_S
1779264820.319045,2246,2312,1_S
1779264820.319804,2202,2063,1_S
1779264820.319938,2063,2500,1_S
1779264820.319983,1917,2792,1_S
1779264820.322581,1867,2587,1_S
1779264820.324112,1964,2478,1_S
1779264820.329251,2075,2467,1_S
1779264820.3306391,2060,2604,1_S
1779264820.331738,1990,2837,1_S
1779264820.333706,1992,2700,1_S
1779264820.335895,2040,2694,1_S
1779264820.3381839,1934,2825,1_S
1779264820.338464,1850,2647,1_S
1779264820.3443708,1948,2494,1_S
1779264820.344419,2136,2063,1_S
1779264820.3445508,2061,2184,1_S
1779264820.345958,2080,2709,1_S
1779264820.363677,2154,2670,1_S
1779264820.3639581,2206,2503,1_S
1779264820.364144,2161,3076,1_S
1779264820.364216,2112,2632,1_S
1779264820.36428,2129,2701,1_S
1779264820.364341,2184,2759,1_S
1779264820.3644009,2190,2722,1_S
1779264820.364464,2099,2663,1_S
1779264820.364526,2059,2958,1_S
1779264820.365898,2079,2995,1_S
1779264820.367956,2013,2970,1_S
1779264820.370862,1916,2817,1_S
1779264820.376859,1891,2613,1_S
1779264820.3775191,2068,2535,1_S
1779264820.3811772,2172,2218,1_S
1779264820.383243,2105,2675,1_S
1779264820.386241,1946,2925,1_S
1779264820.386791,1995,3118,1_S
1779264820.387127,2027,3171,1_S
1779264820.387657,2003,2930,1_S
1779264820.390454,2060,2680,1_S
1779264820.3906932,2132,2877,1_S
1779264820.392014,2173,2344,1_S
1779264820.398893,2116,2641,1_S
1779264820.401682,2007,2888,1_S
1779264820.403687,2051,2880,1_S
1779264820.404475,2104,2765,1_S
1779264820.409145,2079,3156,1_S
1779264820.409573,2002,2686,1_S
1779264820.409982,1985,2679,1_S
1779264820.410242,2175,2204,1_S
1779264820.4131799,2172,2175,1_S
1779264820.413291,2076,2312,1_S
1779264820.415473,1992,2410,1_S
1779264820.416834,2072,2469,1_S
1779264820.4181492,1961,2654,1_S
1779264820.4239411,1966,2679,1_S
1779264820.425189,1934,2462,1_S
1779264820.4269109,2057,2405,1_S
1779264820.4291441,2164,2351,1_S
1779264820.430812,2068,2364,1_S
1779264820.434155,1976,2497,1_S
1779264820.43438,1939,2462,1_S
1779264820.434711,2064,2487,1_S
1779264820.4377532,2072,2759,1_S
1779264820.4379158,1957,2492,1_S
1779264820.4404218,2105,2578,1_S
1779264820.4447649,2159,1623,1_S
1779264820.4453068,2114,2220,1_S
1779264820.449729,2076,2646,1_S
1779264820.451137,2053,2609,1_S
1779264820.4538822,2097,2546,1_S
1779264820.454222,1946,2950,1_S
1779264820.454558,1949,2488,1_S
1779264820.457032,1996,2556,1_S
1779264820.458476,2145,2523,1_S
1779264820.4597929,2163,2301,1_S
1779264820.462359,2094,2677,1_S
1779264820.4664268,2064,2892,1_S
1779264820.4703329,2046,2795,1_S
1779264820.4771478,2108,3321,1_S
1779264820.480452,1979,2616,1_S
1779264820.480515,2049,2524,1_S
1779264820.48145,2112,2701,1_S
1779264820.481782,2185,2614,1_S
1779264820.481899,2079,2841,1_S
1779264820.482157,2027,3051,1_S
1779264820.483259,2035,2740,1_S
1779264820.5023959,2063,2960,1_S
1779264820.5031412,2059,2937,1_S
1779264820.503299,1948,2555,1_S
1779264820.503362,2078,2687,1_S
1779264820.5034418,2152,2182,1_S
1779264820.5034938,2104,2540,1_S
1779264820.503546,2000,2799,1_S
1779264820.503596,1975,2812,1_S
1779264820.5037189,2026,2632,1_S
1779264820.503805,1939,2967,1_S
1779264820.5064058,1954,2611,1_S
1779264820.506568,1951,2454,1_S
1779264820.507924,2083,2115,1_S
1779264820.530167,2131,2252,1_S
1779264820.530391,2032,2535,1_S
1779264820.530792,1949,2795,1_S
1779264820.5309792,1987,2656,1_S
1779264820.531053,2036,2848,1_S
1779264820.531203,2004,2731,1_S
1779264820.5312698,2018,2550,1_S
1779264820.53139,2114,2425,1_S
1779264820.5314932,2155,2045,1_S
1779264820.5315762,2086,2241,1_S
1779264820.5316322,2011,2221,1_S
1779264820.531788,2007,2098,1_S
1779264820.545234,2035,1989,1_S
1779264820.545579,2027,2455,1_S
1779264820.549789,1966,2308,1_S
1779264820.5502348,2084,1848,1_S
1779264820.552948,2173,1337,1_S
1779264820.553879,2137,1850,1_S
1779264820.554055,2091,2014,1_S
1779264820.5541718,2045,2147,1_S
1779264820.5543191,2048,1592,1_S
1779264820.554446,2038,1856,1_S
1779264820.554594,1986,1990,1_S
1779264820.555917,2055,1637,1_S
1779264820.5585332,2116,1237,1_S
1779264820.559901,2116,1637,1_S
1779264820.566935,2052,2046,1_S
1779264820.569231,2005,2078,1_S
1779264820.569503,2024,1892,1_S
1779264820.569809,2020,1980,1_S
1779264820.570071,1960,2203,1_S
1779264820.574263,1967,1950,1_S
1779264820.5777721,2058,1536,1_S
1779264820.578239,2188,1364,1_S
1779264820.578627,2092,1911,1_S
1779264820.58144,2023,2244,1_S
1779264820.5827909,2039,1948,1_S
1779264820.5897799,2077,1830,1_S
1779264820.592064,1978,2131,1_S
1779264820.594751,1966,1990,1_S
1779264820.595083,2007,1630,1_S
1779264820.599937,2153,1335,1_S
1779264820.600215,2130,1638,1_S
1779264820.600642,2005,2020,1_S
1779264820.6034079,1982,2006,1_S
1779264820.604203,2064,1692,1_S
1779264820.604331,2083,1643,1_S
1779264820.6044521,2001,1550,1_S
1779264820.6058722,2014,1357,1_S
1779264820.608486,2176,1319,1_S
1779264820.609928,2168,1166,1_S
1779264820.616576,2047,1510,1_S
1779264820.618071,2005,1850,1_S
1779264820.61997,1991,1628,1_S
1779264820.6220129,2059,1832,1_S
1779264820.622685,2007,2039,1_S
1779264820.624316,1972,1539,1_S
1779264820.628004,2089,1607,1_S
1779264820.628274,2170,1636,1_S
1779264820.628709,2078,2085,1_S
1779264820.631704,1991,2183,1_S
1779264820.63185,2001,2014,1_S
1779264820.6348622,2032,1919,1_S
1779264820.64468,1990,2257,1_S
1779264820.645845,1949,2064,1_S
1779264820.6509628,2052,1831,1_S
