timestamp,ch1,ch2,label
1779865206.296504,2083,2041,3_S
1779865206.296681,2089,1972,3_S
1779865206.301034,2089,2041,3_S
1779865206.302954,2076,2090,3_S
1779865206.3046951,2068,1938,3_S
1779865206.3054552,2013,2027,3_S
1779865206.3100538,2007,2174,3_S
1779865206.3103418,1978,2311,3_S
1779865206.3104699,2081,2087,3_S
1779865206.3132029,2114,2008,3_S
1779865206.314631,2110,1981,3_S
1779865206.3228018,2054,2035,3_S
1779865206.327617,2084,2100,3_S
1779865206.327957,2056,2007,3_S
1779865206.330441,1992,2089,3_S
1779865206.3308082,1998,2205,3_S
1779865206.331149,2047,2151,3_S
1779865206.3313122,2060,2009,3_S
1779865206.331393,2074,1984,3_S
1779865206.332721,2076,2031,3_S
1779865206.335386,2043,2034,3_S
1779865206.340926,2098,1950,3_S
1779865206.3415601,2068,2026,3_S
1779865206.3421571,2024,2179,3_S
1779865206.344737,2087,2260,3_S
1779865206.348144,2130,2128,3_S
1779865206.348413,2072,2022,3_S
1779865206.349761,2036,2007,3_S
1779865206.352483,2023,2122,3_S
1779865206.3526359,2106,2004,3_S
1779865206.355517,2066,2018,3_S
1779865206.3569841,1985,2093,3_S
1779865206.362989,1959,2267,3_S
1779865206.3654568,2073,2066,3_S
1779865206.367806,2096,1999,3_S
1779865206.3693628,2052,1952,3_S
1779865206.370783,2028,2093,3_S
1779865206.371,2087,2085,3_S
1779865206.3712351,2126,2037,3_S
1779865206.373888,2033,2141,3_S
1779865206.375315,1953,2229,3_S
1779865206.376747,2040,2121,3_S
1779865206.384383,2071,2031,3_S
1779865206.385026,2174,1996,3_S
1779865206.3884768,2113,2093,3_S
1779865206.390965,2081,2087,3_S
1779865206.392437,2113,1922,3_S
1779865206.3926861,2007,2023,3_S
1779865206.3929238,1919,2228,3_S
1779865206.393266,2015,2293,3_S
1779865206.39593,2140,2095,3_S
1779865206.397365,2122,1984,3_S
1779865206.398709,2068,2035,3_S
1779865206.40517,2023,2134,3_S
1779865206.406971,2110,2030,3_S
1779865206.409782,2092,2016,3_S
1779865206.4121642,2020,2142,3_S
1779865206.414801,1966,2297,3_S
1779865206.415267,2051,2057,3_S
1779865206.415602,2084,2019,3_S
1779865206.415914,2046,2052,3_S
1779865206.418581,2022,2082,3_S
1779865206.418679,2001,1987,3_S
1779865206.421727,2116,1919,3_S
1779865206.4233348,2047,2078,3_S
1779865206.42941,2023,2298,3_S
1779865206.430051,2086,2215,3_S
1779865206.432044,2076,2009,3_S
1779865206.432503,2113,1914,3_S
1779865206.434134,2051,1972,3_S
1779865206.437143,2055,2112,3_S
1779865206.4375749,2108,1984,3_S
1779865206.440269,2063,2072,3_S
1779865206.440382,1976,2235,3_S
1779865206.443116,1954,2280,3_S
