timestamp,ch1,ch2,label
1779865677.204461,1909,2240,swallow
1779865677.204573,2014,2199,swallow
1779865677.204673,2096,2027,swallow
1779865677.210688,2112,1991,swallow
1779865677.211929,2058,2037,swallow
1779865677.213723,2066,2052,swallow
1779865677.2158878,2137,2001,swallow
1779865677.2205172,2081,2058,swallow
1779865677.22277,1909,2159,swallow
1779865677.228767,1964,2174,swallow
1779865677.2293918,2069,2070,swallow
1779865677.229802,2105,2027,swallow
1779865677.229918,2123,2005,swallow
1779865677.2301,2023,2020,swallow
1779865677.230256,2116,1937,swallow
1779865677.231751,2092,2049,swallow
1779865677.233147,1977,2152,swallow
1779865677.235113,1897,2234,swallow
1779865677.2378318,2064,2128,swallow
1779865677.239955,2087,2092,swallow
1779865677.248232,2127,2031,swallow
1779865677.251055,2054,2128,swallow
1779865677.251324,2122,2094,swallow
1779865677.251605,2139,1959,swallow
1779865677.2519848,2009,1992,swallow
1779865677.2582111,1909,2148,swallow
1779865677.258757,1989,2155,swallow
1779865677.2626932,2056,2041,swallow
1779865677.2630012,2137,2019,swallow
1779865677.263446,2094,2053,swallow
1779865677.263517,2068,2030,swallow
1779865677.263597,2119,1992,swallow
1779865677.264992,2092,2046,swallow
1779865677.267519,1962,2193,swallow
1779865677.269015,1926,2195,swallow
1779865677.2821162,2040,1993,swallow
1779865677.2846668,2114,2044,swallow
1779865677.289105,2087,2013,swallow
1779865677.28944,2015,2099,swallow
1779865677.293378,2106,2057,swallow
1779865677.293503,2080,2040,swallow
1779865677.293576,1980,2129,swallow
1779865677.2936409,1887,2221,swallow
1779865677.2937222,2059,2076,swallow
1779865677.2938108,2126,2012,swallow
1779865677.293878,2113,2023,swallow
1779865677.2941499,2042,2076,swallow
1779865677.295427,2098,2062,swallow
1779865677.3039849,2122,2020,swallow
1779865677.312085,2046,2119,swallow
1779865677.312661,1885,2209,swallow
1779865677.314487,1987,2187,swallow
1779865677.3184772,2091,2100,swallow
1779865677.318733,2146,2042,swallow
1779865677.3190389,2057,2023,swallow
1779865677.319106,2077,2057,swallow
1779865677.319204,2171,1989,swallow
1779865677.3193011,2056,2024,swallow
1779865677.319382,1904,2170,swallow
1779865677.319477,1934,2237,swallow
1779865677.320853,2118,2107,swallow
1779865677.323641,2143,2020,swallow
1779865677.325579,2101,2036,swallow
1779865677.3335779,2059,2107,swallow
1779865677.3338912,2133,2026,swallow
1779865677.336159,2110,2014,swallow
1779865677.342179,1997,2111,swallow
1779865677.3441331,1897,2234,swallow
1779865677.348696,2067,2181,swallow
1779865677.348821,2138,2089,swallow
1779865677.34889,2080,2002,swallow
1779865677.348961,2038,2053,swallow
1779865677.3490272,2107,2060,swallow
1779865677.349092,2151,2027,swallow
1779865677.349151,2057,2165,swallow
1779865677.350668,1926,2261,swallow
1779865677.36274,1987,2151,swallow
1779865677.368107,2106,2048,swallow
1779865677.36927,2115,2054,swallow
1779865677.373031,2049,2074,swallow
1779865677.373667,2052,2102,swallow
1779865677.3737621,2103,2032,swallow
1779865677.373919,2063,2034,swallow
1779865677.374039,1932,2165,swallow
1779865677.3741398,1925,2230,swallow
1779865677.37426,2072,2106,swallow
1779865677.374378,2128,2059,swallow
1779865677.3758411,2111,2089,swallow
1779865677.377194,2000,2148,swallow
1779865677.3787038,2164,2059,swallow
1779865677.395387,2099,2074,swallow
1779865677.400892,1998,2120,swallow
1779865677.401031,1893,2211,swallow
1779865677.401218,2091,2118,swallow
1779865677.401301,2139,1981,swallow
1779865677.4013739,2142,2037,swallow
1779865677.40144,2055,2106,swallow
1779865677.401582,2131,2111,swallow
1779865677.401647,2152,2066,swallow
1779865677.40171,2004,2085,swallow
1779865677.401776,1882,2241,swallow
1779865677.40329,1962,2258,swallow
1779865677.410479,2103,2065,swallow
1779865677.414635,2100,2059,swallow
1779865677.421846,2027,2087,swallow
1779865677.4252641,2054,2109,swallow
1779865677.425387,2142,1985,swallow
1779865677.425521,2104,2055,swallow
1779865677.425587,1967,2208,swallow
1779865677.425673,1945,2288,swallow
1779865677.425729,2085,2146,swallow
1779865677.425835,2157,2069,swallow
1779865677.426052,2128,2066,swallow
1779865677.427697,2073,2176,swallow
1779865677.429111,2164,2093,swallow
1779865677.430561,2106,2089,swallow
1779865677.439036,1986,2191,swallow
1779865677.444865,1816,2366,swallow
1779865677.4467058,2062,2291,swallow
1779865677.448735,2139,2258,swallow
1779865677.449433,2100,2122,swallow
1779865677.4501991,1984,2173,swallow
1779865677.453662,2087,2113,swallow
1779865677.4537878,2112,2035,swallow
1779865677.45387,2004,2047,swallow
1779865677.4540071,1949,2163,swallow
1779865677.454147,2034,2163,swallow
1779865677.455607,2053,2081,swallow
1779865677.468273,2146,2046,swallow
1779865677.475701,2073,2073,swallow
1779865677.475779,2078,2106,swallow
1779865677.475832,2145,2095,swallow
1779865677.4758809,2101,2048,swallow
1779865677.4759302,1964,2196,swallow
1779865677.475978,1932,2250,swallow
1779865677.476026,2064,2115,swallow
1779865677.476074,2118,2052,swallow
1779865677.4761221,2077,2057,swallow
1779865677.4782898,2022,2101,swallow
1779865677.479985,2121,2057,swallow
1779865677.481549,2093,2035,swallow
1779865677.494706,1981,2170,swallow
1779865677.4973922,1930,2266,swallow
1779865677.499796,2038,2145,swallow
1779865677.500353,2095,2041,swallow
1779865677.50089,2129,1996,swallow
1779865677.5011818,2037,2082,swallow
1779865677.501529,2124,2093,swallow
1779865677.501896,2115,2008,swallow
1779865677.5053172,2017,2108,swallow
1779865677.505412,1866,2242,swallow
1779865677.5055711,1996,2165,swallow
1779865677.505814,2145,2066,swallow
1779865677.507408,2141,2004,swallow
1779865677.515785,2064,2035,swallow
1779865677.518314,2042,2092,swallow
1779865677.521256,2108,2009,swallow
1779865677.5253708,2056,2019,swallow
1779865677.529632,1934,2165,swallow
1779865677.5297742,1904,2199,swallow
1779865677.529869,2064,2100,swallow
1779865677.529993,2131,2073,swallow
1779865677.5300999,2136,2100,swallow
1779865677.5301938,2024,2177,swallow
1779865677.530272,2084,2049,swallow
1779865677.531661,2107,2033,swallow
1779865677.5330482,1985,2093,swallow
1779865677.5346408,1896,2213,swallow
1779865677.5469792,2049,2086,swallow
1779865677.549433,2060,1994,swallow
1779865677.5520792,2083,1948,swallow
1779865677.554751,2015,1980,swallow
1779865677.5552719,2056,1984,swallow
1779865677.5557141,2174,1973,swallow
1779865677.55873,2061,2095,swallow
1779865677.559744,1910,2190,swallow
1779865677.559854,2032,2147,swallow
1779865677.55992,2106,2054,swallow
1779865677.559974,2160,2013,swallow
1779865677.560024,2116,2038,swallow
1779865677.561663,2070,2081,swallow
1779865677.563124,2145,1909,swallow
1779865677.572523,2086,1939,swallow
1779865677.576968,1950,2130,swallow
1779865677.5792482,1905,2186,swallow
1779865677.580344,2067,2041,swallow
1779865677.583584,2116,2032,swallow
1779865677.583696,2089,2053,swallow
1779865677.583763,2007,2086,swallow
1779865677.5838149,2118,2000,swallow
1779865677.5838661,2025,2006,swallow
1779865677.583916,1982,2085,swallow
1779865677.5853271,1916,2207,swallow
1779865677.586793,2098,2144,swallow
1779865677.58949,2141,2050,swallow
1779865677.5908842,2120,1983,swallow
1779865677.6018538,2049,2015,swallow
1779865677.609521,2120,1985,swallow
1779865677.610285,2169,2029,swallow
1779865677.613868,2018,2090,swallow
1779865677.6142259,1880,2206,swallow
1779865677.614416,1963,2196,swallow
1779865677.614621,2052,2123,swallow
1779865677.614702,2088,2073,swallow
1779865677.614868,2025,2046,swallow
1779865677.6149461,2007,2095,swallow
1779865677.6150138,2121,1968,swallow
1779865677.615078,2123,1995,swallow
1779865677.61654,1965,2162,swallow
1779865677.627161,1904,2237,swallow
1779865677.6345038,2105,2075,swallow
1779865677.6350951,2153,2020,swallow
1779865677.6357691,2111,2020,swallow
1779865677.636171,2015,2090,swallow
1779865677.636898,2132,2039,swallow
1779865677.64007,2058,2041,swallow
1779865677.640264,1971,2136,swallow
1779865677.640408,1854,2244,swallow
1779865677.640633,2024,2144,swallow
1779865677.6407008,2119,2073,swallow
1779865677.640765,2111,2032,swallow
1779865677.6435661,2019,2056,swallow
1779865677.644756,2080,2073,swallow
1779865677.64768,2122,2050,swallow
1779865677.6556249,1993,2163,swallow
1779865677.6585479,1852,2175,swallow
1779865677.663705,1984,2171,swallow
1779865677.666212,2119,2003,swallow
1779865677.666362,2096,1975,swallow
1779865677.6664598,2086,2055,swallow
1779865677.666883,2072,2067,swallow
1779865677.667584,2160,1981,swallow
1779865677.668215,2095,2048,swallow
1779865677.668724,1963,2198,swallow
1779865677.6726,1936,2225,swallow
1779865677.6726909,2076,2181,swallow
1779865677.672798,2117,2085,swallow
1779865677.675484,2067,2080,swallow
1779865677.6821382,2003,2106,swallow
1779865677.6851132,2111,2041,swallow
1779865677.6883662,2103,2009,swallow
1779865677.689305,2002,2118,swallow
1779865677.691221,1883,2253,swallow
1779865677.693942,2039,2174,swallow
1779865677.6948879,2101,2101,swallow
1779865677.6983738,2089,2080,swallow
1779865677.69888,2032,2084,swallow
1779865677.699289,2159,2078,swallow
1779865677.699431,2130,2001,swallow
1779865677.6997051,2001,2050,swallow
1779865677.7011058,1937,2165,swallow
1779865677.702662,2033,2184,swallow
1779865677.705329,2130,2080,swallow
1779865677.706825,2138,2033,swallow
1779865677.726374,2098,2063,swallow
1779865677.729832,2061,2179,swallow
1779865677.730067,2191,2011,swallow
1779865677.730415,2093,2066,swallow
1779865677.7305138,1932,2213,swallow
1779865677.730678,1903,2238,swallow
1779865677.730752,2031,2060,swallow
1779865677.730988,2099,2001,swallow
1779865677.7310898,2084,1938,swallow
1779865677.731175,1990,2059,swallow
1779865677.731242,2116,1973,swallow
1779865677.731304,2087,1980,swallow
1779865677.738506,1990,2079,swallow
1779865677.744765,1876,2190,swallow
1779865677.7492669,2067,2195,swallow
1779865677.7501361,2090,2065,swallow
1779865677.7543528,2083,1975,swallow
1779865677.75459,2069,2183,swallow
1779865677.754664,2116,2162,swallow
1779865677.754719,2115,1930,swallow
1779865677.7549381,2020,1966,swallow
1779865677.754998,1971,2198,swallow
1779865677.75505,2013,2199,swallow
1779865677.755104,2090,1992,swallow
1779865677.756507,2118,1935,swallow
1779865677.7593029,2122,2101,swallow
1779865677.760753,2052,2097,swallow
1779865677.768118,2168,2074,swallow
1779865677.768242,2068,2095,swallow
1779865677.7683442,1932,2240,swallow
1779865677.768419,1928,2234,swallow
1779865677.776984,2074,1995,swallow
1779865677.7799191,2158,2147,swallow
1779865677.780683,2094,2201,swallow
1779865677.784906,1968,1988,swallow
1779865677.785254,2140,1810,swallow
1779865677.7861161,2087,1991,swallow
1779865677.786442,1967,2028,swallow
1779865677.786813,1939,2179,swallow
1779865677.7869399,2086,2187,swallow
1779865677.8044732,2158,2111,swallow
1779865677.8050828,2176,1854,swallow
1779865677.805896,1997,2036,swallow
1779865677.809806,2148,2272,swallow
1779865677.8099022,2121,2163,swallow
1779865677.810076,1984,2217,swallow
1779865677.810155,1857,2358,swallow
1779865677.8102689,1904,2302,swallow
1779865677.8103812,2080,2013,swallow
1779865677.810448,2147,2052,swallow
1779865677.810515,2108,2062,swallow
1779865677.8106189,2071,2142,swallow
1779865677.8134289,2181,2002,swallow
1779865677.8148549,2151,2086,swallow
1779865677.816519,2028,2382,swallow
1779865677.823058,1923,2506,swallow
1779865677.8278651,2014,2241,swallow
1779865677.8308969,2059,2256,swallow
1779865677.835755,2067,2247,swallow
1779865677.836801,1896,2103,swallow
1779865677.837454,2014,1998,swallow
1779865677.838078,2004,1895,swallow
1779865677.841625,1935,2148,swallow
1779865677.84179,1897,2462,swallow
1779865677.841881,2069,2194,swallow
1779865677.8419478,2204,2187,swallow
1779865677.842036,2122,2291,swallow
1779865677.8433018,2000,2379,swallow
1779865677.850828,2111,2367,swallow
1779865677.8522382,2057,2107,swallow
1779865677.855407,2055,2348,swallow
1779865677.860492,1889,2338,swallow
1779865677.8638542,1872,2187,swallow
