timestamp,ch1,ch2,label
1779864892.187223,2035,1990,ɔ
1779864892.187281,2054,2014,ɔ
1779864892.1873221,2120,2020,ɔ
1779864892.187359,2117,1994,ɔ
1779864892.191366,2044,2064,ɔ
1779864892.1919072,1983,2160,ɔ
1779864892.194061,2051,2150,ɔ
1779864892.196793,2083,2059,ɔ
1779864892.200298,2076,2022,ɔ
1779864892.200613,2081,2060,ɔ
1779864892.201916,2066,2033,ɔ
1779864892.203218,2073,1953,ɔ
1779864892.2058282,2044,2076,ɔ
1779864892.2108412,1962,2186,ɔ
1779864892.211257,1979,2247,ɔ
1779864892.213284,2129,2078,ɔ
1779864892.21354,2120,2054,ɔ
1779864892.216102,2066,2105,ɔ
1779864892.219032,2030,2146,ɔ
1779864892.21918,2097,2114,ɔ
1779864892.221961,2057,2105,ɔ
1779864892.223283,2001,2136,ɔ
1779864892.2258382,1957,2222,ɔ
1779864892.2271821,2058,2164,ɔ
1779864892.230518,2117,2100,ɔ
1779864892.233021,2113,2046,ɔ
1779864892.235424,2066,2061,ɔ
1779864892.2363799,2061,2000,ɔ
1779864892.238365,2050,1979,ɔ
1779864892.2396631,2072,2140,ɔ
1779864892.24223,2049,2155,ɔ
1779864892.243532,1963,2156,ɔ
1779864892.246094,2113,2113,ɔ
1779864892.24721,2152,2092,ɔ
1779864892.251192,2086,2038,ɔ
1779864892.252234,2034,2034,ɔ
1779864892.253715,2091,1954,ɔ
1779864892.257279,2034,2058,ɔ
1779864892.259069,1991,2206,ɔ
1779864892.25919,1982,2210,ɔ
1779864892.261749,2094,1999,ɔ
1779864892.264315,2057,1958,ɔ
1779864892.265614,2073,1983,ɔ
1779864892.268126,2038,2047,ɔ
1779864892.2723148,2128,2006,ɔ
1779864892.273104,2120,1985,ɔ
1779864892.273775,2019,2061,ɔ
1779864892.27615,1971,2129,ɔ
1779864892.2781298,2099,2052,ɔ
1779864892.280195,2128,2016,ɔ
1779864892.281491,2084,2052,ɔ
1779864892.284054,2029,2091,ɔ
1779864892.285356,2103,2023,ɔ
1779864892.287912,2127,1954,ɔ
1779864892.289227,2079,2038,ɔ
1779864892.293243,1989,2218,ɔ
1779864892.293396,1998,2187,ɔ
1779864892.295724,2069,2055,ɔ
1779864892.2981062,2075,1981,ɔ
1779864892.3009841,2071,2025,ɔ
1779864892.302289,2066,2097,ɔ
1779864892.303583,2086,2020,ɔ
1779864892.306135,2059,2077,ɔ
1779864892.3074272,1961,2174,ɔ
1779864892.309977,1988,2201,ɔ
1779864892.3134239,2126,2057,ɔ
1779864892.31411,2138,2041,ɔ
1779864892.315866,2049,2070,ɔ
1779864892.31833,2043,2077,ɔ
1779864892.321072,2118,2027,ɔ
1779864892.321277,2094,2093,ɔ
1779864892.323843,1979,2152,ɔ
1779864892.325242,1960,2244,ɔ
1779864892.3277981,2069,2024,ɔ
1779864892.3302941,2108,2007,ɔ
1779864892.334263,2098,1971,ɔ
1779864892.334354,2029,2052,ɔ
1779864892.336738,2079,2021,ɔ
1779864892.339187,2126,1973,ɔ
1779864892.3402932,2073,2081,ɔ
1779864892.342273,1999,2236,ɔ
1779864892.3435788,2051,2203,ɔ
1779864892.346147,2085,2046,ɔ
1779864892.347446,2060,1986,ɔ
1779864892.3500001,2007,2000,ɔ
1779864892.351246,2089,2110,ɔ
1779864892.354867,2094,2050,ɔ
1779864892.35678,2049,2055,ɔ
1779864892.3582091,1977,2165,ɔ
1779864892.360099,1981,2228,ɔ
1779864892.362083,2106,2074,ɔ
1779864892.3633769,2107,2054,ɔ
1779864892.365765,2046,2071,ɔ
1779864892.367213,2053,2119,ɔ
1779864892.369774,2127,2085,ɔ
1779864892.372287,2128,1994,ɔ
1779864892.375448,2006,2114,ɔ
