timestamp,ch1,ch2,label
1779865631.92364,2045,2052,10_S
1779865631.923926,2090,1992,10_S
1779865631.9239948,2088,2033,10_S
1779865631.924144,2085,2086,10_S
1779865631.92435,2096,1888,10_S
1779865631.924504,2047,1963,10_S
1779865631.924594,1956,2147,10_S
1779865631.924649,1955,2255,10_S
1779865631.924703,2081,2046,10_S
1779865631.9248252,2048,1903,10_S
1779865631.924885,2054,1896,10_S
1779865631.924942,2021,2046,10_S
1779865631.9250681,2097,1875,10_S
1779865631.925156,2140,1958,10_S
1779865631.9252212,2049,2285,10_S
1779865631.925277,1905,2333,10_S
1779865631.9254851,2032,2183,10_S
1779865631.925545,2086,1933,10_S
1779865631.9269161,2119,1832,10_S
1779865631.929538,2036,1988,10_S
1779865631.941629,2111,2187,10_S
1779865631.942129,2093,2057,10_S
1779865631.945101,1953,2034,10_S
1779865631.946947,1910,2106,10_S
1779865631.952213,2018,2169,10_S
1779865631.95242,2088,1998,10_S
1779865631.952611,2123,1971,10_S
1779865631.9526882,2086,2024,10_S
1779865631.952805,2071,1958,10_S
1779865631.952935,2131,1870,10_S
1779865631.953014,2066,2033,10_S
1779865631.953148,1995,2213,10_S
1779865631.955849,1927,2288,10_S
1779865631.957312,2072,2053,10_S
1779865631.9587681,2140,1975,10_S
1779865631.971773,2062,1973,10_S
1779865631.972644,2014,2108,10_S
1779865631.97604,2087,2040,10_S
1779865631.9765792,2073,2048,10_S
1779865631.979232,2027,2078,10_S
1779865631.980219,2002,2234,10_S
1779865631.980424,2241,2056,10_S
1779865631.9806132,2211,1909,10_S
1779865631.9807,2069,1880,10_S
1779865631.980778,1982,1958,10_S
1779865631.980897,2037,1782,10_S
1779865631.990278,2086,1704,10_S
1779865631.990936,2062,1987,10_S
1779865631.992971,1914,2123,10_S
1779865631.993226,1908,2022,10_S
1779865631.995677,2136,2090,10_S
1779865631.996384,2354,2132,10_S
1779865631.9995258,2389,2004,10_S
1779865631.999959,2441,1993,10_S
1779865632.000354,2383,1868,10_S
1779865632.003731,1879,2170,10_S
1779865632.004194,1705,2429,10_S
1779865632.005537,2200,2302,10_S
1779865632.007125,2027,2234,10_S
1779865632.009852,1795,2199,10_S
1779865632.016922,1668,1884,10_S
1779865632.020499,1823,2092,10_S
1779865632.020916,1982,2129,10_S
1779865632.0211542,2073,2221,10_S
1779865632.024113,2073,2155,10_S
1779865632.026119,2240,2356,10_S
1779865632.02803,2134,2349,10_S
1779865632.0282712,2222,2229,10_S
1779865632.028683,2002,2325,10_S
1779865632.029108,1928,2395,10_S
1779865632.0325089,2027,2236,10_S
1779865632.033951,2079,2100,10_S
1779865632.036802,2010,2212,10_S
1779865632.040812,1855,2458,10_S
1779865632.0425339,1929,2375,10_S
1779865632.044381,2100,2211,10_S
1779865632.044652,2093,2094,10_S
1779865632.044943,2098,2138,10_S
1779865632.046792,2101,2154,10_S
1779865632.050781,2275,1986,10_S
1779865632.051039,2280,1974,10_S
1779865632.054759,2182,2259,10_S
1779865632.054868,1886,2500,10_S
1779865632.057627,1896,2134,10_S
1779865632.059069,2030,2023,10_S
1779865632.0618,2294,1878,10_S
1779865632.068146,2174,2155,10_S
1779865632.070764,2009,2204,10_S
1779865632.07108,1968,2049,10_S
1779865632.071241,1921,2161,10_S
1779865632.075418,1917,2303,10_S
1779865632.077286,2106,2041,10_S
1779865632.077607,2080,1964,10_S
1779865632.077951,2117,1954,10_S
1779865632.081446,1974,2066,10_S
1779865632.081536,2043,2040,10_S
1779865632.083076,2079,1916,10_S
1779865632.089278,2036,2036,10_S
1779865632.0935879,1972,2328,10_S
1779865632.093714,2029,2347,10_S
1779865632.096792,2161,2195,10_S
1779865632.0970361,2246,2008,10_S
1779865632.1047082,2183,2080,10_S
1779865632.104861,2153,2103,10_S
1779865632.104977,2363,1902,10_S
1779865632.1051,2144,2094,10_S
1779865632.105251,1874,2311,10_S
1779865632.105352,1965,2359,10_S
1779865632.10741,2150,2056,10_S
1779865632.108908,2017,2009,10_S
1779865632.116941,1943,2043,10_S
1779865632.117576,1849,2104,10_S
1779865632.118183,2004,1900,10_S
1779865632.121328,2080,1928,10_S
1779865632.1216269,2023,2119,10_S
1779865632.124296,1920,2296,10_S
1779865632.126046,2061,2149,10_S
1779865632.127684,2147,2026,10_S
1779865632.127878,2173,2001,10_S
1779865632.130999,2086,2074,10_S
1779865632.131375,2100,2058,10_S
1779865632.132776,2145,1903,10_S
1779865632.143067,2170,2133,10_S
1779865632.1434612,2102,2280,10_S
1779865632.145469,2098,2258,10_S
1779865632.146375,2134,2024,10_S
1779865632.148072,1970,1994,10_S
1779865632.15007,2146,2026,10_S
1779865632.150403,2329,2017,10_S
1779865632.150864,2249,1860,10_S
1779865632.1544588,1929,2058,10_S
1779865632.1545222,1730,2164,10_S
1779865632.154654,1737,2374,10_S
1779865632.157376,2074,2032,10_S
1779865632.158793,2338,1941,10_S
1779865632.170572,2128,2078,10_S
1779865632.1709492,1825,2078,10_S
1779865632.171204,2057,1908,10_S
1779865632.177173,2292,1922,10_S
