timestamp,ch1,ch2,label
1779865142.533875,2057,2062,2
1779865142.5377269,2008,2204,2
1779865142.5381792,2004,2242,2
1779865142.539524,2094,2065,2
1779865142.5407832,2099,1990,2
1779865142.541733,2100,1981,2
1779865142.5421078,2068,2086,2
1779865142.5441852,2108,2011,2
1779865142.545645,2107,1967,2
1779865142.5482,2033,2114,2
1779865142.549494,1983,2216,2
1779865142.554689,2063,2102,2
1779865142.555845,2088,2048,2
1779865142.556326,2082,2035,2
1779865142.557871,2056,2130,2
1779865142.5596669,2049,2071,2
1779865142.56222,2064,1991,2
1779865142.56351,2055,2073,2
1779865142.5660741,1998,2181,2
1779865142.56737,2055,2178,2
1779865142.569932,2084,2052,2
1779865142.5743418,2089,1986,2
1779865142.575259,2073,2044,2
1779865142.57627,2057,2119,2
1779865142.578453,2121,2016,2
1779865142.5808508,2061,2090,2
1779865142.5821571,2017,2192,2
1779865142.58346,1990,2271,2
1779865142.586019,2101,2060,2
1779865142.587314,2114,2039,2
1779865142.589859,2090,2041,2
1779865142.5947049,2050,2115,2
1779865142.595099,2093,2064,2
1779865142.597334,2104,2025,2
1779865142.597719,2035,2135,2
1779865142.600783,1977,2232,2
1779865142.6020842,2064,2090,2
1779865142.603385,2096,2012,2
1779865142.605933,2096,1973,2
1779865142.607312,2058,2038,2
1779865142.6098702,2076,2025,2
1779865142.612431,2087,1992,2
1779865142.615502,2042,2077,2
1779865142.617347,2001,2214,2
1779865142.617572,2024,2208,2
1779865142.619665,2074,2085,2
1779865142.622072,2084,2017,2
1779865142.6233978,2054,2029,2
1779865142.625946,2050,2123,2
1779865142.627298,2119,2007,2
1779865142.629863,2074,2006,2
1779865142.6324108,2006,2149,2
1779865142.63584,2007,2248,2
1779865142.636539,2086,2075,2
1779865142.638058,2087,2047,2
1779865142.640286,2061,2073,2
1779865142.6427891,2046,2119,2
1779865142.6441128,2073,2014,2
1779865142.6454132,2093,1975,2
1779865142.6478431,2045,2089,2
1779865142.650273,1994,2244,2
1779865142.651563,2069,2121,2
1779865142.6541069,2105,1986,2
1779865142.6577542,2109,1954,2
1779865142.658326,2062,2045,2
1779865142.661579,2072,2049,2
1779865142.6625059,2084,1992,2
1779865142.6642199,2015,2080,2
1779865142.6655302,1984,2193,2
1779865142.6680908,2059,2178,2
1779865142.6693912,2124,2069,2
1779865142.67194,2094,2035,2
1779865142.673415,2042,2027,2
1779865142.6783319,2035,2101,2
1779865142.6789498,2113,2015,2
1779865142.681205,2076,2069,2
1779865142.681579,2029,2195,2
1779865142.684835,2018,2275,2
1779865142.686091,2099,2091,2
1779865142.687398,2096,2017,2
1779865142.6899478,2087,2038,2
1779865142.691272,2053,2126,2
1779865142.693825,2097,2060,2
1779865142.698896,2090,2028,2
1779865142.6992261,2019,2145,2
1779865142.699883,1976,2264,2
1779865142.7014022,2087,2107,2
1779865142.7043042,2121,1998,2
1779865142.706044,2102,1989,2
1779865142.70735,2084,2049,2
1779865142.7099352,2104,2036,2
1779865142.711244,2136,1943,2
1779865142.71379,2070,2047,2
1779865142.716337,2006,2206,2
1779865142.7201018,2062,2201,2
1779865142.720423,2092,2097,2
1779865142.722124,2097,2026,2
1779865142.7250009,2096,2056,2
1779865142.726811,2064,2140,2
1779865142.728118,2120,2024,2
1779865142.7294111,2051,2085,2
1779865142.731961,2012,2140,2
1779865142.7332852,1994,2262,2
1779865142.7356071,2099,2071,2
1779865142.7381551,2103,1979,2
1779865142.7411149,2089,1964,2
1779865142.743121,2048,2050,2
1779865142.743291,2098,2009,2
1779865142.745319,2083,2004,2
1779865142.747803,2021,2116,2
1779865142.750572,1982,2213,2
1779865142.751864,2073,2096,2
1779865142.7544188,2088,2025,2
1779865142.755732,2087,2024,2
1779865142.75828,2040,2097,2
1779865142.76151,2044,2093,2
1779865142.762157,2077,1993,2
1779865142.763632,2048,2052,2
1779865142.766573,1996,2201,2
