timestamp,ch1,ch2,label
1779864570.65869,2130,2070,a
1779864570.658885,2047,2062,a
1779864570.661303,1960,2113,a
1779864570.66864,1985,2235,a
1779864570.67117,2105,2126,a
1779864570.672796,2085,2042,a
1779864570.673258,2063,2020,a
1779864570.676471,1992,2106,a
1779864570.6777868,2076,2083,a
1779864570.6779652,2123,2072,a
1779864570.678041,2062,2105,a
1779864570.678159,2038,2189,a
1779864570.678324,2040,2113,a
1779864570.6784692,2089,2043,a
1779864570.678593,2092,2045,a
1779864570.678706,2053,2114,a
1779864570.678782,2055,2061,a
1779864570.678886,2104,1984,a
1779864570.681636,2052,2094,a
1779864570.683326,2006,2201,a
1779864570.684958,2028,2194,a
1779864570.686854,2075,2048,a
1779864570.701351,2095,2034,a
1779864570.705121,2091,2074,a
1779864570.705558,2045,2163,a
1779864570.7058718,2062,2080,a
1779864570.7062001,2036,2110,a
1779864570.70919,1981,2197,a
1779864570.7103791,1945,2272,a
1779864570.710631,2093,2142,a
1779864570.710742,2066,2074,a
1779864570.710813,2063,2056,a
1779864570.710922,2079,2180,a
1779864570.711051,2096,2108,a
1779864570.7124412,2089,2059,a
1779864570.7150679,2014,2106,a
1779864570.722851,2056,2195,a
1779864570.723538,2043,2160,a
1779864570.7251,2026,2088,a
1779864570.7260768,2118,2087,a
1779864570.730481,2082,2096,a
1779864570.7331169,2087,2091,a
1779864570.735235,2161,2034,a
1779864570.7357051,2100,2089,a
1779864570.735923,2027,2153,a
1779864570.738909,2058,2208,a
1779864570.739221,2149,2089,a
1779864570.739282,2136,2041,a
1779864570.740639,2070,2046,a
1779864570.760324,1999,2107,a
1779864570.760405,2070,2031,a
1779864570.760458,2053,2062,a
1779864570.7605078,2018,2161,a
1779864570.7605572,2017,2235,a
1779864570.762569,2098,2107,a
1779864570.762723,2102,2052,a
1779864570.762847,2074,2045,a
1779864570.762976,2057,2111,a
1779864570.763082,2040,2042,a
1779864570.763139,2050,2026,a
1779864570.764957,2022,2070,a
1779864570.7677,1958,2140,a
1779864570.804042,2012,2094,a
1779864570.804715,2099,2020,a
1779864570.810417,2070,2049,a
1779864570.8105118,2056,2112,a
1779864570.8109272,2067,2112,a
1779864570.811881,2134,2021,a
1779864570.8119411,2091,2086,a
1779864570.812225,2036,2149,a
1779864570.812748,2044,2207,a
1779864570.81289,2132,2052,a
1779864570.812994,2078,2028,a
1779864570.813157,2038,2069,a
1779864570.8133109,2012,2117,a
1779864570.813616,2069,2071,a
1779864570.8136692,2091,2056,a
1779864570.813796,2033,2162,a
1779864570.814114,1990,2238,a
1779864570.814821,2065,2081,a
1779864570.816143,2100,2032,a
1779864570.8162959,2083,2040,a
1779864570.816874,2014,2095,a
1779864570.8248389,2075,2061,a
1779864570.8271859,2091,2017,a
1779864570.831965,2037,2063,a
1779864570.832303,2003,2135,a
1779864570.834516,2084,2135,a
1779864570.834767,2058,2099,a
1779864570.834955,2026,2030,a
1779864570.835376,2071,2072,a
