timestamp,ch1,ch2,label
1779864659.9292722,2089,2009,e
1779864659.938467,2081,2028,e
1779864659.938556,2084,2001,e
1779864659.938613,2057,2097,e
1779864659.938665,2119,2039,e
1779864659.938717,2018,1994,e
1779864659.950318,2007,2057,e
1779864659.951256,1972,2210,e
1779864659.9547231,2114,2156,e
1779864659.955145,2102,1997,e
1779864659.9556081,2120,1919,e
1779864659.9590771,2082,1981,e
1779864659.959622,2102,1984,e
1779864659.959711,2078,2045,e
1779864659.9598331,1968,2134,e
1779864659.9600372,2043,2242,e
1779864659.9602299,2103,2136,e
1779864659.962657,2078,2019,e
1779864659.964145,2042,1983,e
1779864659.967365,2022,2004,e
1779864659.9695969,2042,2081,e
1779864659.982404,2113,1995,e
1779864659.984524,2032,2016,e
1779864659.986103,2007,2183,e
1779864659.98649,2010,2186,e
1779864659.986947,2079,2068,e
1779864659.990409,2125,1923,e
1779864659.99062,2106,1947,e
1779864659.9907808,2031,2079,e
1779864659.990922,2068,1933,e
1779864659.991012,2039,1945,e
1779864659.991141,2023,2106,e
1779864659.9925041,1977,2191,e
1779864659.995151,2095,2058,e
1779864659.9964101,2093,2011,e
1779864660.003072,2075,1983,e
1779864660.005169,2021,1962,e
1779864660.020176,2059,1931,e
1779864660.020302,2065,1873,e
1779864660.020677,2056,2014,e
1779864660.020737,2024,2116,e
1779864660.020788,2022,2073,e
1779864660.02089,2128,2048,e
1779864660.0214021,2142,2057,e
1779864660.021494,2055,2131,e
1779864660.021628,2076,2080,e
1779864660.022004,2133,1987,e
1779864660.038238,1978,2026,e
1779864660.042387,2062,2254,e
1779864660.046463,2032,2285,e
1779864660.046575,2064,1979,e
1779864660.046773,2094,1913,e
1779864660.046865,2082,1932,e
1779864660.046937,2021,2066,e
1779864660.047104,2125,2005,e
1779864660.047175,2087,2001,e
1779864660.047368,2029,2139,e
1779864660.047458,1991,2182,e
1779864660.0478878,2037,2055,e
1779864660.047978,2084,2000,e
1779864660.048036,2089,1992,e
1779864660.051129,2044,2078,e
1779864660.052902,2010,2024,e
1779864660.0643132,2086,1977,e
1779864660.0706828,2065,2104,e
1779864660.071373,2038,2222,e
