timestamp,ch1,ch2,label
1779864728.602588,1941,2175,i
1779864728.6037161,1990,2220,i
1779864728.613476,2105,2085,i
1779864728.613645,2090,2006,i
1779864728.6137202,2084,2025,i
1779864728.613782,2033,2096,i
1779864728.614018,2074,1996,i
1779864728.614167,2101,1949,i
1779864728.614295,2054,2147,i
1779864728.61652,1957,2238,i
1779864728.620047,2057,2135,i
1779864728.6223629,2060,2007,i
1779864728.6264808,2044,1986,i
1779864728.6280088,2016,2048,i
1779864728.628195,2063,2073,i
1779864728.628324,2087,2039,i
1779864728.6284711,2047,2089,i
1779864728.628552,2037,2222,i
1779864728.631548,2029,2203,i
1779864728.632809,2093,2013,i
1779864728.634968,2094,1994,i
1779864728.6377332,2070,2022,i
1779864728.638921,2003,2095,i
1779864728.6418,2111,1969,i
1779864728.654562,2096,2018,i
1779864728.655205,2009,2105,i
1779864728.666465,1987,2261,i
1779864728.667051,2071,2072,i
1779864728.6671329,2104,2014,i
1779864728.667787,2116,2015,i
1779864728.667906,2090,2086,i
1779864728.668149,2076,2038,i
1779864728.6682181,2086,2017,i
1779864728.6682901,2029,2086,i
1779864728.6683588,1986,2218,i
1779864728.6685061,2088,2144,i
1779864728.66864,2066,2060,i
1779864728.668928,2069,2020,i
1779864728.671592,2057,2072,i
1779864728.673005,2051,2147,i
1779864728.68566,2134,2011,i
1779864728.689991,2059,2038,i
1779864728.696874,2018,2172,i
1779864728.701665,2018,2191,i
1779864728.702681,2084,2049,i
1779864728.702771,2077,1981,i
1779864728.703039,2041,1987,i
1779864728.703119,2020,2058,i
1779864728.703246,2072,1957,i
1779864728.703339,2040,2025,i
1779864728.703406,2029,2158,i
1779864728.703475,2034,2280,i
1779864728.703687,2103,2080,i
1779864728.703823,2082,2034,i
1779864728.703949,2065,2051,i
1779864728.7053099,2068,2076,i
1779864728.724758,2105,2019,i
1779864728.729475,2072,2018,i
1779864728.729822,2018,2126,i
1779864728.729913,1982,2239,i
1779864728.729981,2057,2159,i
1779864728.730043,2106,2090,i
1779864728.730104,2119,2004,i
1779864728.730165,2075,2051,i
