timestamp,ch1,ch2,label
1788789760.40308,1947,2096,a
1788789760.403237,1871,2076,a
1788789760.405015,2025,2097,a
1788789760.407915,2134,2080,a
1788789760.4084039,2145,2081,a
1788789760.410293,2037,2085,a
1788789760.41087,2115,2084,a
1788789760.413116,2131,2102,a
1788789760.416204,2033,2089,a
1788789760.4162629,1873,2100,a
1788789760.4188302,2010,2086,a
1788789760.420135,2099,2093,a
1788789760.426218,2151,2078,a
1788789760.426852,2088,2083,a
1788789760.4281669,2072,2091,a
1788789760.429657,2187,2101,a
1788789760.431581,2087,2088,a
1788789760.433603,1948,2104,a
1788789760.4359941,1955,2082,a
1788789760.4361138,2048,2089,a
1788789760.4386811,2136,2093,a
1788789760.441131,2092,2102,a
1788789760.4424782,2054,2092,a
1788789760.447339,2178,2097,a
1788789760.450289,2118,2097,a
1788789760.450428,2012,2103,a
1788789760.450637,1869,2078,a
1788789760.452485,2006,2101,a
1788789760.454638,2117,2086,a
1788789760.457053,2143,2077,a
1788789760.458381,2054,2096,a
1788789760.460958,2140,2080,a
1788789760.462262,2144,2097,a
1788789760.467215,2027,2096,a
1788789760.467712,1849,2096,a
1788789760.4701,1989,2086,a
1788789760.471497,2104,2083,a
1788789760.473056,2167,2075,a
1788789760.476235,2068,2095,a
1788789760.476513,2037,2090,a
1788789760.4790888,2189,2092,a
1788789760.480403,2107,2100,a
1788789760.482677,1949,2093,a
1788789760.487859,1926,2082,a
1788789760.488362,2031,2091,a
1788789760.48931,2144,2080,a
1788789760.49085,2132,2090,a
1788789760.492733,2069,2094,a
1788789760.495067,2165,2086,a
1788789760.4975848,2137,2087,a
1788789760.498899,2011,2095,a
1788789760.500223,1843,2077,a
1788789760.50283,2058,2093,a
1788789760.514407,2148,2088,a
1788789760.5176792,2163,2086,a
1788789760.518332,2056,2080,a
1788789760.5190358,2114,2088,a
1788789760.521594,2139,2093,a
1788789760.521728,2040,2094,a
1788789760.5218072,1868,2090,a
1788789760.5218718,1989,2090,a
1788789760.522002,2069,2092,a
1788789760.522124,2144,2076,a
1788789760.524859,2076,2083,a
1788789760.5262,2055,2095,a
1788789760.5317152,2197,2108,a
1788789760.532614,2109,2100,a
1788789760.5344262,1949,2105,a
1788789760.534658,1917,2084,a
1788789760.5367439,2080,2139,a
1788789760.53893,2182,2069,a
1788789760.5410671,2111,2086,a
1788789760.542511,2061,2097,a
1788789760.5451462,2183,2094,a
1788789760.54652,2112,2087,a
1788789760.552348,1975,2087,a
1788789760.5536718,1846,2099,a
1788789760.555424,2037,2100,a
1788789760.555904,2131,2078,a
1788789760.556267,2116,2085,a
1788789760.560707,2029,2092,a
1788789760.561165,2128,2086,a
1788789760.563829,2190,2109,a
1788789760.565291,2035,2090,a
1788789760.566658,1882,2098,a
1788789760.572683,2012,2082,a
1788789760.5746188,2105,2091,a
1788789760.57709,2174,2082,a
1788789760.579593,2104,2093,a
1788789760.582637,2069,2099,a
1788789760.583192,2155,2094,a
1788789760.5836082,2064,2101,a
1788789760.583895,1951,2091,a
1788789760.5861812,1912,2117,a
1788789760.586505,2049,2088,a
1788789760.5891461,2137,2073,a
1788789760.590521,2114,2089,a
1788789760.5969799,2068,2099,a
1788789760.5997708,2168,2090,a
1788789760.600121,2084,2099,a
1788789760.603621,1963,2091,a
1788789760.60399,1876,2090,a
1788789760.6053782,2049,2088,a
1788789760.605555,2110,2081,a
1788789760.6081212,2144,2088,a
1788789760.6084669,2055,2098,a
1788789760.6111062,2127,2083,a
1788789760.612462,2192,2105,a
1788789760.619036,2044,2092,a
1788789760.619643,1880,2094,a
1788789760.621784,1980,2082,a
1788789760.6242938,2089,2088,a
1788789760.625705,2144,2086,a
1788789760.627329,2097,2083,a
1788789760.627701,2066,2099,a
1788789760.630489,2204,2092,a
1788789760.630614,2103,2093,a
1788789760.633236,1953,2095,a
1788789760.634621,1884,2080,a
1788789760.6406422,2038,2095,a
1788789760.643248,2158,2090,a
1788789760.643411,2139,2082,a
1788789760.645406,2049,2094,a
1788789760.647499,2145,2087,a
1788789760.649112,2106,2091,a
1788789760.649488,2030,2086,a
1788789760.652124,1891,2101,a
