timestamp,ch1,ch2,label
1788789839.1313941,2128,2082,e
1788789839.1316218,2135,2089,e
1788789839.1316962,2078,2089,e
1788789839.131766,2185,2085,e
1788789839.131875,2121,2098,e
1788789839.131957,1977,2099,e
1788789839.132053,1876,2089,e
1788789839.132123,2057,2092,e
1788789839.132173,2121,2085,e
1788789839.133579,2129,2097,e
1788789839.13618,2061,2095,e
1788789839.137511,2115,2079,e
1788789839.140168,2137,2100,e
1788789839.153495,2050,2085,e
1788789839.157859,1894,2092,e
1788789839.157918,1988,2076,e
1788789839.157962,2083,2076,e
1788789839.15814,2145,2079,e
1788789839.158231,2102,2089,e
1788789839.1583061,2075,2088,e
1788789839.158376,2188,2087,e
1788789839.158438,2081,2095,e
1788789839.15994,1943,2102,e
1788789839.162923,1912,2081,e
1788789839.168174,2047,2093,e
1788789839.177106,2172,2081,e
1788789839.179787,2134,2082,e
1788789839.1803598,2053,2098,e
1788789839.1813061,2179,2082,e
1788789839.181396,2128,2098,e
1788789839.1815639,2008,2091,e
1788789839.1817348,1850,2091,e
1788789839.18184,2034,2096,e
1788789839.18191,2124,2095,e
1788789839.184909,2135,2087,e
1788789839.186257,2037,2088,e
1788789839.1874838,2107,2080,e
1788789839.196386,2158,2103,e
1788789839.2016032,2028,2096,e
1788789839.2045069,1866,2107,e
1788789839.204562,1988,2083,e
1788789839.204606,2062,2083,e
1788789839.204649,2148,2092,e
1788789839.204692,2080,2091,e
1788789839.204733,2030,2103,e
1788789839.206057,2178,2091,e
1788789839.2089229,2100,2102,e
1788789839.2103412,1966,2112,e
1788789839.2248268,1949,2079,e
1788789839.2253141,2033,2084,e
1788789839.228235,2111,2083,e
1788789839.2298071,2112,2099,e
1788789839.230129,2103,2086,e
1788789839.23312,2181,2086,e
1788789839.234041,2107,2097,e
1788789839.234114,1989,2086,e
1788789839.234178,1841,2103,e
1788789839.234242,2028,2098,e
1788789839.234305,2122,2078,e
1788789839.23437,2138,2095,e
1788789839.23572,2060,2087,e
1788789839.243305,2102,2075,e
