timestamp,ch1,ch2,label
1788789875.3542972,1915,2080,i
1788789875.354555,2034,2087,i
1788789875.356609,2149,2081,i
1788789875.356768,2109,2086,i
1788789875.359354,2057,2090,i
1788789875.362433,2161,2086,i
1788789875.365005,2122,2093,i
1788789875.3654542,1984,2089,i
1788789875.367121,1881,2082,i
1788789875.370682,2029,2101,i
1788789875.370763,2145,2089,i
1788789875.372108,2140,2081,i
1788789875.373446,2037,2102,i
1788789875.376066,2129,2083,i
1788789875.377505,2144,2096,i
1788789875.385728,2032,2079,i
1788789875.386085,1863,2114,i
1788789875.389392,1994,2081,i
1788789875.3898299,2081,2083,i
1788789875.392155,2142,2083,i
1788789875.392401,2065,2093,i
1788789875.3949041,2058,2097,i
1788789875.395081,2170,2081,i
1788789875.396878,2012,2085,i
1788789875.401079,1917,2118,i
1788789875.401163,1943,2082,i
1788789875.401234,2099,2095,i
1788789875.40389,2164,2077,i
1788789875.405259,2107,2092,i
1788789875.4134881,2047,2093,i
1788789875.4149408,2186,2082,i
1788789875.418205,2121,2091,i
1788789875.4187741,2007,2092,i
1788789875.419359,1867,2078,i
1788789875.421373,2026,2091,i
1788789875.4221141,2120,2091,i
1788789875.423902,2124,2079,i
1788789875.4256651,2051,2098,i
1788789875.425977,2125,2079,i
1788789875.430489,2121,2109,i
1788789875.430572,2041,2096,i
1788789875.43194,1860,2101,i
1788789875.433335,1993,2085,i
1788789875.441219,2086,2091,i
1788789875.443561,2127,2080,i
1788789875.446265,2052,2096,i
1788789875.449107,2055,2096,i
1788789875.4511008,2182,2093,i
1788789875.451811,2113,2095,i
1788789875.451939,1962,2107,i
1788789875.4523451,1942,2086,i
1788789875.4553049,2040,2092,i
1788789875.455755,2158,2085,i
1788789875.455829,2131,2080,i
1788789875.457248,2078,2093,i
1788789875.4603379,2170,2091,i
1788789875.4619641,2111,2092,i
1788789875.4701052,1990,2102,i
1788789875.471572,1832,2086,i
1788789875.473382,2004,2108,i
1788789875.4755971,2110,2082,i
1788789875.478852,2137,2083,i
1788789875.48105,2047,2096,i
1788789875.481774,2083,2099,i
1788789875.482166,2104,2109,i
1788789875.4853609,2055,2086,i
1788789875.486287,1921,2103,i
1788789875.4868312,2018,2082,i
1788789875.4869308,2108,2082,i
1788789875.488301,2166,2090,i
1788789875.4896939,2104,2088,i
1788789875.495241,2085,2097,i
1788789875.496619,2181,2095,i
1788789875.501822,2084,2091,i
1788789875.502542,1949,2087,i
1788789875.504162,1903,2083,i
1788789875.5062542,2021,2088,i
1788789875.5095942,2140,2083,i
1788789875.509686,2126,2092,i
1788789875.5097878,2065,2089,i
1788789875.509918,2162,2088,i
1788789875.511347,2112,2090,i
1788789875.513969,2006,2093,i
1788789875.5155451,1857,2093,i
1788789875.5219991,2025,2101,i
1788789875.522159,2127,2083,i
1788789875.5235069,2135,2084,i
1788789875.524768,2041,2084,i
1788789875.529164,2119,2078,i
1788789875.530941,2156,2100,i
1788789875.532801,2053,2110,i
1788789875.533173,1899,2101,i
1788789875.53341,1986,2084,i
1788789875.5359738,2073,2089,i
1788789875.537332,2136,2092,i
1788789875.5399108,2092,2090,i
1788789875.544984,2052,2095,i
1788789875.545843,2191,2095,i
1788789875.547561,2104,2088,i
1788789875.54771,1910,2099,i
1788789875.54982,1891,2091,i
1788789875.5523908,2077,2087,i
1788789875.5538719,2172,2079,i
1788789875.55563,2135,2098,i
1788789875.558418,2062,2087,i
1788789875.559797,2147,2081,i
1788789875.561187,2090,2103,i
1788789875.563812,1981,2096,i
1788789875.5688908,1834,2097,i
1788789875.569432,2026,2098,i
1788789875.570422,2124,2082,i
1788789875.572887,2147,2088,i
1788789875.574743,2031,2102,i
1788789875.576669,2112,2085,i
1788789875.5782971,2160,2109,i
1788789875.581218,2033,2092,i
1788789875.5813692,1840,2098,i
1788789875.584032,1950,2088,i
1788789875.585365,2093,2088,i
1788789875.5879838,2128,2087,i
1788789875.592115,2095,2093,i
1788789875.5926678,2089,2087,i
1788789875.596021,2188,2094,i
1788789875.596193,2101,2091,i
1788789875.59993,1977,2098,i
1788789875.601351,1935,2076,i
1788789875.6016269,2063,2093,i
1788789875.604404,2137,2083,i
1788789875.6057322,2116,2091,i
1788789875.607244,2047,2087,i
1788789875.609905,2162,2093,i
1788789875.6151628,2104,2096,i
1788789875.617027,2002,2090,i
1788789875.6189618,1865,2101,i
1788789875.619231,2020,2104,i
1788789875.620542,2107,2086,i
1788789875.622894,2106,2090,i
1788789875.624424,2036,2098,i
1788789875.627429,2094,2084,i
1788789875.62748,2132,2092,i
1788789875.630087,2046,2094,i
1788789875.631448,1909,2106,i
1788789875.638017,1991,2073,i
1788789875.6389399,2055,2086,i
1788789875.6415858,2156,2081,i
1788789875.6420538,2085,2098,i
1788789875.643892,2097,2098,i
1788789875.644483,2191,2089,i
1788789875.646079,2105,2096,i
1788789875.6477199,1947,2095,i
1788789875.6510599,1901,2079,i
1788789875.651152,2022,2089,i
1788789875.653771,2130,2080,i
1788789875.65511,2148,2077,i
1788789875.662696,2084,2094,i
1788789875.663311,2172,2085,i
1788789875.663478,2122,2091,i
1788789875.666053,1997,2097,i
1788789875.668032,1845,2098,i
1788789875.66821,2034,2089,i
1788789875.670053,2126,2083,i
1788789875.671465,2147,2078,i
1788789875.674172,2033,2098,i
1788789875.675492,2083,2083,i
1788789875.6780758,2141,2108,i
1788789875.6793878,2037,2089,i
1788789875.685123,1863,2095,i
1788789875.686982,1963,2087,i
1788789875.687121,2067,2090,i
1788789875.688909,2166,2082,i
1788789875.6910641,2085,2087,i
1788789875.692461,2051,2087,i
1788789875.694325,2185,2096,i
1788789875.697325,2121,2091,i
1788789875.697376,1970,2080,i
1788789875.700036,1921,2092,i
1788789875.701364,2052,2090,i
1788789875.710546,2144,2083,i
1788789875.7128031,2114,2092,i
1788789875.715689,2031,2089,i
1788789875.717481,2149,2084,i
1788789875.717698,2107,2101,i
1788789875.719342,2007,2094,i
1788789875.719699,1836,2090,i
1788789875.7199428,2031,2085,i
1788789875.720137,2111,2089,i
1788789875.722978,2131,2084,i
1788789875.723115,2034,2091,i
1788789875.7259588,2091,2078,i
1788789875.731134,2157,2104,i
1788789875.7340958,2035,2096,i
1788789875.734373,1889,2094,i
1788789875.7363489,1993,2084,i
1788789875.738291,2089,2070,i
1788789875.738631,2170,2083,i
1788789875.7401989,2125,2085,i
1788789875.743117,2103,2088,i
1788789875.743232,2201,2084,i
1788789875.745929,2110,2089,i
1788789875.7472908,1967,2088,i
1788789875.753309,1914,2077,i
1788789875.753979,2029,2090,i
1788789875.754954,2126,2080,i
1788789875.75707,2104,2096,i
1788789875.757484,2039,2089,i
1788789875.761111,2152,2082,i
1788789875.7613308,2130,2095,i
1788789875.7634969,2010,2096,i
1788789875.766379,1836,2094,i
1788789875.7677052,2046,2092,i
1788789875.7692852,2128,2094,i
1788789875.775,2157,2077,i
1788789875.777461,2051,2090,i
1788789875.779965,2081,2088,i
1788789875.780141,2148,2102,i
1788789875.783156,2050,2110,i
1788789875.783455,1887,2105,i
1788789875.783628,1970,2084,i
1788789875.786475,2058,2093,i
1788789875.787821,2133,2083,i
1788789875.78914,2082,2092,i
1788789875.7917728,2074,2089,i
1788789875.793261,2178,2092,i
1788789875.799194,2094,2093,i
1788789875.800383,1973,2128,i
1788789875.800535,1876,2076,i
1788789875.802289,2045,2099,i
1788789875.804694,2160,2087,i
1788789875.807945,2111,2088,i
1788789875.808376,2022,2091,i
1788789875.810653,2135,2087,i
1788789875.811996,2142,2094,i
1788789875.813324,1995,2091,i
1788789875.816027,1841,2091,i
1788789875.820998,2031,2089,i
1788789875.82162,2097,2090,i
1788789875.822282,2168,2095,i
1788789875.824888,2089,2103,i
1788789875.827245,2088,2087,i
1788789875.828726,2140,2097,i
1788789875.8306859,2057,2097,i
1788789875.833716,1907,2100,i
1788789875.833948,1964,2081,i
1788789875.835279,2015,2096,i
1788789875.837879,2055,2078,i
1788789875.839423,2056,2085,i
1788789875.843287,2074,2092,i
1788789875.844223,2201,2090,i
1788789875.846785,2101,2090,i
1788789875.850508,2003,2104,i
1788789875.852145,1944,2078,i
1788789875.852351,2004,2090,i
1788789875.854898,2099,2087,i
1788789875.856218,2156,2082,i
1788789875.857595,2103,2099,i
1788789875.860189,2183,2082,i
1788789875.86689,2131,2096,i
1788789875.867572,1961,2091,i
1788789875.869642,1839,2094,i
1788789875.8699038,2059,2079,i
1788789875.8701282,2148,2092,i
1788789875.872064,2152,2092,i
1788789875.874103,2024,2099,i
1788789875.875881,2106,2089,i
1788789875.878947,2132,2105,i
1788789875.8792589,2080,2093,i
1788789875.885997,1847,2106,i
1788789875.886744,1933,2086,i
1788789875.8891652,2144,2090,i
1788789875.889589,2254,2080,i
1788789875.891285,2130,2085,i
1788789875.893114,2078,2090,i
1788789875.894819,2172,2089,i
1788789875.897242,2105,2101,i
1788789875.897517,1979,2101,i
1788789875.900178,1864,2084,i
1788789875.9014962,1986,2098,i
1788789875.90767,2034,2088,i
1788789875.9083898,2067,2084,i
1788789875.909481,2125,2096,i
1788789875.911196,2187,2082,i
1788789875.914999,2155,2100,i
1788789875.917038,2033,2088,i
1788789875.917364,1906,2101,i
1788789875.917857,2063,2087,i
1788789875.9204328,2141,2082,i
1788789875.921759,2147,2085,i
1788789875.923164,2064,2088,i
1788789875.925866,2110,2095,i
1788789875.933541,2179,2099,i
1788789875.938992,2001,2092,i
1788789875.9393191,1863,2098,i
1788789875.941201,1921,2096,i
1788789875.9415,2052,2092,i
1788789875.9418082,2138,2080,i
1788789875.9422069,2103,2086,i
1788789875.944757,1987,2091,i
1788789875.9455948,2149,2096,i
1788789875.9456692,2123,2090,i
1788789875.948559,2001,2099,i
1788789875.953908,1929,2076,i
1788789875.9565508,2075,2098,i
1788789875.956842,2149,2091,i
1788789875.957226,2131,2089,i
1788789875.959671,2042,2086,i
1788789875.9630232,2139,2086,i
1788789875.963534,2096,2091,i
1788789875.964007,2002,2098,i
1788789875.966974,1843,2091,i
1788789875.9670599,1995,2080,i
1788789875.969692,2094,2080,i
1788789875.9710789,2116,2076,i
1788789875.979092,2064,2100,i
1788789875.981434,2046,2090,i
1788789875.981911,2150,2102,i
1788789875.9837272,2095,2091,i
1788789875.9843688,1942,2093,i
1788789875.9845388,1970,2085,i
1788789875.99107,2071,2082,i
1788789875.991195,2185,2094,i
1788789875.991682,2122,2066,i
