timestamp,ch1,ch2,label
1788789914.602871,2108,2086,u
1788789914.604054,2191,2093,u
1788789914.6067379,2064,2099,u
1788789914.6092942,1882,2104,u
1788789914.610979,1949,2083,u
1788789914.612289,2066,2087,u
1788789914.612555,2172,2089,u
1788789914.6153889,2105,2093,u
1788789914.616711,2046,2093,u
1788789914.618183,2176,2079,u
1788789914.6209002,2055,2103,u
1788789914.62707,1971,2097,u
1788789914.6298912,1894,2094,u
1788789914.630385,2052,2089,u
1788789914.632843,2147,2087,u
1788789914.635527,2120,2088,u
1788789914.636199,2039,2091,u
1788789914.636658,2141,2079,u
1788789914.637099,2134,2090,u
1788789914.639647,2017,2092,u
1788789914.641105,1839,2089,u
1788789914.642496,2003,2085,u
1788789914.645155,2088,2088,u
1788789914.650573,2134,2084,u
1788789914.6513019,2070,2096,u
1788789914.654092,2092,2092,u
1788789914.654513,2171,2101,u
1788789914.658257,2048,2091,u
1788789914.659505,1904,2093,u
1788789914.659741,1951,2090,u
1788789914.663169,2063,2090,u
1788789914.6632671,2150,2094,u
1788789914.66467,2123,2089,u
1788789914.66731,2072,2092,u
1788789914.668845,2166,2089,u
1788789914.674124,2088,2093,u
1788789914.6766222,1950,2084,u
1788789914.677224,1878,2092,u
1788789914.679574,2051,2090,u
1788789914.682515,2160,2087,u
1788789914.682816,2121,2090,u
1788789914.6832168,2018,2089,u
1788789914.685889,2118,2087,u
1788789914.68732,2134,2094,u
1788789914.6887019,2046,2095,u
1788789914.690582,1861,2101,u
1788789914.697983,2020,2081,u
1788789914.703403,2086,2091,u
1788789914.7048829,2151,2094,u
1788789914.705154,2089,2094,u
1788789914.705394,2090,2075,u
1788789914.705724,2188,2091,u
1788789914.706107,2078,2086,u
1788789914.708582,1911,2095,u
1788789914.708698,1932,2087,u
1788789914.7102988,2055,2079,u
1788789914.7131798,2131,2089,u
1788789914.721926,2089,2094,u
1788789914.723883,2062,2088,u
1788789914.726835,2170,2085,u
1788789914.727479,2095,2096,u
1788789914.727891,1982,2093,u
1788789914.728192,1878,2082,u
1788789914.7311401,2024,2101,u
1788789914.731283,2116,2087,u
1788789914.731358,2150,2090,u
1788789914.732727,2044,2094,u
1788789914.7354,2152,2079,u
1788789914.741076,2164,2101,u
1788789914.742263,2064,2093,u
1788789914.7435431,1874,2094,u
1788789914.7453172,2013,2086,u
1788789914.745674,2083,2084,u
1788789914.748221,2162,2087,u
1788789914.752407,2089,2097,u
1788789914.753126,2083,2094,u
1788789914.755599,2178,2098,u
1788789914.756468,2094,2089,u
1788789914.7565598,1921,2100,u
1788789914.765952,1927,2089,u
1788789914.767871,2043,2085,u
1788789914.7683918,2155,2086,u
1788789914.7721322,2113,2085,u
1788789914.772326,2045,2094,u
1788789914.776433,2162,2091,u
1788789914.77675,2086,2086,u
1788789914.776801,1971,2091,u
1788789914.776844,1880,2093,u
1788789914.776886,2030,2083,u
1788789914.778263,2144,2095,u
1788789914.7809112,2144,2086,u
1788789914.782262,2042,2089,u
1788789914.791569,2113,2080,u
1788789914.79366,2132,2077,u
1788789914.796896,2042,2091,u
1788789914.799123,1865,2100,u
1788789914.799734,2003,2088,u
1788789914.8028018,2064,2081,u
1788789914.802915,2135,2091,u
1788789914.802984,2099,2091,u
1788789914.8030488,2078,2090,u
1788789914.803159,2177,2081,u
1788789914.804536,2043,2084,u
1788789914.813972,1891,2103,u
1788789914.814712,1956,2082,u
1788789914.820228,2066,2092,u
1788789914.820697,2170,2087,u
1788789914.820981,2130,2088,u
1788789914.823765,2083,2091,u
