timestamp,ch1,ch2,label
1788787870.221494,1917,1935,2_S
1788787870.224011,2061,2259,2_S
1788787870.2267818,2112,2233,2_S
1788787870.2287328,2105,2112,2_S
1788787870.2288861,2034,2014,2_S
1788787870.231013,2110,2236,2_S
1788787870.233651,2118,2047,2_S
1788787870.2349591,2034,1920,2_S
1788787870.237642,1934,1815,2_S
1788787870.242285,2027,2279,2_S
1788787870.24279,2092,2209,2_S
1788787870.244425,2131,2134,2_S
1788787870.247922,2078,2013,2_S
1788787870.249013,2069,2125,2_S
1788787870.2520902,2145,2207,2_S
1788787870.2546299,2068,2003,2_S
1788787870.2547252,1974,1853,2_S
1788787870.254831,1990,2186,2_S
1788787870.25747,2072,2141,2_S
1788787870.2588758,2129,2208,2_S
1788787870.265162,2093,2077,2_S
1788787870.26787,2044,2113,2_S
1788787870.271146,2133,2314,2_S
1788787870.271389,2093,2015,2_S
1788787870.272597,2002,1881,2_S
1788787870.27284,1935,1942,2_S
1788787870.273265,2078,2245,2_S
1788787870.2755651,2125,2243,2_S
1788787870.27694,2117,2097,2_S
1788787870.279673,2046,1998,2_S
1788787870.287735,2112,2252,2_S
1788787870.287925,2110,2054,2_S
1788787870.289599,2035,1908,2_S
1788787870.291376,1925,1809,2_S
1788787870.292651,2031,2269,2_S
1788787870.293021,2082,2206,2_S
1788787870.29347,2115,2138,2_S
1788787870.295724,2070,2032,2_S
1788787870.2971141,2079,2148,2_S
1788787870.299757,2152,2198,2_S
1788787870.301114,2080,1981,2_S
1788787870.3065972,1975,1844,2_S
1788787870.308424,1989,2190,2_S
1788787870.310616,2085,2185,2_S
1788787870.313212,2132,2210,2_S
1788787870.313376,2102,2046,2_S
1788787870.313698,2061,2090,2_S
1788787870.316045,2144,2304,2_S
1788787870.317451,2078,2014,2_S
1788787870.3190882,1999,1902,2_S
1788787870.32176,1937,1954,2_S
1788787870.326983,2080,2240,2_S
1788787870.3290648,2114,2231,2_S
1788787870.3292968,2106,2116,2_S
1788787870.329592,2050,1992,2_S
1788787870.331145,2122,2267,2_S
1788787870.334244,2125,2031,2_S
1788787870.336703,2048,1905,2_S
1788787870.3368242,1925,1803,2_S
1788787870.339319,2030,2294,2_S
1788787870.34068,2110,2210,2_S
1788787870.3473501,2135,2121,2_S
1788787870.347852,2090,2005,2_S
1788787870.3496058,2071,2132,2_S
1788787870.349782,2149,2183,2_S
1788787870.3532548,2076,1997,2_S
1788787870.354516,1969,1865,2_S
1788787870.3548539,1987,2187,2_S
1788787870.3573399,2070,2156,2_S
1788787870.35879,2146,2204,2_S
1788787870.361412,2090,2072,2_S
1788787870.362754,2051,2097,2_S
1788787870.3679821,2132,2313,2_S
1788787870.3685591,2085,2005,2_S
1788787870.371061,2007,1928,2_S
1788787870.372426,1923,1925,2_S
1788787870.374922,2059,2237,2_S
1788787870.3765109,2116,2245,2_S
1788787870.376856,2107,2104,2_S
1788787870.3788102,2039,2008,2_S
1788787870.3814971,2114,2264,2_S
1788787870.3828921,2119,2034,2_S
1788787870.39035,2042,1916,2_S
1788787870.390976,1930,1823,2_S
1788787870.392033,2036,2288,2_S
1788787870.3936372,2093,2198,2_S
1788787870.3941739,2121,2147,2_S
1788787870.395863,2063,2016,2_S
1788787870.399086,2056,2140,2_S
1788787870.399801,2140,2207,2_S
1788787870.402175,2063,1976,2_S
1788787870.403554,1965,1858,2_S
1788787870.404906,1974,2181,2_S
1788787870.407542,2082,2146,2_S
1788787870.413898,2120,2208,2_S
1788787870.41445,2087,2072,2_S
1788787870.416088,2046,2084,2_S
1788787870.4165592,2147,2319,2_S
1788787870.416853,2088,2006,2_S
1788787870.41992,2004,1903,2_S
1788787870.421736,1930,1941,2_S
1788787870.424432,2073,2245,2_S
1788787870.425793,2128,2231,2_S
1788787870.427145,2118,2100,2_S
1788787870.429822,2046,1994,2_S
1788787870.4369879,2102,2258,2_S
1788787870.4380312,2133,2045,2_S
1788787870.438277,2045,1915,2_S
1788787870.440027,1937,1828,2_S
1788787870.441928,2033,2281,2_S
1788787870.444183,2085,2189,2_S
1788787870.445906,2133,2155,2_S
1788787870.446173,2071,2021,2_S
1788787870.4487941,2076,2133,2_S
1788787870.4489322,2151,2200,2_S
1788787870.45537,2062,1985,2_S
1788787870.456531,1979,1850,2_S
1788787870.4589288,2003,2195,2_S
1788787870.459201,2079,2173,2_S
1788787870.4606678,2132,2192,2_S
1788787870.46125,2099,2038,2_S
1788787870.464417,2077,2101,2_S
1788787870.4671302,2158,2305,2_S
1788787870.467201,2087,2024,2_S
1788787870.4686651,2013,1899,2_S
1788787870.471243,1934,1922,2_S
1788787870.472636,2070,2245,2_S
1788787870.477418,2122,2249,2_S
1788787870.4803011,2116,2104,2_S
1788787870.485721,2051,1996,2_S
1788787870.4859421,2108,2267,2_S
1788787870.486897,2108,2045,2_S
1788787870.489395,2017,1892,2_S
1788787870.4897852,1929,1828,2_S
1788787870.489856,2041,2284,2_S
1788787870.4911969,2094,2204,2_S
1788787870.493819,2114,2144,2_S
1788787870.495331,2053,2010,2_S
1788787870.50103,2068,2138,2_S
1788787870.5036101,2143,2183,2_S
1788787870.5038972,2064,1988,2_S
1788787870.504226,1962,1863,2_S
1788787870.506298,1984,2181,2_S
1788787870.511439,2075,2155,2_S
1788787870.511588,2136,2198,2_S
1788787870.511711,2095,2065,2_S
1788787870.513099,2063,2101,2_S
1788787870.515729,2151,2313,2_S
1788787870.5173628,2098,2007,2_S
1788787870.524384,2006,1912,2_S
1788787870.5268412,1945,1943,2_S
1788787870.530646,2069,2227,2_S
1788787870.5328588,2117,2234,2_S
1788787870.533333,2109,2102,2_S
1788787870.5337012,2050,1990,2_S
1788787870.534064,2105,2293,2_S
1788787870.53681,2104,2030,2_S
1788787870.5369742,2044,1913,2_S
1788787870.5370471,1923,1834,2_S
1788787870.543551,2038,2263,2_S
1788787870.547292,2106,2197,2_S
1788787870.54912,2138,2156,2_S
1788787870.550344,2089,2008,2_S
1788787870.553642,2096,2131,2_S
1788787870.5541508,2164,2184,2_S
1788787870.554583,2081,1975,2_S
1788787870.556863,1974,1844,2_S
1788787870.557665,1984,2191,2_S
1788787870.557744,2062,2150,2_S
1788787870.559128,2122,2216,2_S
1788787870.561795,2085,2051,2_S
1788787870.5631738,2061,2112,2_S
1788787870.569993,2138,2310,2_S
1788787870.572769,2076,2016,2_S
1788787870.5730078,2011,1906,2_S
1788787870.577122,1930,1946,2_S
1788787870.578938,2068,2258,2_S
1788787870.5793889,2112,2241,2_S
1788787870.579807,2113,2083,2_S
1788787870.5801978,2047,1999,2_S
1788787870.582879,2101,2278,2_S
1788787870.582957,2109,2036,2_S
1788787870.585577,2025,1918,2_S
1788787870.591108,1922,1794,2_S
1788787870.592417,2047,2268,2_S
1788787870.594335,2103,2211,2_S
1788787870.594704,2119,2126,2_S
1788787870.600377,2074,2008,2_S
1788787870.600778,2066,2129,2_S
1788787870.600971,2145,2188,2_S
1788787870.601388,2075,1976,2_S
1788787870.604529,1955,1832,2_S
1788787870.604631,2000,2198,2_S
1788787870.607378,2076,2159,2_S
1788787870.608722,2145,2227,2_S
1788787870.615691,2099,2075,2_S
1788787870.618506,2070,2093,2_S
1788787870.6191308,2150,2295,2_S
1788787870.6209862,2101,1985,2_S
1788787870.621272,2020,1881,2_S
1788787870.621988,1936,1958,2_S
1788787870.6252549,2075,2230,2_S
1788787870.6258318,2118,2243,2_S
1788787870.628785,2116,2093,2_S
1788787870.628865,2049,2014,2_S
1788787870.631561,2110,2280,2_S
1788787870.636638,2108,2023,2_S
1788787870.639942,2030,1946,2_S
1788787870.6404648,1916,1824,2_S
1788787870.642874,2028,2303,2_S
1788787870.644314,2086,2204,2_S
1788787870.6446111,2125,2139,2_S
1788787870.644943,2061,2016,2_S
1788787870.647404,2078,2123,2_S
1788787870.650943,2142,2175,2_S
1788787870.6510239,2072,1994,2_S
1788787870.653648,1971,1855,2_S
1788787870.654999,1984,2192,2_S
1788787870.6617038,2052,2191,2_S
1788787870.662854,2104,2184,2_S
1788787870.664725,2097,2051,2_S
1788787870.66669,2041,2110,2_S
1788787870.6696682,2127,2319,2_S
1788787870.672181,2097,2013,2_S
1788787870.672622,2011,1880,2_S
1788787870.6730938,1946,1951,2_S
1788787870.6737988,2067,2237,2_S
1788787870.676882,2119,2222,2_S
1788787870.677217,2131,2095,2_S
1788787870.6785789,2053,2015,2_S
1788787870.6867461,2118,2312,2_S
1788787870.687619,2092,2023,2_S
1788787870.6884859,2029,1899,2_S
1788787870.6910222,1930,1801,2_S
1788787870.6975229,2053,2288,2_S
1788787870.6982038,2113,2282,2_S
1788787870.698546,2130,2185,2_S
1788787870.698859,2066,1998,2_S
1788787870.7016902,2074,2022,2_S
1788787870.7025611,2141,2178,2_S
1788787870.702631,2062,2075,2_S
1788787870.702712,1977,1842,2_S
1788787870.7053592,1993,2124,2_S
1788787870.7067132,2071,2139,2_S
1788787870.709245,2138,2227,2_S
1788787870.71523,2094,2110,2_S
1788787870.7160509,2070,2079,2_S
1788787870.717223,2165,2316,2_S
1788787870.719819,2087,2055,2_S
1788787870.72019,1997,1868,2_S
1788787870.7223942,1939,1907,2_S
1788787870.724849,2072,2222,2_S
1788787870.72752,2118,2304,2_S
1788787870.728287,2103,2193,2_S
1788787870.731414,2039,2060,2_S
1788787870.7316852,2104,2037,2_S
1788787870.733025,2094,1990,2_S
1788787870.735946,2016,2017,2_S
1788787870.7422311,1919,1843,2_S
1788787870.7435148,2025,2310,2_S
1788787870.745759,2067,2601,2_S
1788787870.748173,2117,1942,2_S
1788787870.7564318,2058,1558,2_S
1788787870.757012,2049,2133,2_S
1788787870.757091,2132,2323,2_S
1788787870.757165,2067,2089,2_S
1788787870.757247,1949,1837,2_S
1788787870.757309,1988,2176,2_S
1788787870.7575219,2062,2141,2_S
1788787870.758958,2119,2135,2_S
1788787870.761735,2089,1932,2_S
1788787870.763136,2057,2265,2_S
1788787870.7695732,2154,2422,2_S
1788787870.771924,2095,1951,2_S
1788787870.77213,1992,1791,2_S
1788787870.778385,1934,1959,2_S
1788787870.778783,2055,2241,2_S
1788787870.781374,2131,2232,2_S
1788787870.782013,2106,2182,2_S
1788787870.782291,2050,2106,2_S
1788787870.7828999,2118,2156,2_S
1788787870.783235,2115,1922,2_S
1788787870.787592,2029,2077,2_S
1788787870.787699,1936,1911,2_S
1788787870.789099,2049,2070,2_S
1788787870.7953,2096,2125,2_S
1788787870.797708,2145,2270,2_S
1788787870.800713,2077,2122,2_S
1788787870.803481,2067,2115,2_S
1788787870.806009,2111,2150,2_S
1788787870.808783,2056,2089,2_S
1788787870.8092108,1968,1859,2_S
1788787870.809473,1988,2109,2_S
1788787870.809949,2063,2295,2_S
1788787870.810483,2128,2261,2_S
1788787870.8110132,2112,1746,2_S
1788787870.814392,2072,2085,2_S
1788787870.814513,2156,2188,2_S
1788787870.817313,2095,1990,2_S
1788787870.81875,2008,1825,2_S
1788787870.821546,1945,1825,2_S
1788787870.83176,2074,2280,2_S
1788787870.8341691,2117,2196,2_S
1788787870.837696,2104,1966,2_S
1788787870.837871,2039,2078,2_S
1788787870.838681,2109,2305,2_S
1788787870.8409941,2115,2041,2_S
1788787870.841387,2052,1912,2_S
1788787870.841844,1948,1716,2_S
1788787870.842155,2046,2297,2_S
1788787870.845165,2135,2233,2_S
1788787870.8452961,2141,1966,2_S
1788787870.8453581,2059,1982,2_S
1788787870.846684,2071,2136,2_S
1788787870.853944,2131,2200,2_S
1788787870.857396,2070,1955,2_S
1788787870.85762,1980,1821,2_S
1788787870.857943,2061,2191,2_S
1788787870.8582542,2062,2097,2_S
1788787870.860255,2099,2144,2_S
1788787870.862808,2128,2107,2_S
1788787870.865624,2091,2170,2_S
1788787870.866143,2107,2259,2_S
1788787870.8698502,2054,2013,2_S
1788787870.869985,1996,1854,2_S
1788787870.871457,1928,2013,2_S
1788787870.8727849,2087,2276,2_S
1788787870.875437,2177,2253,2_S
1788787870.8821938,2095,2361,2_S
1788787870.8834271,2017,2004,2_S
1788787870.8842182,2114,2049,2_S
1788787870.8864331,2097,1942,2_S
1788787870.8882098,2044,1829,2_S
1788787870.889293,1906,1928,2_S
1788787870.890649,2068,2176,2_S
1788787870.890869,2062,2197,2_S
1788787870.893148,2097,2238,2_S
1788787870.896215,2030,1931,2_S
1788787870.8975518,2108,2092,2_S
1788787870.904057,2128,2316,2_S
1788787870.904716,2072,2166,2_S
1788787870.906336,1944,2103,2_S
1788787870.908811,2010,1896,2_S
1788787870.908962,2102,1914,2_S
1788787870.912699,2059,2097,2_S
1788787870.913109,2046,2081,2_S
1788787870.913449,2056,2121,2_S
1788787870.916119,2161,2431,2_S
1788787870.9174569,2181,1987,2_S
1788787870.918837,2042,1752,2_S
1788787870.921422,1965,1887,2_S
1788787870.926135,2059,2366,2_S
1788787870.927752,2077,2332,2_S
1788787870.928936,2101,2000,2_S
1788787870.930432,2042,1911,2_S
1788787870.930706,2112,2328,2_S
1788787870.9344268,2031,2024,2_S
1788787870.936853,2034,1951,2_S
1788787870.937145,1892,1901,2_S
1788787870.940066,2058,2165,2_S
1788787870.941385,2156,2518,2_S
1788787870.94271,2226,2031,2_S
1788787870.945298,2094,1722,2_S
1788787870.946618,2041,2125,2_S
1788787870.950918,2151,2385,2_S
1788787870.9525151,2060,1948,2_S
1788787870.954564,1962,1742,2_S
1788787870.954884,1993,2377,2_S
1788787870.958234,2036,2239,2_S
1788787870.960799,2125,1950,2_S
1788787870.961068,2151,1972,2_S
1788787870.9639559,2092,2253,2_S
1788787870.965272,2194,2344,2_S
1788787870.966588,2165,2051,2_S
1788787870.9692469,1981,2109,2_S
1788787870.974828,1975,1831,2_S
1788787870.975401,2089,1875,2_S
1788787870.9764822,1978,2610,2_S
1788787870.978247,1971,1835,2_S
1788787870.980594,2065,1787,2_S
1788787870.984632,2040,2344,2_S
1788787870.984855,2085,1947,2_S
1788787870.985064,2014,1854,2_S
1788787870.987902,1918,1791,2_S
1788787870.9890041,2041,2356,2_S
1788787870.99498,2085,2148,2_S
1788787870.995678,2158,2162,2_S
1788787870.998552,2146,2114,2_S
1788787870.998899,2105,2011,2_S
1788787870.999084,2154,2276,2_S
1788787871.0014641,2022,2279,2_S
1788787871.0451,2018,1439,2_S
1788787871.0496671,2066,2137,2_S
1788787871.050069,2082,2430,2_S
1788787871.0529542,2129,1981,2_S
1788787871.053084,2110,2010,2_S
1788787871.053331,2110,2111,2_S
1788787871.0534348,2158,2387,2_S
1788787871.053503,2042,1918,2_S
1788787871.053605,2003,1826,2_S
1788787871.0536802,1903,1864,2_S
1788787871.053731,2055,2307,2_S
1788787871.053775,2127,2225,2_S
1788787871.053865,2105,2119,2_S
1788787871.0539079,2072,2154,2_S
1788787871.054058,2152,2296,2_S
1788787871.0541399,2059,2088,2_S
1788787871.054208,1960,1772,2_S
1788787871.0542772,1871,1930,2_S
1788787871.0556538,2042,2356,2_S
1788787871.055758,2102,2265,2_S
1788787871.056098,2116,2186,2_S
1788787871.060458,2056,2315,2_S
1788787871.065036,2113,1799,2_S
1788787871.067743,2168,1891,2_S
1788787871.069634,2109,2002,2_S
1788787871.0728698,2032,2023,2_S
1788787871.073367,2038,2115,2_S
1788787871.073615,2178,2148,2_S
1788787871.0739598,2206,2220,2_S
1788787871.076709,2062,1810,2_S
1788787871.0768902,2013,2364,2_S
1788787871.0770838,2185,2269,2_S
1788787871.077155,1997,2188,2_S
1788787871.0772438,1957,1841,2_S
1788787871.0773172,1805,1927,2_S
1788787871.077386,2035,2272,2_S
1788787871.077451,2079,2123,2_S
1788787871.077517,2135,2046,2_S
1788787871.0787551,2092,2177,2_S
1788787871.081433,2083,2455,2_S
1788787871.088761,2024,2108,2_S
1788787871.091016,2047,1892,2_S
1788787871.0913322,1976,1834,2_S
1788787871.091489,2085,2295,2_S
1788787871.091723,2022,2428,2_S
1788787871.095721,2071,2060,2_S
1788787871.095993,2024,1942,2_S
1788787871.099054,2059,2127,2_S
1788787871.0993311,2183,1976,2_S
1788787871.102565,2133,2100,2_S
1788787871.1027331,1981,1862,2_S
1788787871.109153,2011,2071,2_S
1788787871.1104121,2109,2182,2_S
1788787871.1130419,2163,2266,2_S
1788787871.113376,2039,1996,2_S
1788787871.114791,2042,1985,2_S
1788787871.115996,2150,2363,2_S
1788787871.1176372,2076,1940,2_S
1788787871.120322,2081,1957,2_S
1788787871.120547,1942,2024,2_S
1788787871.12298,2069,2098,2_S
1788787871.1244109,2093,2371,2_S
1788787871.126842,2098,2190,2_S
1788787871.134155,2048,2039,2_S
1788787871.135262,2088,2144,2_S
1788787871.13764,2099,2174,2_S
1788787871.1379,2005,1820,2_S
1788787871.1394088,1921,1794,2_S
1788787871.1399329,1985,2320,2_S
1788787871.144811,2101,2191,2_S
1788787871.1451719,2140,2122,2_S
1788787871.145542,2095,2075,2_S
1788787871.1485639,2178,2214,2_S
1788787871.148663,2150,2148,2_S
1788787871.15606,2081,2043,2_S
1788787871.1579342,1955,1968,2_S
1788787871.1581252,1977,2072,2_S
1788787871.1584141,2085,2127,2_S
1788787871.1599638,2111,2300,2_S
1788787871.1621828,2052,2321,2_S
1788787871.1676311,2031,1761,2_S
1788787871.167999,2131,2301,2_S
1788787871.1680498,2120,2050,2_S
1788787871.169494,2062,2009,2_S
1788787871.170851,1989,1979,2_S
1788787871.173909,2017,2317,2_S
1788787871.178886,2069,2324,2_S
1788787871.181555,2110,1930,2_S
1788787871.1818318,2060,2058,2_S
1788787871.184057,2136,2380,2_S
1788787871.1882381,2080,2026,2_S
1788787871.188558,2007,2036,2_S
1788787871.18871,1941,1853,2_S
1788787871.1890209,2056,2154,2_S
1788787871.191325,2088,2064,2_S
1788787871.1926458,2197,2199,2_S
1788787871.198772,2082,1949,2_S
1788787871.200128,2078,2097,2_S
1788787871.201319,2113,2391,2_S
1788787871.2035,2109,2184,2_S
1788787871.205421,1974,1608,2_S
1788787871.20731,2024,2330,2_S
1788787871.207627,2052,2177,2_S
1788787871.213442,2018,2083,2_S
1788787871.2134972,2209,1838,2_S
1788787871.213541,2052,1896,2_S
1788787871.214972,2079,2559,2_S
1788787871.217607,2013,2223,2_S
1788787871.219006,1945,1941,2_S
1788787871.2245052,1920,1917,2_S
1788787871.225496,2038,2137,2_S
1788787871.2275012,2092,2360,2_S
1788787871.22795,2095,2296,2_S
1788787871.230284,2055,2118,2_S
1788787871.231771,2155,2251,2_S
1788787871.234952,2126,2017,2_S
1788787871.235245,2035,1791,2_S
1788787871.238326,1986,1592,2_S
1788787871.238432,2134,2299,2_S
1788787871.245504,2075,2380,2_S
1788787871.246609,2074,2111,2_S
1788787871.2468228,2047,2098,2_S
1788787871.249422,2100,2142,2_S
1788787871.251384,2103,2189,2_S
1788787871.2521532,2002,1943,2_S
1788787871.256124,1945,1787,2_S
1788787871.256685,2011,2325,2_S
1788787871.2568269,2096,2237,2_S
1788787871.2594151,2182,2242,2_S
1788787871.26091,2129,2009,2_S
1788787871.2624052,2101,1990,2_S
1788787871.270859,2134,2271,2_S
1788787871.272993,2102,1990,2_S
1788787871.2797382,2007,1841,2_S
1788787871.2802281,1974,2136,2_S
1788787871.280808,2130,2182,2_S
1788787871.2812989,2108,2139,2_S
1788787871.284811,2072,2254,2_S
1788787871.284937,2001,2045,2_S
1788787871.285019,2155,2290,2_S
1788787871.2852118,2110,2096,2_S
1788787871.285372,1923,1817,2_S
1788787871.286762,1881,1996,2_S
1788787871.2937222,2071,2139,2_S
1788787871.3039622,2109,2120,2_S
1788787871.307606,2094,2202,2_S
1788787871.307712,2124,1865,2_S
1788787871.307783,2111,2287,2_S
1788787871.307851,2137,2161,2_S
1788787871.307919,2064,1984,2_S
1788787871.307987,1935,1975,2_S
1788787871.308052,1979,2192,2_S
1788787871.308118,2071,2067,2_S
1788787871.309497,2111,2240,2_S
1788787871.310845,2106,2145,2_S
1788787871.31361,2030,2086,2_S
1788787871.329865,2178,2168,2_S
1788787871.3331368,2181,2017,2_S
1788787871.33323,2032,1971,2_S
1788787871.333306,1901,1941,2_S
