timestamp,ch1,ch2,label
1788787928.453696,2163,2339,4
1788787928.45401,2110,2018,4
1788787928.4567978,2022,1932,4
1788787928.4598,1974,2058,4
1788787928.461612,2083,2329,4
1788787928.463901,2117,2138,4
1788787928.465069,2104,1960,4
1788787928.467954,2064,1999,4
1788787928.468004,2133,2293,4
1788787928.470668,2108,1855,4
1788787928.4720252,1973,1835,4
1788787928.478278,1882,1761,4
1788787928.479486,2015,2300,4
1788787928.480129,2110,2214,4
1788787928.481844,2150,2178,4
1788787928.482099,2071,2176,4
1788787928.4860969,2077,2189,4
1788787928.487953,2205,2628,4
1788787928.4884322,2154,1944,4
1788787928.4908428,2005,1399,4
1788787928.49219,1966,2136,4
1788787928.4936278,2053,2257,4
1788787928.496276,2120,2171,4
1788787928.501708,2072,2005,4
1788787928.504902,2078,2154,4
1788787928.505239,2175,2310,4
1788787928.507166,2096,1884,4
1788787928.509025,2002,1977,4
1788787928.510248,1889,1890,4
1788787928.51085,2050,2401,4
1788787928.5134988,2121,2259,4
1788787928.5136409,2092,2004,4
1788787928.516265,2040,1776,4
1788787928.517659,2094,2163,4
1788787928.524437,2125,2074,4
1788787928.525897,2054,1954,4
1788787928.527741,1918,1747,4
1788787928.5280828,2064,2398,4
1788787928.530279,2143,2251,4
1788787928.530571,2152,2182,4
1788787928.5330482,2095,1990,4
1788787928.53693,2090,2179,4
1788787928.5370119,2145,2277,4
1788787928.53836,2077,1999,4
1788787928.539804,1958,1840,4
1788787928.54241,1980,2123,4
1788787928.54944,2093,2156,4
1788787928.5562701,2174,2218,4
1788787928.55665,2129,2084,4
1788787928.557125,2077,2137,4
1788787928.5594828,2146,2307,4
1788787928.560408,2093,1895,4
1788787928.5604842,2017,1965,4
1788787928.5605462,1907,1917,4
1788787928.560606,2080,2272,4
1788787928.562026,2135,2214,4
1788787928.564667,2149,2093,4
1788787928.56608,2056,2008,4
1788787928.5742478,2120,2155,4
1788787928.574657,2137,2013,4
1788787928.5750191,2056,1863,4
1788787928.578808,1946,1811,4
1788787928.580422,2068,2302,4
1788787928.581033,2057,2209,4
1788787928.581544,2156,2164,4
1788787928.5836842,2114,2004,4
1788787928.5843241,2102,2144,4
1788787928.585672,2137,2289,4
1788787928.592314,2064,2003,4
1788787928.5953438,1980,1791,4
1788787928.595562,1979,2150,4
1788787928.595873,2069,2152,4
1788787928.599436,2099,2167,4
1788787928.599848,2098,1999,4
1788787928.601321,2105,2099,4
1788787928.604382,2174,2397,4
1788787928.604438,2116,1995,4
1788787928.605836,2030,1836,4
1788787928.608532,1927,1888,4
1788787928.6099699,2094,2277,4
1788787928.616732,2157,2254,4
1788787928.619589,2191,2045,4
1788787928.6211379,2071,1991,4
1788787928.6276522,2093,2354,4
1788787928.627767,2079,2123,4
1788787928.6278882,2022,1864,4
1788787928.627966,1925,1724,4
1788787928.628031,2045,2284,4
1788787928.628099,2077,2190,4
1788787928.630723,2138,2221,4
1788787928.632065,2065,1988,4
1788787928.640167,2088,2067,4
1788787928.6419818,2195,2230,4
1788787928.644405,2097,1954,4
1788787928.644816,1978,1759,4
1788787928.650645,1986,2141,4
1788787928.651466,2058,2185,4
1788787928.654559,2181,2079,4
1788787928.654633,2130,2120,4
1788787928.65468,1985,2234,4
1788787928.6547241,2162,2419,4
1788787928.654766,2067,2054,4
1788787928.656172,2064,1891,4
1788787928.6628249,1964,1929,4
1788787928.664979,2095,2327,4
1788787928.665246,2105,2241,4
1788787928.6677492,2091,1993,4
1788787928.6710432,2065,1988,4
1788787928.6716669,2143,2170,4
1788787928.672081,2167,2018,4
1788787928.672283,2039,1816,4
1788787928.675028,1873,1770,4
1788787928.676954,2045,2290,4
1788787928.678307,2147,2378,4
1788787928.6796522,2128,2300,4
1788787928.685756,2097,1909,4
1788787928.6880279,2143,2184,4
1788787928.6926951,2076,2246,4
1788787928.694751,2077,1974,4
1788787928.699071,1979,1890,4
1788787928.699998,2047,2146,4
1788787928.700076,2044,2265,4
1788787928.700139,2153,2147,4
1788787928.700202,2101,2056,4
1788787928.700263,2085,2354,4
1788787928.701653,2188,2264,4
1788787928.710644,2102,1980,4
1788787928.711094,1990,1815,4
1788787928.7130492,1964,1931,4
1788787928.715412,2089,2251,4
1788787928.717429,2162,2279,4
1788787928.717663,2160,2067,4
1788787928.717995,2062,1919,4
1788787928.718397,1998,2396,4
1788787928.7211661,2199,2102,4
1788787928.722633,2102,1852,4
1788787928.72401,1857,1797,4
1788787928.7266629,1935,2152,4
1788787928.728016,2063,2305,4
1788787928.733688,2080,2164,4
1788787928.734369,2080,2096,4
1788787928.735689,2131,2154,4
1788787928.738011,2204,2185,4
1788787928.7384589,2077,2180,4
1788787928.740365,1977,1860,4
1788787928.742326,1959,2283,4
1788787928.744077,2088,2179,4
1788787928.746422,2236,2259,4
1788787928.747774,2090,2120,4
1788787928.754674,2097,2145,4
1788787928.755727,2175,2401,4
1788787928.7580101,2094,1898,4
1788787928.758209,2108,1687,4
1788787928.760103,1976,1894,4
1788787928.7622101,2082,2467,4
1788787928.7624168,2146,2311,4
1788787928.764299,2135,2035,4
1788787928.767345,2137,2005,4
1788787928.768818,2092,2418,4
1788787928.770176,2101,2081,4
1788787928.7715662,2104,1878,4
1788787928.777899,1910,1856,4
1788787928.778888,2071,2225,4
1788787928.7799418,2126,2222,4
1788787928.781568,2135,2251,4
1788787928.781816,2059,1924,4
1788787928.784064,2084,2148,4
1788787928.785644,2215,2382,4
1788787928.790197,2119,1852,4
1788787928.790286,2005,1853,4
1788787928.791666,2069,2312,4
1788787928.794243,2072,2129,4
1788787928.795551,2051,2182,4
1788787928.8007839,2046,2041,4
1788787928.803801,2099,2095,4
1788787928.804021,2134,2384,4
1788787928.804223,2115,1960,4
1788787928.806488,2030,1878,4
1788787928.8095438,1907,1851,4
1788787928.809767,2074,2264,4
1788787928.812136,2193,2162,4
1788787928.813496,2188,2251,4
1788787928.816075,2081,2063,4
1788787928.8222878,2120,2318,4
1788787928.822879,2121,1993,4
1788787928.823307,2079,1801,4
1788787928.8254888,1941,1806,4
1788787928.827086,1909,2389,4
1788787928.828646,2108,2101,4
1788787928.830364,2171,2136,4
1788787928.832633,2073,1961,4
1788787928.833948,2087,2124,4
1788787928.8364859,2101,2189,4
1788787928.8377972,2047,2042,4
1788787928.842885,1940,1642,4
1788787928.843313,2024,2109,4
1788787928.8453178,2076,2322,4
1788787928.846911,2196,2292,4
1788787928.8484218,2115,2051,4
1788787928.850183,1996,2097,4
1788787928.852921,2165,2403,4
1788787928.8542452,2092,2032,4
1788787928.855562,1903,1791,4
1788787928.858016,1914,1889,4
1788787928.863111,2069,2302,4
1788787928.8632052,2148,2215,4
1788787928.865917,2076,2118,4
1788787928.86609,1946,2011,4
1788787928.868939,2163,2322,4
1788787928.870656,2152,2114,4
1788787928.873091,2065,1872,4
1788787928.874431,1915,1669,4
1788787928.875752,2013,2285,4
1788787928.878316,2068,2215,4
1788787928.879671,2101,2159,4
1788787928.884602,2087,1979,4
1788787928.886603,2097,2127,4
1788787928.8867462,2183,2308,4
1788787928.8887172,2088,1924,4
1788787928.8916,1934,1790,4
1788787928.8918111,1968,2166,4
