timestamp,ch1,ch2,label
1788789155.127282,2125,2118,QQ
1788789155.129466,2079,2036,QQ
1788789155.1297228,2015,2036,QQ
1788789155.129985,1948,2103,QQ
1788789155.132134,2039,1840,QQ
1788789155.134361,2131,1972,QQ
1788789155.13658,2138,2122,QQ
1788789155.137929,2075,1892,QQ
1788789155.140589,2110,2003,QQ
1788789155.141935,2103,2111,QQ
1788789155.147403,2057,1997,QQ
1788789155.148045,1945,2424,QQ
1788789155.1485949,2033,1792,QQ
1788789155.1527722,2093,1871,QQ
1788789155.153287,2141,2096,QQ
1788789155.154805,2084,2106,QQ
1788789155.1562061,2084,1958,QQ
1788789155.1583302,2130,2144,QQ
1788789155.1596649,2062,1995,QQ
1788789155.1623309,1961,2241,QQ
1788789155.163788,1966,1883,QQ
1788789155.170204,2039,1858,QQ
1788789155.172033,2126,2030,QQ
1788789155.172529,2085,2158,QQ
1788789155.174144,2021,1886,QQ
1788789155.174356,2118,2113,QQ
1788789155.176568,2092,2035,QQ
1788789155.178859,2021,2064,QQ
1788789155.181827,1945,2132,QQ
1788789155.182143,2056,1877,QQ
1788789155.1834712,2120,1977,QQ
1788789155.186102,2120,2160,QQ
1788789155.1874151,2046,1876,QQ
1788789155.1941388,2102,2028,QQ
1788789155.1951091,2117,2099,QQ
1788789155.197344,2061,2005,QQ
1788789155.197887,1948,2404,QQ
1788789155.2001102,2029,1829,QQ
1788789155.2022011,2076,1886,QQ
1788789155.2034109,2111,2115,QQ
1788789155.2036679,2080,2045,QQ
1788789155.206636,2065,1982,QQ
1788789155.207964,2128,2153,QQ
1788789155.21056,2068,1987,QQ
1788789155.212298,1977,2199,QQ
1788789155.2249322,1985,1902,QQ
1788789155.227784,2068,1854,QQ
1788789155.227882,2134,2042,QQ
1788789155.2279592,2101,2149,QQ
1788789155.228065,2067,1872,QQ
1788789155.22812,2134,2128,QQ
1788789155.2281642,2093,2033,QQ
1788789155.228207,2025,2046,QQ
1788789155.229614,1946,2136,QQ
1788789155.2322502,2040,1882,QQ
1788789155.233647,2097,1959,QQ
1788789155.2393029,2103,2144,QQ
1788789155.241604,2042,1880,QQ
1788789155.243594,2082,2042,QQ
1788789155.243901,2101,2118,QQ
1788789155.2453399,2031,1953,QQ
1788789155.248721,1925,2411,QQ
1788789155.249072,2026,1815,QQ
1788789155.253428,2092,1882,QQ
1788789155.2537768,2127,2106,QQ
1788789155.2538528,2056,2032,QQ
1788789155.2617412,2055,1990,QQ
1788789155.263893,2138,2152,QQ
1788789155.264382,2072,2009,QQ
1788789155.266315,1955,2194,QQ
1788789155.26839,1960,1880,QQ
1788789155.270418,2051,1867,QQ
1788789155.270947,2138,2034,QQ
1788789155.271266,2106,2146,QQ
1788789155.271592,2081,1883,QQ
1788789155.274324,2139,2122,QQ
1788789155.275674,2115,2039,QQ
1788789155.278327,2036,2043,QQ
1788789155.279689,1959,2115,QQ
1788789155.285304,2061,1885,QQ
1788789155.286856,2089,1992,QQ
1788789155.288738,2086,2150,QQ
1788789155.290366,2035,1872,QQ
1788789155.292994,2081,2006,QQ
1788789155.2933178,2101,2128,QQ
1788789155.2950258,2037,2001,QQ
1788789155.29835,1930,2406,QQ
1788789155.298424,2025,1815,QQ
1788789155.299592,2093,1885,QQ
1788789155.308495,2123,2134,QQ
1788789155.310365,2062,2038,QQ
1788789155.313034,2068,1970,QQ
1788789155.313366,2125,2169,QQ
1788789155.315093,2077,2005,QQ
1788789155.31565,1978,2283,QQ
1788789155.315967,1988,1888,QQ
1788789155.316434,2059,1868,QQ
1788789155.319259,2130,2058,QQ
1788789155.319423,2112,2145,QQ
1788789155.322041,2065,1860,QQ
1788789155.323463,2130,2106,QQ
1788789155.3293629,2084,2024,QQ
1788789155.3309739,2005,2053,QQ
1788789155.3322802,1937,2069,QQ
1788789155.334456,2040,1858,QQ
1788789155.33696,2103,1962,QQ
1788789155.339885,2123,2138,QQ
1788789155.3403132,2068,1886,QQ
1788789155.340729,2128,2019,QQ
1788789155.343585,2137,2115,QQ
1788789155.343949,2030,2004,QQ
1788789155.3467798,1908,2397,QQ
1788789155.3527648,2012,1802,QQ
1788789155.355582,2087,1889,QQ
1788789155.3581812,2126,2100,QQ
1788789155.3616042,2062,2079,QQ
1788789155.362299,2054,1970,QQ
1788789155.3655019,2133,2129,QQ
1788789155.3656378,2065,2000,QQ
1788789155.3657339,1975,2210,QQ
1788789155.365804,1997,1895,QQ
1788789155.365867,2062,1861,QQ
1788789155.368562,2130,2050,QQ
1788789155.369946,2099,2115,QQ
1788789155.371413,2060,1883,QQ
1788789155.379009,2131,2125,QQ
1788789155.379767,2087,2007,QQ
1788789155.381136,2015,2045,QQ
1788789155.383161,1937,2041,QQ
1788789155.3837519,2054,1861,QQ
1788789155.384081,2111,1987,QQ
1788789155.386244,2118,2142,QQ
1788789155.388761,2030,1873,QQ
1788789155.390708,2096,2008,QQ
1788789155.394204,2093,2081,QQ
1788789155.394285,2055,1969,QQ
1788789155.3956559,1938,2386,QQ
1788789155.398675,2027,1813,QQ
1788789155.4043179,2092,1887,QQ
1788789155.405664,2132,2116,QQ
1788789155.408303,2072,2064,QQ
1788789155.4085948,2065,1957,QQ
1788789155.4114292,2138,2150,QQ
1788789155.41394,2076,1996,QQ
1788789155.415999,1967,2285,QQ
1788789155.416212,1982,1890,QQ
1788789155.416814,2060,1874,QQ
1788789155.420209,2135,2049,QQ
1788789155.4202828,2108,2178,QQ
1788789155.4216251,2077,1898,QQ
1788789155.4242282,2138,2132,QQ
1788789155.4255621,2104,2032,QQ
1788789155.433303,2001,2024,QQ
1788789155.4367218,1955,2045,QQ
1788789155.436991,2056,1873,QQ
1788789155.437366,2128,1959,QQ
1788789155.4389818,2119,2130,QQ
1788789155.4397418,2059,1881,QQ
1788789155.439977,2120,2021,QQ
1788789155.44418,2113,2118,QQ
1788789155.4448159,2048,1986,QQ
1788789155.44865,1921,2423,QQ
1788789155.448736,2014,1866,QQ
1788789155.4502358,2075,1893,QQ
1788789155.451969,2129,2110,QQ
1788789155.4568472,2075,2053,QQ
1788789155.458116,2069,1956,QQ
1788789155.4587479,2120,2141,QQ
1788789155.4614,2059,2008,QQ
1788789155.464916,1965,2263,QQ
1788789155.468745,1987,1875,QQ
1788789155.46897,2070,1880,QQ
1788789155.469546,2123,2056,QQ
1788789155.469976,2088,2158,QQ
1788789155.472938,2046,1853,QQ
1788789155.474284,2112,2146,QQ
1788789155.4758341,2082,2026,QQ
1788789155.479239,2002,2060,QQ
1788789155.485727,1940,2022,QQ
1788789155.487616,2044,1876,QQ
1788789155.4896572,2096,1981,QQ
1788789155.490179,2120,2092,QQ
1788789155.492162,2058,1877,QQ
1788789155.492945,2103,2014,QQ
1788789155.496638,2115,2106,QQ
1788789155.497192,2044,1971,QQ
1788789155.497781,1922,2377,QQ
1788789155.498158,2020,1850,QQ
1788789155.5015,2080,1871,QQ
1788789155.5016692,2107,2093,QQ
1788789155.509967,2046,2051,QQ
1788789155.5131829,2049,1968,QQ
1788789155.513428,2130,2126,QQ
1788789155.513713,2071,2012,QQ
1788789155.5159628,1966,2323,QQ
1788789155.5185258,1971,1868,QQ
1788789155.520949,2050,1853,QQ
1788789155.521287,2128,2065,QQ
1788789155.52159,2115,2135,QQ
1788789155.521857,2050,1905,QQ
1788789155.525323,2115,2146,QQ
1788789155.525436,2092,2014,QQ
1788789155.528042,2021,2039,QQ
1788789155.529431,1959,1976,QQ
1788789155.5319932,2048,1891,QQ
1788789155.538786,2104,1985,QQ
1788789155.540586,2123,2109,QQ
1788789155.542749,2050,1872,QQ
1788789155.5433788,2110,1993,QQ
1788789155.5459049,2113,2101,QQ
1788789155.5481899,2040,2002,QQ
1788789155.5507221,1938,2416,QQ
1788789155.5513952,2041,1850,QQ
1788789155.551733,2106,1915,QQ
1788789155.552104,2126,2095,QQ
1788789155.555565,2069,2092,QQ
1788789155.555636,2070,1966,QQ
1788789155.5582569,2118,2145,QQ
1788789155.5642939,2064,2009,QQ
1788789155.565283,1967,2330,QQ
1788789155.566543,1986,1864,QQ
1788789155.5672991,2067,1867,QQ
1788789155.5702138,2128,2052,QQ
1788789155.570689,2097,2160,QQ
1788789155.573477,2070,1888,QQ
1788789155.5753322,2139,2124,QQ
1788789155.577944,2101,2011,QQ
1788789155.5783172,2011,2054,QQ
1788789155.581543,1955,1965,QQ
1788789155.5819972,2050,1870,QQ
1788789155.584624,2100,1988,QQ
