timestamp,ch1,ch2,label
1788787282.053588,2102,2001,a
1788787282.0548182,1989,1842,a
1788787282.0579379,1948,2094,a
1788787282.060251,2060,2167,a
1788787282.063592,2136,2229,a
1788787282.064896,2124,2090,a
1788787282.06522,2061,2058,a
1788787282.0684302,2144,2349,a
1788787282.06851,2114,2030,a
1788787282.07022,2008,1912,a
1788787282.071564,1896,1844,a
1788787282.074207,2070,2288,a
1788787282.075874,2118,2281,a
1788787282.084243,2115,2152,a
1788787282.0845098,2060,1978,a
1788787282.084749,2111,2200,a
1788787282.085014,2165,2128,a
1788787282.089001,2073,1952,a
1788787282.090209,1931,1742,a
1788787282.090543,2006,2238,a
1788787282.092866,2073,2181,a
1788787282.094303,2141,2195,a
1788787282.095683,2086,2028,a
1788787282.098312,2044,2123,a
1788787282.1044312,2185,2275,a
1788787282.106128,2096,2008,a
1788787282.109971,1977,1815,a
1788787282.1107688,1932,2088,a
1788787282.1123142,2065,2157,a
1788787282.113616,2132,2250,a
1788787282.11389,2129,2074,a
1788787282.1140878,2065,2028,a
1788787282.117044,2151,2368,a
1788787282.118423,2112,2038,a
1788787282.119781,2038,1887,a
1788787282.12241,1916,1819,a
1788787282.1275961,2057,2304,a
1788787282.1288068,2121,2264,a
1788787282.1312141,2120,2169,a
1788787282.131541,2079,1997,a
1788787282.131736,2099,2191,a
1788787282.1368341,2151,2148,a
1788787282.137175,2043,1944,a
1788787282.137689,1942,1741,a
1788787282.140468,1996,2241,a
1788787282.1419232,2059,2178,a
1788787282.143533,2143,2216,a
1788787282.148559,2095,2007,a
1788787282.149756,2075,2138,a
1788787282.152638,2169,2300,a
1788787282.152993,2080,2006,a
1788787282.158032,1964,1833,a
1788787282.1614232,1952,2063,a
1788787282.161641,2065,2178,a
1788787282.1617239,2130,2245,a
1788787282.161793,2105,2079,a
1788787282.164481,2039,2042,a
1788787282.165909,2124,2370,a
1788787282.167289,2121,2027,a
1788787282.176654,2036,1879,a
1788787282.177063,1894,1820,a
1788787282.177242,2044,2300,a
1788787282.1796532,2104,2259,a
1788787282.18368,2142,2143,a
1788787282.184601,2066,1994,a
1788787282.1873229,2078,2206,a
1788787282.187406,2129,2141,a
1788787282.187468,2048,1953,a
1788787282.187528,1943,1783,a
1788787282.1949031,2001,2244,a
1788787282.195612,2078,2182,a
1788787282.197967,2126,2180,a
1788787282.1982012,2098,2040,a
1788787282.198569,2070,2135,a
1788787282.203646,2145,2298,a
1788787282.2039418,2079,2015,a
1788787282.2041368,1998,1833,a
1788787282.207158,1952,2042,a
1788787282.207304,2059,2161,a
1788787282.20996,2135,2248,a
1788787282.211885,2114,2100,a
1788787282.217688,2056,2023,a
1788787282.219857,2143,2365,a
1788787282.221685,2128,2054,a
1788787282.222019,2044,1893,a
1788787282.224789,1924,1794,a
1788787282.227734,2045,2319,a
1788787282.228304,2100,2272,a
1788787282.228734,2125,2172,a
1788787282.2317939,2062,1989,a
1788787282.23187,2076,2173,a
1788787282.233403,2172,2162,a
1788787282.240281,2080,1949,a
1788787282.242679,1954,1769,a
1788787282.2430248,1998,2233,a
1788787282.2449222,2058,2179,a
1788787282.248256,2141,2215,a
1788787282.2486432,2100,2041,a
1788787282.250295,2086,2126,a
1788787282.250706,2180,2287,a
1788787282.25384,2092,2011,a
1788787282.2539341,1978,1848,a
1788787282.2554162,1937,2049,a
1788787282.258147,2047,2171,a
1788787282.25952,2120,2240,a
1788787282.2679849,2120,2089,a
1788787282.273361,2076,2011,a
1788787282.2755258,2156,2351,a
1788787282.2760699,2113,2058,a
1788787282.2790341,2020,1895,a
1788787282.279178,1906,1804,a
1788787282.279232,2072,2323,a
1788787282.2793112,2121,2275,a
1788787282.279357,2150,2160,a
1788787282.279464,2063,1988,a
1788787282.286607,2084,2170,a
1788787282.287176,2161,2165,a
1788787282.288183,2072,1961,a
1788787282.2897742,1943,1766,a
1788787282.2899861,2005,2224,a
1788787282.2918541,2081,2191,a
1788787282.295514,2140,2205,a
1788787282.2960582,2083,2028,a
1788787282.298922,2065,2127,a
1788787282.300349,2146,2310,a
1788787282.301685,2095,2025,a
1788787282.30428,2003,1819,a
1788787282.310538,1934,2026,a
1788787282.31117,2062,2191,a
1788787282.313602,2110,2244,a
1788787282.317415,2113,2083,a
1788787282.3177469,2060,2004,a
1788787282.3194702,2136,2359,a
1788787282.319869,2128,2027,a
1788787282.3203049,2037,1889,a
1788787282.322813,1919,1790,a
1788787282.324131,2052,2313,a
1788787282.329659,2113,2250,a
1788787282.33091,2139,2171,a
1788787282.331865,2081,1980,a
1788787282.333979,2102,2175,a
1788787282.336271,2144,2169,a
1788787282.337945,2070,1979,a
1788787282.339519,1949,1749,a
1788787282.339775,1998,2203,a
1788787282.3424928,2083,2183,a
1788787282.343848,2127,2200,a
1788787282.345271,2087,2040,a
1788787282.347907,2064,2106,a
1788787282.352714,2170,2299,a
1788787282.353743,2104,2024,a
1788787282.354233,1974,1839,a
1788787282.3566132,1923,2003,a
1788787282.360136,2053,2179,a
1788787282.360388,2136,2251,a
1788787282.3620749,2126,2084,a
1788787282.3648908,2056,2053,a
1788787282.366291,2122,2347,a
1788787282.367639,2122,2032,a
1788787282.374551,2046,1883,a
1788787282.375624,1925,1827,a
1788787282.376199,2036,2303,a
1788787282.376651,2109,2237,a
1788787282.37818,2112,2175,a
1788787282.38019,2043,2010,a
1788787282.383872,2082,2153,a
1788787282.3841019,2156,2159,a
1788787282.38675,2062,1960,a
1788787282.388075,1965,1770,a
1788787282.389386,2007,2213,a
1788787282.3918562,2102,2160,a
1788787282.393358,2162,2209,a
1788787282.397011,2109,2044,a
1788787282.3998778,2082,2089,a
1788787282.40002,2160,2314,a
1788787282.4029791,2102,2020,a
1788787282.4046211,1997,1845,a
1788787282.407189,1917,2017,a
1788787282.4072719,2038,2177,a
1788787282.4098449,2118,2253,a
1788787282.412413,2109,2112,a
1788787282.450911,2047,1993,a
1788787282.451149,2137,2330,a
1788787282.451305,2142,2039,a
1788787282.451464,2057,1901,a
1788787282.451573,1919,1767,a
1788787282.451693,2048,2304,a
1788787282.4518,2116,2250,a
1788787282.4518678,2140,2169,a
1788787282.4519548,2073,1997,a
1788787282.452021,2086,2162,a
1788787282.452102,2176,2169,a
1788787282.4521978,2081,1954,a
1788787282.4522848,1948,1793,a
1788787282.452367,1996,2209,a
1788787282.4524522,2082,2181,a
1788787282.452519,2145,2191,a
1788787282.452577,2103,2035,a
1788787282.4526222,2064,2106,a
1788787282.452666,2152,2282,a
1788787282.452706,2096,2032,a
1788787282.454091,2005,1858,a
1788787282.464402,1932,1990,a
1788787282.465645,2071,2187,a
1788787282.4675488,2142,2257,a
1788787282.4677691,2161,2080,a
1788787282.4680629,2060,2008,a
1788787282.468215,2144,2346,a
1788787282.4684422,2144,2042,a
1788787282.470203,2050,1895,a
1788787282.471518,1918,1778,a
1788787282.47409,2041,2303,a
1788787282.47555,2104,2253,a
1788787282.479747,2147,2162,a
1788787282.480287,2078,1983,a
1788787282.484994,2078,2160,a
1788787282.485169,2148,2189,a
1788787282.4863942,2086,1964,a
1788787282.488252,1953,1789,a
1788787282.490231,1973,2205,a
1788787282.4915469,2070,2178,a
1788787282.494116,2133,2214,a
1788787282.49542,2089,2035,a
1788787282.500745,2057,2131,a
1788787282.5020642,2150,2318,a
1788787282.502223,2108,1985,a
1788787282.503704,2005,1881,a
1788787282.5082612,1932,2019,a
1788787282.5084522,2053,2185,a
1788787282.5109508,2123,2208,a
1788787282.512361,2101,2072,a
1788787282.513851,2043,1998,a
1788787282.5164,2145,2316,a
1788787282.520952,2120,2101,a
1788787282.521806,2041,1881,a
1788787282.5223098,1907,1720,a
1788787282.523798,2042,2245,a
1788787282.526595,2115,2251,a
1788787282.528398,2132,2182,a
1788787282.531094,2075,2071,a
1788787282.532471,2077,2236,a
1788787282.5338619,2182,2290,a
1788787282.535188,2113,2113,a
1788787282.541197,1952,1640,a
1788787282.542478,1967,1975,a
1788787282.543875,2069,2165,a
1788787282.544151,2171,2284,a
1788787282.547338,2126,2060,a
1788787282.54981,2054,2038,a
1788787282.55195,2153,2254,a
1788787282.552261,2108,2069,a
1788787282.553617,2011,1837,a
1788787282.5561962,1920,2051,a
1788787282.5574982,2053,2343,a
1788787282.561952,2106,2320,a
1788787282.56283,2128,2060,a
1788787282.564713,2061,1965,a
1788787282.5680661,2122,2270,a
1788787282.56829,2134,2143,a
1788787282.570129,2071,1855,a
1788787282.57247,1924,1775,a
1788787282.573793,2038,2302,a
1788787282.5751622,2096,2167,a
1788787282.577732,2142,2212,a
1788787282.583565,2085,2020,a
1788787282.585056,2093,2143,a
1788787282.585387,2152,2259,a
1788787282.586853,2068,1968,a
1788787282.5884428,1958,1693,a
1788787282.590446,2019,2111,a
1788787282.5927732,2088,2220,a
1788787282.594091,2141,2251,a
1788787282.595378,2077,2074,a
