timestamp,ch1,ch2,label
1788788367.255096,1908,1890,ai
1788788367.2552671,2144,2129,ai
1788788367.2555258,2058,1994,ai
1788788367.255574,1938,1884,ai
1788788367.255635,1996,2188,ai
1788788367.2557251,2072,2128,ai
1788788367.255765,2122,2145,ai
1788788367.255806,2089,2043,ai
1788788367.255844,2064,2132,ai
1788788367.255882,2154,2213,ai
1788788367.2559412,2078,2006,ai
1788788367.2599292,1981,1914,ai
1788788367.260651,1936,2069,ai
1788788367.261867,2058,2146,ai
1788788367.266773,2129,2205,ai
1788788367.267288,2103,2075,ai
1788788367.269734,2043,2047,ai
1788788367.2699862,2115,2278,ai
1788788367.273827,2106,2050,ai
1788788367.274135,2028,1964,ai
1788788367.2763772,1914,1882,ai
1788788367.278966,2048,2268,ai
1788788367.280289,2109,2203,ai
1788788367.2830248,2147,2135,ai
1788788367.286889,2077,2019,ai
1788788367.2877681,2088,2152,ai
1788788367.289543,2140,2108,ai
1788788367.291359,2059,1978,ai
1788788367.293867,1956,1901,ai
1788788367.2940118,2004,2205,ai
1788788367.296415,2084,2136,ai
1788788367.299006,2134,2172,ai
1788788367.3003242,2091,2058,ai
1788788367.301929,2056,2103,ai
1788788367.308107,2137,2231,ai
1788788367.311286,2084,2020,ai
1788788367.31365,1979,1914,ai
1788788367.316098,1950,2076,ai
1788788367.316406,2086,2154,ai
1788788367.3167849,2132,2209,ai
1788788367.318929,2102,2097,ai
1788788367.3194702,2043,2043,ai
1788788367.3209212,2128,2275,ai
1788788367.322222,2101,2016,ai
1788788367.324865,2017,1943,ai
1788788367.330146,1910,1919,ai
1788788367.330633,2053,2249,ai
1788788367.332549,2101,2199,ai
1788788367.3326778,2125,2121,ai
1788788367.334469,2063,2035,ai
1788788367.3365812,2075,2151,ai
1788788367.338943,2120,2105,ai
1788788367.340262,2054,1986,ai
1788788367.342932,1927,1879,ai
1788788367.344268,1995,2198,ai
1788788367.350621,2080,2149,ai
1788788367.351142,2135,2161,ai
1788788367.351692,2078,2071,ai
1788788367.353143,2068,2123,ai
1788788367.355138,2158,2210,ai
1788788367.357237,2087,2009,ai
1788788367.359147,1992,1921,ai
1788788367.36064,1949,2096,ai
1788788367.3620229,2064,2137,ai
1788788367.364645,2129,2180,ai
1788788367.365955,2117,2108,ai
1788788367.37025,2054,2048,ai
1788788367.371092,2148,2263,ai
1788788367.3727732,2113,2026,ai
1788788367.374645,2020,1952,ai
1788788367.376828,1898,1941,ai
1788788367.3792052,2060,2260,ai
1788788367.3805718,2104,2197,ai
1788788367.382077,2110,2130,ai
1788788367.384704,2046,2023,ai
1788788367.3860228,2093,2162,ai
