timestamp,ch1,ch2,label
1788788388.1781409,2071,2163,ai_S
1788788388.178713,2128,2177,ai_S
1788788388.181584,2110,2103,ai_S
1788788388.184662,2051,2076,ai_S
1788788388.186375,2132,2266,ai_S
1788788388.188732,2102,2043,ai_S
1788788388.189173,2027,1990,ai_S
1788788388.192888,1920,1933,ai_S
1788788388.192974,2065,2210,ai_S
1788788388.194379,2125,2199,ai_S
1788788388.195765,2136,2151,ai_S
1788788388.1974761,2055,2012,ai_S
1788788388.2045171,2079,2166,ai_S
1788788388.2093818,2130,2113,ai_S
1788788388.2142878,2054,2018,ai_S
1788788388.215188,1925,1879,ai_S
1788788388.215392,2009,2200,ai_S
1788788388.215468,2089,2153,ai_S
1788788388.2155688,2134,2157,ai_S
1788788388.215625,2097,2067,ai_S
1788788388.2156658,2080,2112,ai_S
1788788388.218405,2156,2218,ai_S
1788788388.219777,2085,2013,ai_S
1788788388.2250829,1985,1927,ai_S
1788788388.2257988,1964,2108,ai_S
1788788388.2267551,2069,2137,ai_S
1788788388.23015,2135,2175,ai_S
1788788388.230856,2117,2105,ai_S
1788788388.233359,2052,2059,ai_S
1788788388.2337668,2136,2236,ai_S
1788788388.2365801,2089,2049,ai_S
1788788388.237963,2011,1978,ai_S
1788788388.240632,1912,1949,ai_S
1788788388.242023,2044,2233,ai_S
1788788388.250079,2107,2180,ai_S
1788788388.252768,2114,2124,ai_S
1788788388.258946,2053,2037,ai_S
1788788388.2590442,2094,2130,ai_S
1788788388.259113,2128,2127,ai_S
1788788388.259176,2038,2001,ai_S
1788788388.259239,1921,1881,ai_S
1788788388.2594612,2014,2182,ai_S
1788788388.259527,2089,2144,ai_S
1788788388.2622368,2135,2149,ai_S
1788788388.2637062,2078,2054,ai_S
1788788388.266837,2066,2124,ai_S
1788788388.2718139,2144,2200,ai_S
1788788388.275414,2084,2035,ai_S
1788788388.2758012,1969,1958,ai_S
1788788388.2774642,1962,2097,ai_S
1788788388.2786381,2060,2142,ai_S
1788788388.280285,2128,2190,ai_S
1788788388.28159,2107,2079,ai_S
1788788388.282634,2064,2071,ai_S
1788788388.285434,2141,2269,ai_S
1788788388.2857878,2097,2043,ai_S
1788788388.2932968,2004,1966,ai_S
1788788388.293925,1907,1957,ai_S
1788788388.29678,2061,2223,ai_S
1788788388.2971551,2119,2190,ai_S
1788788388.2975948,2130,2130,ai_S
1788788388.299399,2060,2010,ai_S
1788788388.3016121,2092,2164,ai_S
1788788388.3031611,2147,2089,ai_S
1788788388.3063622,2053,1966,ai_S
1788788388.3065002,1929,1856,ai_S
1788788388.30791,2029,2201,ai_S
1788788388.310559,2093,2160,ai_S
1788788388.3119118,2133,2152,ai_S
1788788388.319596,2074,2058,ai_S
1788788388.321903,2051,2136,ai_S
1788788388.322575,2141,2201,ai_S
1788788388.3249652,2064,2030,ai_S
1788788388.327808,1969,1915,ai_S
1788788388.331857,1971,2107,ai_S
1788788388.332872,2070,2141,ai_S
1788788388.33295,2131,2189,ai_S
1788788388.333017,2123,2074,ai_S
1788788388.333079,2074,2076,ai_S
1788788388.334425,2150,2252,ai_S
1788788388.335993,2101,2028,ai_S
1788788388.340726,2022,1962,ai_S
1788788388.3424902,1918,1981,ai_S
1788788388.3444211,2067,2208,ai_S
1788788388.348456,2106,2185,ai_S
1788788388.3486981,2119,2132,ai_S
1788788388.348961,2052,2029,ai_S
1788788388.3508322,2106,2178,ai_S
1788788388.353672,2120,2084,ai_S
1788788388.35402,2027,1991,ai_S
1788788388.355482,1925,1898,ai_S
1788788388.358117,2023,2205,ai_S
1788788388.359524,2094,2140,ai_S
1788788388.364783,2135,2134,ai_S
1788788388.366067,2079,2044,ai_S
