timestamp,ch1,ch2,label
1788787477.759307,2099,2281,e_S
1788787477.764519,2147,2156,e_S
1788787477.771007,2078,1973,e_S
1788787477.771435,2074,2143,e_S
1788787477.777119,2168,2193,e_S
1788787477.779087,2072,1953,e_S
1788787477.7795782,1949,1740,e_S
1788787477.780003,1965,2250,e_S
1788787477.780446,2063,2186,e_S
1788787477.783398,2148,2238,e_S
1788787477.7842119,2124,2042,e_S
1788787477.7847219,2066,2099,e_S
1788787477.78482,2173,2376,e_S
1788787477.784887,2114,1972,e_S
1788787477.78624,2005,1811,e_S
1788787477.787602,1898,1938,e_S
1788787477.790271,2065,2269,e_S
1788787477.791626,2122,2275,e_S
1788787477.7997499,2133,2059,e_S
1788787477.800823,2052,1973,e_S
1788787477.80152,2145,2354,e_S
1788787477.804565,2146,2013,e_S
1788787477.804939,2048,1832,e_S
1788787477.8056571,1905,1747,e_S
1788787477.808165,2036,2369,e_S
1788787477.8092558,2106,2264,e_S
1788787477.812873,2146,2169,e_S
1788787477.813148,2085,1990,e_S
1788787477.8181381,2071,2152,e_S
1788787477.8182132,2137,2182,e_S
1788787477.818274,2054,1925,e_S
1788787477.819676,1943,1746,e_S
1788787477.8223271,1958,2271,e_S
1788787477.8239942,2059,2187,e_S
1788787477.83196,2151,2226,e_S
1788787477.833136,2122,2050,e_S
1788787477.834718,2083,2099,e_S
1788787477.837814,2180,2354,e_S
1788787477.838119,2115,1979,e_S
1788787477.838486,1995,1820,e_S
1788787477.840598,1913,1946,e_S
1788787477.8423412,2062,2242,e_S
1788787477.8441548,2141,2298,e_S
1788787477.844498,2118,2072,e_S
1788787477.8463948,2041,1990,e_S
1788787477.850183,2134,2382,e_S
1788787477.850324,2119,1975,e_S
1788787477.851709,2032,1842,e_S
1788787477.8545249,1873,1737,e_S
1788787477.861669,2034,2374,e_S
1788787477.86582,2107,2276,e_S
1788787477.868727,2145,2128,e_S
1788787477.869591,2073,1980,e_S
1788787477.871519,2085,2147,e_S
1788787477.871975,2161,2195,e_S
1788787477.8740249,2074,1940,e_S
1788787477.874308,1938,1730,e_S
1788787477.874818,1987,2276,e_S
