timestamp,ch1,ch2,label
1788787634.673984,2122,2394,swallow
1788787634.67406,2143,2605,swallow
1788787634.678133,2057,1979,swallow
1788787634.6789382,2064,1799,swallow
1788787634.6815438,2109,2624,swallow
1788787634.684416,2048,785,swallow
1788787634.6862159,1950,1988,swallow
1788787634.6874628,1987,2378,swallow
1788787634.6907048,2065,1554,swallow
1788787634.6907752,2108,2456,swallow
1788787634.692118,2077,2316,swallow
1788787634.694798,2056,1642,swallow
1788787634.696169,2148,2265,swallow
1788787634.704994,2099,1561,swallow
1788787634.7086132,2020,1508,swallow
1788787634.709093,1958,2409,swallow
1788787634.711081,2067,2005,swallow
1788787634.714602,2104,2470,swallow
1788787634.7151208,2126,2562,swallow
1788787634.715269,2073,1751,swallow
1788787634.715664,2106,1947,swallow
1788787634.718341,2091,1720,swallow
1788787634.718476,2039,1004,swallow
1788787634.718563,1924,2255,swallow
1788787634.719993,2030,2224,swallow
1788787634.722689,2110,2415,swallow
1788787634.724074,2130,2678,swallow
1788787634.729548,2072,1965,swallow
1788787634.730716,2069,1803,swallow
1788787634.731366,2146,2619,swallow
1788787634.7337768,2081,791,swallow
1788787634.736887,1982,2000,swallow
1788787634.739124,2001,2377,swallow
1788787634.740462,2058,1568,swallow
1788787634.740602,2107,2453,swallow
1788787634.743792,2079,2312,swallow
1788787634.743914,2049,1647,swallow
1788787634.746581,2141,2269,swallow
1788787634.751195,2097,1542,swallow
1788787634.75234,1998,1524,swallow
1788787634.752948,1945,2412,swallow
1788787634.755075,2067,1995,swallow
1788787634.7574751,2134,2474,swallow
1788787634.758982,2110,2619,swallow
1788787634.760472,2033,1739,swallow
1788787634.762632,2101,1950,swallow
1788787634.763962,2118,1730,swallow
1788787634.766548,2047,1027,swallow
1788787634.767921,1934,2267,swallow
1788787634.7737129,2049,2221,swallow
1788787634.775858,2128,2423,swallow
1788787634.7774389,2141,2623,swallow
1788787634.777663,2037,1959,swallow
1788787634.781176,2035,1803,swallow
1788787634.7813828,2125,2611,swallow
1788787634.782961,2081,791,swallow
1788787634.7855492,1977,2007,swallow
1788787634.7868721,1992,2375,swallow
1788787634.788188,2059,1595,swallow
1788787634.7907572,2096,2468,swallow
1788787634.796375,2084,2301,swallow
1788787634.7969449,2074,1652,swallow
1788787634.7977479,2125,2281,swallow
1788787634.799364,2074,1531,swallow
1788787634.801614,2023,1536,swallow
1788787634.803073,1980,2412,swallow
1788787634.805184,2069,1985,swallow
1788787634.807848,2108,2442,swallow
1788787634.8079271,2085,2614,swallow
1788787634.810511,2039,1733,swallow
1788787634.8118951,2117,1955,swallow
1788787634.817655,2054,1724,swallow
1788787634.818246,1973,1035,swallow
1788787634.819158,1904,2270,swallow
1788787634.8225741,2060,2218,swallow
1788787634.822739,2137,2442,swallow
1788787634.824636,2144,2599,swallow
1788787634.826122,2087,1962,swallow
1788787634.8291059,2085,1811,swallow
1788787634.830432,2136,2579,swallow
1788787634.83301,2061,778,swallow
1788787634.834322,1978,2013,swallow
1788787634.839384,2009,2372,swallow
1788787634.8409019,2067,1558,swallow
1788787634.8410702,2099,2470,swallow
1788787634.843023,2068,2297,swallow
1788787634.845112,2055,1650,swallow
1788787634.8476381,2161,2283,swallow
1788787634.8503501,2101,1499,swallow
1788787634.850401,2015,1546,swallow
1788787634.852968,1944,2415,swallow
1788787634.854285,2057,1980,swallow
1788787634.8589308,2116,2465,swallow
1788787634.859481,2089,2633,swallow
1788787634.862238,2044,1732,swallow
1788787634.862386,2136,1960,swallow
1788787634.8642318,2088,1708,swallow
1788787634.866795,2027,1052,swallow
1788787634.868903,1920,2278,swallow
1788787634.8702788,2030,2214,swallow
1788787634.8729012,2094,2424,swallow
1788787634.8742101,2036,2711,swallow
1788787634.878987,2008,1938,swallow
1788787634.879482,2088,1807,swallow
1788787634.882164,2141,2554,swallow
1788787634.8823822,2082,741,swallow
1788787634.885441,1969,2038,swallow
1788787634.887084,2043,2370,swallow
1788787634.889471,2142,1546,swallow
1788787634.890851,2166,2505,swallow
1788787634.8921568,2115,2264,swallow
1788787634.8947158,2094,1646,swallow
1788787634.896082,2158,2307,swallow
1788787634.899724,2065,1502,swallow
1788787634.9025521,1953,1573,swallow
1788787634.902812,1913,2422,swallow
1788787634.905855,2023,1967,swallow
1788787634.906016,2121,2472,swallow
1788787634.909628,2117,2611,swallow
1788787634.9107661,2046,1721,swallow
1788787634.912071,2155,1955,swallow
1788787634.914634,2081,1720,swallow
1788787634.923017,1973,1073,swallow
1788787634.9232588,1973,2287,swallow
1788787634.92348,2084,2208,swallow
1788787634.923669,2100,2461,swallow
1788787634.9253461,2106,2710,swallow
1788787634.928206,2026,1924,swallow
1788787634.928451,1996,1819,swallow
1788787634.930814,2011,2521,swallow
1788787634.9322538,1896,780,swallow
1788787634.9348211,1977,2048,swallow
1788787634.93614,2113,2365,swallow
1788787634.9402938,2111,1554,swallow
1788787634.941251,2122,2468,swallow
1788787634.943338,2096,2260,swallow
1788787634.945359,2133,1652,swallow
1788787634.94819,2231,2315,swallow
1788787634.948426,2182,1472,swallow
1788787634.950984,1981,1586,swallow
1788787634.952309,1914,2421,swallow
1788787634.954918,2043,1955,swallow
1788787634.956239,2033,2425,swallow
1788787634.962076,2045,2613,swallow
1788787634.964781,2002,1714,swallow
1788787634.96699,2055,1972,swallow
1788787634.969037,2200,1664,swallow
1788787634.9716558,2104,1087,swallow
1788787634.9720929,1948,2291,swallow
1788787634.9726841,1779,2202,swallow
1788787634.972895,2034,2512,swallow
1788787634.975189,2295,2676,swallow
1788787634.9765482,2151,1925,swallow
1788787634.978061,2020,1833,swallow
1788787634.982765,2080,2511,swallow
1788787634.9833548,2032,747,swallow
1788787634.9851542,1858,2059,swallow
1788787634.9884229,2015,2359,swallow
1788787634.98892,2150,1513,swallow
1788787634.993121,2321,2469,swallow
1788787634.993334,2027,2247,swallow
1788787634.994694,1993,1651,swallow
1788787634.996045,2175,2324,swallow
1788787634.998883,2129,1483,swallow
1788787635.002281,2052,1596,swallow
1788787635.003781,2083,2424,swallow
1788787635.00631,2016,1951,swallow
1788787635.006519,2092,2420,swallow
1788787635.0083709,1977,2643,swallow
1788787635.011391,2057,1701,swallow
1788787635.0139892,2203,1976,swallow
1788787635.014103,2105,1675,swallow
1788787635.0166788,2150,1098,swallow
1788787635.018068,1857,2298,swallow
1788787635.024798,2043,2202,swallow
1788787635.025304,2222,2474,swallow
1788787635.027313,2134,2722,swallow
1788787635.0274482,2008,1912,swallow
1788787635.029504,1994,1817,swallow
1788787635.032663,2043,2500,swallow
1788787635.0329201,1969,732,swallow
1788787635.0355232,1858,2069,swallow
1788787635.0370119,2137,2361,swallow
1788787635.0384588,2013,1521,swallow
1788787635.0412421,2065,2512,swallow
1788787635.04495,2152,2232,swallow
1788787635.045581,2013,1649,swallow
1788787635.04822,2136,2336,swallow
1788787635.049759,2268,1432,swallow
1788787635.051834,2103,1616,swallow
1788787635.053983,1921,2428,swallow
1788787635.054841,2102,1939,swallow
1788787635.057426,2153,2380,swallow
1788787635.0587678,2016,2585,swallow
1788787635.060086,1746,1705,swallow
1788787635.062931,2101,1979,swallow
1788787635.068085,2233,1654,swallow
1788787635.069684,1887,1106,swallow
1788787635.071947,1833,2300,swallow
1788787635.073333,2095,2198,swallow
1788787635.07351,2245,2576,swallow
1788787635.075727,2273,2650,swallow
1788787635.076225,2162,1915,swallow
1788787635.078191,2138,1836,swallow
1788787635.0807621,1838,2416,swallow
1788787635.0820942,1867,725,swallow
1788787635.084901,2047,2073,swallow
1788787635.089386,2144,2346,swallow
1788787635.0904331,1922,1507,swallow
1788787635.0909598,1916,2445,swallow
1788787635.092511,2011,2229,swallow
1788787635.095496,2005,1659,swallow
1788787635.0977962,2356,2348,swallow
1788787635.098048,2361,1476,swallow
1788787635.100842,2222,1615,swallow
1788787635.1022232,2012,2423,swallow
1788787635.104836,2064,1933,swallow
1788787635.106432,2195,2440,swallow
1788787635.111546,2185,2601,swallow
1788787635.113017,1850,1707,swallow
1788787635.113266,1978,1987,swallow
1788787635.115217,2106,1652,swallow
1788787635.1189399,2040,1118,swallow
1788787635.119363,1885,2302,swallow
1788787635.122224,1970,2190,swallow
1788787635.122323,2018,2459,swallow
1788787635.124757,2154,2676,swallow
1788787635.126077,1981,1909,swallow
1788787635.132,2165,1824,swallow
1788787635.132847,2491,2494,swallow
1788787635.135165,2225,735,swallow
1788787635.135682,1767,2074,swallow
1788787635.138874,1847,2357,swallow
1788787635.1391308,2074,1557,swallow
1788787635.141367,2283,2441,swallow
1788787635.143917,2127,2235,swallow
1788787635.144107,2082,1653,swallow
1788787635.146574,2037,2345,swallow
1788787635.147891,2152,1438,swallow
1788787635.155023,1881,1617,swallow
1788787635.156069,1747,2425,swallow
1788787635.157977,2095,1934,swallow
1788787635.1582148,2133,2409,swallow
1788787635.159313,2298,2604,swallow
1788787635.161375,2178,1704,swallow
1788787635.1639192,1881,1990,swallow
1788787635.1640809,2184,1640,swallow
1788787635.1665778,2184,1117,swallow
1788787635.1678982,1849,2303,swallow
1788787635.1704829,1965,2193,swallow
1788787635.17189,2029,2439,swallow
1788787635.178354,2206,2561,swallow
1788787635.1786518,2171,1922,swallow
1788787635.1797519,1990,1823,swallow
1788787635.181529,2153,2442,swallow
1788787635.183788,2118,688,swallow
1788787635.185211,1868,2066,swallow
1788787635.1880288,1982,2353,swallow
1788787635.188591,2310,1601,swallow
1788787635.191513,2178,2511,swallow
1788787635.192883,2091,2231,swallow
1788787635.197979,2160,1664,swallow
1788787635.200059,1978,2353,swallow
1788787635.201699,2046,1379,swallow
1788787635.202253,2124,1626,swallow
1788787635.2024949,2032,2421,swallow
1788787635.2056582,2084,1920,swallow
1788787635.2083762,1981,2373,swallow
1788787635.208812,2023,2619,swallow
1788787635.211465,1917,1703,swallow
1788787635.213712,2086,2007,swallow
1788787635.213783,2248,1733,swallow
1788787635.216406,2093,1117,swallow
1788787635.218095,1901,2307,swallow
1788787635.222661,2049,2199,swallow
1788787635.2259688,1945,2436,swallow
1788787635.2300081,2135,2619,swallow
1788787635.233845,2110,1913,swallow
1788787635.234098,2017,1819,swallow
1788787635.234381,2121,2463,swallow
1788787635.234742,2070,734,swallow
1788787635.23509,2037,2068,swallow
1788787635.238013,2055,2359,swallow
1788787635.238454,2037,1524,swallow
1788787635.239858,2074,2585,swallow
1788787635.2484758,2204,2224,swallow
1788787635.251225,2193,1652,swallow
1788787635.252893,2116,2342,swallow
1788787635.257086,2070,1426,swallow
1788787635.2577841,1974,1624,swallow
1788787635.2580962,1994,2429,swallow
1788787635.258344,2004,1933,swallow
1788787635.258734,1995,2403,swallow
1788787635.261397,2124,2608,swallow
1788787635.261772,2177,1701,swallow
1788787635.2618618,2101,2001,swallow
1788787635.2645,2046,1699,swallow
1788787635.2657762,2041,1116,swallow
1788787635.272803,2096,2308,swallow
1788787635.27614,2191,2200,swallow
1788787635.276669,2088,2541,swallow
1788787635.280514,2194,2632,swallow
1788787635.283788,2089,1910,swallow
1788787635.284502,1956,1824,swallow
1788787635.2848089,2104,2437,swallow
1788787635.2850409,1923,684,swallow
1788787635.285502,1918,2079,swallow
1788787635.288308,2151,2351,swallow
1788787635.288403,2180,1657,swallow
