timestamp,ch1,ch2,label
1788787596.770638,2072,1698,ɔ_S
1788787596.774066,2146,2461,ɔ_S
1788787596.774646,2090,1125,ɔ_S
1788787596.776563,2000,1736,ɔ_S
1788787596.778236,1981,2414,ɔ_S
1788787596.780878,2065,1817,ɔ_S
1788787596.781137,2115,2416,ɔ_S
1788787596.7838678,2103,2540,ɔ_S
1788787596.7852092,2069,1684,ɔ_S
1788787596.787788,2123,2068,ɔ_S
1788787596.789095,2079,1651,ɔ_S
1788787596.7935722,2017,1240,ɔ_S
1788787596.794063,1932,2341,ɔ_S
1788787596.796431,2064,2139,ɔ_S
1788787596.798254,2093,2412,ɔ_S
1788787596.8004632,2104,2592,ɔ_S
1788787596.802879,2061,1867,ɔ_S
1788787596.8029618,2099,1855,ɔ_S
1788787596.805612,2125,2210,ɔ_S
1788787596.806977,2046,704,ɔ_S
1788787596.809524,1955,2138,ɔ_S
1788787596.81518,2040,2319,ɔ_S
1788787596.816333,2099,1902,ɔ_S
1788787596.818859,2133,2503,ɔ_S
1788787596.819105,2082,2144,ɔ_S
1788787596.8212328,2068,1706,ɔ_S
1788787596.823594,2152,2485,ɔ_S
1788787596.823998,2087,1114,ɔ_S
1788787596.826081,1989,1756,ɔ_S
1788787596.8274229,1984,2413,ɔ_S
1788787596.830116,2083,1799,ɔ_S
1788787596.831521,2127,2453,ɔ_S
1788787596.836034,2094,2537,ɔ_S
1788787596.837035,2057,1675,ɔ_S
1788787596.838227,2128,2082,ɔ_S
1788787596.840298,2092,1686,ɔ_S
1788787596.842001,2021,1261,ɔ_S
1788787596.8450549,1941,2348,ɔ_S
1788787596.845488,2058,2132,ɔ_S
1788787596.848257,2107,2481,ɔ_S
1788787596.849665,2109,2652,ɔ_S
1788787596.851004,2064,1843,ɔ_S
1788787596.8539789,2087,1858,ɔ_S
1788787596.857949,2120,2295,ɔ_S
1788787596.858465,2059,729,ɔ_S
1788787596.86116,1955,2175,ɔ_S
1788787596.8613708,2037,2317,ɔ_S
1788787596.86352,2107,1866,ɔ_S
1788787596.8663502,2140,2464,ɔ_S
1788787596.868276,2101,2135,ɔ_S
1788787596.8696718,2080,1704,ɔ_S
1788787596.871232,2161,2504,ɔ_S
1788787596.8738298,2092,985,ɔ_S
1788787596.8751612,1987,1776,ɔ_S
1788787596.879955,1990,2418,ɔ_S
1788787596.8827279,2066,1789,ɔ_S
1788787596.885228,2114,2437,ɔ_S
1788787596.886561,2103,2521,ɔ_S
1788787596.8883069,2058,1668,ɔ_S
1788787596.8887832,2124,2089,ɔ_S
1788787596.8889542,2096,1729,ɔ_S
1788787596.891959,2037,1271,ɔ_S
1788787596.893267,1939,2355,ɔ_S
1788787596.895913,2083,2133,ɔ_S
1788787596.9013171,2121,2380,ɔ_S
1788787596.901825,2113,2604,ɔ_S
1788787596.9027681,2054,1844,ɔ_S
1788787596.904809,2097,1854,ɔ_S
1788787596.905063,2123,2323,ɔ_S
1788787596.908225,2055,714,ɔ_S
1788787596.909788,1954,2152,ɔ_S
1788787596.912139,2026,2331,ɔ_S
1788787596.913464,2090,1826,ɔ_S
1788787596.916057,2119,2512,ɔ_S
