timestamp,ch1,ch2,label
1788789722.271748,2179,2088,ɑ
1788789722.274903,1904,2092,ɑ
1788789722.275187,1878,2084,ɑ
1788789722.276643,2029,2095,ɑ
1788789722.280211,2149,2085,ɑ
1788789722.2814138,2152,2103,ɑ
1788789722.2853692,2069,2092,ɑ
1788789722.28559,2179,2079,ɑ
1788789722.2880042,2150,2099,ɑ
1788789722.290831,2040,2101,ɑ
1788789722.291127,1871,2096,ɑ
1788789722.292489,2030,2081,ɑ
1788789722.2951481,2110,2087,ɑ
1788789722.296431,2124,2101,ɑ
1788789722.3037188,2042,2100,ɑ
1788789722.304985,2081,2083,ɑ
1788789722.306783,2137,2092,ɑ
1788789722.30894,2029,2095,ɑ
1788789722.309772,1876,2094,ɑ
1788789722.311292,1979,2086,ɑ
1788789722.312656,2076,2089,ɑ
1788789722.312922,2117,2085,ɑ
1788789722.3157918,2068,2083,ɑ
1788789722.3172858,2032,2084,ɑ
1788789722.318687,2147,2091,ɑ
1788789722.321335,2076,2105,ɑ
1788789722.328116,1940,2099,ɑ
1788789722.3298361,1911,2093,ɑ
1788789722.331444,2018,2089,ɑ
1788789722.3319209,2111,2078,ɑ
1788789722.3324878,2097,2090,ɑ
1788789722.3326259,2064,2096,ɑ
1788789722.334656,2162,2097,ɑ
1788789722.337188,2128,2086,ɑ
1788789722.338629,1981,2089,ɑ
1788789722.3413901,1884,2091,ɑ
1788789722.343049,2040,2092,ɑ
1788789722.348636,2082,2091,ɑ
1788789722.3501031,2111,2093,ɑ
1788789722.3505359,2083,2098,ɑ
1788789722.352441,2150,2081,ɑ
1788789722.353996,2153,2094,ɑ
1788789722.357697,2035,2107,ɑ
1788789722.3578398,1880,2103,ɑ
1788789722.35922,1981,2084,ɑ
1788789722.360574,2084,2086,ɑ
1788789722.3633091,2131,2083,ɑ
1788789722.368269,2095,2104,ɑ
1788789722.3692951,2078,2081,ɑ
1788789722.370031,2167,2085,ɑ
1788789722.374033,2088,2103,ɑ
1788789722.37613,1941,2098,ɑ
1788789722.3776472,1919,2078,ɑ
1788789722.378293,2067,2087,ɑ
1788789722.3811991,2137,2090,ɑ
1788789722.3813682,2133,2101,ɑ
1788789722.38287,2087,2093,ɑ
1788789722.384489,2175,2082,ɑ
1788789722.399541,2125,2092,ɑ
1788789722.420303,2022,2097,ɑ
1788789722.425088,1864,2092,ɑ
1788789722.4251919,2048,2078,ɑ
1788789722.425441,2118,2085,ɑ
1788789722.425607,2147,2093,ɑ
1788789722.4258711,2053,2093,ɑ
1788789722.426055,2088,2085,ɑ
1788789722.426121,2169,2094,ɑ
1788789722.426168,2061,2100,ɑ
1788789722.426251,1914,2113,ɑ
1788789722.426324,1966,2086,ɑ
1788789722.426367,2084,2090,ɑ
1788789722.426408,2141,2092,ɑ
1788789722.426464,2085,2086,ɑ
1788789722.426506,2056,2088,ɑ
1788789722.426547,2178,2095,ɑ
1788789722.4266171,2107,2090,ɑ
1788789722.426709,1991,2098,ɑ
1788789722.426765,1892,2076,ɑ
1788789722.426809,2033,2094,ɑ
1788789722.433465,2134,2089,ɑ
1788789722.433648,2154,2098,ɑ
1788789722.434316,2062,2090,ɑ
1788789722.436255,2184,2079,ɑ
1788789722.4382699,2128,2095,ɑ
1788789722.4423501,2023,2091,ɑ
1788789722.444136,1871,2093,ɑ
1788789722.446882,2023,2086,ɑ
1788789722.44694,2132,2080,ɑ
1788789722.447089,2160,2099,ɑ
1788789722.448548,2057,2092,ɑ
1788789722.4632268,2092,2085,ɑ
1788789722.466802,2152,2101,ɑ
1788789722.466909,2050,2092,ɑ
1788789722.4670122,1868,2096,ɑ
1788789722.467073,1964,2086,ɑ
1788789722.467131,2075,2091,ɑ
1788789722.467177,2170,2100,ɑ
1788789722.467222,2106,2087,ɑ
1788789722.467267,2105,2079,ɑ
1788789722.468835,2144,2085,ɑ
1788789722.4715168,2129,2095,ɑ
1788789722.472831,2015,2096,ɑ
1788789722.4791949,1920,2083,ɑ
1788789722.481696,2052,2081,ɑ
1788789722.481782,2136,2090,ɑ
1788789722.483565,2129,2100,ɑ
1788789722.487296,2079,2082,ɑ
1788789722.490162,2184,2070,ɑ
1788789722.490342,2153,2095,ɑ
1788789722.490911,2020,2085,ɑ
1788789722.491002,1856,2090,ɑ
1788789722.492397,2021,2078,ɑ
1788789722.495209,2087,2074,ɑ
1788789722.496602,2139,2095,ɑ
1788789722.503375,2054,2095,ɑ
1788789722.5054212,2085,2088,ɑ
1788789722.508115,2137,2086,ɑ
1788789722.508992,2040,2086,ɑ
1788789722.510628,1917,2093,ɑ
1788789722.5121012,1987,2084,ɑ
1788789722.512641,2057,2091,ɑ
1788789722.512939,2148,2079,ɑ
1788789722.5157702,2102,2092,ɑ
1788789722.517157,2079,2085,ɑ
1788789722.518721,2183,2096,ɑ
1788789722.522958,2117,2105,ɑ
1788789722.5267131,1966,2087,ɑ
1788789722.528943,1897,2086,ɑ
1788789722.529824,2031,2086,ɑ
1788789722.5328488,2107,2087,ɑ
1788789722.533267,2132,2091,ɑ
1788789722.533819,2079,2095,ɑ
1788789722.536801,2156,2077,ɑ
1788789722.536879,2155,2094,ɑ
1788789722.538284,2014,2094,ɑ
1788789722.540916,1848,2089,ɑ
1788789722.5422778,2008,2081,ɑ
1788789722.553704,2104,2088,ɑ
1788789722.5558348,2140,2085,ɑ
