timestamp,ch1,ch2,label
1788788306.933835,2116,2041,10_S
1788788306.935348,2033,1945,10_S
1788788306.93913,1916,1896,10_S
1788788306.940365,2054,2229,10_S
1788788306.940623,2105,2199,10_S
1788788306.943132,2121,2105,10_S
1788788306.944445,2049,2049,10_S
1788788306.9468071,2061,2138,10_S
1788788306.948111,2143,2131,10_S
1788788306.953068,2062,2015,10_S
1788788306.955053,1947,1892,10_S
1788788306.95536,1973,2187,10_S
1788788306.9582322,2074,2144,10_S
1788788306.959119,2130,2169,10_S
1788788306.9617548,2094,2041,10_S
1788788306.96188,2040,2109,10_S
1788788306.96467,2153,2261,10_S
1788788306.966008,2094,2015,10_S
1788788306.96862,1996,1930,10_S
1788788306.9724128,1912,1991,10_S
1788788306.9736881,2076,2187,10_S
1788788306.974606,2123,2210,10_S
1788788306.976198,2128,2095,10_S
1788788306.979311,2049,2026,10_S
1788788306.982757,2119,2238,10_S
1788788306.9828439,2104,2034,10_S
1788788306.984189,2031,1959,10_S
1788788306.986776,1903,1899,10_S
1788788306.988081,2053,2222,10_S
1788788306.992967,2100,2223,10_S
1788788306.994142,2115,2117,10_S
1788788306.994623,2063,2028,10_S
1788788306.9962418,2069,2111,10_S
1788788307.0002592,2149,2152,10_S
1788788307.000431,2063,2016,10_S
1788788307.0027452,1958,1900,10_S
1788788307.0040672,2001,2173,10_S
1788788307.006668,2082,2143,10_S
1788788307.0079732,2126,2182,10_S
1788788307.01675,2100,2080,10_S
1788788307.017094,2072,2106,10_S
1788788307.0198731,2142,2231,10_S
1788788307.02001,2097,2034,10_S
1788788307.020184,1996,1954,10_S
1788788307.021438,1920,2002,10_S
1788788307.023592,2046,2169,10_S
1788788307.0238268,2125,2200,10_S
1788788307.0262132,2110,2091,10_S
1788788307.028834,2049,2034,10_S
1788788307.030142,2113,2261,10_S
1788788307.033964,2123,2032,10_S
1788788307.0355961,2036,1956,10_S
1788788307.036982,1926,1895,10_S
1788788307.038965,2054,2228,10_S
1788788307.041159,2122,2208,10_S
1788788307.043705,2137,2125,10_S
1788788307.043825,2073,2026,10_S
1788788307.0463061,2080,2121,10_S
1788788307.049027,2147,2164,10_S
1788788307.050394,2052,2008,10_S
1788788307.054699,1946,1900,10_S
1788788307.054844,1982,2196,10_S
1788788307.057197,2078,2131,10_S
1788788307.060054,2153,2157,10_S
1788788307.060437,2089,2047,10_S
1788788307.063998,2040,2090,10_S
1788788307.064043,2141,2248,10_S
1788788307.066808,2090,2022,10_S
1788788307.068148,1988,1932,10_S
1788788307.070723,1925,1984,10_S
1788788307.0751328,2062,2177,10_S
1788788307.07565,2119,2201,10_S
1788788307.076711,2108,2091,10_S
1788788307.081065,2042,2017,10_S
1788788307.082963,2118,2252,10_S
1788788307.083301,2101,2042,10_S
1788788307.084689,2023,1958,10_S
1788788307.087005,1922,1879,10_S
1788788307.088407,2045,2224,10_S
1788788307.089817,2097,2190,10_S
1788788307.097801,2125,2109,10_S
1788788307.099839,2079,2024,10_S
1788788307.100204,2076,2132,10_S
1788788307.10042,2150,2147,10_S
1788788307.100606,2062,1997,10_S
1788788307.102516,1947,1889,10_S
1788788307.105089,1985,2178,10_S
1788788307.107608,2075,2156,10_S
1788788307.107738,2129,2176,10_S
1788788307.110372,2084,2051,10_S
1788788307.111733,2039,2091,10_S
1788788307.118049,2147,2252,10_S
1788788307.118979,2102,2039,10_S
1788788307.1191418,1999,1920,10_S
1788788307.120803,1915,2005,10_S
1788788307.124007,2066,2172,10_S
1788788307.1254249,2127,2206,10_S
1788788307.12813,2110,2116,10_S
1788788307.128238,2041,2030,10_S
1788788307.13091,2108,2247,10_S
1788788307.13231,2123,2043,10_S
1788788307.1391869,2032,1953,10_S
1788788307.140793,1910,1904,10_S
1788788307.142584,2043,2238,10_S
1788788307.143175,2114,2198,10_S
1788788307.146181,2125,2110,10_S
1788788307.14666,2062,2028,10_S
