timestamp,ch1,ch2,label
1788787498.576031,2160,2152,i
1788787498.576131,2060,1913,i
1788787498.595254,1929,1757,i
1788787498.595455,1982,2282,i
1788787498.596155,2072,2183,i
1788787498.596309,2149,2208,i
1788787498.596564,2093,2022,i
1788787498.596629,2065,2126,i
1788787498.59669,2160,2327,i
1788787498.59675,2093,1973,i
1788787498.596809,1996,1786,i
1788787498.59687,1915,2084,i
1788787498.5985029,2063,2190,i
1788787498.6000462,2133,2266,i
1788787498.60156,2129,2082,i
1788787498.62637,2069,2014,i
1788787498.626595,2162,2396,i
1788787498.626676,2136,1983,i
1788787498.62674,2003,1869,i
1788787498.626802,1870,1780,i
1788787498.6269052,2040,2338,i
1788787498.626969,2126,2268,i
1788787498.627092,2156,2167,i
1788787498.6271622,2079,1975,i
1788787498.6272142,2089,2182,i
1788787498.627264,2174,2131,i
1788787498.6273122,2076,1908,i
1788787498.62849,1950,1740,i
1788787498.629892,1991,2288,i
1788787498.635938,2072,2185,i
1788787498.63792,2143,2195,i
1788787498.638796,2096,2016,i
1788787498.641132,2077,2154,i
1788787498.6415071,2185,2289,i
1788787498.6419232,2100,1962,i
1788787498.6438951,1973,1806,i
1788787498.6463912,1912,2109,i
1788787498.648148,2055,2170,i
1788787498.651062,2134,2256,i
1788787498.652535,2121,2076,i
1788787498.654318,2050,2027,i
1788787498.660227,2147,2409,i
1788787498.661124,2133,1991,i
1788787498.664296,2028,1853,i
1788787498.664729,1875,1781,i
1788787498.6652238,2053,2332,i
1788787498.667586,2131,2316,i
1788787498.668532,2171,2167,i
1788787498.67103,2085,1967,i
1788787498.67269,2088,2198,i
1788787498.67639,2152,2142,i
1788787498.6764858,2074,1921,i
1788787498.6778681,1923,1724,i
1788787498.680531,1979,2305,i
1788787498.6820621,2062,2182,i
1788787498.689898,2147,2175,i
1788787498.690754,2096,2014,i
1788787498.6926541,2076,2146,i
1788787498.6948302,2177,2294,i
1788787498.695202,2107,1981,i
1788787498.6974442,1982,1813,i
1788787498.699706,1932,2111,i
1788787498.701688,2067,2185,i
1788787498.7019038,2136,2281,i
1788787498.702249,2131,2078,i
1788787498.70563,2041,2015,i
1788787498.705911,2131,2420,i
1788787498.708758,2122,1984,i
1788787498.7140741,2022,1861,i
1788787498.7149582,1875,1804,i
1788787498.7162082,2051,2355,i
1788787498.7188852,2128,2289,i
1788787498.7212842,2148,2153,i
1788787498.721568,2069,1969,i
1788787498.723988,2096,2211,i
1788787498.724162,2169,2103,i
1788787498.725984,2077,1926,i
1788787498.729127,1897,1724,i
1788787498.73051,1978,2302,i
1788787498.7320151,2081,2165,i
1788787498.734711,2143,2217,i
1788787498.736306,2090,2016,i
1788787498.742975,2058,2172,i
1788787498.7432032,2165,2309,i
1788787498.7459059,2057,1968,i
1788787498.746458,1954,1794,i
1788787498.748568,1910,2122,i
1788787498.750741,2032,2174,i
1788787498.752598,2113,2260,i
1788787498.752991,2122,2083,i
1788787498.756754,2028,2024,i
1788787498.756856,2133,2410,i
1788787498.75822,2093,1985,i
1788787498.759576,2013,1882,i
1788787498.764982,1890,1817,i
1788787498.765785,2044,2347,i
1788787498.7669902,2097,2314,i
1788787498.770802,2132,2158,i
1788787498.773178,2051,1967,i
1788787498.7758698,2089,2195,i
1788787498.777806,2137,2102,i
1788787498.778215,2034,1917,i
1788787498.778712,1888,1711,i
1788787498.781983,1974,2306,i
1788787498.782067,2058,2190,i
1788787498.783524,2131,2180,i
1788787498.786166,2093,2037,i
1788787498.787561,2062,2171,i
1788787498.794795,2139,2279,i
1788787498.7961228,2060,1967,i
1788787498.799523,1940,1791,i
1788787498.8022232,1908,2159,i
1788787498.8067682,2037,2188,i
1788787498.8072162,2109,2257,i
1788787498.807779,2088,2080,i
1788787498.808007,2000,2050,i
1788787498.808494,2141,2427,i
1788787498.8109498,2122,1980,i
1788787498.8119528,2013,1855,i
1788787498.8120582,1883,1863,i
1788787498.813726,2041,2346,i
1788787498.8216882,2123,2284,i
1788787498.824849,2155,2145,i
1788787498.827272,2064,1971,i
1788787498.828222,2087,2219,i
1788787498.829973,2161,2109,i
1788787498.830303,2072,1906,i
1788787498.832104,1916,1744,i
1788787498.832575,1980,2301,i
1788787498.83306,2066,2180,i
1788787498.8364108,2122,2188,i
1788787498.836509,2072,2012,i
1788787498.837904,2079,2186,i
1788787498.840491,2157,2279,i
1788787498.841897,2096,1924,i
1788787498.849062,1968,1779,i
1788787498.8503768,1958,2147,i
1788787498.853462,2079,2207,i
1788787498.856214,2157,2263,i
1788787498.860677,2127,2110,i
1788787498.861025,2078,2033,i
1788787498.861569,2189,2447,i
1788787498.8619971,2133,1936,i
1788787498.8625522,2026,1894,i
1788787498.864956,1879,1873,i
1788787498.8658738,2051,2298,i
1788787498.865955,2099,2270,i
1788787498.86859,2136,2158,i
1788787498.874254,2086,1992,i
1788787498.875139,2111,2262,i
1788787498.8754199,2147,2076,i
1788787498.8780081,2046,1918,i
1788787498.878297,1924,1748,i
1788787498.8845398,1979,2357,i
1788787498.884985,2077,2187,i
1788787498.885422,2163,2265,i
1788787498.885795,2111,2186,i
1788787498.889241,2052,2014,i
1788787498.8906372,2164,2120,i
1788787498.891996,2107,1949,i
1788787498.8946319,1947,1838,i
1788787498.8959758,1943,2146,i
1788787498.903403,2057,2140,i
1788787498.904062,2160,2306,i
1788787498.906215,2116,2263,i
1788787498.908106,2062,2076,i
1788787498.9089339,2163,2183,i
1788787498.909747,2089,2127,i
1788787498.909997,2037,2184,i
1788787498.913677,1913,1783,i
1788787498.913988,2050,2073,i
1788787498.917542,2108,2196,i
1788787498.917653,2146,2196,i
1788787498.920295,2068,1997,i
1788787498.9269829,2116,2334,i
1788787498.928339,2156,2070,i
1788787498.928688,2049,2049,i
1788787498.930634,1894,1571,i
1788787498.9310699,1985,2141,i
1788787498.93326,2097,2330,i
1788787498.935804,2134,2455,i
1788787498.9379368,2068,1845,i
1788787498.938377,2097,1882,i
1788787498.941843,2168,2203,i
1788787498.941925,2097,2084,i
1788787498.944569,2011,1807,i
1788787498.945964,1906,2208,i
1788787498.9550369,2068,2205,i
1788787498.9576929,2149,2211,i
1788787498.9579651,2101,2019,i
1788787498.9583302,2052,2140,i
1788787498.960531,2168,2456,i
1788787498.961365,2121,1944,i
1788787498.962946,2024,1872,i
1788787498.963351,1882,1956,i
1788787498.965648,2056,2340,i
1788787498.966207,2103,2089,i
1788787498.969426,2167,2078,i
1788787498.96954,2061,1911,i
1788787498.9721448,2130,2268,i
1788787498.978095,2143,2040,i
1788787498.9788392,2046,1814,i
1788787498.979573,1876,1749,i
1788787498.980887,2044,2340,i
1788787498.983159,2096,2213,i
1788787498.9851892,2186,2131,i
1788787498.989534,2097,2091,i
1788787498.990156,2025,1989,i
1788787498.990436,2151,2030,i
1788787498.9929862,2080,2025,i
1788787498.994438,1969,1844,i
1788787498.995808,1923,2103,i
1788787498.998353,2096,2191,i
1788787498.999744,2168,2218,i
1788787499.0068061,2152,2093,i
1788787499.00863,2038,2098,i
1788787499.011061,2166,2453,i
1788787499.011611,2132,1985,i
1788787499.0143008,2059,1843,i
1788787499.015959,1857,1918,i
1788787499.0189598,2024,2282,i
1788787499.0195231,2133,2260,i
1788787499.019964,2136,2200,i
1788787499.020672,2079,1971,i
1788787499.024074,2153,2349,i
1788787499.024631,2205,2059,i
1788787499.026007,2048,1696,i
1788787499.0275578,1893,1692,i
1788787499.0338418,2025,2379,i
1788787499.034606,2130,2293,i
1788787499.0372639,2175,2113,i
1788787499.037604,2069,1945,i
1788787499.038063,2022,2170,i
1788787499.04086,2157,2376,i
1788787499.042583,2105,1995,i
1788787499.050144,2023,1805,i
1788787499.050397,1981,2228,i
1788787499.0505311,2092,2245,i
1788787499.0506392,2155,2268,i
1788787499.052272,2093,1912,i
1788787499.0537379,2083,2090,i
1788787499.0568042,2175,2407,i
1788787499.06387,2133,2032,i
1788787499.0664,2041,1884,i
1788787499.066865,1900,2061,i
1788787499.069251,2053,2196,i
1788787499.0718222,2118,2150,i
1788787499.0722308,2178,2187,i
1788787499.0749571,2102,2028,i
1788787499.075716,2148,2407,i
1788787499.0760698,2187,2147,i
1788787499.076524,2039,1644,i
1788787499.079753,1951,1628,i
1788787499.080126,2045,2406,i
1788787499.081562,2205,2537,i
1788787499.091069,2151,2065,i
1788787499.0912058,1989,1591,i
1788787499.093832,1978,2163,i
1788787499.09409,2063,2384,i
1788787499.0945978,2012,2025,i
1788787499.0991218,1953,1785,i
1788787499.0993862,1880,2212,i
1788787499.102477,2071,2212,i
1788787499.1030378,2109,2136,i
1788787499.103321,2102,2121,i
1788787499.106417,2126,2214,i
1788787499.106532,2263,2507,i
1788787499.107938,2146,1902,i
1788787499.110559,1882,1569,i
1788787499.111943,1851,1903,i
1788787499.121213,2048,2339,i
1788787499.124824,2130,2274,i
1788787499.12773,2108,2129,i
1788787499.129761,2068,1913,i
1788787499.130272,2180,2400,i
1788787499.133068,2274,2090,i
1788787499.133919,2073,1837,i
1788787499.13762,1861,1850,i
1788787499.138387,2011,2213,i
1788787499.1384692,2127,2187,i
1788787499.138535,2099,2425,i
1788787499.138598,2058,1750,i
1788787499.1386602,2025,1934,i
1788787499.140099,2137,2401,i
1788787499.1482298,2066,2008,i
1788787499.151149,1976,1803,i
1788787499.151478,1973,2221,i
1788787499.1543622,2094,2166,i
1788787499.157278,2170,2089,i
1788787499.160084,2299,2197,i
1788787499.160428,2113,2180,i
1788787499.160743,2047,2309,i
1788787499.161442,2069,2016,i
1788787499.161859,2011,1786,i
1788787499.162278,1844,1780,i
1788787499.164747,2010,2370,i
1788787499.1661718,2081,2313,i
1788787499.168711,2096,2096,i
1788787499.17018,2054,2006,i
1788787499.171668,2141,2182,i
1788787499.183875,2180,2077,i
1788787499.184414,2128,2007,i
1788787499.18465,1942,1586,i
1788787499.1848938,2064,2258,i
1788787499.187671,2092,2259,i
1788787499.1878872,2166,2216,i
1788787499.190472,2067,2037,i
1788787499.1937249,2101,2192,i
1788787499.1942852,2260,2328,i
1788787499.194648,2215,1709,i
1788787499.197703,1956,1919,i
1788787499.198067,1796,2133,i
1788787499.198148,1943,2088,i
1788787499.2007859,2169,2266,i
1788787499.208859,2284,2028,i
1788787499.211086,2173,2311,i
1788787499.211242,2088,2292,i
1788787499.2116082,1975,1891,i
1788787499.213928,1888,1788,i
1788787499.214692,1888,1847,i
1788787499.2164109,2002,2379,i
1788787499.220226,2149,2361,i
1788787499.2209868,2128,2057,i
1788787499.22135,1910,1831,i
1788787499.224509,2092,2251,i
1788787499.2249532,2322,2105,i
1788787499.226346,2127,1943,i
1788787499.227712,1929,1812,i
1788787499.230363,2106,2432,i
1788787499.231759,2186,2237,i
1788787499.2393851,2086,2067,i
1788787499.2408268,2004,1845,i
1788787499.241496,2085,2407,i
1788787499.243708,2163,2371,i
1788787499.2461529,1986,1449,i
1788787499.248721,1937,1956,i
1788787499.251864,1995,2340,i
1788787499.252279,2034,2298,i
1788787499.253,2125,2110,i
1788787499.256139,2061,2171,i
1788787499.256267,2037,2073,i
1788787499.256365,2140,1931,i
1788787499.2587361,2108,2146,i
1788787499.264904,1993,2085,i
1788787499.266208,1921,1856,i
1788787499.266371,2144,2149,i
1788787499.2671711,2170,2260,i
1788787499.2698722,2180,2293,i
1788787499.270284,2128,2007,i
1788787499.2752361,2137,2262,i
1788787499.2784672,2106,1957,i
1788787499.279099,2005,1928,i
1788787499.279423,1926,1947,i
1788787499.282799,2092,2298,i
1788787499.282889,2133,2004,i
1788787499.284252,2164,1944,i
1788787499.285611,2127,2028,i
1788787499.288352,2120,2141,i
1788787499.2899861,2171,2366,i
1788787499.29483,2057,2082,i
1788787499.2961001,1968,1913,i
1788787499.296931,2025,2207,i
1788787499.2993548,2058,2183,i
1788787499.301676,2144,2114,i
1788787499.3018801,2080,1843,i
1788787499.3049111,2040,2210,i
1788787499.3085592,2236,2426,i
1788787499.308962,2136,1940,i
1788787499.312255,2049,1729,i
1788787499.312345,1948,1925,i
1788787499.313698,2128,2388,i
1788787499.320252,2114,2239,i
1788787499.32407,2123,1887,i
1788787499.3247292,2045,2066,i
1788787499.329032,2114,2398,i
1788787499.3323479,2086,1868,i
1788787499.332591,1970,1842,i
1788787499.33309,1910,1630,i
1788787499.333557,2090,2411,i
1788787499.333947,2101,2386,i
1788787499.334324,2073,2300,i
1788787499.337177,2029,2028,i
1788787499.338562,2063,2423,i
1788787499.339983,2257,1903,i
1788787499.3426461,2163,1874,i
1788787499.343786,2054,1829,i
1788787499.349905,1975,2157,i
1788787499.351829,1985,2164,i
1788787499.353825,2119,2437,i
1788787499.3540769,2118,1935,i
1788787499.354499,2107,1917,i
1788787499.3567,2187,2468,i
1788787499.359196,2069,2107,i
1788787499.362908,1960,1894,i
1788787499.363137,1908,1864,i
1788787499.366476,2047,2224,i
1788787499.366557,2116,2369,i
1788787499.367925,2196,2032,i
1788787499.370485,2149,1959,i
1788787499.376777,2225,2408,i
1788787499.378536,2193,1977,i
1788787499.380951,2059,1848,i
1788787499.381236,1865,1828,i
1788787499.383581,1960,2379,i
1788787499.386233,2072,1948,i
1788787499.386701,2175,2121,i
1788787499.39042,2034,2091,i
1788787499.3907468,2001,2101,i
1788787499.3911302,2112,2328,i
1788787499.39443,2019,2112,i
1788787499.394502,1914,1539,i
1788787499.3958411,1944,2148,i
1788787499.398548,2064,2284,i
1788787499.399959,2203,2244,i
1788787499.4073658,2136,2012,i
1788787499.4097989,2105,2182,i
1788787499.411836,2239,2643,i
1788787499.412365,2173,1870,i
1788787499.4125261,2018,1613,i
1788787499.412797,1898,2003,i
1788787499.416951,2076,2305,i
1788787499.4174101,2175,2304,i
1788787499.4219232,2204,2057,i
1788787499.422356,2074,1874,i
1788787499.42535,2191,2582,i
1788787499.425497,2152,2109,i
1788787499.4256792,2018,1906,i
1788787499.428513,1861,1513,i
1788787499.434289,2094,2345,i
1788787499.43512,2121,2242,i
1788787499.435781,2074,2142,i
1788787499.438716,2065,2002,i
1788787499.439123,2119,1997,i
1788787499.442424,2190,2203,i
1788787499.442806,2055,1972,i
1788787499.447937,1949,1853,i
1788787499.448205,1956,2108,i
1788787499.448847,2044,2264,i
1788787499.452346,2169,2262,i
1788787499.4527411,2194,2114,i
1788787499.454104,2199,1959,i
1788787499.45678,2335,2273,i
1788787499.458365,2030,2020,i
1788787499.45971,1859,1836,i
1788787499.466308,1848,2078,i
1788787499.4671922,2073,2205,i
1788787499.472987,2107,2334,i
1788787499.473821,2110,1950,i
1788787499.474103,2053,1895,i
1788787499.4793,2121,2440,i
1788787499.4804108,2127,2103,i
1788787499.483368,2003,1555,i
1788787499.4838772,1933,1814,i
