timestamp,ch1,ch2,label
1788788535.631176,2051,1997,oʊ
1788788535.632503,1919,1806,oʊ
1788788535.6354508,1994,2264,oʊ
1788788535.637572,2084,2157,oʊ
1788788535.6388962,2144,2160,oʊ
1788788535.64067,2087,2092,oʊ
1788788535.644108,2064,2160,oʊ
1788788535.644416,2152,2195,oʊ
1788788535.645833,2081,1986,oʊ
1788788535.648396,1973,1920,oʊ
1788788535.649694,1939,2101,oʊ
1788788535.653771,2058,2133,oʊ
1788788535.655544,2131,2212,oʊ
1788788535.657184,2111,2082,oʊ
1788788535.661115,2044,2055,oʊ
1788788535.661566,2131,2372,oʊ
1788788535.662048,2104,1998,oʊ
1788788535.664258,2016,1927,oʊ
1788788535.6668649,1892,1901,oʊ
1788788535.668267,2060,2307,oʊ
1788788535.669685,2122,2260,oʊ
1788788535.674602,2135,2089,oʊ
1788788535.67512,2064,1991,oʊ
1788788535.677243,2095,2175,oʊ
1788788535.680166,2167,2125,oʊ
1788788535.681141,2022,1951,oʊ
1788788535.683379,1915,1699,oʊ
1788788535.684691,2004,2301,oʊ
1788788535.6860192,2056,2175,oʊ
1788788535.688593,2122,2161,oʊ
1788788535.68991,2105,2045,oʊ
1788788535.696327,2044,2132,oʊ
1788788535.69807,2133,2272,oʊ
1788788535.698386,2063,1957,oʊ
1788788535.69949,2011,1891,oʊ
1788788535.701445,1972,2128,oʊ
1788788535.704662,2070,2164,oʊ
1788788535.704778,2137,2192,oʊ
1788788535.7060878,2105,2104,oʊ
1788788535.7085052,2054,2068,oʊ
1788788535.709909,2151,2344,oʊ
1788788535.715486,2111,2004,oʊ
1788788535.717959,2021,1932,oʊ
1788788535.718233,1894,1873,oʊ
1788788535.718405,2055,2282,oʊ
1788788535.719926,2120,2234,oʊ
1788788535.7246878,2130,2151,oʊ
1788788535.724732,2081,1990,oʊ
1788788535.726159,2085,2185,oʊ
1788788535.728769,2138,2097,oʊ
1788788535.730104,2063,1943,oʊ
1788788535.737025,1908,1801,oʊ
1788788535.738882,1985,2253,oʊ
1788788535.740254,2081,2181,oʊ
1788788535.7411919,2136,2176,oʊ
1788788535.742503,2083,2019,oʊ
1788788535.743736,2068,2155,oʊ
1788788535.7439208,2149,2240,oʊ
1788788535.746443,2092,2002,oʊ
1788788535.747763,1967,1873,oʊ
1788788535.750128,1950,2120,oʊ
1788788535.757371,2076,2172,oʊ
