timestamp,ch1,ch2,label
1788788683.91263,2157,2151,tʃ
1788788683.915414,2074,1941,tʃ
1788788683.915933,1963,1814,tʃ
1788788683.924145,1989,2244,tʃ
1788788683.9246259,2078,2159,tʃ
1788788683.926547,2145,2186,tʃ
1788788683.928427,2085,2032,tʃ
1788788683.929471,2044,2117,tʃ
1788788683.9298391,2145,2286,tʃ
1788788683.930509,2091,1997,tʃ
1788788683.932319,1999,1865,tʃ
1788788683.933674,1919,2037,tʃ
1788788683.936289,2056,2176,tʃ
1788788683.937631,2128,2237,tʃ
1788788683.94402,2125,2069,tʃ
1788788683.944565,2051,2013,tʃ
1788788683.94516,2136,2330,tʃ
1788788683.946796,2114,2019,tʃ
1788788683.950145,2010,1906,tʃ
1788788683.9512908,1900,1814,tʃ
1788788683.9516742,2049,2302,tʃ
1788788683.954104,2114,2238,tʃ
1788788683.955412,2149,2116,tʃ
1788788683.9580538,2078,1994,tʃ
1788788683.9596748,2068,2149,tʃ
1788788683.965066,2171,2150,tʃ
1788788683.967922,2073,1971,tʃ
1788788683.969548,1955,1835,tʃ
1788788683.9701529,1987,2218,tʃ
1788788683.9716501,2078,2176,tʃ
1788788683.971998,2151,2188,tʃ
1788788683.97577,2098,2021,tʃ
1788788683.9758568,2069,2107,tʃ
1788788683.977398,2181,2289,tʃ
1788788683.980281,2101,2006,tʃ
1788788683.981738,2006,1870,tʃ
1788788683.987178,1939,2017,tʃ
1788788683.992747,2083,2190,tʃ
1788788683.994793,2145,2234,tʃ
1788788683.995072,2132,2084,tʃ
1788788683.995629,2042,1993,tʃ
1788788683.996151,2139,2317,tʃ
1788788683.998622,2140,2023,tʃ
1788788683.999012,2045,1916,tʃ
1788788684.000374,1918,1803,tʃ
1788788684.001716,2059,2303,tʃ
1788788684.004359,2115,2234,tʃ
1788788684.0106828,2158,2099,tʃ
1788788684.012465,2087,1998,tʃ
1788788684.012768,2097,2142,tʃ
1788788684.014761,2174,2159,tʃ
1788788684.0154839,2088,1956,tʃ
1788788684.017096,1949,1834,tʃ
1788788684.020797,1984,2225,tʃ
1788788684.020898,2097,2153,tʃ
1788788684.022351,2161,2194,tʃ
1788788684.0237088,2112,2049,tʃ
1788788684.0253382,2082,2111,tʃ
1788788684.033294,2161,2282,tʃ
1788788684.03376,2110,1991,tʃ
1788788684.0355551,2018,1880,tʃ
1788788684.037458,1935,1995,tʃ
1788788684.039113,2074,2202,tʃ
