timestamp,ch1,ch2,label
1788787415.203873,2121,1965,æ
1788787415.205634,2036,1799,æ
1788787415.2181702,1887,1714,æ
1788787415.222019,2027,2410,æ
1788787415.2221298,2092,2275,æ
1788787415.222199,2143,2138,æ
1788787415.222262,2080,1973,æ
1788787415.22233,2087,2168,æ
1788787415.2223911,2137,2198,æ
1788787415.222454,2063,1929,æ
1788787415.222514,1967,1741,æ
1788787415.2240121,1979,2287,æ
1788787415.226709,2088,2163,æ
1788787415.22808,2155,2236,æ
1788787415.230871,2120,2026,æ
1788787415.237576,2082,2120,æ
1788787415.238944,2184,2401,æ
1788787415.239156,2118,1967,æ
1788787415.23999,2003,1846,æ
1788787415.242314,1911,1935,æ
1788787415.244384,2080,2286,æ
1788787415.2459352,2123,2302,æ
1788787415.250109,2121,2077,æ
1788787415.2504792,2044,1981,æ
1788787415.2508988,2133,2376,æ
1788787415.254257,2147,1965,æ
1788787415.2546911,2033,1790,æ
1788787415.256074,1887,1714,æ
1788787415.258705,2026,2383,æ
1788787415.2600782,2096,2273,æ
1788787415.2631948,2138,2160,æ
1788787415.269307,2100,1949,æ
1788787415.270577,2093,2166,æ
1788787415.270852,2169,2211,æ
1788787415.2737331,2063,1923,æ
1788787415.2757041,1938,1723,æ
1788787415.27879,1970,2299,æ
1788787415.280802,2075,2189,æ
1788787415.2815418,2154,2273,æ
1788787415.281746,2100,2026,æ
1788787415.285559,2068,2126,æ
1788787415.2856598,2161,2422,æ
1788787415.287091,2115,1924,æ
1788787415.295032,2023,1780,æ
1788787415.296202,1923,1946,æ
1788787415.298221,2077,2253,æ
1788787415.29862,2138,2333,æ
1788787415.298961,2149,2107,æ
1788787415.301792,2057,1931,æ
1788787415.303587,2119,2380,æ
1788787415.305396,2139,1982,æ
1788787415.305791,2030,1821,æ
1788787415.3089988,1880,1714,æ
1788787415.3092659,2027,2409,æ
1788787415.310667,2113,2273,æ
1788787415.312027,2138,2098,æ
1788787415.314673,2072,1961,æ
1788787415.317528,2078,2149,æ
1788787415.324878,2170,2174,æ
1788787415.325727,2082,1933,æ
1788787415.3279,1939,1720,æ
1788787415.3306189,1952,2267,æ
1788787415.3332028,2054,2193,æ
1788787415.333577,2130,2265,æ
1788787415.33392,2091,2026,æ
1788787415.33581,2082,2091,æ
1788787415.336277,2186,2393,æ
1788787415.336601,2116,1959,æ
1788787415.339156,2013,1797,æ
1788787415.340575,1905,1922,æ
1788787415.347768,2042,2263,æ
1788787415.348765,2122,2305,æ
1788787415.350385,2124,2093,æ
1788787415.352749,2070,1959,æ
1788787415.353163,2123,2368,æ
1788787415.355105,2125,1994,æ
1788787415.357404,2037,1810,æ
1788787415.359512,1913,1714,æ
1788787415.359842,2033,2406,æ
1788787415.363304,2103,2290,æ
1788787415.363372,2148,2141,æ
1788787415.3647969,2088,1971,æ
1788787415.366303,2069,2149,æ
1788787415.368917,2163,2224,æ
1788787415.374413,2073,1935,æ
1788787415.376212,1948,1742,æ
1788787415.3773508,1970,2291,æ
1788787415.3811772,2076,2226,æ
1788787415.383992,2148,2253,æ
1788787415.3842402,2118,1998,æ
1788787415.384392,2072,2112,æ
1788787415.3864489,2166,2410,æ
1788787415.3866858,2109,1963,æ
1788787415.389947,1986,1813,æ
1788787415.3900511,1880,1938,æ
1788787415.392718,2075,2262,æ
1788787415.3999848,2115,2300,æ
1788787415.40207,2110,2108,æ
1788787415.402306,2040,1981,æ
1788787415.40271,2109,2401,æ
1788787415.405289,2122,1957,æ
1788787415.4088268,2032,1801,æ
1788787415.409439,1919,1704,æ
1788787415.413218,2040,2429,æ
1788787415.413379,2113,2283,æ
1788787415.41344,2155,2129,æ
1788787415.4148228,2096,1948,æ
1788787415.416212,2098,2184,æ
1788787415.418895,2190,2192,æ
1788787415.420265,2093,1940,æ
1788787415.425812,1966,1740,æ
1788787415.4266539,1958,2283,æ
1788787415.428525,2064,2181,æ
1788787415.4310348,2149,2252,æ
1788787415.433771,2111,2040,æ
1788787415.433934,2087,2114,æ
1788787415.4359229,2169,2405,æ
1788787415.438059,2117,1954,æ
1788787415.438411,1985,1779,æ
1788787415.4417212,1889,1959,æ
1788787415.443149,2072,2269,æ
1788787415.444528,2137,2319,æ
1788787415.4517682,2131,2099,æ
1788787415.454329,2052,1960,æ
1788787415.454526,2115,2388,æ
1788787415.454717,2141,1996,æ
1788787415.454985,2040,1815,æ
1788787415.459193,1891,1707,æ
1788787415.4613702,2011,2424,æ
1788787415.461709,2104,2279,æ
1788787415.46534,2149,2102,æ
1788787415.465447,2085,1968,æ
1788787415.466808,2096,2158,æ
1788787415.4681659,2168,2230,æ
1788787415.470792,2089,1912,æ
1788787415.47219,1941,1697,æ
1788787415.4777658,1978,2304,æ
1788787415.478506,2090,2200,æ
1788787415.479124,2167,2264,æ
1788787415.481697,2103,2038,æ
1788787415.484538,2081,2121,æ
1788787415.484732,2180,2405,æ
1788787415.4882,2106,1941,æ
1788787415.488323,1994,1808,æ
1788787415.490968,1907,1948,æ
1788787415.4928918,2078,2259,æ
1788787415.494231,2152,2309,æ
1788787415.499847,2141,2079,æ
1788787415.5005271,2054,1976,æ
1788787415.501142,2135,2411,æ
1788787415.503996,2127,1962,æ
1788787415.5043268,2030,1830,æ
1788787415.5082922,1902,1722,æ
1788787415.510209,2048,2411,æ
1788787415.51045,2120,2291,æ
1788787415.513953,2161,2137,æ
1788787415.514039,2100,1946,æ
1788787415.516706,2103,2169,æ
1788787415.518027,2192,2188,æ
1788787415.5255759,2084,1918,æ
1788787415.527169,1945,1697,æ
1788787415.529084,1971,2319,æ
1788787415.5296352,2069,2195,æ
1788787415.531559,2134,2248,æ
1788787415.534113,2106,2022,æ
1788787415.5343611,2069,2114,æ
1788787415.536431,2178,2409,æ
1788787415.536789,2111,1947,æ
1788787415.539843,2018,1775,æ
1788787415.540179,1918,1964,æ
1788787415.542857,2077,2284,æ
1788787415.549264,2153,2306,æ
1788787415.55054,2145,2061,æ
1788787415.5525272,2041,1981,æ
1788787415.552872,2134,2377,æ
1788787415.554799,2124,1966,æ
1788787415.5549839,2010,1842,æ
1788787415.5569332,1890,1667,æ
1788787415.559103,2041,2436,æ
1788787415.562458,2115,2294,æ
1788787415.5627332,2164,2144,æ
1788787415.564064,2094,1983,æ
1788787415.5667078,2086,2150,æ
1788787415.568034,2174,2190,æ
1788787415.5750809,2088,1893,æ
1788787415.575249,1946,1718,æ
1788787415.578024,1960,2302,æ
1788787415.578331,2070,2207,æ
1788787415.578551,2137,2226,æ
1788787415.581099,2100,2037,æ
1788787415.5829298,2062,2123,æ
1788787415.5852642,2162,2396,æ
1788787415.5885718,2109,1939,æ
1788787415.5886452,2003,1784,æ
1788787415.589967,1896,1964,æ
1788787415.598378,2053,2257,æ
1788787415.601521,2129,2266,æ
1788787415.601849,2133,2063,æ
1788787415.6020951,2070,1964,æ
1788787415.6040168,2133,2406,æ
1788787415.60698,2117,1974,æ
1788787415.6094358,2053,1816,æ
1788787415.609822,1913,1682,æ
1788787415.6101499,2053,2426,æ
