timestamp,ch1,ch2,label
1789467818.348901,2060,2878,i _S
1789467818.3491259,2157,2879,i _S
1789467818.3511329,2054,2879,i _S
1789467818.355604,2076,2880,i _S
1789467818.3564491,2099,2880,i _S
1789467818.3588102,2089,2877,i _S
1789467818.359531,2054,2877,i _S
1789467818.361496,2011,2877,i _S
1789467818.362874,2029,2879,i _S
1789467818.365022,2087,2879,i _S
1789467818.36709,2099,2878,i _S
1789467818.369148,2052,2880,i _S
1789467818.371698,2034,2876,i _S
1789467818.3729868,2114,2881,i _S
1789467818.3752902,2197,2880,i _S
1789467818.377595,2010,2878,i _S
1789467818.379902,2105,2878,i _S
1789467818.381193,2146,2880,i _S
1789467818.383635,2106,2879,i _S
1789467818.385699,2021,2877,i _S
1789467818.38803,2020,2878,i _S
1789467818.389323,2073,2877,i _S
1789467818.3934221,2129,2880,i _S
1789467818.393918,2127,2880,i _S
1789467818.396072,2094,2879,i _S
1789467818.3979032,2046,2879,i _S
1789467818.399731,2077,2880,i _S
1789467818.401064,2050,2879,i _S
1789467818.4038029,1992,2877,i _S
1789467818.404886,2056,2879,i _S
1789467818.407438,2089,2879,i _S
1789467818.409942,2087,2880,i _S
1789467818.410995,2110,2880,i _S
1789467818.413541,2068,2879,i _S
1789467818.4160142,2082,2879,i _S
1789467818.417073,2066,2879,i _S
1789467818.4193852,2004,2877,i _S
1789467818.421691,2062,2878,i _S
1789467818.4239979,2137,2880,i _S
1789467818.425288,2090,2879,i _S
1789467818.427503,2095,2878,i _S
1789467818.429814,2047,2877,i _S
1789467818.4308832,2035,2878,i _S
1789467818.435797,2038,2876,i _S
1789467818.4365618,2092,2879,i _S
1789467818.438258,2159,2881,i _S
1789467818.4397361,2101,2879,i _S
1789467818.441524,1958,2878,i _S
1789467818.443136,2022,2878,i _S
1789467818.445612,2206,2880,i _S
1789467818.4469178,2211,2880,i _S
1789467818.4494138,2134,2879,i _S
1789467818.451757,2081,2879,i _S
1789467818.4530518,1763,2878,i _S
1789467818.455607,1643,2878,i _S
1789467818.457854,1893,2878,i _S
1789467818.459143,2215,2880,i _S
1789467818.461453,2822,2880,i _S
1789467818.463708,2468,2879,i _S
1789467818.4648929,1812,2877,i _S
1789467818.4672,1608,2877,i _S
1789467818.469502,1431,2879,i _S
1789467818.47186,3338,2882,i _S
1789467818.4731479,2485,2880,i _S
1789467818.4778938,1751,2877,i _S
1789467818.4785762,1718,2877,i _S
1789467818.4799612,2112,2879,i _S
1789467818.481708,2299,2880,i _S
1789467818.483128,2022,2876,i _S
1789467818.486998,2324,2880,i _S
1789467818.4871008,2340,2880,i _S
1789467818.489654,1885,2877,i _S
1789467818.490953,1303,2877,i _S
1789467818.493282,1156,2877,i _S
1789467818.495588,2112,2880,i _S
1789467818.497658,3119,2882,i _S
1789467818.4989529,2657,2881,i _S
1789467818.501259,1835,2880,i _S
1789467818.503804,2276,2880,i _S
1789467818.504878,2105,2879,i _S
1789467818.5071921,1644,2879,i _S
1789467818.509739,2503,2881,i _S
1789467818.511029,1919,2877,i _S
1789467818.5133371,1668,2877,i _S
1789467818.518788,1998,2879,i _S
1789467818.519567,2060,2878,i _S
1789467818.521117,2028,2879,i _S
1789467818.52125,1335,2877,i _S
1789467818.52333,1866,2879,i _S
1789467818.5259242,2888,2882,i _S
1789467818.528525,2664,2881,i _S
1789467818.529579,1862,2880,i _S
1789467818.5309482,1646,2876,i _S
1789467818.533029,1455,2876,i _S
1789467818.5355809,1826,2877,i _S
1789467818.537647,1712,2878,i _S
1789467818.539822,1865,2878,i _S
1789467818.5408762,2317,2879,i _S
1789467818.543421,1889,2876,i _S
1789467818.545724,2958,2883,i _S
1789467818.5470111,1788,2879,i _S
1789467818.549357,1675,2877,i _S
