timestamp,ch1,ch2,label
1789467802.257417,2134,2879,i
1789467802.257476,2045,2877,i
1789467802.257523,2116,2881,i
1789467802.257567,2095,2880,i
1789467802.260931,1974,2876,i
1789467802.262719,1969,2877,i
1789467802.2653089,2117,2881,i
1789467802.267126,2291,2880,i
1789467802.268393,2185,2879,i
1789467802.271287,2024,2877,i
1789467802.2726731,2169,2880,i
1789467802.2755682,2104,2879,i
1789467802.2759979,2087,2879,i
1789467802.277087,2098,2879,i
1789467802.279486,2085,2880,i
1789467802.2819252,2023,2879,i
1789467802.283259,2057,2879,i
1789467802.285832,2110,2881,i
1789467802.2870662,1892,2878,i
1789467802.289342,2064,2877,i
1789467802.291877,2105,2881,i
1789467802.293204,2135,2879,i
1789467802.295455,2097,2878,i
1789467802.297867,2095,2879,i
1789467802.299061,2102,2879,i
1789467802.301456,2059,2878,i
1789467802.303647,2124,2881,i
1789467802.305043,2148,2880,i
1789467802.307534,2063,2878,i
1789467802.31014,2115,2880,i
1789467802.311512,2082,2879,i
1789467802.3139231,2054,2879,i
1789467802.315261,2120,2880,i
1789467802.317733,2133,2879,i
1789467802.325366,2096,2880,i
1789467802.328245,2123,2879,i
1789467802.32844,2115,2879,i
1789467802.328661,2115,2880,i
1789467802.330913,2124,2880,i
1789467802.332056,2131,2879,i
1789467802.33282,1989,2876,i
1789467802.336531,1971,2878,i
1789467802.337704,2097,2881,i
1789467802.3380961,2135,2879,i
1789467802.340928,2065,2877,i
1789467802.34113,2063,2881,i
1789467802.3437178,2110,2879,i
1789467802.351532,2147,2880,i
1789467802.3522189,2116,2878,i
1789467802.352874,2056,2879,i
1789467802.354787,2020,2877,i
1789467802.3549912,2026,2877,i
1789467802.3567019,2072,2877,i
1789467802.358856,2043,2877,i
1789467802.362017,2206,2879,i
1789467802.363337,2201,2878,i
1789467802.363758,2114,2879,i
1789467802.366444,2099,2878,i
1789467802.367879,2129,2880,i
1789467802.369225,2043,2878,i
1789467802.371572,2149,2880,i
1789467802.3736691,2104,2880,i
1789467802.375055,2110,2879,i
1789467802.377412,2072,2879,i
1789467802.37994,2054,2878,i
1789467802.381255,2060,2880,i
1789467802.383853,2069,2878,i
1789467802.3851461,2044,2877,i
1789467802.387545,2113,2878,i
1789467802.390074,2103,2880,i
1789467802.391242,1970,2876,i
1789467802.393814,2068,2880,i
1789467802.3951292,2188,2878,i
1789467802.39746,2093,2879,i
1789467802.3995478,2035,2879,i
1789467802.401867,2082,2877,i
1789467802.4030468,2105,2878,i
1789467802.405132,2182,2881,i
1789467802.4120839,2089,2878,i
1789467802.412262,2075,2879,i
1789467802.4128451,2063,2878,i
1789467802.4159691,2081,2879,i
1789467802.416404,2060,2879,i
1789467802.419133,2035,2877,i
1789467802.419286,2171,2880,i
1789467802.422051,2154,2880,i
1789467802.424217,2096,2880,i
1789467802.4257832,2120,2879,i
1789467802.4277928,2003,2880,i
1789467802.429106,2073,2879,i
1789467802.4316769,2135,2879,i
1789467802.433036,2144,2881,i
1789467802.4384031,2062,2878,i
1789467802.43961,2005,2878,i
1789467802.4402199,2115,2880,i
1789467802.442744,2146,2880,i
1789467802.445288,2115,2879,i
1789467802.446333,2069,2879,i
1789467802.447797,2043,2878,i
1789467802.4504309,2079,2879,i
1789467802.452024,2045,2877,i
1789467802.454148,2026,2878,i
1789467802.4552162,2080,2878,i
1789467802.457514,2083,2880,i
1789467802.459831,2058,2879,i
1789467802.461292,2074,2878,i
1789467802.463625,2073,2878,i
1789467802.4659898,2108,2881,i
1789467802.467299,2068,2880,i
1789467802.469871,2021,2878,i
1789467802.472209,2081,2879,i
1789467802.473272,2047,2877,i
1789467802.475832,2062,2879,i
1789467802.477024,2124,2879,i
1789467802.479228,2057,2878,i
1789467802.481807,1954,2877,i
1789467802.483089,2024,2878,i
1789467802.485225,2167,2881,i
1789467802.487361,2138,2880,i
1789467802.489634,2116,2880,i
1789467802.491945,2131,2879,i
1789467802.4932458,2153,2879,i
1789467802.4956028,2106,2879,i
1789467802.500808,2144,2879,i
1789467802.5012941,2093,2879,i
1789467802.50235,2079,2877,i
1789467802.503925,2045,2878,i
1789467802.5065842,2041,2878,i
1789467802.509043,2066,2878,i
1789467802.5120409,2026,2880,i
1789467802.512162,2153,2878,i
1789467802.514239,2077,2880,i
1789467802.515577,2092,2879,i
1789467802.5179038,2039,2877,i
1789467802.519371,2014,2879,i
1789467802.524757,2084,2879,i
1789467802.5256572,2094,2879,i
1789467802.527225,2043,2879,i
1789467802.5274692,2078,2877,i
1789467802.529645,2101,2879,i
1789467802.533509,2095,2879,i
1789467802.5347688,2053,2877,i
1789467802.537357,2136,2881,i
1789467802.5374038,2067,2879,i
1789467802.539722,2142,2880,i
1789467802.541277,2143,2879,i
1789467802.543571,2018,2879,i
1789467802.54594,2133,2879,i
1789467802.547004,2069,2878,i
1789467802.549255,2062,2882,i
1789467802.551741,2065,2877,i
1789467802.5529878,2187,2879,i
1789467802.555547,2223,2881,i
1789467802.558051,2048,2877,i
1789467802.559309,2141,2879,i
1789467802.5618718,2110,2880,i
1789467802.563178,1999,2877,i
1789467802.56564,1936,2878,i
1789467802.568005,2119,2880,i
1789467802.569309,2161,2880,i
1789467802.57163,2097,2880,i
1789467802.572934,2012,2877,i
1789467802.579702,2028,2878,i
1789467802.579862,2027,2879,i
1789467802.5828538,2057,2880,i
1789467802.583099,2162,2879,i
1789467802.58552,2167,2880,i
1789467802.586124,1986,2879,i
1789467802.5881448,1961,2878,i
1789467802.589859,2073,2877,i
1789467802.591337,2145,2880,i
1789467802.59335,2126,2879,i
1789467802.595914,1998,2878,i
1789467802.596981,1967,2876,i
1789467802.5989702,2237,2879,i
1789467802.604199,2061,2879,i
1789467802.604838,1984,2878,i
1789467802.605462,2162,2880,i
1789467802.607679,2143,2881,i
1789467802.609956,2090,2879,i
1789467802.6118898,2022,2879,i
1789467802.615214,2143,2880,i
1789467802.615982,2152,2880,i
1789467802.6179578,2021,2877,i
1789467802.619282,2054,2878,i
1789467802.621852,2114,2881,i
1789467802.6231549,2148,2880,i
1789467802.6256,2142,2879,i
1789467802.627755,2109,2878,i
1789467802.63007,2085,2879,i
1789467802.63137,2113,2881,i
1789467802.633455,2043,2876,i
1789467802.6357691,2084,2877,i
1789467802.637068,2037,2879,i
1789467802.6396239,2021,2878,i
1789467802.642171,2128,2879,i
1789467802.64324,2028,2879,i
1789467802.6457999,1969,2877,i
1789467802.6470988,2082,2879,i
1789467802.649566,2128,2881,i
1789467802.651128,2136,2879,i
1789467802.653475,2054,2878,i
1789467802.660903,2096,2880,i
1789467802.661543,2112,2878,i
1789467802.662095,2044,2879,i
1789467802.662621,1999,2877,i
1789467802.664278,2092,2880,i
1789467802.666711,2231,2879,i
1789467802.6679628,2087,2881,i
1789467802.670698,2053,2877,i
1789467802.672448,2098,2879,i
1789467802.674491,2117,2880,i
1789467802.6755571,2142,2879,i
1789467802.6776488,2120,2879,i
1789467802.6794822,2098,2879,i
1789467802.685211,2082,2879,i
1789467802.685844,2057,2880,i
1789467802.686452,2015,2877,i
1789467802.688336,2040,2877,i
1789467802.691021,2071,2878,i
1789467802.6915588,2071,2879,i
1789467802.694508,2117,2879,i
1789467802.6958022,2043,2877,i
1789467802.6979918,2071,2880,i
1789467802.699403,2152,2879,i
1789467802.702013,2058,2879,i
1789467802.703317,2027,2878,i
1789467802.705705,2084,2879,i
1789467802.707,2074,2878,i
1789467802.709596,2115,2879,i
1789467802.710942,2118,2878,i
1789467802.713384,2036,2878,i
1789467802.715647,1868,2877,i
1789467802.7169092,2239,2880,i
1789467802.718998,2168,2880,i
1789467802.7215538,2055,2878,i
1789467802.722929,2077,2877,i
1789467802.725239,2049,2877,i
1789467802.7275279,2101,2879,i
1789467802.728937,2173,2879,i
1789467802.735064,2125,2878,i
1789467802.7365482,2074,2880,i
1789467802.737032,2028,2877,i
1789467802.738474,1991,2878,i
1789467802.74041,2102,2880,i
1789467802.742468,2165,2880,i
1789467802.744489,2023,2877,i
1789467802.7459142,1981,2877,i
1789467802.7481952,2113,2879,i
1789467802.749538,2103,2878,i
1789467802.751693,2050,2880,i
1789467802.7560809,2068,2878,i
1789467802.756256,2117,2879,i
1789467802.758941,2127,2880,i
1789467802.759093,2096,2879,i
1789467802.7613492,2106,2879,i
1789467802.7648451,2077,2880,i
1789467802.764983,2130,2879,i
1789467802.7681339,1996,2877,i
1789467802.769438,1800,2878,i
1789467802.771509,2097,2879,i
1789467802.773816,2221,2880,i
1789467802.775052,2144,2880,i
1789467802.7771158,2146,2880,i
1789467802.7791958,2091,2880,i
1789467802.781278,2129,2879,i
1789467802.7837598,2121,2880,i
1789467802.785044,2084,2878,i
1789467802.787369,2052,2878,i
1789467802.789689,2013,2878,i
1789467802.791923,2081,2880,i
1789467802.7929862,2078,2879,i
1789467802.795302,2020,2878,i
1789467802.79762,2068,2879,i
1789467802.799927,2071,2880,i
1789467802.801227,2082,2878,i
1789467802.806222,2045,2879,i
1789467802.806751,2146,2881,i
1789467802.80763,2086,2880,i
1789467802.809386,2015,2878,i
1789467802.8110652,2077,2880,i
1789467802.814759,2039,2879,i
1789467802.81658,2092,2880,i
1789467802.8188002,2152,2880,i
1789467802.818985,2078,2877,i
1789467802.8210711,2025,2877,i
1789467802.82658,2164,2880,i
1789467802.827117,2155,2879,i
1789467802.828011,2079,2878,i
1789467802.8296828,1989,2877,i
1789467802.832187,2099,2878,i
1789467802.835408,2155,2879,i
1789467802.837013,2075,2877,i
1789467802.837229,2056,2878,i
1789467802.839469,2086,2877,i
1789467802.842081,2130,2880,i
1789467802.843383,2062,2878,i
1789467802.8457012,2089,2878,i
1789467802.847005,2047,2879,i
1789467802.84908,2020,2877,i
1789467802.8516748,2041,2879,i
1789467802.8529768,2063,2879,i
1789467802.855534,2124,2880,i
1789467802.857863,2138,2880,i
1789467802.859162,2078,2879,i
1789467802.861717,2072,2878,i
1789467802.863012,2040,2879,i
1789467802.865084,2075,2881,i
1789467802.867404,2140,2880,i
1789467802.86948,2070,2878,i
1789467802.870877,2048,2878,i
1789467802.87625,1983,2878,i
1789467802.877255,1973,2876,i
1789467802.8782,2213,2879,i
1789467802.8796952,2152,2880,i
1789467802.8817558,1958,2876,i
1789467802.883517,2041,2878,i
1789467802.885352,2396,2881,i
1789467802.886946,2230,2880,i
1789467802.889733,1683,2878,i
1789467802.892087,1529,2877,i
1789467802.8974211,2388,2879,i
1789467802.8980422,3042,2881,i
1789467802.89853,1699,2877,i
1789467802.9006069,1731,2876,i
1789467802.902998,1813,2878,i
1789467802.9034529,1796,2878,i
1789467802.906295,2647,2882,i
1789467802.908061,3153,2882,i
1789467802.91023,1753,2877,i
1789467802.911293,1349,2877,i
1789467802.9136121,2308,2879,i
1789467802.915937,2326,2881,i
1789467802.9169862,2182,2879,i
1789467802.91954,2081,2879,i
1789467802.9209018,1637,2878,i
1789467802.9234638,2020,2879,i
1789467802.926018,2373,2880,i
1789467802.927316,2215,2880,i
1789467802.929885,1662,2877,i
1789467802.930934,1943,2877,i
1789467802.933252,2367,2880,i
1789467802.9358149,2426,2881,i
1789467802.9369159,2138,2880,i
1789467802.939472,1932,2878,i
1789467802.9420228,2094,2879,i
1789467802.94308,2284,2879,i
1789467802.947454,2124,2880,i
1789467802.9479198,2302,2880,i
1789467802.950047,1916,2878,i
1789467802.9526348,1435,2877,i
1789467802.955161,644,2877,i
1789467802.9552798,2542,2880,i
1789467802.958847,2992,2882,i
1789467802.958967,2111,2878,i
1789467802.96129,1796,2879,i
1789467802.963597,2025,2879,i
1789467802.965688,2692,2881,i
1789467802.966982,1560,2877,i
1789467802.969534,2002,2879,i
1789467802.971848,2618,2881,i
1789467802.9729111,2255,2879,i
1789467802.97546,1972,2880,i
1789467802.978024,1624,2876,i
1789467802.9793239,1192,2877,i
1789467802.981631,1612,2877,i
1789467802.9829261,2468,2880,i
1789467802.985236,3367,2883,i
1789467802.987786,2146,2879,i
