timestamp,ch1,ch2,label
1789469642.606358,2137,2879,2_S
1789469642.606485,2129,2879,2_S
1789469642.610215,2070,2880,2_S
1789469642.61034,2018,2880,2_S
1789469642.613282,2080,2879,2_S
1789469642.614916,2109,2879,2_S
1789469642.617225,1994,2877,2_S
1789469642.618529,1963,2879,2_S
1789469642.620845,2055,2879,2_S
1789469642.623164,2137,2878,2_S
1789469642.624455,2126,2880,2_S
1789469642.627028,2075,2878,2_S
1789469642.629336,2080,2879,2_S
1789469642.63038,2116,2879,2_S
1789469642.632681,1992,2877,2_S
1789469642.63522,1932,2879,2_S
1789469642.636506,2029,2879,2_S
1789469642.6390479,2117,2880,2_S
1789469642.641391,2142,2880,2_S
1789469642.6426811,2069,2879,2_S
1789469642.644982,2037,2880,2_S
1789469642.6470451,2106,2879,2_S
1789469642.6483278,2124,2880,2_S
1789469642.650869,2058,2879,2_S
1789469642.652153,2089,2880,2_S
1789469642.6546931,2148,2879,2_S
1789469642.657241,2166,2882,2_S
1789469642.6582909,2095,2879,2_S
1789469642.660836,2062,2879,2_S
1789469642.66313,2046,2878,2_S
1789469642.664172,2047,2880,2_S
1789469642.6664681,1991,2878,2_S
1789469642.6687732,2019,2879,2_S
1789469642.67444,2131,2879,2_S
1789469642.674558,2134,2877,2_S
1789469642.674995,2078,2880,2_S
1789469642.676817,2023,2879,2_S
1789469642.678376,2073,2878,2_S
1789469642.681442,2150,2880,2_S
1789469642.683486,2074,2880,2_S
1789469642.684546,1930,2879,2_S
1789469642.686656,2069,2878,2_S
1789469642.6889348,2144,2879,2_S
1789469642.6902242,2121,2881,2_S
1789469642.692457,1985,2878,2_S
1789469642.69475,2023,2879,2_S
1789469642.697289,2146,2879,2_S
1789469642.698573,2048,2880,2_S
1789469642.701113,1983,2879,2_S
1789469642.7021492,1954,2879,2_S
1789469642.70469,2229,2879,2_S
1789469642.707047,2245,2880,2_S
1789469642.708334,2061,2879,2_S
1789469642.710635,2000,2879,2_S
1789469642.7129312,2079,2878,2_S
1789469642.7142138,2088,2879,2_S
1789469642.716328,1990,2878,2_S
1789469642.718868,1982,2879,2_S
1789469642.7209768,2091,2879,2_S
1789469642.723279,2134,2878,2_S
1789469642.724565,2125,2879,2_S
1789469642.726869,2134,2879,2_S
1789469642.728155,2006,2879,2_S
1789469642.730458,2281,2879,2_S
1789469642.7327528,2045,2879,2_S
1789469642.735295,1896,2879,2_S
1789469642.7365792,2010,2880,2_S
1789469642.7391171,2143,2879,2_S
1789469642.7404,2133,2880,2_S
1789469642.742937,2069,2880,2_S
1789469642.7449899,2053,2879,2_S
1789469642.7472918,2112,2879,2_S
1789469642.748343,2006,2879,2_S
1789469642.750883,2030,2877,2_S
1789469642.753183,2131,2879,2_S
1789469642.7542322,2119,2879,2_S
1789469642.7565372,2081,2880,2_S
1789469642.7587001,2040,2880,2_S
1789469642.7607648,1984,2880,2_S
1789469642.7628438,2070,2879,2_S
1789469642.769017,2091,2880,2_S
1789469642.769114,2019,2879,2_S
1789469642.7701938,2014,2879,2_S
1789469642.770335,2047,2878,2_S
1789469642.774077,2187,2880,2_S
1789469642.7747252,2134,2880,2_S
1789469642.77641,2031,2879,2_S
1789469642.778997,2094,2879,2_S
1789469642.7802958,2118,2879,2_S
1789469642.7828422,2040,2880,2_S
1789469642.7841432,2003,2879,2_S
1789469642.7866938,2136,2879,2_S
1789469642.789244,2097,2879,2_S
1789469642.790535,2216,2880,2_S
1789469642.7926242,2083,2879,2_S
1789469642.79492,2054,2879,2_S
1789469642.796206,2212,2879,2_S
1789469642.798514,2082,2880,2_S
1789469642.800811,1970,2878,2_S
1789469642.8029199,2076,2878,2_S
1789469642.804115,2159,2880,2_S
1789469642.806656,2226,2880,2_S
1789469642.809171,2157,2879,2_S
1789469642.8104692,2040,2878,2_S
1789469642.81264,2001,2878,2_S
1789469642.8146958,2146,2880,2_S
1789469642.817023,2019,2878,2_S
1789469642.818315,2019,2880,2_S
1789469642.8205812,2080,2880,2_S
1789469642.822885,2177,2878,2_S
1789469642.825202,2094,2880,2_S
1789469642.826499,2039,2879,2_S
1789469642.8290482,2072,2879,2_S
1789469642.830333,2099,2879,2_S
1789469642.832642,1983,2877,2_S
1789469642.83516,1941,2879,2_S
1789469642.8364449,2062,2880,2_S
1789469642.841681,2113,2878,2_S
1789469642.841708,2138,2880,2_S
1789469642.843041,2096,2878,2_S
1789469642.844945,2087,2879,2_S
1789469642.8464158,2150,2880,2_S
1789469642.8494751,2109,2879,2_S
1789469642.850837,2009,2878,2_S
1789469642.852704,2067,2880,2_S
1789469642.854099,2180,2879,2_S
1789469642.8561668,2178,2880,2_S
1789469642.858479,2068,2880,2_S
1789469642.862808,2053,2878,2_S
1789469642.863169,2114,2880,2_S
1789469642.864848,2136,2880,2_S
1789469642.8669949,2037,2877,2_S
1789469642.8694432,1899,2878,2_S
1789469642.8707929,2016,2880,2_S
1789469642.872427,2160,2878,2_S
1789469642.874487,2120,2879,2_S
1789469642.876551,2017,2879,2_S
1789469642.878936,2020,2878,2_S
1789469642.881291,2090,2879,2_S
1789469642.882591,2024,2878,2_S
1789469642.885136,1954,2879,2_S
1789469642.886427,2071,2879,2_S
1789469642.888981,2193,2878,2_S
1789469642.8902678,2104,2879,2_S
1789469642.892351,2087,2879,2_S
1789469642.894891,2013,2879,2_S
1789469642.896961,2114,2880,2_S
1789469642.898226,2045,2879,2_S
1789469642.900767,1967,2879,2_S
1789469642.903073,1977,2879,2_S
1789469642.904117,2065,2880,2_S
1789469642.906444,2212,2880,2_S
1789469642.908909,2086,2881,2_S
1789469642.911214,1912,2878,2_S
1789469642.912267,1984,2878,2_S
1789469642.9148102,2064,2880,2_S
1789469642.917109,2020,2879,2_S
1789469642.918394,2002,2878,2_S
1789469642.920918,2109,2879,2_S
1789469642.9232268,2243,2881,2_S
1789469642.9242702,2153,2881,2_S
1789469642.929766,1974,2878,2_S
1789469642.929897,1999,2879,2_S
1789469642.931664,2055,2881,2_S
1789469642.933583,1941,2877,2_S
1789469642.935096,1869,2879,2_S
1789469642.937362,2044,2879,2_S
1789469642.938887,2278,2880,2_S
1789469642.9401758,2167,2880,2_S
1789469642.942732,1970,2879,2_S
1789469642.944635,1848,2875,2_S
1789469642.949528,1978,2880,2_S
1789469642.950274,2106,2881,2_S
1789469642.9506612,2028,2878,2_S
1789469642.954091,2266,2881,2_S
1789469642.954283,2222,2880,2_S
1789469642.956702,1880,2878,2_S
1789469642.9592772,1848,2877,2_S
1789469642.9603431,2087,2881,2_S
1789469642.9626539,2180,2880,2_S
1789469642.964967,2170,2880,2_S
1789469642.966136,1954,2878,2_S
1789469642.968703,1724,2879,2_S
1789469642.971262,1919,2879,2_S
1789469642.972553,2040,2878,2_S
1789469642.9750981,1754,2878,2_S
1789469642.976151,2128,2878,2_S
1789469642.9783108,2142,2880,2_S
1789469642.980851,2255,2879,2_S
1789469642.982135,1959,2878,2_S
1789469642.98444,1910,2877,2_S
1789469642.9869828,1932,2879,2_S
1789469642.98827,1916,2878,2_S
1789469642.9908118,2212,2881,2_S
1789469642.992139,2196,2879,2_S
1789469642.994443,1967,2878,2_S
1789469642.9965062,1999,2879,2_S
1789469642.998722,1945,2877,2_S
1789469643.00079,1894,2878,2_S
1789469643.002163,1981,2879,2_S
1789469643.004214,2054,2880,2_S
1789469643.006758,2090,2879,2_S
1789469643.008141,2015,2879,2_S
1789469643.014724,2017,2881,2_S
1789469643.015177,2130,2880,2_S
1789469643.0156538,2083,2878,2_S
1789469643.0169249,1974,2877,2_S
1789469643.018687,1994,2878,2_S
1789469643.0215108,2032,2879,2_S
1789469643.023094,2104,2877,2_S
1789469643.024767,2095,2878,2_S
1789469643.026127,2030,2878,2_S
1789469643.028435,1991,2878,2_S
1789469643.03073,2049,2879,2_S
1789469643.034902,1974,2878,2_S
1789469643.0353122,1906,2878,2_S
1789469643.0372128,2081,2878,2_S
1789469643.0389252,2140,2878,2_S
1789469643.040299,2068,2877,2_S
1789469643.0426948,2148,2879,2_S
1789469643.044693,2066,2878,2_S
1789469643.0470521,2162,2878,2_S
1789469643.048338,1996,2879,2_S
1789469643.05088,1875,2878,2_S
1789469643.0529642,2105,2878,2_S
1789469643.0542579,2245,2878,2_S
1789469643.056802,2181,2881,2_S
1789469643.059097,2010,2878,2_S
1789469643.060381,2020,2879,2_S
1789469643.062752,2120,2879,2_S
1789469643.0641558,2110,2880,2_S
1789469643.066464,2193,2880,2_S
1789469643.069003,1900,2878,2_S
1789469643.070289,1953,2879,2_S
1789469643.0725892,2167,2879,2_S
1789469643.075126,2105,2881,2_S
1789469643.076176,1826,2876,2_S
1789469643.0784729,2169,2880,2_S
1789469643.0807822,2222,2879,2_S
1789469643.082117,2022,2880,2_S
1789469643.0844219,1979,2877,2_S
1789469643.086735,2135,2879,2_S
1789469643.088107,2154,2880,2_S
1789469643.0904162,2041,2879,2_S
1789469643.092957,1994,2879,2_S
1789469643.09411,1873,2878,2_S
1789469643.096411,2090,2879,2_S
1789469643.098806,2109,2879,2_S
1789469643.103379,1844,2878,2_S
1789469643.104116,2001,2880,2_S
1789469643.104532,2359,2882,2_S
1789469643.106703,2296,2880,2_S
1789469643.108202,2175,2880,2_S
1789469643.111107,2075,2879,2_S
1789469643.112999,2156,2880,2_S
1789469643.114304,2112,2880,2_S
1789469643.116852,1895,2878,2_S
1789469643.1181178,1889,2879,2_S
1789469643.123569,1996,2879,2_S
1789469643.12399,2099,2878,2_S
1789469643.124374,1918,2878,2_S
1789469643.1274612,2059,2879,2_S
1789469643.129107,2066,2879,2_S
