timestamp,ch1,ch2,label
1789469273.02086,101,2878,e
1789469273.0208929,1977,2878,e
1789469273.023295,1987,2878,e
1789469273.0249422,2089,2879,e
1789469273.0277739,2155,2878,e
1789469273.029394,2104,2879,e
1789469273.0309188,2025,2878,e
1789469273.033091,2089,2879,e
1789469273.034441,2100,2878,e
1789469273.03675,1995,2876,e
1789469273.039041,1970,2879,e
1789469273.0414689,2093,2879,e
1789469273.0427551,2166,2879,e
1789469273.045297,2134,2880,e
1789469273.047383,2016,2878,e
1789469273.048668,2034,2878,e
1789469273.051208,2121,2880,e
1789469273.053501,2046,2880,e
1789469273.0545511,1988,2877,e
1789469273.057089,2082,2879,e
1789469273.0592158,2207,2879,e
1789469273.0605109,2178,2881,e
1789469273.064401,2108,2879,e
1789469273.064843,2064,2878,e
1789469273.0669591,2165,2878,e
1789469273.068518,2129,2880,e
1789469273.071473,2006,2879,e
1789469273.073314,2025,2878,e
1789469273.0744479,2124,2879,e
1789469273.077,2142,2878,e
1789469273.0794508,2100,2879,e
1789469273.080745,2041,2879,e
1789469273.083292,2087,2879,e
1789469273.084578,2097,2879,e
1789469273.087119,1987,2878,e
1789469273.088505,1980,2878,e
1789469273.090813,2055,2878,e
1789469273.0931141,2139,2879,e
1789469273.0944462,2121,2879,e
1789469273.096988,2064,2878,e
1789469273.099527,2023,2879,e
1789469273.104067,2141,2879,e
1789469273.104918,2051,2879,e
1789469273.105365,1943,2877,e
1789469273.106605,2068,2879,e
1789469273.109029,2176,2879,e
1789469273.11126,2168,2880,e
1789469273.113608,2109,2880,e
1789469273.114916,2060,2878,e
1789469273.117474,2136,2877,e
1789469273.1187599,2102,2879,e
1789469273.1211169,1996,2879,e
1789469273.123345,2045,2879,e
1789469273.124633,2144,2878,e
1789469273.127174,2178,2877,e
1789469273.12933,2146,2878,e
1789469273.130613,2040,2877,e
1789469273.133153,2063,2878,e
1789469273.135644,2136,2879,e
1789469273.136933,2018,2877,e
1789469273.1394749,2001,2877,e
1789469273.143448,2105,2879,e
1789469273.1446168,2154,2878,e
1789469273.1447492,2128,2880,e
1789469273.147508,2056,2879,e
1789469273.148742,2052,2878,e
1789469273.150778,2145,2879,e
1789469273.153416,2048,2879,e
1789469273.1547148,1957,2877,e
1789469273.15713,2043,2878,e
1789469273.159265,2127,2879,e
1789469273.1615832,2134,2876,e
1789469273.162868,2076,2879,e
1789469273.16541,2058,2878,e
1789469273.1666949,2131,2878,e
1789469273.169235,2103,2879,e
1789469273.170519,1953,2877,e
1789469273.172937,1985,2879,e
1789469273.1752388,2098,2878,e
1789469273.176529,2138,2878,e
1789469273.178835,2130,2880,e
1789469273.18259,2034,2879,e
1789469273.183657,2093,2879,e
1789469273.185215,2106,2878,e
1789469273.187006,2018,2877,e
1789469273.190264,1997,2879,e
1789469273.1920068,2086,2879,e
1789469273.193059,2175,2879,e
1789469273.195609,2153,2881,e
1789469273.196918,2060,2878,e
1789469273.19924,2036,2878,e
1789469273.201306,2164,2879,e
1789469273.202444,2108,2878,e
1789469273.20476,2025,2879,e
1789469273.207073,2066,2879,e
1789469273.208468,2155,2878,e
1789469273.2105339,2152,2877,e
1789469273.21309,2086,2878,e
1789469273.215157,2070,2878,e
1789469273.21751,2144,2879,e
1789469273.218569,2091,2879,e
1789469273.22425,1954,2876,e
1789469273.2243671,1996,2878,e
1789469273.2257621,2097,2878,e
1789469273.227461,2153,2879,e
1789469273.230109,2094,2879,e
1789469273.232569,2036,2877,e
1789469273.232641,2047,2878,e
1789469273.234741,2108,2878,e
1789469273.2368572,2011,2877,e
1789469273.239029,2001,2878,e
1789469273.241488,2088,2877,e
1789469273.24279,2177,2878,e
1789469273.245335,2125,2879,e
1789469273.2466218,1992,2878,e
1789469273.24911,2048,2878,e
1789469273.251172,2137,2879,e
1789469273.253288,2079,2879,e
1789469273.2554328,1974,2878,e
1789469273.256726,2056,2878,e
1789469273.2612622,2159,2878,e
1789469273.261958,2151,2878,e
1789469273.263582,2114,2880,e
1789469273.265532,2059,2878,e
1789469273.266879,2123,2878,e
1789469273.2688901,2087,2878,e
1789469273.2715929,1962,2877,e
1789469273.272901,1979,2878,e
1789469273.275455,2103,2879,e
1789469273.276766,2085,2879,e
1789469273.278948,2051,2878,e
1789469273.281503,2051,2878,e
1789469273.282794,2096,2878,e
1789469273.284856,2156,2879,e
1789469273.2871628,1983,2876,e
1789469273.28928,1943,2878,e
1789469273.291708,2075,2878,e
1789469273.292873,2177,2879,e
1789469273.294945,2151,2880,e
1789469273.297042,2074,2877,e
1789469273.301088,2080,2878,e
1789469273.302347,2187,2879,e
1789469273.303782,2072,2879,e
1789469273.3051388,1992,2877,e
1789469273.306908,2050,2878,e
1789469273.310727,2129,2878,e
1789469273.31116,2160,2877,e
1789469273.313731,2086,2878,e
1789469273.315019,2042,2878,e
1789469273.317579,2107,2879,e
1789469273.321324,2089,2878,e
1789469273.3217611,1988,2877,e
1789469273.3239071,2017,2879,e
1789469273.325374,2142,2880,e
1789469273.326862,2221,2879,e
1789469273.328764,2158,2879,e
1789469273.3314738,2061,2878,e
1789469273.3325472,2075,2878,e
1789469273.3348548,2102,2878,e
1789469273.337404,1978,2877,e
1789469273.338691,1950,2877,e
1789469273.3407629,2036,2879,e
1789469273.34307,2123,2879,e
1789469273.345611,2117,2879,e
1789469273.3466518,2046,2878,e
1789469273.349196,2072,2879,e
1789469273.35164,2121,2879,e
1789469273.352937,2058,2880,e
1789469273.3552482,1968,2877,e
1789469273.356535,2040,2879,e
1789469273.361674,2132,2879,e
1789469273.362324,2138,2878,e
1789469273.36451,2061,2879,e
1789469273.364676,2027,2879,e
1789469273.3673978,2111,2879,e
1789469273.369301,2113,2879,e
1789469273.37197,2010,2878,e
1789469273.373027,2032,2879,e
1789469273.375861,2133,2879,e
1789469273.377192,2170,2879,e
1789469273.381963,2088,2880,e
1789469273.382601,2008,2878,e
1789469273.3829708,2049,2878,e
1789469273.385273,2105,2879,e
1789469273.38817,1967,2877,e
1789469273.390641,1999,2878,e
1789469273.3908238,2068,2878,e
1789469273.3933692,2166,2879,e
1789469273.3956769,2136,2879,e
1789469273.396725,2042,2879,e
1789469273.399265,2047,2879,e
1789469273.401334,2168,2880,e
1789469273.4036312,2115,2879,e
1789469273.4049149,1993,2879,e
1789469273.407464,2041,2878,e
1789469273.408553,2130,2878,e
1789469273.4106119,2146,2878,e
1789469273.4126668,2092,2880,e
1789469273.415082,2039,2878,e
1789469273.4193869,2102,2879,e
1789469273.419436,2035,2879,e
1789469273.421555,1947,2877,e
1789469273.423275,2008,2880,e
1789469273.425586,2151,2879,e
1789469273.42828,2169,2879,e
1789469273.429576,2117,2879,e
1789469273.430669,2038,2879,e
1789469273.433126,2084,2878,e
1789469273.435672,2170,2879,e
1789469273.439599,2036,2879,e
1789469273.440001,1984,2879,e
1789469273.441769,2054,2879,e
1789469273.4438279,2125,2878,e
1789469273.44591,2143,2879,e
1789469273.448479,2170,2880,e
1789469273.4485881,1992,2878,e
1789469273.451136,2219,2879,e
1789469273.4536939,2108,2879,e
1789469273.454985,1944,2878,e
1789469273.457279,2080,2878,e
1789469273.458591,2238,2879,e
1789469273.460887,2118,2877,e
1789469273.4634292,2033,2879,e
1789469273.464714,1993,2879,e
1789469273.46702,2203,2879,e
1789469273.469561,2124,2879,e
1789469273.47061,1950,2877,e
1789469273.472713,1938,2879,e
1789469273.476904,2091,2878,e
1789469273.477547,2225,2878,e
1789469273.479143,2065,2879,e
1789469273.4808378,2017,2878,e
1789469273.484121,2121,2879,e
1789469273.485739,2263,2879,e
1789469273.487031,1881,2876,e
1789469273.489334,1941,2880,e
1789469273.4906392,2215,2878,e
1789469273.492953,2164,2878,e
1789469273.4952471,2066,2877,e
1789469273.497548,1932,2879,e
1789469273.498594,2042,2878,e
1789469273.500659,2177,2879,e
1789469273.502966,1922,2879,e
1789469273.5055108,2009,2878,e
1789469273.506804,1994,2878,e
1789469273.5091069,2255,2880,e
1789469273.5138109,2184,2881,e
1789469273.514507,2114,2879,e
1789469273.516146,2125,2879,e
1789469273.517656,2161,2879,e
1789469273.519229,1928,2878,e
1789469273.521407,2137,2881,e
1789469273.52309,2101,2878,e
1789469273.525682,2086,2878,e
1789469273.526974,2131,2878,e
1789469273.52929,2103,2880,e
1789469273.531589,2038,2878,e
1789469273.5328798,1995,2879,e
1789469273.535179,2194,2879,e
1789469273.5365891,2041,2879,e
1789469273.539138,1898,2877,e
1789469273.541684,1910,2879,e
1789469273.5429718,2679,2882,e
1789469273.5455139,1944,2878,e
1789469273.5468001,1891,2876,e
1789469273.5510678,1982,2879,e
1789469273.551431,2090,2878,e
1789469273.5535932,2216,2879,e
1789469273.555166,2028,2877,e
1789469273.557854,1846,2877,e
1789469273.559105,2036,2879,e
1789469273.561729,2199,2880,e
1789469273.562829,2233,2880,e
1789469273.5653849,2060,2879,e
1789469273.5666869,2164,2878,e
1789469273.568989,2078,2879,e
1789469273.571285,1951,2877,e
1789469273.5736,1860,2879,e
1789469273.574647,1932,2878,e
1789469273.577065,1967,2877,e
1789469273.579607,2067,2880,e
1789469273.5808918,2085,2878,e
1789469273.583203,1974,2878,e
1789469273.585512,2028,2879,e
1789469273.589334,1954,2877,e
1789469273.5903308,1984,2878,e
1789469273.591834,2192,2878,e
1789469273.593778,2159,2879,e
1789469273.596151,2015,2877,e
1789469273.597325,2050,2878,e
1789469273.59884,2201,2880,e
1789469273.6009111,2289,2879,e
1789469273.6032178,1911,2876,e
1789469273.605536,1907,2878,e
1789469273.6068249,2044,2879,e
1789469273.6093671,2135,2878,e
1789469273.610652,2094,2879,e
1789469273.613195,1933,2877,e
1789469273.615239,2045,2879,e
1789469273.6165912,2089,2879,e
1789469273.619143,2071,2879,e
1789469273.621691,1928,2879,e
1789469273.622977,1963,2879,e
1789469273.6255202,2209,2878,e
1789469273.6291661,2340,2881,e
1789469273.6295931,1917,2877,e
1789469273.631468,1835,2876,e
1789469273.632994,2038,2878,e
1789469273.63561,2027,2878,e
1789469273.636885,1782,2876,e
1789469273.639282,2060,2879,e
1789469273.641367,2128,2879,e
1789469273.642668,2259,2879,e
1789469273.6449769,2180,2880,e
1789469273.647521,2075,2879,e
