timestamp,ch1,ch2,label
1789469241.536343,2087,2880,æ
1789469241.536384,2003,2877,æ
1789469241.5364108,2033,2879,æ
1789469241.536437,2168,2878,æ
1789469241.536463,2158,2880,æ
1789469241.536489,2110,2880,æ
1789469241.536515,2038,2878,æ
1789469241.536544,2102,2878,æ
1789469241.540258,2158,2879,æ
1789469241.540359,2041,2880,æ
1789469241.542251,2004,2878,æ
1789469241.544372,2058,2879,æ
1789469241.546766,2138,2879,æ
1789469241.549174,2117,2880,æ
1789469241.550478,2056,2879,æ
1789469241.5517771,2030,2878,æ
1789469241.553897,2101,2878,æ
1789469241.556554,1990,2880,æ
1789469241.557678,1998,2879,æ
1789469241.559724,2046,2877,æ
1789469241.562268,2135,2879,æ
1789469241.564822,2174,2880,æ
1789469241.5658638,2113,2880,æ
1789469241.568165,2076,2878,æ
1789469241.570706,2134,2879,æ
1789469241.5719922,2107,2879,æ
1789469241.5745249,2023,2878,æ
1789469241.5790641,2048,2879,æ
1789469241.579814,2147,2878,æ
1789469241.5802119,2180,2881,æ
1789469241.583332,2101,2879,æ
1789469241.585805,2105,2880,æ
1789469241.5858738,2091,2878,æ
1789469241.5881448,2123,2880,æ
1789469241.5907001,2048,2878,æ
1789469241.592006,2030,2879,æ
1789469241.594323,2098,2879,æ
1789469241.5956821,2111,2878,æ
1789469241.597913,2080,2878,æ
1789469241.599993,2031,2879,æ
1789469241.602533,2038,2879,æ
1789469241.603683,2124,2879,æ
1789469241.605984,2033,2879,æ
1789469241.6082828,1950,2878,æ
1789469241.609696,2058,2878,æ
1789469241.6122408,2098,2879,æ
1789469241.617217,2085,2878,æ
1789469241.6178718,2063,2881,æ
1789469241.6182332,2071,2879,æ
1789469241.6204412,2144,2879,æ
1789469241.622258,2086,2880,æ
1789469241.625416,2005,2878,æ
1789469241.6267111,2025,2879,æ
1789469241.628006,2115,2878,æ
1789469241.6305752,2140,2879,æ
1789469241.631753,2102,2880,æ
1789469241.6342988,2016,2878,æ
1789469241.637301,2074,2877,æ
1789469241.638589,2127,2878,æ
1789469241.6398761,2050,2880,æ
1789469241.642252,1990,2878,æ
1789469241.6458838,2093,2878,æ
1789469241.6459131,2133,2879,æ
1789469241.648183,2160,2880,æ
1789469241.650362,2082,2880,æ
1789469241.6516302,2089,2878,æ
1789469241.653928,2128,2878,æ
1789469241.6590579,2080,2880,æ
1789469241.659178,2028,2878,æ
1789469241.6613069,2079,2878,æ
1789469241.6628191,2151,2879,æ
1789469241.6645539,2125,2878,æ
1789469241.666535,2113,2879,æ
1789469241.66798,2040,2878,æ
1789469241.6704278,2047,2878,æ
1789469241.6725252,2054,2879,æ
1789469241.673671,1999,2878,æ
1789469241.6759942,2043,2880,æ
1789469241.678541,2115,2879,æ
1789469241.679829,2110,2878,æ
1789469241.6820202,2112,2880,æ
1789469241.684567,2138,2879,æ
1789469241.685854,2135,2880,æ
1789469241.688295,2174,2879,æ
1789469241.6903412,2070,2879,æ
1789469241.6916769,1995,2878,æ
1789469241.6937442,2050,2878,æ
1789469241.698473,2139,2879,æ
1789469241.698928,2113,2882,æ
1789469241.700788,2060,2878,æ
