timestamp,ch1,ch2,label
1789465720.5058,1959,2877,a
1789465720.506437,1991,2878,a
1789465720.5071502,2180,2879,a
1789465720.508878,2163,2878,a
1789465720.510962,1972,2877,a
1789465720.511698,1974,2877,a
1789465720.512778,2218,2878,a
1789465720.513838,1991,2876,a
1789465720.516377,1965,2877,a
1789465720.5166981,2054,2877,a
1789465720.5203369,2120,2877,a
1789465720.5204601,2128,2878,a
1789465720.522586,2028,2877,a
1789465720.523815,2074,2877,a
1789465720.526214,2202,2878,a
1789465720.528797,2080,2879,a
1789465720.530071,2123,2879,a
1789465720.532685,1950,2876,a
1789465720.5337641,2054,2877,a
1789465720.5358431,1937,2876,a
1789465720.538406,2022,2875,a
1789465720.540735,1988,2876,a
1789465720.5417972,2004,2877,a
1789465720.5443552,1881,2875,a
1789465720.5466628,2055,2878,a
1789465720.5479639,2173,2879,a
1789465720.550295,2256,2879,a
1789465720.5517151,2030,2877,a
1789465720.5540512,2041,2875,a
1789465720.556614,2140,2879,a
1789465720.5578182,2290,2878,a
1789465720.560144,2108,2877,a
1789465720.566858,2061,2877,a
1789465720.5675058,1890,2876,a
1789465720.569142,2026,2876,a
1789465720.569269,2194,2879,a
1789465720.57124,1976,2876,a
1789465720.573159,1966,2877,a
1789465720.575093,1996,2878,a
1789465720.577695,2144,2877,a
1789465720.578614,2081,2878,a
1789465720.580628,1913,2875,a
1789465720.5819452,2098,2876,a
1789465720.584565,2143,2876,a
1789465720.5930848,2076,2876,a
1789465720.593463,2076,2879,a
1789465720.599814,2023,2877,a
1789465720.601314,2139,2877,a
1789465720.601641,2149,2877,a
1789465720.601871,2178,2878,a
1789465720.602379,2044,2876,a
1789465720.604854,2115,2878,a
1789465720.604904,2250,2880,a
1789465720.6049979,2188,2879,a
1789465720.606069,2032,2877,a
1789465720.6081522,2045,2876,a
1789465720.610584,1991,2878,a
1789465720.6119838,2028,2878,a
1789465720.614362,2034,2875,a
1789465720.616694,1959,2877,a
1789465720.618001,2108,2877,a
1789465720.620079,2147,2879,a
1789465720.622397,2091,2878,a
1789465720.623714,2090,2877,a
1789465720.6258,2133,2877,a
1789465720.627881,2062,2877,a
1789465720.630222,2036,2876,a
1789465720.632309,2062,2876,a
1789465720.633656,2090,2876,a
1789465720.636221,2128,2879,a
1789465720.638539,2042,2875,a
1789465720.639638,1994,2877,a
1789465720.646386,2095,2877,a
1789465720.647529,2042,2878,a
1789465720.6495411,2035,2878,a
1789465720.649728,1990,2877,a
1789465720.6520169,2137,2877,a
1789465720.652523,2116,2877,a
1789465720.6545348,2048,2876,a
1789465720.656242,2032,2878,a
1789465720.659827,2162,2877,a
1789465720.6600692,2081,2877,a
1789465720.6621618,2046,2879,a
1789465720.670411,1991,2876,a
1789465720.671947,2063,2877,a
1789465720.67223,2119,2877,a
1789465720.6723819,2047,2877,a
1789465720.6738539,2040,2878,a
1789465720.6743228,2068,2877,a
1789465720.676745,2207,2877,a
1789465720.678865,2094,2877,a
1789465720.6822999,1993,2877,a
1789465720.682393,2117,2878,a
1789465720.6837099,2058,2878,a
1789465720.686045,2086,2878,a
1789465720.688385,2020,2875,a
1789465720.689835,1985,2876,a
1789465720.6921742,2140,2877,a
1789465720.694241,2106,2876,a
1789465720.696574,2013,2878,a
1789465720.697657,2005,2875,a
1789465720.699986,2070,2878,a
1789465720.702094,2097,2876,a
1789465720.704447,2096,2876,a
1789465720.706568,2046,2877,a
1789465720.707638,2105,2877,a
1789465720.710204,2116,2877,a
1789465720.712615,2025,2876,a
1789465720.713919,1982,2876,a
1789465720.716525,2031,2878,a
1789465720.717613,2104,2877,a
1789465720.723317,2135,2879,a
1789465720.723996,2063,2878,a
1789465720.7269068,2057,2877,a
1789465720.7272031,2194,2877,a
