timestamp,ch1,ch2,label
1789465820.3674188,2077,2877,æ
1789465820.368219,2066,2877,æ
1789465820.368403,2097,2877,æ
1789465820.3702478,2108,2878,æ
1789465820.374429,2062,2876,æ
1789465820.374581,2033,2877,æ
1789465820.377293,2110,2877,æ
1789465820.3785841,2137,2879,æ
1789465820.380894,2102,2877,æ
1789465820.382188,2060,2877,æ
1789465820.38473,2076,2876,æ
1789465820.386015,2138,2878,æ
1789465820.388434,2018,2876,æ
1789465820.390974,2035,2876,æ
1789465820.392029,2182,2877,æ
1789465820.3942342,2160,2879,æ
1789465820.3967721,2104,2877,æ
1789465820.398058,2023,2876,æ
1789465820.4003,2031,2878,æ
1789465820.402838,2080,2877,æ
1789465820.404122,2018,2875,æ
1789465820.406582,1933,2876,æ
1789465820.407917,2024,2876,æ
1789465820.410455,2137,2875,æ
1789465820.412997,2110,2877,æ
1789465820.41404,2048,2877,æ
1789465820.416579,2062,2876,æ
1789465820.418633,2118,2877,æ
1789465820.419917,2126,2878,æ
1789465820.423845,2065,2876,æ
1789465820.424557,2072,2878,æ
1789465820.4260428,2177,2880,æ
1789465820.428695,2188,2878,æ
1789465820.430274,2134,2877,æ
1789465820.432708,2101,2877,æ
1789465820.435019,2028,2876,æ
1789465820.4363189,2122,2878,æ
1789465820.438393,2041,2876,æ
1789465820.4407098,1990,2876,æ
1789465820.441998,2065,2876,æ
1789465820.444063,2074,2876,æ
1789465820.446604,2057,2878,æ
1789465820.447893,2000,2877,æ
1789465820.450434,2076,2877,æ
1789465820.4529762,2115,2878,æ
1789465820.454026,2083,2879,æ
1789465820.456337,2031,2877,æ
1789465820.458876,2084,2877,æ
1789465820.459935,2155,2880,æ
1789465820.462059,2137,2877,æ
1789465820.464363,2088,2877,æ
1789465820.466663,2055,2877,æ
1789465820.468959,2090,2877,æ
1789465820.470012,2102,2877,æ
1789465820.4753668,2036,2877,æ
1789465820.475847,2077,2876,æ
1789465820.4765,2111,2876,æ
1789465820.4780412,2097,2879,æ
1789465820.481034,2082,2877,æ
1789465820.4827049,2019,2877,æ
1789465820.484579,2047,2877,æ
1789465820.485881,2082,2878,æ
1789465820.4884381,1994,2875,æ
1789465820.490742,2032,2878,æ
1789465820.492029,2085,2877,æ
1789465820.4941068,2166,2878,æ
1789465820.49665,2147,2878,æ
1789465820.498956,2044,2877,æ
1789465820.5002398,2055,2877,æ
1789465820.5027788,2103,2878,æ
1789465820.503893,2099,2879,æ
1789465820.505963,2076,2876,æ
1789465820.508257,2136,2876,æ
1789465820.5108,2140,2880,æ
1789465820.5118568,2125,2878,æ
1789465820.514397,2041,2876,æ
1789465820.5169349,2055,2876,æ
1789465820.51822,2099,2878,æ
1789465820.520759,2049,2877,æ
1789465820.522044,1960,2877,æ
1789465820.5272708,2052,2876,æ
1789465820.528024,2126,2878,æ
1789465820.528424,2143,2879,æ
1789465820.529858,2080,2876,æ
1789465820.532824,2077,2876,æ
1789465820.534444,2086,2877,æ
1789465820.537181,2111,2878,æ
1789465820.538485,2054,2875,æ
1789465820.540809,2056,2877,æ
1789465820.5420969,2108,2877,æ
1789465820.544367,2115,2878,æ
1789465820.546907,2049,2878,æ
1789465820.548193,2028,2877,æ
1789465820.550428,2070,2877,æ
1789465820.552723,2155,2878,æ
1789465820.555032,2098,2878,æ
1789465820.556318,2028,2877,æ
1789465820.55888,2100,2876,æ
1789465820.561195,2148,2879,æ
1789465820.562252,2192,2878,æ
1789465820.5647979,2104,2877,æ
1789465820.566112,2026,2877,æ
1789465820.5686579,2093,2878,æ
1789465820.57072,2081,2878,æ
1789465820.572007,2014,2876,æ
1789465820.574549,2023,2877,æ
1789465820.575837,2096,2878,æ
1789465820.584446,2091,2878,æ
1789465820.58635,2073,2877,æ
1789465820.5864892,2066,2877,æ
1789465820.587187,2076,2876,æ
1789465820.587883,2100,2878,æ
1789465820.5894122,2016,2876,æ
1789465820.591768,2015,2876,æ
1789465820.592139,2098,2878,æ
1789465820.594527,2121,2879,æ
1789465820.596855,2119,2878,æ
1789465820.597909,2085,2877,æ
1789465820.60025,2054,2877,æ
1789465820.602463,2139,2878,æ
1789465820.604854,2074,2876,æ
1789465820.6061492,2045,2877,æ
1789465820.608493,2115,2877,æ
1789465820.610635,2124,2875,æ
1789465820.611794,2126,2878,æ
1789465820.614465,2073,2877,æ
1789465820.615854,2075,2877,æ
1789465820.618185,2098,2877,æ
1789465820.620724,2028,2875,æ
1789465820.62182,2040,2876,æ
1789465820.624135,2054,2877,æ
1789465820.626264,2069,2877,æ
1789465820.628682,2105,2878,æ
1789465820.629972,2033,2877,æ
1789465820.634557,1984,2876,æ
1789465820.635009,2054,2878,æ
1789465820.6369112,2128,2877,æ
1789465820.639741,2035,2877,æ
1789465820.640116,2052,2878,æ
1789465820.6419652,2107,2876,æ
1789465820.644481,2117,2879,æ
1789465820.64577,2119,2877,æ
1789465820.648449,2081,2876,æ
1789465820.650815,2052,2876,æ
1789465820.6558342,2131,2878,æ
1789465820.659617,2038,2876,æ
1789465820.660105,2059,2877,æ
1789465820.6609468,2078,2877,æ
1789465820.662681,2156,2879,æ
1789465820.662827,2119,2877,æ
1789465820.66555,2087,2876,æ
1789465820.666914,2041,2877,æ
1789465820.6679869,2087,2877,æ
1789465820.670474,2080,2879,æ
1789465820.672616,2040,2877,æ
1789465820.674015,2101,2877,æ
1789465820.676335,2163,2879,æ
1789465820.678702,2100,2878,æ
1789465820.679929,2106,2877,æ
1789465820.682305,2021,2877,æ
1789465820.6845708,2088,2877,æ
1789465820.6858728,2087,2878,æ
1789465820.688187,2015,2877,æ
1789465820.6905012,1988,2877,æ
1789465820.692605,2077,2877,æ
1789465820.693902,2126,2879,æ
1789465820.696366,2110,2878,æ
1789465820.6977448,2067,2877,æ
1789465820.700057,2042,2877,æ
1789465820.7023628,2114,2878,æ
1789465820.703757,2073,2875,æ
1789465820.707525,1992,2877,æ
1789465820.70998,2068,2876,æ
1789465820.71008,2116,2876,æ
1789465820.712874,2075,2878,æ
1789465820.7143328,2088,2877,æ
1789465820.7170281,2092,2876,æ
1789465820.718333,2080,2878,æ
1789465820.7203882,2097,2879,æ
1789465820.722686,2044,2877,æ
1789465820.723978,2143,2877,æ
1789465820.726534,2176,2879,æ
1789465820.727823,2075,2878,æ
1789465820.730061,2062,2877,æ
1789465820.7326028,2053,2877,æ
1789465820.734913,2079,2877,æ
1789465820.736206,2069,2878,æ
1789465820.7387562,1981,2876,æ
1789465820.739808,1986,2876,æ
1789465820.7421088,2076,2876,æ
1789465820.744405,2137,2878,æ
1789465820.745735,2105,2878,æ
1789465820.7478468,2127,2877,æ
1789465820.750366,2116,2877,æ
1789465820.751731,2140,2877,æ
1789465820.753851,2051,2876,æ
1789465820.755944,2045,2876,æ
1789465820.75827,2099,2877,æ
1789465820.762061,2133,2875,æ
1789465820.762718,2109,2878,æ
1789465820.7643032,2066,2877,æ
1789465820.76648,2078,2877,æ
1789465820.769676,2109,2877,æ
1789465820.7698581,2096,2878,æ
1789465820.772394,2024,2877,æ
1789465820.7738261,2054,2877,æ
1789465820.776172,2124,2876,æ
1789465820.77828,2133,2879,æ
1789465820.780603,2049,2875,æ
1789465820.782698,2055,2877,æ
1789465820.783749,2085,2877,æ
1789465820.7858272,2090,2877,æ
1789465820.788186,2003,2876,æ
1789465820.790282,2038,2877,æ
1789465820.792392,2095,2877,æ
1789465820.794569,2108,2876,æ
1789465820.7967548,2102,2878,æ
1789465820.797817,2109,2877,æ
1789465820.800166,2111,2877,æ
1789465820.802243,2190,2877,æ
1789465820.804322,2101,2878,æ
1789465820.806463,1979,2875,æ
1789465820.808635,2055,2878,æ
1789465820.8097658,2153,2876,æ
1789465820.814176,2137,2878,æ
1789465820.8147268,1995,2876,æ
1789465820.816457,1980,2877,æ
1789465820.819394,2055,2876,æ
1789465820.8216488,2138,2878,æ
1789465820.8226938,2032,2875,æ
1789465820.824268,2042,2877,æ
1789465820.855346,2115,2876,æ
1789465820.857165,2113,2879,æ
1789465820.8572118,2062,2878,æ
1789465820.8572428,2024,2877,æ
